step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,17756200,4495,9570,35.998295,1240,0,9,9,108,71194,16733,5381,17685006,16,165,691,1,114542,1,411,1,412610,1,2804567,1,140112,1,14199869,1,12204,1,775594,1,22604,4,551018,4,67641,4,4276581,4,8429552,8,12700752,108,0,0,5551,1,37683,1,2935,1,7464,1,1282,2,5230,1,0,0,0,0,0,0,31972,1,63343,1,272398,1,42583,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,14298300,4300,9570,35.993866,1240,0,9,8,96,66238,1954,2806,14232062,16,165,371,1,45498,1,200,1,395256,1,1028644,1,165240,1,12584457,1,12394,1,551980,1,11482,4,513015,4,65838,4,3829574,4,7547913,8,11352879,96,21802,12,3156,1,42112,1,4218,1,5771,1,2134,2,5310,1,0,0,0,0,0,0,6212,1,33004,1,298499,1,55377,1,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,1241,1,0,1,0,1,4495,1,5075,1,0,1
2,13796500,4339,9570,35.986713,1240,0,9,8,96,57675,1663,3086,13738825,16,165,381,1,26692,1,391,1,306234,1,652355,1,124902,1,12615798,1,12073,1,440734,1,8887,4,524597,4,65517,4,3855254,4,7655361,8,11478272,96,29257,12,3126,1,43244,1,3888,1,4869,1,1493,2,7164,1,0,0,0,0,0,0,25279,1,26762,1,225978,1,27383,1,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,1240,1,1,1,1,1,4495,1,5075,1,0,1
3,13691700,4335,9570,35.976837,1240,0,9,8,96,55654,1533,2716,13636046,16,165,331,1,26501,1,150,1,285824,1,663997,1,123519,1,12524591,1,11132,1,412720,1,8717,4,534797,4,67391,4,3860384,4,7587229,8,11420701,96,24197,12,3387,1,33936,1,3086,1,4749,1,1593,2,5070,1,0,0,0,0,0,0,6272,1,27974,1,224034,1,26772,1,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
4,13577100,4329,9570,35.964233,1240,0,9,8,96,59784,4769,2636,13517316,16,165,261,1,27473,1,180,1,279251,1,641824,1,93461,1,12463172,1,11693,1,348295,1,10831,4,527833,4,68753,4,3857278,4,7576859,8,11406834,96,24668,12,5611,1,48955,1,2856,1,3827,1,1553,2,5751,1,0,0,0,0,0,0,6112,1,27844,1,216249,1,28886,1,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
5,13596200,4324,9570,35.948902,1240,0,9,8,96,59186,1313,7065,13537014,16,165,321,1,28555,1,80,1,274051,1,656693,1,98832,1,12466859,1,11623,1,389776,1,7254,4,498937,4,65978,4,3869021,4,7583452,8,11422834,96,22574,12,2886,1,30189,1,7865,1,3968,1,1323,2,4899,1,0,0,0,0,0,0,5701,1,27413,1,211169,1,29627,1,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
6,13577200,4326,9570,35.93085,1240,0,9,8,96,50716,1192,2215,13526484,16,165,80,1,33064,1,110,1,267409,1,623559,1,92239,1,12498481,1,11542,1,425264,1,7444,4,499238,4,66669,4,3861246,4,7591718,8,11425750,96,24998,12,3296,1,29016,1,2775,1,4368,1,1343,2,4910,1,0,0,0,0,0,0,5150,1,27974,1,206049,1,27984,1,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
7,13960300,4319,9570,35.910072,1240,0,9,8,96,97585,2465,2545,13862715,16,165,381,1,57471,1,170,1,356080,1,781645,1,124561,1,12528629,1,13777,1,455663,1,9088,4,533454,4,64926,4,3849944,4,7558433,8,11383529,96,22303,12,4328,1,34216,1,3707,1,5050,1,1593,2,5761,1,0,0,0,0,0,0,7104,1,32343,1,282297,1,33715,1,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
8,13962700,4316,9570,35.88657,1240,0,9,8,96,50849,2344,3427,13911851,16,165,281,1,46660,1,160,1,354728,1,772227,1,113620,1,12612402,1,11773,1,509899,1,8807,4,560246,4,65587,4,3848802,4,7567642,8,11391334,96,21682,12,2876,1,30108,1,2986,1,5901,1,1834,2,5370,1,0,0,0,0,0,0,6743,1,33625,1,279101,1,34858,1,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
9,14029100,4312,9570,35.86034,1240,0,9,8,96,61351,1803,2806,13967749,16,165,421,1,31772,1,170,1,346492,1,772558,1,128710,1,12671246,1,16382,1,514197,1,9408,4,605093,4,65707,4,3865324,4,7558373,8,11406293,96,14598,12,2906,1,32002,1,2926,1,5911,1,2274,2,5320,1,0,0,0,0,0,0,6773,1,32243,1,271045,1,36070,1,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
10,14695100,4307,9570,35.831387,1240,0,9,8,96,59777,2084,3918,14635323,16,165,200,1,32232,1,120,1,373965,1,818316,1,243041,1,13153801,1,13646,1,561479,1,10641,4,636233,4,64525,4,3968464,4,7808268,8,11761312,96,11502,12,5380,1,78592,1,3747,1,6382,1,2425,2,5581,1,0,0,0,0,0,0,6653,1,30920,1,297938,1,37924,1,16300,1,14,1,9570,1,4307,1,16314,1,9570,1,0,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
