step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,19667200,4495,9570,35.998295,,0,9,9,108,74137,6492,5571,19593063,16,154,731,1,112586,1,210,1,1951361,1,3138774,1,235352,1,14141914,1,12133,1,743529,1,13706,4,542393,4,67670,4,4290337,4,8409515,8,12694281,108,0,0,6302,1,57000,1,4970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,15949400,4300,9570,35.993866,,0,9,8,96,59045,3106,2756,15890355,16,154,431,1,48072,1,140,1,2428979,1,830877,1,94101,1,12475902,1,11853,1,411481,1,8466,4,498578,4,68271,4,3874107,4,7571204,8,11420393,96,22163,12,3387,1,34486,1,2815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,15353600,4339,9570,35.986713,,0,9,8,96,83838,2345,7525,15269762,16,154,411,1,27813,1,70,1,1946692,1,676390,1,136062,1,12470491,1,11833,1,375652,1,8356,4,499029,4,66798,4,3881261,4,7595691,8,11440161,96,29266,12,3276,1,35348,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,15574800,4335,9570,35.976837,,0,9,8,96,66609,6693,2455,15508191,16,154,210,1,28565,1,220,1,1928617,1,660890,1,125161,1,12752654,1,11873,1,473941,1,9699,4,576548,4,66157,4,4009357,4,7576915,8,11559410,96,24407,12,2845,1,27834,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,15520300,4329,9570,35.964233,,0,9,8,96,41676,1272,16983,15478624,16,154,230,1,33064,1,70,1,2295002,1,631614,1,91847,1,12415616,1,11181,1,361014,1,8336,4,497476,4,65466,4,3856543,4,7593246,8,11407979,96,24828,12,2825,1,26321,1,3116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15171000,4324,9570,35.948902,,0,9,8,96,38972,3767,2586,15132028,16,154,731,1,27673,1,90,1,1927726,1,648867,1,92889,1,12422850,1,11202,1,335715,1,7224,4,500562,4,65616,4,3869909,4,7603596,8,11447895,96,23024,12,3136,1,30779,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15215300,4326,9570,35.93085,,0,9,8,96,42634,1172,2365,15172666,16,154,100,1,28234,1,70,1,1932685,1,646282,1,91015,1,12458879,1,15400,1,321478,1,10610,4,497586,4,67400,4,3869979,4,7612894,8,11455329,96,25178,12,4098,1,67911,1,5751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,15279200,4319,9570,35.910072,,0,9,8,96,56178,1192,2336,15223022,16,154,150,1,27854,1,210,1,1931513,1,648717,1,91646,1,12511160,1,11773,1,413415,1,7324,4,503478,4,70065,4,3873175,4,7594609,8,11443636,96,21812,12,2886,1,42391,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,15208800,4316,9570,35.88657,,0,9,8,96,47576,2154,2916,15161224,16,154,250,1,28455,1,210,1,1935741,1,654428,1,92408,1,12438350,1,11382,1,369811,1,14538,4,498839,4,65857,4,3863917,4,7591443,8,11430512,96,21932,12,2785,1,25930,1,3076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,15169800,4312,9570,35.86034,,0,9,8,96,39997,1303,2566,15129803,16,154,271,1,28314,1,40,1,1932655,1,634740,1,91606,1,12430685,1,11492,1,354682,1,8266,4,496575,4,66398,4,3862996,4,7599298,8,11445020,96,14708,12,3366,1,34206,1,3597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
