step,wall_ns,manifolds,pairs,top_y,awake
0,19424500,4495,9570,35.998295,
1,15679500,4300,9570,35.993866,
2,15582800,4339,9570,35.986713,
3,15219900,4335,9570,35.976837,
4,15477800,4329,9570,35.964233,
5,15349600,4324,9570,35.948902,
6,15109400,4326,9570,35.93085,
7,15163000,4319,9570,35.910072,
8,15261500,4316,9570,35.88657,
9,15422600,4312,9570,35.86034,
10,15427400,4307,9570,35.831387,
11,15127100,4307,9570,35.79971,
12,15090200,4306,9570,35.765305,
13,15154700,4306,9570,35.728176,
14,15683500,4307,9570,35.688324,
15,15480200,4306,9570,35.64575,
16,15069900,4303,9570,35.600445,
17,15139800,4298,9570,35.552414,
18,15156100,4298,9570,35.501663,
19,15204400,4297,9570,35.448185,
20,18532600,5077,9570,35.391983,
21,17379200,4687,9570,35.333054,
22,16780500,4536,9570,35.2714,
23,16436200,4464,9570,35.207024,
24,16275800,4397,9570,35.13992,
25,16128000,4359,9570,35.07009,
26,16059200,4312,9570,34.997536,
27,16042400,4295,9570,34.92226,
28,19072400,4934,9570,34.844257,
29,18131500,4786,9570,34.763527,
30,17517500,4665,9570,34.680073,
31,17329700,4617,9570,34.593895,
32,17283100,4578,9570,34.504993,
33,17435200,4536,9570,34.413364,
34,19497200,5039,9570,34.31901,
35,17989900,4827,9570,34.221935,
36,17338500,4630,9570,34.12213,
37,16969500,4510,9570,34.019604,
38,16753100,4408,9570,33.91435,
39,18555700,4880,9570,33.806374,
40,18773400,4979,9570,33.69567,
41,18057900,4855,9570,33.58224,
42,17244100,4689,9570,33.466087,
43,17276000,4655,9570,33.34721,
44,18927700,5072,9570,33.22561,
45,19261400,5053,9570,33.10128,
46,18012100,4767,9570,32.974224,
47,17009600,4624,9570,32.844448,
48,18302400,4898,9570,32.711945,
49,18946200,5015,9570,32.576717,
50,18202700,4836,9570,32.438763,
51,17953100,4704,9570,32.298084,
52,18681600,4886,9570,32.154682,
53,18526800,4850,9570,32.008553,
54,18112700,4701,9570,31.8597,
55,17691300,4656,9570,31.70812,
56,18212800,4755,9570,31.553818,
57,18247700,4733,9570,31.39679,
58,17916100,4658,9570,31.237036,
59,18551400,4682,9570,31.074558,
60,18327900,4642,9570,30.909355,
61,17871500,4557,9570,30.741426,
62,18389600,4591,9570,30.570772,
63,18092200,4578,9570,30.397394,
64,18324800,4530,9570,30.22129,
65,18312400,4530,9570,30.042463,
66,17875100,4531,9570,29.860909,
67,18146800,4532,9570,29.67663,
68,18065800,4513,9570,29.489626,
69,18050600,4475,9570,29.299898,
70,18259100,4477,9570,29.107445,
71,17961600,4474,9569,28.912266,
72,18614900,4455,9569,28.714361,
73,17935900,4472,9569,28.745037,
74,17863700,4465,9569,28.771923,
75,17605100,4458,9569,28.794498,
76,17314500,4464,9569,28.81284,
77,17399300,4463,9569,28.827902,
78,17268000,4462,9568,28.840885,
79,17304900,4456,9567,28.852116,
80,17282500,4458,9567,28.861916,
81,17396000,4462,9566,28.87016,
82,17375400,4462,9566,28.877672,
83,17421000,4464,9566,28.884876,
84,17312200,4460,9566,28.891674,
85,17294300,4454,9564,28.89812,
86,17310800,4452,9563,28.90361,
87,17322900,4461,9563,28.9092,
88,17203800,4461,9561,28.91393,
89,17210500,4461,9561,28.918192,
90,17107800,4460,9560,28.922281,
91,17339400,4461,9557,28.926441,
92,17424400,4462,9557,28.930197,
93,17260600,4459,9555,28.933605,
94,17118900,4455,9554,28.936785,
95,17063800,4464,9554,28.939753,
96,16955800,4454,9554,28.942532,
97,16935500,4453,9554,28.9452,
98,17041400,4449,9553,28.947609,
99,16938900,4452,9552,28.949892,
100,17884400,4462,9549,28.952118,
101,16894000,4454,9548,28.954184,
102,18061300,4455,9548,28.956179,
103,17352500,4460,9548,28.957949,
104,17133500,4463,9546,28.959707,
105,17054800,4462,9546,28.9613,
106,16924700,4463,9546,28.962826,
107,16890500,4465,9546,28.964285,
108,16992400,4465,9546,28.965742,
109,16806000,4465,9546,28.967031,
110,16969200,4466,9546,28.968155,
111,16857100,4468,9546,28.969242,
112,16828400,4464,9546,28.970312,
113,16859800,4466,9546,28.971327,
114,16859800,4467,9546,28.972305,
115,16867200,4467,9546,28.97322,
116,16809200,4465,9546,28.974094,
117,16915000,4465,9546,28.974928,
118,17287200,4466,9546,28.975708,
119,17164100,4467,9546,28.97645,
120,16947800,4463,9546,28.977146,
121,16900100,4463,9546,28.977818,
122,16862400,4462,9546,28.978441,
123,17408100,4463,9546,28.979033,
124,16978100,4462,9546,28.979574,
125,16673800,4463,9546,28.98009,
126,16736000,4466,9546,28.980558,
127,17589900,4466,9546,28.98101,
128,17220300,4468,9546,28.981445,
129,17247600,4465,9546,28.981846,
130,16797500,4468,9546,28.982235,
131,16758700,4466,9546,28.982603,
132,16730900,4467,9546,28.982958,
133,16756900,4465,9546,28.983284,
134,16610000,4464,9546,28.983583,
135,17053700,4468,9546,28.98386,
136,16772700,4468,9546,28.984129,
137,16687400,4466,9546,28.984394,
138,16605700,4469,9546,28.984627,
139,16544800,4467,9545,28.984867,
140,16736400,4466,9545,28.985088,
141,16623300,4466,9545,28.985296,
142,16582200,4466,9545,28.985493,
