step,wall_ns,manifolds,pairs,top_y,awake
0,7967800,4495,9570,35.998295,
1,5761100,4196,9570,35.993866,
2,5831400,4142,9570,35.986713,
3,5307800,4111,9570,35.976837,
4,5320100,4100,9570,35.964233,
5,5842100,4087,9570,35.948902,
6,5432600,4079,9570,35.93085,
7,5711400,4073,9570,35.910072,
8,5532300,4066,9570,35.88657,
9,5291800,4061,9570,35.86034,
10,5513100,4053,9570,35.831387,
11,5408900,4054,9570,35.79971,
12,5519500,4056,9570,35.765305,
13,5481000,4055,9570,35.728176,
14,5919300,4060,9570,35.688324,
15,5738100,4057,9570,35.64575,
16,5397000,4055,9570,35.600445,
17,5293000,4051,9570,35.552414,
18,5637900,4049,9570,35.501663,
19,5586800,4050,9570,35.448185,
20,6315000,4829,9570,35.391983,
21,5933000,4715,9570,35.333054,
22,6082700,4565,9570,35.2714,
23,6096200,4496,9570,35.207024,
24,5795000,4419,9570,35.13992,
25,6002600,4390,9570,35.07009,
26,5791600,4353,9570,34.997536,
27,6074900,4336,9570,34.92226,
28,7024300,4982,9570,34.844257,
29,6559600,4783,9570,34.763527,
30,6208000,4670,9570,34.680073,
31,6176400,4639,9570,34.593895,
32,6142900,4573,9570,34.504993,
33,5858400,4491,9570,34.413364,
34,6529600,5031,9570,34.31901,
35,6161000,4806,9570,34.221935,
36,6095000,4646,9570,34.12213,
37,6441600,4535,9570,34.019604,
38,6156800,4502,9570,33.91435,
39,6937600,4984,9570,33.806374,
40,7208300,5009,9570,33.69567,
41,6527700,4852,9570,33.58224,
42,6411000,4753,9570,33.466087,
43,5983600,4728,9570,33.34721,
44,6867800,4996,9570,33.22561,
45,7179500,5112,9570,33.10128,
46,6364300,4923,9570,32.974224,
47,6181500,4760,9570,32.844448,
48,6397200,5001,9570,32.711945,
49,6477300,5139,9570,32.576717,
50,6314000,4996,9570,32.438763,
51,6689500,4871,9570,32.298084,
52,7136500,5093,9570,32.154682,
53,7146600,4972,9570,32.008553,
54,6083400,4792,9570,31.8597,
55,6258200,4796,9570,31.70812,
56,6569800,4911,9570,31.553818,
57,6508900,4780,9570,31.39679,
58,6468400,4734,9570,31.237036,
59,6835900,4748,9570,31.074558,
60,6993900,4704,9570,30.909355,
61,6883900,4678,9570,30.741426,
62,6652500,4666,9570,30.570772,
63,6155800,4609,9570,30.397394,
64,6357800,4623,9570,30.22129,
65,6799700,4625,9570,30.042463,
66,6105800,4579,9570,29.860909,
67,6120000,4610,9570,29.67663,
68,5949500,4550,9570,29.489626,
69,5941200,4524,9570,29.299898,
70,5912900,4535,9570,29.107445,
71,6354000,4528,9570,28.912266,
72,6577000,4533,9570,28.714361,
73,6453700,4529,9570,28.745474,
74,6370300,4530,9570,28.77165,
75,6220000,4529,9570,28.79591,
76,5992500,4524,9570,28.816788,
77,5934600,4517,9570,28.83433,
78,5915300,4520,9570,28.848581,
79,6026600,4514,9568,28.862343,
80,6152200,4519,9568,28.873486,
81,6286500,4518,9568,28.88324,
