step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20856900,4495,9570,35.998295,,0,9,9,108,109653,9488,7174,20747247,16,154,2906,1,162916,1,411,1,2281240,1,3173212,1,190340,1,14916715,1,19508,1,920888,1,19418,4,607129,4,69836,4,4399243,4,8784999,8,13177067,108,0,0,10140,1,88322,1,7254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,15974500,4300,9570,35.993866,,0,9,8,96,61610,3998,2645,15912890,16,154,661,1,51410,1,220,1,2448645,1,803721,1,92139,1,12501906,1,14188,1,441658,1,7565,4,499901,4,65647,4,3872059,4,7567284,8,11414916,96,21782,12,4358,1,36581,1,2856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,15233900,4339,9570,35.986713,,0,9,8,96,52751,1333,8978,15181149,16,154,321,1,27503,1,140,1,1946259,1,629542,1,94103,1,12469594,1,13687,1,376421,1,7485,4,504179,4,70577,4,3882890,4,7585770,8,11430555,96,29127,12,2916,1,35389,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,15449500,4335,9570,35.976837,,0,9,8,96,69104,6292,2525,15380396,16,154,160,1,26972,1,160,1,1946860,1,638931,1,96848,1,12656767,1,13697,1,494851,1,9078,4,552312,4,69796,4,3935201,4,7544720,8,11452318,96,25079,12,2825,1,38986,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,15486600,4329,9570,35.964233,,0,9,8,96,56107,1333,7345,15430493,16,154,311,1,36441,1,130,1,2215161,1,625394,1,94103,1,12445166,1,13787,1,375549,1,7865,4,512866,4,67451,4,3860045,4,7577304,8,11405307,96,24698,12,3437,1,36280,1,3036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15255200,4324,9570,35.948902,,0,9,8,96,53000,6533,2495,15202200,16,154,271,1,27634,1,160,1,1956780,1,627258,1,92760,1,12483461,1,13877,1,362514,1,7725,4,513948,4,67932,4,3874013,4,7606070,8,11454913,96,22674,12,5000,1,36431,1,3296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15304900,4326,9570,35.93085,,0,9,8,96,57563,1783,2956,15247337,16,154,230,1,27063,1,160,1,1975726,1,627468,1,92199,1,12509992,1,14498,1,342184,1,10861,4,511243,4,70026,4,3880485,4,7629405,8,11481765,96,25169,12,3918,1,55097,1,4990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,15397900,4319,9570,35.910072,,0,9,8,96,63213,1683,2546,15334687,16,154,291,1,29838,1,140,1,1962381,1,651565,1,93061,1,12582363,1,15049,1,408203,1,11031,4,518727,4,69465,4,3883220,4,7632240,8,11490983,96,21933,12,3166,1,51690,1,2936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,15507500,4316,9570,35.88657,,0,9,8,96,48752,1573,3477,15458748,16,154,190,1,29628,1,240,1,1926521,1,786958,1,117548,1,12583455,1,14208,1,548545,1,8326,4,529408,4,64676,4,3846970,4,7541113,8,11362964,96,21642,12,3898,1,36351,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,15144200,4312,9570,35.86034,,0,9,8,96,35341,2114,2515,15108859,16,154,230,1,29808,1,321,1,1934416,1,630454,1,92500,1,12406972,1,14157,1,388264,1,7565,4,495372,4,65247,4,3849224,4,7559579,8,11391580,96,14709,12,2936,1,33946,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
10,15200500,4307,9570,35.831387,,0,9,8,96,68657,1964,2996,15131843,16,154,301,1,27644,1,50,1,1951429,1,623330,1,92019,1,12419777,1,17294,1,338567,1,7505,4,514619,4,71749,4,3875095,4,7569358,8,11430035,96,11422,12,4188,1,33806,1,2926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16300,1,14,1,9570,1,4307,1,16314,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
11,15597800,4307,9570,35.79971,,0,9,8,96,52123,2325,2575,15545677,16,154,271,1,44476,1,150,1,2352177,1,629192,1,91878,1,12413715,1,13817,1,345210,1,7855,4,499760,4,65938,4,3869734,4,7581702,8,11440495,96,8366,12,2866,1,35729,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16310,1,10,1,9570,1,4307,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
12,15338300,4306,9570,35.765305,,0,9,8,96,62617,1463,2675,15275683,16,154,230,1,26852,1,120,1,1947762,1,629402,1,111777,1,12545210,1,14328,1,438121,1,8046,4,513287,4,67671,4,3891086,4,7580129,8,11456967,96,11572,12,3397,1,39336,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,14,1,9570,1,4306,1,16330,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
13,15319600,4306,9570,35.728176,,0,9,8,96,71170,1643,2725,15248430,16,154,261,1,27644,1,130,1,1947071,1,625996,1,95676,1,12533989,1,17664,1,380238,1,7645,4,500973,4,65928,4,3887469,4,7607773,8,11482387,96,10130,12,7545,1,70998,1,3777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16323,1,12,1,9570,1,4306,1,16335,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
14,16059100,4307,9570,35.688324,,0,9,8,96,41771,2254,3858,16017329,16,154,271,1,34617,1,160,1,2223437,1,619513,1,96768,1,13028165,1,14398,1,402121,1,7505,4,553054,4,67792,4,4246182,4,7700814,8,11930172,96,12965,12,3346,1,42392,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16324,1,16,1,9570,1,4307,1,16340,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
15,15445600,4306,9570,35.64575,,0,9,8,96,46879,1804,2325,15398721,16,154,631,1,37443,1,100,1,2197457,1,624523,1,92099,1,12432652,1,13817,1,381401,1,7454,4,497346,4,64846,4,3872961,4,7568777,8,11424795,96,14618,12,3397,1,32092,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16319,1,18,1,9570,1,4306,1,16337,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
16,15927300,4303,9570,35.600445,,0,9,8,96,72162,2205,4569,15855138,16,154,110,1,28846,1,160,1,1922814,1,631346,1,103932,1,13147019,1,20911,1,518527,1,18145,4,625655,4,65908,4,4118287,4,7748967,8,11847646,96,15039,12,3497,1,43104,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16322,1,18,1,9570,1,4303,1,16340,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
17,15674600,4298,9570,35.552414,,0,9,8,96,51999,2004,2876,15622601,16,154,240,1,35940,1,130,1,2141869,1,618651,1,93592,1,12714063,1,18115,1,393554,1,8166,4,503287,4,66890,4,3882409,4,7790493,8,11656470,96,13556,12,5330,1,57301,1,4629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16320,1,16,1,9570,1,4298,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
18,15642400,4298,9570,35.501663,,0,9,8,96,56796,1773,2996,15585604,16,154,521,1,33615,1,180,1,2367758,1,619393,1,92389,1,12458252,1,13496,1,394145,1,7424,4,503478,4,65427,4,3866368,4,7576492,8,11426728,96,13136,12,3377,1,37062,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,16,1,9570,1,4298,1,16334,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
19,15216900,4297,9570,35.448185,,0,9,8,96,51071,1242,2555,15165829,16,154,240,1,27393,1,70,1,1950788,1,635574,1,93421,1,12444735,1,13606,1,367574,1,7084,4,504229,4,65437,4,3888581,4,7571653,8,11447399,96,10280,12,2896,1,33455,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16322,1,12,1,9570,1,4297,1,16334,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
20,18687800,5077,9570,35.391983,,0,14,12,144,55940,1643,3858,18631860,16,214,230,1,27393,1,130,1,1949445,1,1018909,1,125975,1,15495139,1,14638,1,496023,1,9148,4,603983,4,65387,4,4792586,4,9465981,8,14071384,144,183326,24,4569,1,52893,1,2926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19225,1,232,1,9570,1,5077,1,19457,1,9570,1,0,1,0,0,0,0,0,0,4495,1,4291,1,784,1
21,17339900,4687,9570,35.333054,,0,13,10,120,42101,1363,3146,17297799,16,202,220,1,27834,1,271,1,1921571,1,1647609,1,107198,1,13578948,1,14147,1,429544,1,7134,4,533476,4,65187,4,4226657,4,8268977,8,12270527,120,221961,36,3186,1,40909,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16937,1,281,1,9570,1,4687,1,17218,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4291,1,2523,1
22,16790300,4536,9570,35.2714,,0,12,10,120,41297,1252,3337,16749003,16,190,110,1,28826,1,50,1,1929246,1,1463191,1,101557,1,13212296,1,13727,1,393705,1,7454,4,517986,4,64976,4,4115301,4,8058769,8,12062372,120,108360,24,5651,1,43925,1,3276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16654,1,137,1,9570,1,4536,1,16791,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4748,1,2066,1
23,16517300,4464,9570,35.207024,,0,12,10,120,40064,1393,2946,16477236,16,190,120,1,28054,1,190,1,1935298,1,1419356,1,101567,1,12978852,1,13797,1,380779,1,8246,4,508507,4,66128,4,4043261,4,7925810,8,11908524,120,57602,24,3397,1,38795,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16487,1,73,1,9570,1,4464,1,16560,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4935,1,1879,1
