step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,19029900,4495,9570,35.998295,,0,9,9,108,105201,6142,4820,18924699,16,154,902,1,110213,1,551,1,2249888,1,2402352,1,137555,1,14010754,1,12484,1,571622,1,11121,4,550812,4,70626,4,4309359,4,8449261,8,12753800,108,0,0,6272,1,31881,1,3657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16601500,4196,9570,35.993866,,0,8,8,96,56860,3146,2515,16544640,16,142,341,1,49235,1,150,1,2324772,1,1972012,1,88360,1,12098607,1,11162,1,336900,1,8326,4,498401,4,66578,4,3779227,4,7364760,8,11141472,96,0,0,3537,1,34887,1,2845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,16078300,4142,9570,35.986713,,0,8,8,96,53613,1653,6753,16024687,16,142,311,1,26511,1,150,1,1946273,1,2024534,1,86928,1,11929341,1,10641,1,329435,1,9368,4,481168,4,66168,4,3711296,4,7295917,8,11000460,96,0,0,4148,1,27603,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,15875300,4111,9570,35.976837,,0,8,8,96,53294,2665,8046,15822006,16,142,220,1,27192,1,170,1,1939039,1,1924060,1,85535,1,11834578,1,11212,1,305138,1,7805,4,477160,4,65406,4,3696317,4,7243346,8,10931617,96,0,0,3076,1,30308,1,3356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,15880100,4100,9570,35.964233,,0,8,8,96,51351,1473,6614,15828749,16,142,261,1,26050,1,230,1,1950501,1,1923699,1,85304,1,11831963,1,10741,1,287544,1,8607,4,481007,4,65787,4,3694734,4,7253275,8,10941395,96,0,0,3998,1,32843,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,15926400,4087,9570,35.948902,,0,8,8,96,57012,1613,7775,15869388,16,142,261,1,26281,1,170,1,1946212,1,1967253,1,96045,1,11821523,1,11642,1,305559,1,7384,4,493371,4,66598,4,3686438,4,7228758,8,10907421,96,0,0,2986,1,26150,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,15868500,4079,9570,35.93085,,0,8,8,96,54499,1523,2415,15814001,16,142,321,1,26641,1,180,1,1951142,1,1910995,1,84192,1,11829068,1,11462,1,292845,1,7304,4,478212,4,78301,4,3694413,4,7241673,8,10933671,96,0,0,3497,1,27523,1,3777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,15854500,4073,9570,35.910072,,0,8,8,96,49526,1252,2485,15804974,16,142,140,1,28044,1,140,1,1965981,1,1905534,1,84683,1,11809380,1,11071,1,279960,1,8406,4,480697,4,65416,4,3692500,4,7246252,8,10936266,96,0,0,3457,1,28765,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,15916100,4066,9570,35.88657,,0,8,8,96,41031,1423,2265,15875069,16,142,160,1,27964,1,140,1,1948246,1,1907959,1,83140,1,11896738,1,10721,1,329125,1,9689,4,489023,4,68372,4,3702799,4,7255199,8,10955733,96,0,0,3206,1,34687,1,3216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,15898400,4061,9570,35.86034,,0,8,8,96,45353,1282,2676,15853047,16,142,70,1,27814,1,140,1,1949729,1,1932957,1,82659,1,11849026,1,10651,1,308495,1,7525,4,477180,4,66498,4,3696968,4,7260629,8,10954921,96,0,0,3036,1,24748,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0,0,1,5502,1,4068,1
