step,wall_ns,manifolds,pairs,top_y,awake
0,19742500,4495,9570,35.998295,
1,16465600,4196,9570,35.993866,
2,15882200,4142,9570,35.986713,
3,15841400,4111,9570,35.976837,
4,15825400,4100,9570,35.964233,
5,15842500,4087,9570,35.948902,
6,16410100,4079,9570,35.93085,
7,15986000,4073,9570,35.910072,
8,16176600,4066,9570,35.88657,
9,15913100,4061,9570,35.86034,
10,15880100,4053,9570,35.831387,
11,15834700,4054,9570,35.79971,
12,15868100,4056,9570,35.765305,
13,15893900,4055,9570,35.728176,
14,16346300,4060,9570,35.688324,
15,16353700,4057,9570,35.64575,
16,16144500,4055,9570,35.600445,
17,15916500,4051,9570,35.552414,
18,15843800,4049,9570,35.501663,
19,16102000,4050,9570,35.448185,
20,19214100,4829,9570,35.391983,
21,18131700,4715,9570,35.333054,
22,17595300,4565,9570,35.2714,
23,17391400,4496,9570,35.207024,
24,17131200,4419,9570,35.13992,
25,17203000,4390,9570,35.07009,
26,16926100,4353,9570,34.997536,
27,16885400,4336,9570,34.92226,
28,19799600,4982,9570,34.844257,
29,18577400,4783,9570,34.763527,
30,18242900,4670,9570,34.680073,
31,17878400,4639,9570,34.593895,
32,17994200,4573,9570,34.504993,
33,17665900,4491,9570,34.413364,
34,19611600,5031,9570,34.31901,
35,18407200,4806,9570,34.221935,
36,17883200,4646,9570,34.12213,
37,17290900,4535,9570,34.019604,
38,17780200,4502,9570,33.91435,
39,19275000,4984,9570,33.806374,
40,19615400,5009,9570,33.69567,
41,18769400,4852,9570,33.58224,
42,18008500,4753,9570,33.466087,
43,18059100,4728,9570,33.34721,
44,19049100,4996,9570,33.22561,
45,19555800,5112,9570,33.10128,
46,18416800,4923,9570,32.974224,
47,17645000,4760,9570,32.844448,
48,18784400,5001,9570,32.711945,
49,19346200,5139,9570,32.576717,
50,19075000,4996,9570,32.438763,
51,18265200,4871,9570,32.298084,
52,19285000,5093,9570,32.154682,
53,18942900,4972,9570,32.008553,
54,18216600,4792,9570,31.8597,
55,18110800,4796,9570,31.70812,
56,18749000,4911,9570,31.553818,
57,18374800,4780,9570,31.39679,
58,18093000,4734,9570,31.237036,
59,18454000,4748,9570,31.074558,
60,18287900,4704,9570,30.909355,
61,18157900,4678,9570,30.741426,
62,18224300,4666,9570,30.570772,
63,18232600,4609,9570,30.397394,
64,18197900,4623,9570,30.22129,
65,18325900,4625,9570,30.042463,
66,18201400,4579,9570,29.860909,
67,18349200,4610,9570,29.67663,
68,18262500,4550,9570,29.489626,
69,18142400,4524,9570,29.299898,
