step,wall_ns,manifolds,pairs,top_y,awake
0,3480300,4495,9570,35.998295,
1,2161000,4196,9570,35.993866,
2,2399000,4142,9570,35.986713,
3,2720100,4111,9570,35.976837,
4,2053100,4100,9570,35.964233,
5,2113800,4087,9570,35.948902,
6,2056800,4079,9570,35.93085,
7,2011600,4073,9570,35.910072,
8,2026500,4066,9570,35.88657,
9,2069700,4061,9570,35.86034,
10,2030000,4053,9570,35.831387,
11,1985600,4054,9570,35.79971,
12,2024600,4056,9570,35.765305,
13,2019700,4055,9570,35.728176,
14,1974100,4060,9570,35.688324,
15,2074200,4057,9570,35.64575,
16,2210300,4055,9570,35.600445,
17,2003800,4051,9570,35.552414,
18,1972800,4049,9570,35.501663,
19,2101900,4050,9570,35.448185,
20,2406500,4829,9570,35.391983,
21,2318600,4715,9570,35.333054,
22,2384400,4565,9570,35.2714,
23,2279300,4496,9570,35.207024,
24,2194400,4419,9570,35.13992,
25,2272400,4390,9570,35.07009,
26,2195800,4353,9570,34.997536,
27,2155100,4336,9570,34.92226,
28,2486300,4982,9570,34.844257,
29,2420700,4783,9570,34.763527,
30,2338800,4670,9570,34.680073,
31,2712300,4639,9570,34.593895,
32,2307700,4573,9570,34.504993,
33,2273800,4491,9570,34.413364,
34,2753100,5031,9570,34.31901,
35,2472100,4806,9570,34.221935,
36,2518600,4646,9570,34.12213,
37,2463900,4535,9570,34.019604,
38,2300600,4502,9570,33.91435,
39,2603000,4984,9570,33.806374,
40,2650100,5009,9570,33.69567,
41,2486700,4852,9570,33.58224,
42,2516500,4753,9570,33.466087,
43,2491200,4728,9570,33.34721,
44,2531100,4996,9570,33.22561,
45,2797600,5112,9570,33.10128,
46,2576900,4923,9570,32.974224,
47,2551600,4760,9570,32.844448,
48,2697000,5001,9570,32.711945,
49,2618100,5139,9570,32.576717,
50,2617700,4996,9570,32.438763,
51,2553700,4871,9570,32.298084,
52,2555500,5093,9570,32.154682,
53,2790600,4972,9570,32.008553,
54,2478200,4792,9570,31.8597,
55,2620700,4796,9570,31.70812,
56,2627500,4911,9570,31.553818,
57,2444000,4780,9570,31.39679,
58,2544500,4734,9570,31.237036,
59,2524000,4748,9570,31.074558,
60,2437200,4704,9570,30.909355,
61,2505500,4678,9570,30.741426,
62,2469300,4666,9570,30.570772,
63,2360800,4609,9570,30.397394,
64,2634300,4623,9570,30.22129,
65,2385500,4625,9570,30.042463,
66,2441900,4579,9570,29.860909,
67,2448300,4610,9570,29.67663,
68,2315500,4550,9570,29.489626,
69,2381700,4524,9570,29.299898,
70,2372600,4535,9570,29.107445,
71,2301800,4528,9570,28.912266,
72,2420600,4533,9570,28.714361,
73,2357500,4529,9570,28.745474,
74,2313100,4530,9570,28.77165,
75,2350500,4529,9570,28.79591,
76,2310300,4524,9570,28.816788,
77,2283200,4517,9570,28.83433,
78,2355700,4520,9570,28.848581,
79,2346200,4514,9568,28.862343,
80,2297900,4519,9568,28.873486,
81,2404100,4518,9568,28.88324,
82,2388400,4518,9568,28.892859,
83,2274900,4516,9568,28.90075,
84,2376300,4517,9567,28.907646,
85,2344300,4508,9565,28.914537,
86,2296800,4519,9565,28.920815,
87,2321700,4516,9565,28.92588,
88,2309100,4518,9565,28.930962,
89,2285600,4519,9565,28.935617,
90,2478800,4514,9565,28.939785,
91,2526700,4516,9565,28.943506,
92,2573200,4512,9565,28.946703,
93,2654600,4508,9565,28.949604,
94,2704900,4522,9565,28.952375,
95,2444000,4519,9565,28.954878,
96,3209400,4521,9565,28.957104,
97,2713100,4517,9565,28.9592,
98,2374900,4515,9565,28.960983,
99,2970500,4520,9565,28.96278,
100,2278800,4521,9564,28.964386,
101,2412300,4521,9564,28.965906,
102,2605300,4521,9563,28.967402,
103,2363600,4520,9563,28.968788,
104,2448300,4522,9563,28.969984,
105,2314900,4518,9563,28.971111,
106,2380000,4521,9563,28.97221,
107,2575700,4523,9563,28.97325,
108,2284100,4515,9562,28.974203,
109,2501600,4517,9562,28.975157,
110,2549000,4516,9562,28.976004,
111,2316000,4515,9562,28.976778,
112,2338700,4519,9562,28.977486,
113,2329600,4520,9562,28.978231,
114,2264500,4520,9562,28.97893,
115,2344400,4519,9561,28.979557,
116,2315600,4526,9561,28.980162,
117,2267100,4519,9561,28.980728,
118,2326700,4521,9561,28.981266,
119,2320100,4517,9561,28.981787,
120,2276700,4523,9561,28.982262,
121,2330500,4523,9561,28.98269,
122,2623100,4521,9561,28.983118,
123,2253400,4522,9561,28.98351,
124,2306900,4518,9561,28.98387,
125,2533700,4521,9561,28.984217,
126,2250600,4521,9561,28.984558,
127,2267600,4517,9561,28.98485,
128,2274600,4522,9561,28.98514,
129,2255300,4521,9561,28.98541,
130,2282000,4519,9560,28.98568,
131,2303500,4526,9559,28.98593,
