step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17454200,4495,9570,35.998295,,0,9,9,108,83167,5901,3998,17371033,16,158,922,1,127946,1,331,1,514600,1,2573984,1,142114,1,13996038,1,15099,1,572632,1,11512,4,539949,4,68973,4,4295187,4,8442569,8,12733758,108,0,0,7324,1,48263,1,3727,1,0,0,0,0,0,0,0,0,0,0,0,0,37382,1,76066,1,339804,1,58683,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15429000,4196,9570,35.993866,,0,8,8,96,58917,1613,2916,15370083,16,146,331,1,44616,1,80,1,375713,1,2763379,1,91566,1,12081082,1,13316,1,393527,1,8066,4,482799,4,65266,4,3748905,4,7354275,8,11100264,96,0,0,3707,1,20439,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,7013,1,31931,1,306330,1,29988,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,15363000,4142,9570,35.986713,,0,8,8,96,72095,2575,7154,15290905,16,146,150,1,26070,1,90,1,304686,1,2800175,1,88991,1,12056364,1,14378,1,448774,1,8607,4,489212,4,65205,4,3731081,4,7264482,8,10988409,96,0,0,4158,1,39306,1,2966,1,0,0,0,0,0,0,0,0,0,0,0,0,19848,1,27633,1,228169,1,28725,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14807400,4111,9570,35.976837,,0,8,8,96,52472,5731,2425,14754928,16,146,331,1,25098,1,170,1,287974,1,2480314,1,89182,1,11857662,1,14197,1,330396,1,7745,4,474613,4,65676,4,3699059,4,7229444,8,10926078,96,0,0,4078,1,37923,1,2996,1,0,0,0,0,0,0,0,0,0,0,0,0,6252,1,25990,1,226055,1,29126,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14818700,4100,9570,35.964233,,0,8,8,96,45907,1493,6272,14772793,16,146,200,1,24968,1,50,1,283977,1,2482999,1,88270,1,11877671,1,14658,1,334303,1,12704,4,474223,4,84282,4,3687718,4,7225447,8,10906892,96,0,0,4469,1,50036,1,2996,1,0,0,0,0,0,0,0,0,0,0,0,0,5611,1,25689,1,222608,1,29156,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14949500,4087,9570,35.948902,,0,8,8,96,41026,8707,2295,14908474,16,146,341,1,25920,1,60,1,288064,1,2618941,1,89212,1,11871970,1,13967,1,383578,1,8056,4,478291,4,65636,4,3680223,4,7208304,8,10886231,96,0,0,3286,1,33334,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,5521,1,28254,1,220184,1,33835,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14725200,4079,9570,35.93085,,0,8,8,96,39174,1192,2365,14686026,16,146,30,1,24086,1,40,1,276683,1,2420068,1,102828,1,11847663,1,14628,1,319515,1,7955,4,496987,4,65817,4,3691094,4,7230957,8,10919686,96,0,0,2916,1,28695,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,5731,1,25499,1,215916,1,29326,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14879700,4073,9570,35.910072,,0,8,8,96,71840,1493,2475,14807860,16,146,130,1,24497,1,30,1,266433,1,2390260,1,153495,1,11958506,1,14508,1,430398,1,8907,4,479363,4,67119,4,3695903,4,7233021,8,10926450,96,0,0,3356,1,36270,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,5270,1,24177,1,208361,1,28405,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,15032100,4066,9570,35.88657,,0,8,8,96,49684,1282,2825,14982416,16,146,220,1,24948,1,30,1,270571,1,2647646,1,100483,1,11924641,1,13877,1,376264,1,7875,4,494372,4,64965,4,3691705,4,7236197,8,10925077,96,0,0,3156,1,45387,1,3437,1,0,0,0,0,0,0,0,0,0,0,0,0,5751,1,24347,1,209122,1,30970,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14666000,4061,9570,35.86034,,0,8,8,96,39028,982,2485,14626972,16,146,10,1,26611,1,60,1,269779,1,2422583,1,89442,1,11804840,1,13646,1,288275,1,7224,4,474012,4,65386,4,3697837,4,7237720,8,10933073,96,0,0,3417,1,27072,1,2916,1,0,0,0,0,0,0,0,0,0,0,0,0,5571,1,24748,1,209373,1,29417,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
