step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,6382000,4495,9570,35.998295,,0,9,9,108,87791,7224,3677,6294209,16,160,1022,1,138998,1,391,1,897943,1,1051239,1,197631,1,3988328,1,18656,1,822938,1,17834,4,584117,4,93320,4,825944,4,1516477,8,2338744,108,0,0,5080,1,111084,1,4308,1,0,0,0,0,0,0,671316,1,145030,1,86607,1,42121,1,77449,1,705752,1,69664,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,4159200,4196,9570,35.993866,,0,8,8,96,40500,1242,1753,4118700,16,149,170,1,44426,1,90,1,575691,1,499985,1,96596,1,2888696,1,13045,1,434108,1,12053,4,495567,4,78512,4,628253,4,1209374,8,1835873,96,0,0,3607,1,23345,1,2635,1,0,0,0,0,0,0,469897,1,21832,1,4559,1,13967,1,29277,1,499314,1,32763,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3932200,4142,9570,35.986713,,0,8,8,96,36962,1182,1944,3895238,16,149,40,1,24497,1,50,1,477401,1,378741,1,110674,1,2890760,1,13075,1,377228,1,12945,4,536876,4,79123,4,638633,4,1211629,8,1848317,96,0,0,4038,1,26050,1,3056,1,0,0,0,0,0,0,352480,1,18275,1,4629,1,15941,1,22223,1,411665,1,27353,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3893400,4111,9570,35.976837,,0,8,8,96,35934,1112,3768,3857466,16,149,210,1,25149,1,70,1,483563,1,354855,1,119040,1,2861894,1,12684,1,387027,1,12945,4,536826,4,80195,4,617582,4,1195137,8,1808951,96,0,0,2986,1,25319,1,2765,1,0,0,0,0,0,0,327142,1,19327,1,4930,1,5220,1,23846,1,418648,1,35529,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,4089900,4100,9570,35.964233,,0,8,8,96,36637,3797,1834,4053263,16,149,20,1,24708,1,40,1,460860,1,376577,1,86487,1,3091858,1,12715,1,321000,1,12464,4,528380,4,80125,4,692086,4,1422225,8,2112476,96,0,0,3547,1,25098,1,3136,1,0,0,0,0,0,0,345547,1,23616,1,4409,1,4930,1,22473,1,408168,1,25118,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3927300,4087,9570,35.948902,,0,8,8,96,38845,2485,2345,3888455,16,149,60,1,24968,1,30,1,467262,1,355186,1,90274,1,2934274,1,16402,1,289178,1,12644,4,486329,4,83591,4,698679,4,1272316,8,1968649,96,0,0,6723,1,78722,1,3607,1,0,0,0,0,0,0,329406,1,17804,1,4899,1,4829,1,23535,1,409931,1,28796,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,4387300,4079,9570,35.93085,,0,8,8,96,42855,1383,5321,4344445,16,149,491,1,30669,1,10,1,482451,1,734027,1,122597,1,2961115,1,13085,1,437855,1,12765,4,556464,4,79744,4,627100,4,1212711,8,1834490,96,0,0,3427,1,26752,1,2916,1,0,0,0,0,0,0,685663,1,39887,1,4799,1,6252,1,30058,1,408909,1,36420,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3867600,4073,9570,35.910072,,0,8,8,96,37638,1182,1964,3829962,16,149,10,1,25519,1,30,1,469646,1,364674,1,90435,1,2864860,1,14789,1,295170,1,12384,4,510425,4,79213,4,687016,4,1235885,8,1920937,96,0,0,3597,1,37102,1,2886,1,0,0,0,0,0,0,339074,1,18896,1,3807,1,4829,1,24577,1,407747,1,32322,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,4297500,4066,9570,35.88657,,0,8,8,96,37468,1182,1994,4260032,16,149,611,1,28725,1,40,1,546655,1,528570,1,145351,1,2997255,1,12825,1,398159,1,13195,4,533410,4,79874,4,659172,4,1283527,8,1940705,96,0,0,2825,1,23205,1,2705,1,0,0,0,0,0,0,494094,1,25830,1,5521,1,5090,1,28435,1,464607,1,48303,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,4050700,4061,9570,35.86034,,0,8,8,96,38095,1353,2015,4012605,16,149,30,1,25369,1,20,1,464987,1,416334,1,89663,1,3003126,1,13075,1,361969,1,12234,4,501748,4,79644,4,706754,4,1304808,8,2009548,96,0,0,3387,1,28385,1,2845,1,0,0,0,0,0,0,361398,1,46610,1,5200,1,4829,1,23716,1,405352,1,30900,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
10,3773500,4053,9570,35.831387,,0,8,8,96,33111,1032,2075,3740389,16,149,10,1,25098,1,10,1,462813,1,358502,1,88962,1,2791989,1,13005,1,285311,1,12204,4,482932,4,82409,4,640436,4,1255393,8,1893755,96,0,0,3787,1,25770,1,2715,1,0,0,0,0,0,0,331881,1,18766,1,4980,1,4749,1,22343,1,403308,1,32202,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,1240,1,1,1,0,1
11,3981400,4054,9570,35.79971,,0,8,8,96,39922,1343,2064,3941478,16,149,160,1,32272,1,70,1,640466,1,360125,1,135502,1,2762382,1,10500,1,321020,1,12063,4,484665,4,78822,4,627241,4,1208513,8,1833689,96,0,0,3377,1,22704,1,2635,1,0,0,0,0,0,0,328394,1,23576,1,4990,1,18596,1,25950,1,554320,1,41240,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,1240,1,1,1,0,1
12,4146500,4056,9570,35.765305,,0,8,8,96,35280,1132,1914,4111220,16,149,170,1,32232,1,80,1,615708,1,365711,1,101546,1,2982767,1,13005,1,327392,1,13536,4,567545,4,79343,4,694991,4,1257748,8,1950825,96,0,0,4078,1,33775,1,3226,1,0,0,0,0,0,0,341835,1,16772,1,3827,1,6322,1,25509,1,542948,1,40568,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,1240,1,1,1,0,1
13,3788000,4055,9570,35.728176,,0,8,8,96,32241,1192,1895,3755759,16,149,321,1,26060,1,20,1,462483,1,365606,1,93290,1,2795205,1,12775,1,346379,1,11853,4,485768,4,78682,4,627441,4,1212300,8,1837846,96,0,0,3346,1,25549,1,2695,1,0,0,0,0,0,0,336399,1,22383,1,3577,1,5260,1,23155,1,405883,1,27904,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
14,3754100,4060,9570,35.688324,,0,8,8,96,33939,1483,1954,3720161,16,149,20,1,24628,1,50,1,463665,1,352791,1,89172,1,2776800,1,13035,1,330177,1,12584,4,484495,4,80555,4,631629,4,1203763,8,1833438,96,0,0,3166,1,26231,1,2715,1,0,0,0,0,0,0,327592,1,18385,1,3877,1,5130,1,21942,1,403729,1,32673,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
15,3698400,4057,9570,35.64575,,0,8,8,96,33226,1152,2105,3665174,16,149,60,1,25058,1,50,1,464256,1,356558,1,87309,1,2719018,1,12865,1,287365,1,12173,4,483112,4,79343,4,626710,4,1200778,8,1825382,96,0,0,3046,1,22694,1,2645,1,0,0,0,0,0,0,329446,1,20129,1,3677,1,4809,1,22594,1,404932,1,31711,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,1240,1,1,1,0,1
16,3802200,4055,9570,35.600445,,0,8,8,96,34127,1262,2064,3768073,16,149,10,1,24838,1,20,1,468515,1,433717,1,84413,1,2743676,1,12885,1,281463,1,11913,4,485778,4,80485,4,632741,4,1221418,8,1852094,96,0,0,2996,1,22914,1,2705,1,0,0,0,0,0,0,409831,1,17504,1,3607,1,4759,1,22113,1,411023,1,30429,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,1240,1,1,1,0,1
17,3718000,4051,9570,35.552414,,0,8,8,96,32997,1132,2114,3685003,16,149,70,1,24838,1,50,1,464456,1,361227,1,85245,1,2736271,1,12845,1,276434,1,11592,4,482141,4,79473,4,624225,4,1224704,8,1846814,96,0,0,5250,1,28405,1,2916,1,0,0,0,0,0,0,336610,1,18115,1,3587,1,4689,1,21431,1,407537,1,30198,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,1240,1,1,1,0,1
18,3780800,4049,9570,35.501663,,0,8,8,96,34459,1743,1994,3746341,16,149,20,1,24878,1,80,1,459387,1,361247,1,86096,1,2801778,1,12855,1,294599,1,12504,4,497721,4,79694,4,640316,4,1240595,8,1878916,96,0,0,4619,1,26692,1,3296,1,0,0,0,0,0,0,332041,1,22704,1,3687,1,4749,1,22584,1,406064,1,25800,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1,1240,1,1,1,0,1
19,4132800,4050,9570,35.448185,,0,8,8,96,42835,1553,2405,4089965,16,149,160,1,30298,1,70,1,530784,1,365415,1,105774,1,3046190,1,11272,1,342521,1,13466,4,574078,4,87228,4,632641,4,1349425,8,1979661,96,0,0,5160,1,36190,1,3928,1,0,0,0,0,0,0,339495,1,18776,1,3978,1,16081,1,24257,1,458595,1,31471,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1,1240,1,1,1,0,1
20,4970600,4829,9570,35.391983,,0,14,12,144,31827,1313,3097,4938773,16,221,40,1,30679,1,30,1,580941,1,392337,1,174647,1,3747353,1,12745,1,437003,1,12474,4,579118,4,78942,4,856714,4,1747383,8,2480848,144,120152,24,4088,1,27744,1,2575,1,0,0,0,0,0,0,340828,1,37072,1,10701,1,6042,1,23565,1,509564,1,41620,1,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,48,1,1240,1,1,1,0,1
21,4413500,4715,9570,35.333054,,0,13,11,132,37043,1733,2745,4376457,16,209,90,1,24978,1,80,1,464747,1,439037,1,107057,1,3327472,1,12995,1,372719,1,12514,4,551414,4,79624,4,774345,4,1496268,8,2184286,132,83581,24,4268,1,31541,1,3046,1,0,0,0,0,0,0,408819,1,19548,1,6593,1,4639,1,20319,1,407466,1,32152,1,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,48,1,1240,1,1,1,0,1
22,4344100,4565,9570,35.2714,,0,13,10,120,32738,1142,2996,4311362,16,209,110,1,25108,1,30,1,467222,1,420311,1,103089,1,3282536,1,12955,1,330508,1,11923,4,523741,4,79193,4,758755,4,1536886,8,2111936,120,180709,36,3908,1,33715,1,2765,1,0,0,0,0,0,0,390383,1,20720,1,5851,1,4589,1,22343,1,414831,1,25269,1,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,48,1,1240,1,1,1,0,1
23,4508500,4496,9570,35.207024,,0,13,10,120,34965,1403,4910,4473535,16,209,271,1,31190,1,50,1,561043,1,412436,1,143427,1,3314257,1,10861,1,447614,1,11783,4,518050,4,79243,4,751681,4,1466891,8,2051740,120,161923,36,3787,1,31150,1,2655,1,0,0,0,0,0,0,377128,1,25319,1,6212,1,5651,1,24517,1,488302,1,37743,1,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,48,1,1240,1,1,1,0,1
24,4318200,4419,9570,35.13992,,0,12,10,120,32839,1182,2565,4285361,16,197,90,1,31761,1,40,1,569078,1,401204,1,112557,1,3157615,1,13015,1,311591,1,12103,4,508361,4,79253,4,785416,4,1422105,8,2132816,120,72139,24,3587,1,31421,1,2595,1,0,0,0,0,0,0,370074,1,22053,1,5761,1,6062,1,24658,1,496368,1,41841,1,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,48,1,1240,1,1,1,0,1
25,4317000,4390,9570,35.07009,,0,12,9,108,32751,1262,2725,4284249,16,197,60,1,25028,1,40,1,469807,1,412947,1,101356,1,3261966,1,13045,1,336560,1,11432,4,506047,4,79584,4,750579,4,1533861,8,2042232,108,239482,36,3316,1,36280,1,3046,1,0,0,0,0,0,0,381276,1,23245,1,4529,1,4649,1,21311,1,412907,1,30759,1,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,48,1,1240,1,1,1,0,1
26,4503800,4353,9570,34.997536,,0,12,9,108,35210,1262,2566,4468590,16,197,170,1,28595,1,90,1,543780,1,420356,1,104792,1,3357891,1,12915,1,396345,1,13967,4,644644,4,84714,4,736381,4,1446382,8,1991493,108,188704,36,3096,1,28515,1,2585,1,0,0,0,0,0,0,389166,1,22624,1,4429,1,5691,1,27012,1,479445,1,31280,1,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,48,1,1240,1,1,1,0,1
27,4249100,4336,9570,34.92226,,0,12,9,108,34500,1122,2656,4214600,16,197,140,1,25108,1,50,1,469787,1,400904,1,97158,1,3208398,1,13055,1,303947,1,11612,4,522939,4,80666,4,804688,4,1439549,8,2075310,108,166271,36,4308,1,36400,1,3166,1,0,0,0,0,0,0,373100,1,20159,1,4469,1,4739,1,21902,1,418317,1,24658,1,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,48,1,1240,1,1,1,0,1
