step,wall_ns,manifolds,pairs,top_y,awake
0,3727700,4495,9570,35.998295,
1,2504300,4196,9570,35.993866,
2,2109700,4142,9570,35.986713,
3,2018300,4111,9570,35.976837,
4,2133800,4100,9570,35.964233,
5,2049600,4087,9570,35.948902,
6,2025200,4079,9570,35.93085,
7,2027600,4073,9570,35.910072,
8,2121800,4066,9570,35.88657,
9,2001400,4061,9570,35.86034,
10,1996700,4053,9570,35.831387,
11,2129500,4054,9570,35.79971,
12,2105700,4056,9570,35.765305,
13,2033600,4055,9570,35.728176,
14,2115400,4060,9570,35.688324,
15,2081300,4057,9570,35.64575,
16,2012200,4055,9570,35.600445,
17,2010100,4051,9570,35.552414,
18,2110200,4049,9570,35.501663,
19,1996000,4050,9570,35.448185,
20,2380400,4829,9570,35.391983,
21,2378700,4715,9570,35.333054,
22,2286500,4565,9570,35.2714,
23,2258000,4496,9570,35.207024,
24,2304500,4419,9570,35.13992,
25,2238200,4390,9570,35.07009,
26,2165400,4353,9570,34.997536,
27,2261000,4336,9570,34.92226,
28,3001700,4982,9570,34.844257,
29,2522700,4783,9570,34.763527,
30,2462200,4670,9570,34.680073,
31,2616200,4639,9570,34.593895,
32,2373900,4573,9570,34.504993,
33,2368800,4491,9570,34.413364,
34,2464700,5031,9570,34.31901,
35,2554900,4806,9570,34.221935,
36,2425500,4646,9570,34.12213,
37,2338300,4535,9570,34.019604,
38,2434700,4502,9570,33.91435,
39,2548100,4984,9570,33.806374,
40,2554400,5009,9570,33.69567,
41,2442600,4852,9570,33.58224,
42,2427400,4753,9570,33.466087,
43,2401100,4728,9570,33.34721,
44,2641300,4996,9570,33.22561,
45,2591600,5112,9570,33.10128,
46,2613100,4923,9570,32.974224,
47,2940900,4760,9570,32.844448,
48,2626100,5001,9570,32.711945,
49,2652600,5139,9570,32.576717,
50,3175000,4996,9570,32.438763,
51,2588200,4871,9570,32.298084,
52,2748000,5093,9570,32.154682,
53,2510700,4972,9570,32.008553,
54,2555200,4792,9570,31.8597,
55,2559400,4796,9570,31.70812,
56,2487700,4911,9570,31.553818,
57,2816000,4780,9570,31.39679,
58,2670800,4734,9570,31.237036,
59,2565800,4748,9570,31.074558,
