step,wall_ns,manifolds,pairs,top_y,awake
0,3541700,4495,9570,35.998295,
1,2448700,4196,9570,35.993866,
2,2254000,4142,9570,35.986713,
3,2364400,4111,9570,35.976837,
4,2301400,4100,9570,35.964233,
5,2177300,4087,9570,35.948902,
6,2314800,4079,9570,35.93085,
7,2308800,4073,9570,35.910072,
8,2197900,4066,9570,35.88657,
9,2236900,4061,9570,35.86034,
10,2480500,4053,9570,35.831387,
11,2305300,4054,9570,35.79971,
12,2348600,4056,9570,35.765305,
13,2575500,4055,9570,35.728176,
14,2218900,4060,9570,35.688324,
15,2316900,4057,9570,35.64575,
16,2497000,4055,9570,35.600445,
17,2192500,4051,9570,35.552414,
18,2275100,4049,9570,35.501663,
19,2278400,4050,9570,35.448185,
20,2613800,4829,9570,35.391983,
21,2799300,4715,9570,35.333054,
22,2613700,4565,9570,35.2714,
23,2455800,4496,9570,35.207024,
24,2660900,4419,9570,35.13992,
25,2544700,4390,9570,35.07009,
26,2380400,4353,9570,34.997536,
27,2847900,4336,9570,34.92226,
28,2948700,4982,9570,34.844257,
29,2604000,4783,9570,34.763527,
30,2559700,4670,9570,34.680073,
31,2521400,4639,9570,34.593895,
32,2613500,4573,9570,34.504993,
33,2460900,4491,9570,34.413364,
34,2797000,5031,9570,34.31901,
35,2719900,4806,9570,34.221935,
36,2554100,4646,9570,34.12213,
37,2568200,4535,9570,34.019604,
38,2707700,4502,9570,33.91435,
39,2676300,4984,9570,33.806374,
40,3080900,5009,9570,33.69567,
41,2690200,4852,9570,33.58224,
42,2669400,4753,9570,33.466087,
43,2698900,4728,9570,33.34721,
44,2701500,4996,9570,33.22561,
45,2927900,5112,9570,33.10128,
46,2732300,4923,9570,32.974224,
47,2729700,4760,9570,32.844448,
48,2804000,5001,9570,32.711945,
49,2785200,5139,9570,32.576717,
50,2941800,4996,9570,32.438763,
51,2700000,4871,9570,32.298084,
52,2870900,5093,9570,32.154682,
53,2772300,4972,9570,32.008553,
54,2627700,4792,9570,31.8597,
55,2747900,4796,9570,31.70812,
56,2751100,4911,9570,31.553818,
57,2699800,4780,9570,31.39679,
58,2670000,4734,9570,31.237036,
59,2637800,4748,9570,31.074558,
60,2909500,4704,9570,30.909355,
61,2544500,4678,9570,30.741426,
62,2750700,4666,9570,30.570772,
63,2669100,4609,9570,30.397394,
64,2541000,4623,9570,30.22129,
65,2615900,4625,9570,30.042463,
66,2571000,4579,9570,29.860909,
67,2502800,4610,9570,29.67663,
68,2726500,4550,9570,29.489626,
69,2583200,4524,9570,29.299898,
70,2579000,4535,9570,29.107445,
71,2537400,4528,9570,28.912266,
72,2457600,4533,9570,28.714361,
73,2498700,4529,9570,28.745474,
74,2501200,4530,9570,28.77165,
75,2470900,4529,9570,28.79591,
76,2573900,4524,9570,28.816788,
77,2653300,4517,9570,28.83433,
78,2545800,4520,9570,28.848581,
79,2561200,4514,9568,28.862343,
80,2459600,4519,9568,28.873486,
81,2535000,4518,9568,28.88324,
82,2504000,4518,9568,28.892859,
83,2451800,4516,9568,28.90075,
84,2560700,4517,9567,28.907646,
85,2540600,4508,9565,28.914537,
86,2460200,4519,9565,28.920815,
87,2571200,4516,9565,28.92588,
88,2462500,4518,9565,28.930962,
89,2534200,4519,9565,28.935617,
90,2574900,4514,9565,28.939785,
91,2461400,4516,9565,28.943506,
92,2609300,4512,9565,28.946703,
93,2578900,4508,9565,28.949604,
94,2473800,4522,9565,28.952375,
95,2495500,4519,9565,28.954878,
96,2518300,4521,9565,28.957104,
97,2467100,4517,9565,28.9592,
98,2536500,4515,9565,28.960983,
99,2467500,4520,9565,28.96278,
100,2445700,4521,9564,28.964386,
101,2549200,4521,9564,28.965906,
102,2479700,4521,9563,28.967402,
103,2555400,4520,9563,28.968788,
104,2539900,4522,9563,28.969984,
105,2453300,4518,9563,28.971111,
106,2507600,4521,9563,28.97221,
107,2492100,4523,9563,28.97325,
108,2446500,4515,9562,28.974203,
109,2565600,4517,9562,28.975157,
110,2497900,4516,9562,28.976004,
111,2437200,4515,9562,28.976778,
112,2718600,4519,9562,28.977486,
113,2527000,4520,9562,28.978231,
114,2550900,4520,9562,28.97893,
115,2486000,4519,9561,28.979557,
116,2475800,4526,9561,28.980162,
117,2548400,4519,9561,28.980728,
118,2511600,4521,9561,28.981266,
119,2457000,4517,9561,28.981787,
120,2539400,4523,9561,28.982262,
121,2500200,4523,9561,28.98269,
122,2463800,4521,9561,28.983118,
123,2671300,4522,9561,28.98351,
124,2491500,4518,9561,28.98387,
125,2545200,4521,9561,28.984217,
126,2553000,4521,9561,28.984558,
127,2454400,4517,9561,28.98485,
128,2792600,4522,9561,28.98514,
129,2545600,4521,9561,28.98541,
130,2452000,4519,9560,28.98568,
131,2571000,4526,9559,28.98593,
132,2472000,4524,9559,28.986149,
133,2434300,4516,9559,28.98636,
134,2798400,4520,9559,28.98657,
135,2545400,4522,9559,28.986776,
136,2565000,4519,9559,28.986969,
137,2511500,4521,9559,28.987137,
138,2437800,4521,9559,28.9873,
139,2504200,4521,9559,28.987465,
140,2488700,4518,9559,28.987623,
141,2475900,4523,9559,28.987766,
142,2690300,4524,9559,28.987892,
143,2488400,4523,9559,28.98802,
144,2473000,4520,9559,28.988153,
145,2530200,4519,9559,28.98826,
146,2465200,4520,9559,28.988363,
147,2510800,4522,9559,28.988459,
148,2478300,4517,9559,28.988543,
149,2440200,4519,9559,28.988642,
150,2610600,4522,9559,28.98874,
151,2554000,4520,9559,28.98882,
152,2437500,4523,9559,28.988888,
153,2520700,4523,9559,28.988964,
154,2478900,4524,9559,28.989048,
155,2437800,4521,9559,28.989117,
156,2620800,4520,9559,28.989172,
157,2460900,4519,9559,28.989218,
158,2530700,4519,9559,28.98927,
159,2509900,4518,9559,28.98933,
160,2470500,4519,9559,28.989386,
161,2556900,4521,9559,28.989433,
162,2505400,4518,9559,28.989477,
163,2456000,4520,9559,28.989515,
164,2707600,4520,9559,28.989552,
165,2533100,4519,9559,28.989582,
166,2867500,4516,9559,28.989613,
167,2808400,4518,9559,28.989645,
168,2453800,4518,9559,28.989676,
169,2550300,4514,9559,28.9897,
170,2500700,4515,9559,28.989725,
171,2470200,4512,9559,28.989754,
172,2924100,4513,9559,28.98977,
173,2557400,4515,9559,28.989801,
174,2906300,4515,9559,28.989834,
175,2513500,4515,9559,28.989851,
176,2442600,4514,9559,28.989864,
177,2526400,4516,9559,28.989883,
178,2475900,4515,9559,28.989906,
179,2473900,4515,9559,28.989923,
180,2523200,4515,9559,28.98993,
181,2506200,4517,9559,28.98993,
182,2452700,4517,9559,28.98994,
183,2671700,4516,9559,28.989958,
184,2434000,4516,9559,28.98997,
185,2531600,4514,9559,28.989977,
186,3209100,4515,9559,28.98999,
187,2512600,4516,9559,28.990005,
188,2595100,4519,9559,28.990013,
189,2638300,4519,9559,28.990015,
190,2448400,4519,9559,28.990025,
191,2728300,4520,9559,28.99004,
192,2481200,4522,9559,28.990047,
193,2598600,4521,9559,28.990053,
194,2544300,4522,9559,28.990055,
195,2445900,4521,9559,28.99006,
196,2595400,4522,9559,28.99006,
197,2626200,4523,9559,28.990076,
198,2466000,4523,9559,28.990084,
199,2644200,4524,9559,28.990086,
200,2444200,4522,9559,28.990088,
201,2487000,4522,9559,28.990097,
202,2917300,4521,9559,28.99011,
203,2442900,4525,9559,28.990112,
204,2600700,4526,9559,28.990108,
205,2871200,4524,9559,28.990114,
206,2432500,4523,9559,28.99012,
207,2667200,4523,9559,28.990118,
208,2512900,4523,9559,28.990112,
209,2531400,4522,9559,28.990116,
210,2954700,4522,9559,28.990122,
211,2463400,4523,9559,28.990128,
212,2520700,4523,9559,28.990124,
213,2676700,4523,9559,28.99013,
214,2485300,4524,9559,28.990137,
215,2650600,4524,9559,28.990137,
216,2772200,4526,9559,28.990137,
217,2550300,4524,9559,28.990143,
218,2934600,4525,9559,28.990149,
219,2443700,4524,9559,28.990149,
220,2575400,4523,9559,28.990152,
221,2532400,4522,9559,28.99016,
222,2442500,4522,9559,28.990164,
223,2740500,4520,9559,28.990162,
224,2816700,4521,9559,28.99016,
225,2648600,4522,9559,28.990166,
226,3156000,4521,9559,28.990166,
227,2496200,4522,9559,28.990166,
228,2659300,4521,9559,28.990168,
229,3161100,4519,9559,28.990175,
230,2599000,4521,9559,28.990171,
231,2885800,4522,9559,28.990166,
232,2469900,4523,9559,28.990173,
233,2893800,4527,9559,28.990175,
234,2783700,4523,9559,28.990168,
235,2702900,4525,9559,28.99017,
236,2824100,4525,9559,28.990175,
237,2491900,4526,9559,28.990175,
238,2559500,4525,9559,28.990175,
239,2632100,4524,9559,28.990175,
240,2481500,4524,9559,28.990175,
241,2944600,4521,9559,28.990175,
242,2504500,4520,9559,28.990175,
243,2560800,4520,9559,28.990175,
244,2756600,4521,9559,28.990171,
245,2521800,4520,9559,28.990164,
246,2638100,4521,9559,28.990164,
247,2760100,4521,9559,28.990164,
248,2584300,4520,9559,28.990164,
249,2969700,4522,9559,28.990164,
250,2488400,4521,9559,28.990164,
251,2548200,4522,9559,28.990164,
252,2701200,4523,9559,28.990164,
253,2483800,4523,9559,28.99017,
254,2697500,4523,9559,28.99017,
255,2488700,4521,9559,28.99017,
256,2516200,4519,9559,28.99017,
257,2880900,4519,9559,28.990171,
258,2515500,4520,9559,28.990177,
259,2529300,4520,9559,28.990177,
260,2525200,4520,9559,28.990177,
261,2473300,4519,9559,28.99018,
262,2611900,4518,9559,28.990187,
263,2663500,4518,9559,28.990187,
264,2518800,4518,9559,28.990187,
265,2499500,4518,9559,28.990187,
266,2453600,4518,9559,28.990187,
267,2559800,4518,9559,28.990187,
268,2886500,4518,9559,28.990187,
269,2449300,4518,9559,28.990187,
270,2564100,4518,9559,28.990187,
271,2476500,4518,9559,28.990187,
272,2449100,4518,9559,28.990187,
273,2757300,4518,9559,28.990187,
274,2469600,4518,9559,28.990187,
275,2558400,4518,9559,28.990187,
276,2636800,4519,9559,28.990183,
277,2469200,4518,9559,28.990183,
278,2540600,4518,9559,28.990183,
279,2794200,4519,9559,28.990183,
280,2457200,4518,9559,28.990183,
281,2822000,4520,9559,28.990183,
282,2562000,4520,9559,28.990185,
283,2578600,4518,9559,28.990185,
284,2885300,4518,9559,28.990185,
285,2487300,4519,9559,28.990185,
286,2810900,4520,9559,28.990185,
287,2882000,4519,9559,28.990185,
288,2673800,4520,9559,28.990185,
289,3297400,4518,9559,28.990185,
290,2518800,4517,9559,28.99019,
291,2934800,4517,9559,28.99019,
292,2946800,4519,9559,28.99019,
293,2580900,4517,9559,28.990187,
294,2906600,4517,9559,28.990185,
295,2483300,4516,9559,28.990192,
296,2716500,4516,9559,28.990198,
297,2803600,4515,9559,28.990198,
298,2609300,4515,9559,28.990196,
299,2942600,4515,9559,28.990194,
300,2496700,4515,9559,28.990194,
301,2527900,4515,9559,28.990194,
302,2711400,4515,9559,28.990194,
303,2494000,4516,9559,28.990194,
304,2620500,4515,9559,28.990194,
305,2564000,4517,9559,28.990194,
306,2631500,4517,9559,28.990194,
307,2766200,4517,9559,28.990194,
308,2514200,4516,9559,28.990194,
309,2490000,4516,9559,28.990194,
310,2611100,4516,9559,28.990194,
311,2450400,4516,9559,28.990194,
312,2647300,4515,9559,28.990194,
313,2510600,4515,9559,28.990194,
314,2576400,4515,9559,28.990194,
315,2915000,4517,9559,28.990194,
316,2460700,4515,9559,28.990194,
317,2542900,4517,9559,28.990194,
318,2800900,4516,9559,28.990192,
319,2470300,4516,9559,28.99019,
320,3316200,4515,9559,28.990196,
321,2852800,4515,9559,28.990198,
322,2521100,4517,9559,28.990198,
323,2826400,4517,9559,28.990198,
324,2476900,4517,9559,28.990198,
325,2686700,4516,9559,28.990194,
326,2639600,4516,9559,28.990189,
327,2626800,4516,9559,28.990189,
328,2878300,4515,9559,28.990189,
329,2492500,4514,9559,28.990189,
330,2603100,4515,9559,28.990189,
331,2790800,4513,9559,28.990189,
332,2531200,4513,9559,28.990189,
333,2853400,4512,9559,28.990185,
334,2592700,4513,9559,28.990185,
335,2532000,4514,9559,28.990185,
336,2792500,4513,9559,28.990185,
337,2463900,4516,9559,28.990185,
338,2585800,4517,9559,28.990185,
339,2632700,4518,9559,28.990185,
340,2593400,4517,9559,28.990185,
341,2696700,4517,9559,28.990185,
342,2493700,4517,9559,28.990185,
343,2490500,4517,9559,28.990185,
344,2608100,4517,9559,28.990185,
345,2460900,4517,9559,28.990189,
346,2583900,4517,9559,28.990189,
347,2496700,4517,9559,28.990189,
348,2451200,4517,9559,28.990189,
349,2679600,4516,9559,28.990189,
350,2452000,4515,9559,28.990189,
351,2551200,4516,9559,28.990189,
352,2620900,4517,9559,28.990189,
353,2445000,4518,9559,28.990189,
354,2481600,4518,9559,28.990189,
355,2803100,4519,9559,28.990189,
356,2449200,4518,9559,28.990189,
357,2759700,4519,9559,28.990189,
358,2609900,4520,9559,28.990189,
359,2581900,4521,9559,28.990189,
360,2929800,4521,9559,28.990189,
361,2459800,4521,9559,28.990189,
362,2506700,4521,9559,28.990189,
363,2763200,4521,9559,28.990189,
364,2506500,4521,9559,28.990189,
365,2949200,4521,9559,28.990189,
366,2575600,4521,9559,28.990189,
367,2655900,4521,9559,28.990189,
368,3270800,4521,9559,28.990187,
369,2649300,4520,9559,28.990185,
370,3359400,4520,9559,28.990189,
371,2938700,4520,9559,28.990189,
372,2706500,4520,9559,28.990189,
373,2842700,4520,9559,28.990189,
374,2603500,4520,9559,28.990189,
375,2960500,4520,9559,28.990189,
376,2544800,4520,9559,28.990189,
377,2612500,4520,9559,28.990189,
378,2612900,4520,9559,28.990189,
379,2481100,4520,9559,28.990189,
380,2590600,4521,9559,28.990189,
381,2472100,4521,9559,28.990189,
382,2682400,4521,9559,28.990189,
383,2827500,4521,9559,28.990189,
384,2495000,4521,9559,28.990189,
385,2552900,4521,9559,28.990189,
386,2498900,4520,9559,28.990189,
387,2492300,4520,9559,28.990189,
388,2637200,4520,9559,28.990189,
389,2478900,4520,9559,28.990189,
390,2550000,4521,9559,28.990189,
391,2564000,4521,9559,28.990189,
392,2435400,4521,9559,28.990189,
393,2559800,4521,9559,28.990189,
394,2554800,4521,9559,28.990189,
395,2450700,4520,9559,28.990189,
396,2858600,4520,9559,28.990189,
397,2730700,4520,9559,28.990189,
398,2548400,4520,9559,28.990187,
399,3084900,4519,9559,28.990181,
400,2475200,4520,9559,28.990177,
401,2487900,4520,9559,28.990183,
402,2780100,4520,9559,28.990183,
403,2461900,4520,9559,28.990175,
404,2889000,4520,9559,28.990175,
405,2637700,4520,9559,28.990175,
406,2597400,4520,9559,28.99018,
407,2730400,4519,9559,28.99018,
408,2463100,4519,9559,28.99018,
409,2962900,4518,9559,28.99018,
410,2906900,4519,9559,28.99018,
411,2555400,4519,9559,28.99018,
412,3101900,4519,9559,28.99018,
413,2495600,4519,9559,28.99018,
414,2708800,4519,9559,28.99018,
415,2661800,4519,9559,28.99018,
416,2569400,4519,9559,28.99018,
417,2520800,4519,9559,28.990177,
418,2462700,4519,9559,28.990175,
419,2551700,4519,9559,28.990168,
420,2698300,4519,9559,28.990166,
421,2452800,4520,9559,28.990166,
422,2547900,4519,9559,28.990166,
423,2506600,4519,9559,28.990166,
424,2446600,4519,9559,28.990166,
425,2707400,4518,9559,28.990166,
426,2502600,4520,9559,28.990166,
427,2515700,4519,9559,28.990158,
428,2525300,4519,9559,28.990158,
429,2436200,4519,9559,28.990156,
430,2572300,4518,9559,28.990152,
431,2567200,4518,9559,28.990156,
432,2452600,4518,9559,28.990158,
433,2558000,4518,9559,28.990156,
434,2723700,4518,9559,28.990156,
435,2442000,4519,9559,28.990156,
436,2859900,4519,9559,28.990156,
437,2537700,4519,9559,28.990156,
438,2538000,4519,9559,28.990156,
439,2812400,4520,9559,28.990156,
440,2458100,4521,9559,28.990154,
