step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5924900,4495,9570,35.998295,,0,9,9,108,84524,6142,4208,5840376,16,160,1092,1,117097,1,381,1,468560,1,1063736,1,194939,1,3982426,1,12144,1,804703,1,19538,4,606518,4,99383,4,824532,4,1543008,8,2363331,108,0,0,11382,1,63313,1,3908,1,0,0,0,0,0,0,691694,1,139531,1,88722,1,39457,1,65207,1,307457,1,54366,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,4008900,4196,9570,35.993866,,0,8,8,96,35882,1232,2205,3973018,16,149,240,1,48655,1,200,1,382142,1,404516,1,137056,1,2986311,1,13897,1,515702,1,12975,4,508347,4,79154,4,629222,4,1210431,8,1837449,96,0,0,3587,1,22915,1,2745,1,0,0,0,0,0,0,369588,1,26001,1,5591,1,13546,1,29257,1,297067,1,41721,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3963500,4142,9570,35.986713,,0,8,8,96,34778,1363,2226,3928722,16,149,60,1,25840,1,110,1,293751,1,370400,1,94333,1,3126583,1,17644,1,308469,1,15159,4,665192,4,88081,4,722383,4,1282010,8,2002168,96,0,0,3817,1,35820,1,4288,1,0,0,0,0,0,0,345331,1,17734,1,4368,1,13877,1,23856,1,225839,1,29988,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3718700,4111,9570,35.976837,,0,8,8,96,31046,1042,4359,3687654,16,149,491,1,33986,1,80,1,318309,1,370850,1,113200,1,2837332,1,13406,1,369949,1,12615,4,520631,4,78773,4,619063,4,1205582,8,1820286,96,0,0,3597,1,23175,1,2906,1,0,0,0,0,0,0,341904,1,21392,1,4509,1,6643,1,25810,1,242902,1,42733,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3634200,4100,9570,35.964233,,0,8,8,96,34026,3076,2275,3600174,16,149,50,1,25690,1,90,1,269293,1,417752,1,87921,1,2784118,1,15260,1,281116,1,12384,4,498819,4,79444,4,669601,4,1200071,8,1867397,96,0,0,4038,1,32223,1,3347,1,0,0,0,0,0,0,394336,1,16743,1,3827,1,4910,1,22103,1,211341,1,30750,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3523300,4087,9570,35.948902,,0,8,8,96,31778,3016,2145,3491522,16,149,190,1,26331,1,60,1,269904,1,359829,1,87290,1,2734021,1,13897,1,299973,1,11973,4,480864,4,79384,4,625816,4,1202927,8,1826597,96,0,0,3517,1,23586,1,2966,1,0,0,0,0,0,0,331724,1,20390,1,4900,1,5360,1,24447,1,210078,1,29537,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,3567400,4079,9570,35.93085,,0,8,8,96,32313,1052,4719,3535087,16,149,40,1,26552,1,50,1,267319,1,369708,1,90105,1,2767045,1,14268,1,308028,1,12604,4,495302,4,80185,4,628040,4,1208698,8,1832018,96,0,0,3727,1,26351,1,3056,1,0,0,0,0,0,0,346573,1,15851,1,3747,1,4819,1,23676,1,207944,1,30650,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3494800,4073,9570,35.910072,,0,8,8,96,32905,1122,1684,3461895,16,149,381,1,26041,1,100,1,263011,1,358386,1,86047,1,2713942,1,13987,1,283320,1,11933,4,479572,4,79615,4,625295,4,1205021,8,1828632,96,0,0,3296,1,21993,1,2775,1,0,0,0,0,0,0,333297,1,18456,1,3787,1,4829,1,24207,1,205008,1,28816,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,3642900,4066,9570,35.88657,,0,8,8,96,32136,1082,1774,3610764,16,149,140,1,25880,1,30,1,262480,1,392933,1,92149,1,2822954,1,14198,1,300604,1,12073,4,486545,4,78783,4,652437,4,1258445,8,1909108,96,0,0,3747,1,26111,1,3126,1,0,0,0,0,0,0,368165,1,18025,1,3757,1,4799,1,22874,1,204407,1,30219,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,3515600,4061,9570,35.86034,,0,8,8,96,31191,1122,1784,3484409,16,149,60,1,25840,1,100,1,265175,1,359629,1,92850,1,2727017,1,13737,1,291126,1,11913,4,485854,4,79184,4,625846,4,1203227,8,1827289,96,0,0,3457,1,22383,1,2906,1,0,0,0,0,0,0,334309,1,18606,1,3777,1,4930,1,23345,1,204748,1,31982,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
