step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,6543100,4495,9570,35.998295,,0,9,9,108,82734,6412,3407,6460366,16,160,741,1,147555,1,591,1,755636,1,1369846,1,203082,1,3970790,1,12123,1,871954,1,17624,4,600139,4,93030,4,809915,4,1510097,8,2316604,108,0,0,4669,1,53904,1,3046,1,0,0,0,0,0,0,767102,1,284099,1,80866,1,46640,1,72700,1,562854,1,70125,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,4252900,4196,9570,35.993866,,0,8,8,96,42617,1513,2144,4210283,16,149,250,1,44596,1,60,1,581904,1,434680,1,112016,1,3025655,1,11121,1,509574,1,12825,4,483354,4,81137,4,661758,4,1235857,8,1895472,96,0,0,3316,1,33334,1,2986,1,0,0,0,0,0,0,399341,1,26531,1,5320,1,13145,1,27784,1,508282,1,32332,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3795800,4142,9570,35.986713,,0,8,8,96,37590,1223,1854,3758210,16,149,261,1,25149,1,140,1,490017,1,386236,1,89783,1,2755823,1,10801,1,310961,1,12174,4,487682,4,78561,4,630989,4,1203735,8,1832871,96,0,0,2986,1,24567,1,2946,1,0,0,0,0,0,0,360737,1,18145,1,4228,1,18386,1,23075,1,416404,1,31771,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,4232300,4111,9570,35.976837,,0,8,8,96,33158,1122,5130,4199142,16,149,20,1,24688,1,40,1,459848,1,363652,1,90224,1,3249327,1,11342,1,417446,1,12985,4,610219,4,80145,4,707717,4,1379224,8,2081811,96,0,0,3427,1,33845,1,3196,1,0,0,0,0,0,0,331621,1,23756,1,5290,1,4930,1,22363,1,405644,1,26722,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3894500,4100,9570,35.964233,,0,8,8,96,34433,2545,2145,3860067,16,149,210,1,25710,1,20,1,478554,1,346640,1,88240,1,2908338,1,12354,1,295561,1,12554,4,483754,4,81327,4,653733,4,1332975,8,1984563,96,0,0,3837,1,39246,1,2805,1,0,0,0,0,0,0,321912,1,17885,1,3877,1,5320,1,23195,1,418809,1,31070,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,4079400,4087,9570,35.948902,,0,8,8,96,33845,4288,2094,4045555,16,149,60,1,25960,1,70,1,462273,1,396646,1,133187,1,3016457,1,10901,1,438477,1,13296,4,556465,4,79263,4,671517,4,1218804,8,1888228,96,0,0,2996,1,28746,1,2605,1,0,0,0,0,0,0,363983,1,24487,1,4990,1,6112,1,25008,1,403249,1,27653,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,4070200,4079,9570,35.93085,,0,8,8,96,33923,1222,6462,4036277,16,149,40,1,25459,1,10,1,457203,1,357982,1,85205,1,3098546,1,11833,1,277316,1,13386,4,482031,4,85796,4,682248,4,1499917,8,2175703,96,0,0,5921,1,47402,1,3306,1,0,0,0,0,0,0,332572,1,18656,1,3817,1,4859,1,21502,1,406135,1,24547,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3900500,4073,9570,35.910072,,0,8,8,96,37588,1663,1664,3862912,16,149,150,1,26461,1,110,1,487381,1,434750,1,87699,1,2815138,1,11222,1,360516,1,12184,4,482191,4,79163,4,630348,4,1213063,8,1841747,96,0,0,3256,1,30138,1,2615,1,0,0,0,0,0,0,395654,1,31852,1,3817,1,5951,1,24968,1,423929,1,32182,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,4689500,4066,9570,35.88657,,0,8,8,96,39177,1483,2304,4650323,16,149,160,1,31781,1,50,1,581153,1,509193,1,126494,1,3390309,1,11182,1,431143,1,15269,4,674333,4,85736,4,725622,4,1416146,8,2139463,96,0,0,4288,1,32994,1,3296,1,0,0,0,0,0,0,477412,1,22984,1,5280,1,6643,1,26130,1,507420,1,36951,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,4075200,4061,9570,35.86034,,0,8,8,96,33232,1182,2324,4041968,16,149,10,1,30218,1,60,1,521878,1,356008,1,110824,1,3011517,1,11452,1,319247,1,13025,4,483384,4,85796,4,702242,4,1358800,8,2058717,96,0,0,3457,1,41711,1,2675,1,0,0,0,0,0,0,328575,1,20059,1,4298,1,5761,1,23996,1,451863,1,40077,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
10,4100200,4053,9570,35.831387,,0,8,8,96,33053,1313,1934,4067147,16,149,140,1,26832,1,190,1,469938,1,368472,1,131364,1,3059260,1,10951,1,451903,1,13386,4,557297,4,83992,4,690123,4,1227672,8,1915860,96,0,0,3266,1,27643,1,2665,1,0,0,0,0,0,0,334196,1,26120,1,4829,1,5901,1,28756,1,408920,1,26110,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,1240,1,1,1,0,1
11,3809000,4054,9570,35.79971,,0,8,8,96,33517,1162,1844,3775483,16,149,150,1,24808,1,100,1,464557,1,350918,1,85094,1,2838844,1,11011,1,275983,1,12294,4,482823,4,80285,4,662650,4,1284551,8,1945357,96,0,0,2986,1,33455,1,2655,1,0,0,0,0,0,0,326891,1,17414,1,3707,1,4749,1,21682,1,407908,1,30058,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,1240,1,1,1,0,1
12,3748700,4056,9570,35.765305,,0,8,8,96,34565,1292,1804,3714135,16,149,60,1,24778,1,20,1,458686,1,374243,1,86958,1,2758459,1,10931,1,309227,1,11532,4,482021,4,79033,4,632211,4,1212893,8,1843300,96,0,0,2946,1,24718,1,2585,1,0,0,0,0,0,0,346399,1,21151,1,3647,1,4749,1,22103,1,401245,1,30409,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,1240,1,1,1,0,1
13,3770800,4055,9570,35.728176,,0,8,8,96,34212,1323,1783,3736588,16,149,20,1,24638,1,10,1,449158,1,389082,1,84243,1,2778467,1,10971,1,321601,1,11552,4,482793,4,79003,4,637982,4,1208214,8,1844413,96,0,0,2856,1,30499,1,2645,1,0,0,0,0,0,0,365897,1,15520,1,4529,1,4669,1,21371,1,398590,1,24377,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
