step,wall_ns,manifolds,pairs,top_y,awake
0,3487400,4495,9570,35.998295,
1,2475700,4196,9570,35.993866,
2,2033900,4142,9570,35.986713,
3,2212200,4111,9570,35.976837,
4,2213300,4100,9570,35.964233,
5,2027300,4087,9570,35.948902,
6,2087500,4079,9570,35.93085,
7,2123700,4073,9570,35.910072,
8,2031200,4066,9570,35.88657,
9,2113800,4061,9570,35.86034,
10,2094300,4053,9570,35.831387,
11,2011600,4054,9570,35.79971,
12,1987900,4056,9570,35.765305,
13,2229300,4055,9570,35.728176,
14,2295200,4060,9570,35.688324,
15,1984600,4057,9570,35.64575,
16,2043300,4055,9570,35.600445,
17,2437700,4051,9570,35.552414,
18,1960900,4049,9570,35.501663,
19,2080600,4050,9570,35.448185,
20,2888300,4829,9570,35.391983,
21,2342700,4715,9570,35.333054,
22,2398800,4565,9570,35.2714,
23,2737700,4496,9570,35.207024,
24,2206800,4419,9570,35.13992,
25,2354000,4390,9570,35.07009,
26,2694200,4353,9570,34.997536,
27,2289600,4336,9570,34.92226,
28,3205500,4982,9570,34.844257,
29,2541800,4783,9570,34.763527,
30,2480700,4670,9570,34.680073,
31,2807200,4639,9570,34.593895,
32,2360800,4573,9570,34.504993,
33,2399900,4491,9570,34.413364,
34,2641800,5031,9570,34.31901,
35,2471000,4806,9570,34.221935,
36,2543300,4646,9570,34.12213,
37,2618100,4535,9570,34.019604,
38,2458000,4502,9570,33.91435,
39,2945900,4984,9570,33.806374,
40,2611800,5009,9570,33.69567,
41,2565200,4852,9570,33.58224,
42,2610500,4753,9570,33.466087,
43,2440000,4728,9570,33.34721,
44,2930000,4996,9570,33.22561,
45,2761800,5112,9570,33.10128,
46,2743800,4923,9570,32.974224,
47,2799900,4760,9570,32.844448,
48,2626000,5001,9570,32.711945,
49,2924300,5139,9570,32.576717,
50,2612300,4996,9570,32.438763,
51,2600100,4871,9570,32.298084,
52,2710200,5093,9570,32.154682,
53,2537300,4972,9570,32.008553,
54,2556900,4792,9570,31.8597,
55,2754500,4796,9570,31.70812,
56,2630300,4911,9570,31.553818,
57,2971500,4780,9570,31.39679,
58,2452500,4734,9570,31.237036,
59,2523000,4748,9570,31.074558,
60,2543800,4704,9570,30.909355,
61,2414300,4678,9570,30.741426,
62,2544800,4666,9570,30.570772,
63,2781400,4609,9570,30.397394,
64,2503500,4623,9570,30.22129,
65,2818000,4625,9570,30.042463,
66,2470000,4579,9570,29.860909,
67,2520300,4610,9570,29.67663,
68,2816200,4550,9570,29.489626,
69,2358000,4524,9570,29.299898,
70,2463200,4535,9570,29.107445,
71,2603900,4528,9570,28.912266,
72,2346800,4533,9570,28.714361,
73,2545100,4529,9570,28.745474,
74,2634900,4530,9570,28.77165,
75,2442200,4529,9570,28.79591,
76,2564000,4524,9570,28.816788,
77,2388000,4517,9570,28.83433,
78,2417900,4520,9570,28.848581,
79,2737800,4514,9568,28.862343,
80,2326100,4519,9568,28.873486,
81,2379200,4518,9568,28.88324,
82,2379800,4518,9568,28.892859,
83,2256700,4516,9568,28.90075,
84,2296000,4517,9567,28.907646,
85,2387400,4508,9565,28.914537,
86,2266600,4519,9565,28.920815,
87,2349200,4516,9565,28.92588,
88,2344400,4518,9565,28.930962,
89,2270300,4519,9565,28.935617,
90,2291400,4514,9565,28.939785,
91,2329600,4516,9565,28.943506,
92,2273300,4512,9565,28.946703,
93,2327300,4508,9565,28.949604,
94,2695100,4522,9565,28.952375,
95,2269900,4519,9565,28.954878,
96,2397300,4521,9565,28.957104,
97,2594300,4517,9565,28.9592,
98,2283500,4515,9565,28.960983,
99,2748400,4520,9565,28.96278,
100,2480600,4521,9564,28.964386,
101,2343200,4521,9564,28.965906,
102,2752500,4521,9563,28.967402,
103,2351300,4520,9563,28.968788,
104,2392000,4522,9563,28.969984,
105,2556700,4518,9563,28.971111,
106,2284700,4521,9563,28.97221,
107,2327600,4523,9563,28.97325,
108,2475600,4515,9562,28.974203,
109,2279200,4517,9562,28.975157,
110,2292000,4516,9562,28.976004,
111,2310200,4515,9562,28.976778,
112,2263100,4519,9562,28.977486,
113,2275500,4520,9562,28.978231,
114,2561700,4520,9562,28.97893,
