step,wall_ns,manifolds,pairs,top_y,awake
0,4108400,4495,9570,35.998295,
1,2467500,4196,9570,35.993866,
2,2409400,4142,9570,35.986713,
3,2992100,4111,9570,35.976837,
4,2205900,4100,9570,35.964233,
5,2310000,4087,9570,35.948902,
6,2652500,4079,9570,35.93085,
7,2217100,4073,9570,35.910072,
8,2592100,4066,9570,35.88657,
9,2598200,4061,9570,35.86034,
10,2188400,4053,9570,35.831387,
11,2418700,4054,9570,35.79971,
12,2491800,4056,9570,35.765305,
13,2292800,4055,9570,35.728176,
14,2382500,4060,9570,35.688324,
15,2373600,4057,9570,35.64575,
16,2268900,4055,9570,35.600445,
17,2727300,4051,9570,35.552414,
18,2366300,4049,9570,35.501663,
19,2360000,4050,9570,35.448185,
20,3193400,4829,9570,35.391983,
21,2612900,4715,9570,35.333054,
22,2957000,4565,9570,35.2714,
23,2784500,4496,9570,35.207024,
24,2559100,4419,9570,35.13992,
25,2646400,4390,9570,35.07009,
26,2455400,4353,9570,34.997536,
27,2817800,4336,9570,34.92226,
28,3050200,4982,9570,34.844257,
29,2808500,4783,9570,34.763527,
30,2877200,4670,9570,34.680073,
31,2649000,4639,9570,34.593895,
32,3135800,4573,9570,34.504993,
33,2685200,4491,9570,34.413364,
34,2897200,5031,9570,34.31901,
35,3234100,4806,9570,34.221935,
36,2759100,4646,9570,34.12213,
37,3276700,4535,9570,34.019604,
38,2653200,4502,9570,33.91435,
39,2986900,4984,9570,33.806374,
40,3191500,5009,9570,33.69567,
41,2917200,4852,9570,33.58224,
42,3166000,4753,9570,33.466087,
43,2832800,4728,9570,33.34721,
44,3383800,4996,9570,33.22561,
45,2945300,5112,9570,33.10128,
46,3195900,4923,9570,32.974224,
47,2778500,4760,9570,32.844448,
48,2986200,5001,9570,32.711945,
49,3003900,5139,9570,32.576717,
50,3018100,4996,9570,32.438763,
51,3165500,4871,9570,32.298084,
52,2872500,5093,9570,32.154682,
53,3212100,4972,9570,32.008553,
54,2745400,4792,9570,31.8597,
55,3156200,4796,9570,31.70812,
56,2963200,4911,9570,31.553818,
57,3133800,4780,9570,31.39679,
58,4282700,4734,9570,31.237036,
59,4000200,4748,9570,31.074558,
60,3914200,4704,9570,30.909355,
61,4542200,4678,9570,30.741426,
62,3114900,4666,9570,30.570772,
63,3045000,4609,9570,30.397394,
64,3101100,4623,9570,30.22129,
65,3009700,4625,9570,30.042463,
66,2987200,4579,9570,29.860909,
67,2756000,4610,9570,29.67663,
68,2794400,4550,9570,29.489626,
69,2550400,4524,9570,29.299898,
70,3052000,4535,9570,29.107445,
71,2698400,4528,9570,28.912266,
72,2758100,4533,9570,28.714361,
73,3312200,4529,9570,28.745474,
74,2696300,4530,9570,28.77165,
75,3329500,4529,9570,28.79591,
76,2711700,4524,9570,28.816788,
77,2824500,4517,9570,28.83433,
78,2888500,4520,9570,28.848581,
79,2652800,4514,9568,28.862343,
80,2929800,4519,9568,28.873486,
81,2516200,4518,9568,28.88324,
82,2682600,4518,9568,28.892859,
83,2741000,4516,9568,28.90075,
84,2648700,4517,9567,28.907646,
85,2807800,4508,9565,28.914537,
86,2629200,4519,9565,28.920815,
87,2627700,4516,9565,28.92588,
88,2598900,4518,9565,28.930962,
89,2503100,4519,9565,28.935617,
90,2796200,4514,9565,28.939785,
91,2652400,4516,9565,28.943506,
92,2622400,4512,9565,28.946703,
93,2965900,4508,9565,28.949604,
94,2537800,4522,9565,28.952375,
95,2811100,4519,9565,28.954878,
96,2572400,4521,9565,28.957104,
97,2645000,4517,9565,28.9592,
98,2768400,4515,9565,28.960983,
99,2560000,4520,9565,28.96278,
100,2607800,4521,9564,28.964386,
101,2841700,4521,9564,28.965906,
102,2518700,4521,9563,28.967402,
103,2569700,4520,9563,28.968788,
104,2489600,4522,9563,28.969984,
105,2560700,4518,9563,28.971111,
106,2544000,4521,9563,28.97221,
107,2457300,4523,9563,28.97325,
108,2522800,4515,9562,28.974203,
109,2513600,4517,9562,28.975157,
110,2463000,4516,9562,28.976004,
111,2595600,4515,9562,28.976778,
112,2760900,4519,9562,28.977486,
113,2570400,4520,9562,28.978231,
114,3140700,4520,9562,28.97893,
115,2494600,4519,9561,28.979557,
116,2623900,4526,9561,28.980162,
117,2554000,4519,9561,28.980728,
118,2507100,4521,9561,28.981266,
119,2722000,4517,9561,28.981787,
120,2509300,4523,9561,28.982262,
121,2551100,4523,9561,28.98269,
122,2569100,4521,9561,28.983118,
123,2451900,4522,9561,28.98351,
124,2480800,4518,9561,28.98387,
125,2706000,4521,9561,28.984217,
126,2474500,4521,9561,28.984558,
127,2746000,4517,9561,28.98485,
128,2571700,4522,9561,28.98514,
129,2510300,4521,9561,28.98541,
130,2541600,4519,9560,28.98568,
131,2461200,4526,9559,28.98593,
132,2581700,4524,9559,28.986149,
133,2565000,4516,9559,28.98636,
134,2498600,4520,9559,28.98657,
135,2560900,4522,9559,28.986776,
136,2495200,4519,9559,28.986969,
137,2451900,4521,9559,28.987137,
138,2771000,4521,9559,28.9873,
139,2569500,4521,9559,28.987465,
140,2556200,4518,9559,28.987623,
141,2982800,4523,9559,28.987766,
142,2464200,4524,9559,28.987892,
143,2618500,4523,9559,28.98802,
144,2513500,4520,9559,28.988153,
145,2458800,4519,9559,28.98826,
146,2747400,4520,9559,28.988363,
147,2604400,4522,9559,28.988459,
148,2537600,4517,9559,28.988543,
149,2657100,4519,9559,28.988642,
150,2454900,4522,9559,28.98874,
151,2527700,4520,9559,28.98882,
152,2582700,4523,9559,28.988888,
153,2470100,4523,9559,28.988964,
154,2648100,4524,9559,28.989048,
155,2508200,4521,9559,28.989117,
156,2505800,4520,9559,28.989172,
157,2589600,4519,9559,28.989218,
158,2463900,4519,9559,28.98927,
159,2705900,4518,9559,28.98933,
160,2693000,4519,9559,28.989386,
161,2493800,4521,9559,28.989433,
162,2572100,4518,9559,28.989477,
163,2501700,4520,9559,28.989515,
164,2445500,4520,9559,28.989552,
165,2722800,4519,9559,28.989582,
166,2503900,4516,9559,28.989613,
167,2553100,4518,9559,28.989645,
168,2533300,4518,9559,28.989676,
169,2470600,4514,9559,28.9897,
170,2519100,4515,9559,28.989725,
171,2540200,4512,9559,28.989754,
172,2484000,4513,9559,28.98977,
173,3477100,4515,9559,28.989801,
174,3009500,4515,9559,28.989834,
175,2671800,4515,9559,28.989851,
176,2566800,4514,9559,28.989864,
177,2473400,4516,9559,28.989883,
178,2821800,4515,9559,28.989906,
179,3106800,4515,9559,28.989923,
180,3153800,4515,9559,28.98993,
181,3499200,4517,9559,28.98993,
182,3168200,4517,9559,28.98994,
183,3389400,4516,9559,28.989958,
184,3413300,4516,9559,28.98997,
185,3554800,4514,9559,28.989977,
186,3456800,4515,9559,28.98999,
187,3354100,4516,9559,28.990005,
188,3433600,4519,9559,28.990013,
189,3559300,4519,9559,28.990015,
190,3542800,4519,9559,28.990025,
191,4270800,4520,9559,28.99004,
192,4269600,4522,9559,28.990047,
193,3963600,4521,9559,28.990053,
194,4658500,4522,9559,28.990055,
195,3916300,4521,9559,28.99006,
196,3870100,4522,9559,28.99006,
197,3430900,4523,9559,28.990076,
198,3717300,4523,9559,28.990084,
199,5053800,4524,9559,28.990086,
200,3578300,4522,9559,28.990088,
201,3588200,4522,9559,28.990097,
202,3618200,4521,9559,28.99011,
203,3446700,4525,9559,28.990112,
204,3168500,4526,9559,28.990108,
205,3052200,4524,9559,28.990114,
206,2862000,4523,9559,28.99012,
207,3481600,4523,9559,28.990118,
208,3267900,4523,9559,28.990112,
209,3667100,4522,9559,28.990116,
210,3075300,4522,9559,28.990122,
211,3399500,4523,9559,28.990128,
212,3285500,4523,9559,28.990124,
213,3225900,4523,9559,28.99013,
214,3436100,4524,9559,28.990137,
215,3003200,4524,9559,28.990137,
216,3183200,4526,9559,28.990137,
217,2992900,4524,9559,28.990143,
218,2989400,4525,9559,28.990149,
219,2849700,4524,9559,28.990149,
220,3237200,4523,9559,28.990152,
221,2895200,4522,9559,28.99016,
222,3809900,4522,9559,28.990164,
223,3592400,4520,9559,28.990162,
224,4065600,4521,9559,28.99016,
225,3391800,4522,9559,28.990166,
226,4136700,4521,9559,28.990166,
227,3286500,4522,9559,28.990166,
228,3628300,4521,9559,28.990168,
229,3615900,4519,9559,28.990175,
230,3637600,4521,9559,28.990171,
231,3076600,4522,9559,28.990166,
232,3782900,4523,9559,28.990173,
233,3086600,4527,9559,28.990175,
234,4375100,4523,9559,28.990168,
235,3311700,4525,9559,28.99017,
236,4473600,4525,9559,28.990175,
237,3661000,4526,9559,28.990175,
238,3797600,4525,9559,28.990175,
239,3997800,4524,9559,28.990175,
240,3642700,4524,9559,28.990175,
241,4935800,4521,9559,28.990175,
242,3674400,4520,9559,28.990175,
243,4676300,4520,9559,28.990175,
244,3576300,4521,9559,28.990171,
245,3576100,4520,9559,28.990164,
246,3123800,4521,9559,28.990164,
247,3175600,4521,9559,28.990164,
248,3314700,4520,9559,28.990164,
249,3263300,4522,9559,28.990164,
250,2922400,4521,9559,28.990164,
251,3036600,4522,9559,28.990164,
252,2906000,4523,9559,28.990164,
253,3242300,4523,9559,28.99017,
254,2860500,4523,9559,28.99017,
255,3064100,4521,9559,28.99017,
256,2767100,4519,9559,28.99017,
257,2880700,4519,9559,28.990171,
258,2702100,4520,9559,28.990177,
259,2515900,4520,9559,28.990177,
260,2654200,4520,9559,28.990177,
261,2531700,4519,9559,28.99018,
262,2555200,4518,9559,28.990187,
263,2649600,4518,9559,28.990187,
264,2486700,4518,9559,28.990187,
265,2573300,4518,9559,28.990187,
266,2627600,4518,9559,28.990187,
267,2516900,4518,9559,28.990187,
268,2604100,4518,9559,28.990187,
269,2494800,4518,9559,28.990187,
270,2473200,4518,9559,28.990187,
271,2964500,4518,9559,28.990187,
272,2523900,4518,9559,28.990187,
273,2573900,4518,9559,28.990187,
274,2575100,4518,9559,28.990187,
275,2505100,4518,9559,28.990187,
276,2539000,4519,9559,28.990183,
277,2559000,4518,9559,28.990183,
278,2464800,4518,9559,28.990183,
279,2716800,4519,9559,28.990183,
280,2517500,4518,9559,28.990183,
281,2630800,4520,9559,28.990183,
282,2763200,4520,9559,28.990185,
283,2621000,4518,9559,28.990185,
284,2895200,4518,9559,28.990185,
285,2601800,4519,9559,28.990185,
286,2641800,4520,9559,28.990185,
287,2758000,4519,9559,28.990185,
288,2549700,4520,9559,28.990185,
289,2783300,4518,9559,28.990185,
290,2642500,4517,9559,28.99019,
291,2529800,4517,9559,28.99019,
292,2888600,4519,9559,28.99019,
293,2647100,4517,9559,28.990187,
294,2764200,4517,9559,28.990185,
295,2648200,4516,9559,28.990192,
296,2833400,4516,9559,28.990198,
297,2810100,4515,9559,28.990198,
298,2480400,4515,9559,28.990196,
299,2551300,4515,9559,28.990194,
300,2558300,4515,9559,28.990194,
301,2495600,4515,9559,28.990194,
302,2559600,4515,9559,28.990194,
303,2560700,4516,9559,28.990194,
304,2489400,4515,9559,28.990194,
305,2575100,4517,9559,28.990194,
306,2516400,4517,9559,28.990194,
307,2467700,4517,9559,28.990194,
308,2574300,4516,9559,28.990194,
309,2473000,4516,9559,28.990194,
310,2545300,4516,9559,28.990194,
311,2543700,4516,9559,28.990194,
312,2496700,4515,9559,28.990194,
313,2570100,4515,9559,28.990194,
314,2563200,4515,9559,28.990194,
315,2472600,4517,9559,28.990194,
316,2582200,4515,9559,28.990194,
317,2495600,4517,9559,28.990194,
318,2460000,4516,9559,28.990192,
319,2563900,4516,9559,28.99019,
320,2487200,4515,9559,28.990196,
321,2600400,4515,9559,28.990198,
322,2816200,4517,9559,28.990198,
323,2544700,4517,9559,28.990198,
324,2762100,4517,9559,28.990198,
325,2569600,4516,9559,28.990194,
326,2472500,4516,9559,28.990189,
327,2625000,4516,9559,28.990189,
328,2512100,4515,9559,28.990189,
329,2604700,4514,9559,28.990189,
330,2560000,4515,9559,28.990189,
331,2486200,4513,9559,28.990189,
332,2530700,4513,9559,28.990189,
333,2588000,4512,9559,28.990185,
334,2495100,4513,9559,28.990185,
335,2659600,4514,9559,28.990185,
336,2493700,4513,9559,28.990185,
337,2498700,4516,9559,28.990185,
338,2664300,4517,9559,28.990185,
339,2502300,4518,9559,28.990185,
340,2609400,4517,9559,28.990185,
341,2584000,4517,9559,28.990185,
342,2780400,4517,9559,28.990185,
343,3130300,4517,9559,28.990185,
344,2511200,4517,9559,28.990185,
345,2597600,4517,9559,28.990189,
346,2550000,4517,9559,28.990189,
347,2468300,4517,9559,28.990189,
348,2564700,4517,9559,28.990189,
349,2590500,4516,9559,28.990189,
350,2469800,4515,9559,28.990189,
351,2688200,4516,9559,28.990189,
352,2492900,4517,9559,28.990189,
353,2562300,4518,9559,28.990189,
354,2556400,4518,9559,28.990189,
355,2471100,4519,9559,28.990189,
356,2591500,4518,9559,28.990189,
357,2566300,4519,9559,28.990189,
358,2488000,4520,9559,28.990189,
359,2510800,4521,9559,28.990189,
360,2504800,4521,9559,28.990189,
361,2476500,4521,9559,28.990189,
362,2692300,4521,9559,28.990189,
363,2498000,4521,9559,28.990189,
364,2542200,4521,9559,28.990189,
365,2721200,4521,9559,28.990189,
366,2611500,4521,9559,28.990189,
367,2555800,4521,9559,28.990189,
368,2529600,4521,9559,28.990187,
369,2487400,4520,9559,28.990185,
370,2571300,4520,9559,28.990189,
371,2489300,4520,9559,28.990189,
372,2447600,4520,9559,28.990189,
373,3019200,4520,9559,28.990189,
374,2599800,4520,9559,28.990189,
375,2663300,4520,9559,28.990189,
376,3060700,4520,9559,28.990189,
377,2523900,4520,9559,28.990189,
378,3209800,4520,9559,28.990189,
379,2644000,4520,9559,28.990189,
380,2899300,4521,9559,28.990189,
381,2559600,4521,9559,28.990189,
382,2465800,4521,9559,28.990189,
383,2612900,4521,9559,28.990189,
384,2531000,4521,9559,28.990189,
385,2760000,4521,9559,28.990189,
386,2585700,4520,9559,28.990189,
387,2473400,4520,9559,28.990189,
388,2484600,4520,9559,28.990189,
389,2555500,4520,9559,28.990189,
390,2474400,4521,9559,28.990189,
391,2828200,4521,9559,28.990189,
392,2525300,4521,9559,28.990189,
393,2531300,4521,9559,28.990189,
394,2538800,4521,9559,28.990189,
395,2474500,4520,9559,28.990189,
396,2553800,4520,9559,28.990189,
397,2565000,4520,9559,28.990189,
398,2464700,4520,9559,28.990187,
399,2784900,4519,9559,28.990181,
400,2777800,4520,9559,28.990177,
401,2614700,4520,9559,28.990183,
402,2979900,4520,9559,28.990183,
403,2532500,4520,9559,28.990175,
404,2500500,4520,9559,28.990175,
405,2526900,4520,9559,28.990175,
406,2483500,4520,9559,28.99018,
407,2698000,4519,9559,28.99018,
408,2562900,4519,9559,28.99018,
409,2623500,4518,9559,28.99018,
410,2723700,4519,9559,28.99018,
411,2555500,4519,9559,28.99018,
412,2704700,4519,9559,28.99018,
413,2888700,4519,9559,28.99018,
414,2583100,4519,9559,28.99018,
415,2711300,4519,9559,28.99018,
416,2902200,4519,9559,28.99018,
417,2552700,4519,9559,28.990177,
418,3068900,4519,9559,28.990175,
419,2483200,4519,9559,28.990168,
420,3020500,4519,9559,28.990166,
421,2519800,4520,9559,28.990166,
422,2552000,4519,9559,28.990166,
423,2760300,4519,9559,28.990166,
424,2456200,4519,9559,28.990166,
425,2609900,4518,9559,28.990166,
426,2773600,4520,9559,28.990166,
427,2518300,4519,9559,28.990158,
428,2678100,4519,9559,28.990158,
429,2487800,4519,9559,28.990156,
430,2611700,4518,9559,28.990152,
431,2567000,4518,9559,28.990156,
432,2471400,4518,9559,28.990158,
433,2592400,4518,9559,28.990156,
434,2528200,4518,9559,28.990156,
435,2446300,4519,9559,28.990156,
436,2667300,4519,9559,28.990156,
437,2766900,4519,9559,28.990156,
438,2564700,4519,9559,28.990156,
439,2777600,4520,9559,28.990156,
440,2491100,4521,9559,28.990154,
441,2558700,4521,9559,28.990154,
442,2498800,4522,9559,28.990156,
443,2456700,4523,9559,28.990156,
444,2756500,4524,9559,28.990156,
445,2514300,4523,9559,28.990156,
446,2535900,4522,9559,28.990156,
447,2523500,4523,9559,28.990156,
448,2479000,4523,9559,28.990156,
449,2551300,4522,9559,28.990156,
450,2649600,4522,9559,28.990156,
451,2476100,4523,9559,28.990152,
452,2713400,4523,9559,28.99015,
453,2519800,4522,9559,28.990156,
454,2527400,4522,9559,28.990156,
455,2659400,4521,9559,28.990156,
456,2488800,4522,9559,28.990152,
457,2596500,4522,9559,28.990152,
458,2533000,4521,9559,28.990152,
459,2459500,4523,9559,28.990152,
460,2811100,4522,9559,28.990152,
461,2889900,4521,9559,28.990152,
462,2566300,4522,9559,28.990152,
463,2575500,4522,9559,28.990152,
464,2778900,4521,9559,28.990152,
465,2555500,4523,9559,28.990152,
466,2701700,4523,9559,28.990147,
467,2458700,4523,9559,28.990145,
468,2684900,4523,9559,28.990145,
469,2480900,4523,9559,28.990139,
470,2567900,4522,9559,28.990139,
471,2578500,4521,9559,28.990147,
472,2488800,4521,9559,28.990149,
473,2547500,4520,9559,28.990149,
474,2628600,4520,9559,28.990149,
475,2512100,4519,9559,28.990149,
476,2598600,4519,9559,28.990149,
477,2545600,4519,9559,28.990149,
478,2446100,4519,9559,28.990145,
479,2632900,4518,9559,28.99014,
480,2509500,4517,9559,28.99014,
481,2613100,4516,9559,28.99014,
482,2556800,4516,9559,28.99014,
483,2497400,4516,9559,28.99014,
484,2504600,4515,9559,28.99014,
485,2515800,4516,9559,28.99014,
486,2462100,4514,9559,28.99014,
487,2824300,4514,9559,28.990133,
488,2511800,4514,9559,28.990128,
489,2628600,4513,9559,28.990131,
490,3095600,4513,9559,28.990131,
491,2518600,4514,9559,28.990131,
492,2682100,4514,9559,28.990131,
493,2561700,4514,9559,28.990131,
494,2482400,4513,9559,28.99013,
495,2942900,4514,9559,28.990126,
496,3004300,4514,9559,28.990126,
497,2566100,4515,9559,28.990126,
498,2523800,4514,9559,28.990126,
499,2469400,4515,9559,28.990126,
