step,wall_ns,manifolds,pairs,top_y,awake
0,6851600,4495,9570,35.998295,
1,5759100,4196,9570,35.993866,
2,5431300,4142,9570,35.986713,
3,5523300,4111,9570,35.976837,
4,5399700,4100,9570,35.964233,
5,5870200,4087,9570,35.948902,
6,5379600,4079,9570,35.93085,
7,5709600,4073,9570,35.910072,
8,6055100,4066,9570,35.88657,
9,5375600,4061,9570,35.86034,
10,5664800,4053,9570,35.831387,
11,5484300,4054,9570,35.79971,
12,5445800,4056,9570,35.765305,
13,5616900,4055,9570,35.728176,
14,5402300,4060,9570,35.688324,
15,5312400,4057,9570,35.64575,
16,5724700,4055,9570,35.600445,
17,5597300,4051,9570,35.552414,
18,5299900,4049,9570,35.501663,
19,5468800,4050,9570,35.448185,
20,6801700,4829,9570,35.391983,
21,6482400,4715,9570,35.333054,
22,6189700,4565,9570,35.2714,
23,6283600,4496,9570,35.207024,
24,6101700,4419,9570,35.13992,
25,6169900,4390,9570,35.07009,
26,5921100,4353,9570,34.997536,
27,5886600,4336,9570,34.92226,
28,6701500,4982,9570,34.844257,
29,6245600,4783,9570,34.763527,
30,6328800,4670,9570,34.680073,
31,6283300,4639,9570,34.593895,
32,5923700,4573,9570,34.504993,
33,5960700,4491,9570,34.413364,
34,6644200,5031,9570,34.31901,
35,6157200,4806,9570,34.221935,
36,6356900,4646,9570,34.12213,
37,6616000,4535,9570,34.019604,
38,6120000,4502,9570,33.91435,
39,6481300,4984,9570,33.806374,
40,6765400,5009,9570,33.69567,
41,6571500,4852,9570,33.58224,
42,6437000,4753,9570,33.466087,
43,6336700,4728,9570,33.34721,
44,6350300,4996,9570,33.22561,
45,6558000,5112,9570,33.10128,
46,6382500,4923,9570,32.974224,
47,6210100,4760,9570,32.844448,
48,6493400,5001,9570,32.711945,
49,6704300,5139,9570,32.576717,
50,6315400,4996,9570,32.438763,
51,6537100,4871,9570,32.298084,
52,7635000,5093,9570,32.154682,
53,6498400,4972,9570,32.008553,
54,6682000,4792,9570,31.8597,
55,6391600,4796,9570,31.70812,
56,6310700,4911,9570,31.553818,
57,6467600,4780,9570,31.39679,
58,6568300,4734,9570,31.237036,
59,6618900,4748,9570,31.074558,
60,7103100,4704,9570,30.909355,
61,6120900,4678,9570,30.741426,
62,6064800,4666,9570,30.570772,
63,6120300,4609,9570,30.397394,
64,6157500,4623,9570,30.22129,
65,6177800,4625,9570,30.042463,
66,6207500,4579,9570,29.860909,
67,6330700,4610,9570,29.67663,
68,6210800,4550,9570,29.489626,
69,6263200,4524,9570,29.299898,
70,6461700,4535,9570,29.107445,
71,6227800,4528,9570,28.912266,
72,5980500,4533,9570,28.714361,
73,6161000,4529,9570,28.745474,
74,6084000,4530,9570,28.77165,
75,5877300,4529,9570,28.79591,
76,5965700,4524,9570,28.816788,
77,5983000,4517,9570,28.83433,
78,6405600,4520,9570,28.848581,
79,6334400,4514,9568,28.862343,
80,6227000,4519,9568,28.873486,
81,6247400,4518,9568,28.88324,
82,6684800,4518,9568,28.892859,
83,6166300,4516,9568,28.90075,
84,6822400,4517,9567,28.907646,
85,6385100,4508,9565,28.914537,
86,5962300,4519,9565,28.920815,
87,6031100,4516,9565,28.92588,
88,6198200,4518,9565,28.930962,
89,6877500,4519,9565,28.935617,
90,6566400,4514,9565,28.939785,
91,6581000,4516,9565,28.943506,
92,5992500,4512,9565,28.946703,
93,6038900,4508,9565,28.949604,
94,6067000,4522,9565,28.952375,
95,6018400,4519,9565,28.954878,
96,5952000,4521,9565,28.957104,
97,5990500,4517,9565,28.9592,
98,6210800,4515,9565,28.960983,
99,6623100,4520,9565,28.96278,
100,6439400,4521,9564,28.964386,
101,6387800,4521,9564,28.965906,
102,6066700,4521,9563,28.967402,
103,6076100,4520,9563,28.968788,
104,6013000,4522,9563,28.969984,
105,6046800,4518,9563,28.971111,
106,6006800,4521,9563,28.97221,
107,5949700,4523,9563,28.97325,
108,6439000,4515,9562,28.974203,
109,6052200,4517,9562,28.975157,
110,6118800,4516,9562,28.976004,
111,6078400,4515,9562,28.976778,
112,6139300,4519,9562,28.977486,
113,6007000,4520,9562,28.978231,
114,5918900,4520,9562,28.97893,
115,6301700,4519,9561,28.979557,
116,6443200,4526,9561,28.980162,
117,6031100,4519,9561,28.980728,
118,6122100,4521,9561,28.981266,
119,6223700,4517,9561,28.981787,
120,6456800,4523,9561,28.982262,
121,6033300,4523,9561,28.98269,
122,5982300,4521,9561,28.983118,
123,6016500,4522,9561,28.98351,
124,5918700,4518,9561,28.98387,
125,6043200,4521,9561,28.984217,
126,5939200,4521,9561,28.984558,
127,6052500,4517,9561,28.98485,
128,5984500,4522,9561,28.98514,
129,5958400,4521,9561,28.98541,
130,5931500,4519,9560,28.98568,
131,6105500,4526,9559,28.98593,
132,6165600,4524,9559,28.986149,
133,6273000,4516,9559,28.98636,
134,6286300,4520,9559,28.98657,
135,6010800,4522,9559,28.986776,
136,6151200,4519,9559,28.986969,
137,5968900,4521,9559,28.987137,
138,5974000,4521,9559,28.9873,
139,6218800,4521,9559,28.987465,
140,6370800,4518,9559,28.987623,
141,7126400,4523,9559,28.987766,
142,6401400,4524,9559,28.987892,
143,6243400,4523,9559,28.98802,
144,5932400,4520,9559,28.988153,
145,6058900,4519,9559,28.98826,
146,6195300,4520,9559,28.988363,
147,6356300,4522,9559,28.988459,
148,6022200,4517,9559,28.988543,
149,6052600,4519,9559,28.988642,
150,6059200,4522,9559,28.98874,
151,6066700,4520,9559,28.98882,
152,5943100,4523,9559,28.988888,
153,6033500,4523,9559,28.988964,
154,6132900,4524,9559,28.989048,
155,6139300,4521,9559,28.989117,
156,5924200,4520,9559,28.989172,
157,5915000,4519,9559,28.989218,
158,5929800,4519,9559,28.98927,
159,6171800,4518,9559,28.98933,
160,6073200,4519,9559,28.989386,
161,6127100,4521,9559,28.989433,
162,6239600,4518,9559,28.989477,
163,6164800,4520,9559,28.989515,
164,5909400,4520,9559,28.989552,
165,6276000,4519,9559,28.989582,
166,6383300,4516,9559,28.989613,
167,6674900,4518,9559,28.989645,
168,6774300,4518,9559,28.989676,
169,6826000,4514,9559,28.9897,
170,6941700,4515,9559,28.989725,
171,6877200,4512,9559,28.989754,
172,6550200,4513,9559,28.98977,
173,6099300,4515,9559,28.989801,
174,6084100,4515,9559,28.989834,
175,6100500,4515,9559,28.989851,
176,6071600,4514,9559,28.989864,
177,6008500,4516,9559,28.989883,
178,5919900,4515,9559,28.989906,
179,5949200,4515,9559,28.989923,
180,6164700,4515,9559,28.98993,
181,6105800,4517,9559,28.98993,
182,5974100,4517,9559,28.98994,
183,6055800,4516,9559,28.989958,
184,6238500,4516,9559,28.98997,
185,5985400,4514,9559,28.989977,
186,5980700,4515,9559,28.98999,
187,5882200,4516,9559,28.990005,
188,5924600,4519,9559,28.990013,
189,6052700,4519,9559,28.990015,
190,6177900,4519,9559,28.990025,
191,5976400,4520,9559,28.99004,
192,5986600,4522,9559,28.990047,
193,5877400,4521,9559,28.990053,
194,5883400,4522,9559,28.990055,
195,5997900,4521,9559,28.99006,
196,6056800,4522,9559,28.99006,
197,6138300,4523,9559,28.990076,
198,6323000,4523,9559,28.990084,
199,6326200,4524,9559,28.990086,
200,6185300,4522,9559,28.990088,
201,6447000,4522,9559,28.990097,
202,6021300,4521,9559,28.99011,
203,5872700,4525,9559,28.990112,
204,5910400,4526,9559,28.990108,
205,5937800,4524,9559,28.990114,
206,6001600,4523,9559,28.99012,
207,6048800,4523,9559,28.990118,
208,5988500,4523,9559,28.990112,
209,5906400,4522,9559,28.990116,
210,5900100,4522,9559,28.990122,
211,5953000,4523,9559,28.990128,
212,6350000,4523,9559,28.990124,
213,6088300,4523,9559,28.99013,
214,6140100,4524,9559,28.990137,
215,6111900,4524,9559,28.990137,
216,5930800,4526,9559,28.990137,
217,5903300,4524,9559,28.990143,
218,5917600,4525,9559,28.990149,
219,6287300,4524,9559,28.990149,
220,6163400,4523,9559,28.990152,
221,6054700,4522,9559,28.99016,
222,6035000,4522,9559,28.990164,
223,6169900,4520,9559,28.990162,
224,5960700,4521,9559,28.99016,
225,5961000,4522,9559,28.990166,
226,6211200,4521,9559,28.990166,
227,6318100,4522,9559,28.990166,
228,6400900,4521,9559,28.990168,
229,6245200,4519,9559,28.990175,
230,6312300,4521,9559,28.990171,
231,6280600,4522,9559,28.990166,
232,6323800,4523,9559,28.990173,
233,6341200,4527,9559,28.990175,
234,6279100,4523,9559,28.990168,
235,6278000,4525,9559,28.99017,
236,6169700,4525,9559,28.990175,
237,6015800,4526,9559,28.990175,
238,5948700,4525,9559,28.990175,
239,5984400,4524,9559,28.990175,
240,6062600,4524,9559,28.990175,
241,6127900,4521,9559,28.990175,
242,5907700,4520,9559,28.990175,
243,5962900,4520,9559,28.990175,
244,6465600,4521,9559,28.990171,
245,6619200,4520,9559,28.990164,
246,6685700,4521,9559,28.990164,
247,6364500,4521,9559,28.990164,
248,6451900,4520,9559,28.990164,
249,6017200,4522,9559,28.990164,
250,6022300,4521,9559,28.990164,
251,6264500,4522,9559,28.990164,
252,7009000,4523,9559,28.990164,
253,5962400,4523,9559,28.99017,
254,6234900,4523,9559,28.99017,
255,5907800,4521,9559,28.99017,
256,6402700,4519,9559,28.99017,
257,6565800,4519,9559,28.990171,
258,5922200,4520,9559,28.990177,
259,6120500,4520,9559,28.990177,
260,6081400,4520,9559,28.990177,
261,6001300,4519,9559,28.99018,
262,6419000,4518,9559,28.990187,
263,5877700,4518,9559,28.990187,
264,5894400,4518,9559,28.990187,
265,6025600,4518,9559,28.990187,
266,6224000,4518,9559,28.990187,
267,6420100,4518,9559,28.990187,
268,6133300,4518,9559,28.990187,
269,6071300,4518,9559,28.990187,
270,6097100,4518,9559,28.990187,
271,6217000,4518,9559,28.990187,
272,6012000,4518,9559,28.990187,
273,5988000,4518,9559,28.990187,
274,6015800,4518,9559,28.990187,
275,6093300,4518,9559,28.990187,
276,6029000,4519,9559,28.990183,
277,5994200,4518,9559,28.990183,
278,5936600,4518,9559,28.990183,
279,5907500,4519,9559,28.990183,
280,5931200,4518,9559,28.990183,
281,5923500,4520,9559,28.990183,
282,5907000,4520,9559,28.990185,
283,6028000,4518,9559,28.990185,
284,5966500,4518,9559,28.990185,
285,5931100,4519,9559,28.990185,
286,5996000,4520,9559,28.990185,
287,5913700,4519,9559,28.990185,
288,5976000,4520,9559,28.990185,
289,5956000,4518,9559,28.990185,
290,6047200,4517,9559,28.99019,
291,6325000,4517,9559,28.99019,
292,5889300,4519,9559,28.99019,
293,6100400,4517,9559,28.990187,
294,5835700,4517,9559,28.990185,
295,6092800,4516,9559,28.990192,
296,5890700,4516,9559,28.990198,
297,5973500,4515,9559,28.990198,
298,5961500,4515,9559,28.990196,
299,5940600,4515,9559,28.990194,
300,5868700,4515,9559,28.990194,
301,5887600,4515,9559,28.990194,
302,6130400,4515,9559,28.990194,
303,6190700,4516,9559,28.990194,
304,6016300,4515,9559,28.990194,
305,6135400,4517,9559,28.990194,
306,5941500,4517,9559,28.990194,
307,5858400,4517,9559,28.990194,
308,5830300,4516,9559,28.990194,
309,5853800,4516,9559,28.990194,
310,6228300,4516,9559,28.990194,
311,6034000,4516,9559,28.990194,
312,6426000,4515,9559,28.990194,
313,6995100,4515,9559,28.990194,
314,6356600,4515,9559,28.990194,
315,6016600,4517,9559,28.990194,
316,5856900,4515,9559,28.990194,
317,5850800,4517,9559,28.990194,
318,5991600,4516,9559,28.990192,
319,5959500,4516,9559,28.99019,
320,6075300,4515,9559,28.990196,
321,6187200,4515,9559,28.990198,
322,6141500,4517,9559,28.990198,
323,5997000,4517,9559,28.990198,
324,6132100,4517,9559,28.990198,
325,6156700,4516,9559,28.990194,
326,6551700,4516,9559,28.990189,
327,5973500,4516,9559,28.990189,
328,6399600,4515,9559,28.990189,
329,6100200,4514,9559,28.990189,
330,6131800,4515,9559,28.990189,
331,6116800,4513,9559,28.990189,
332,5866500,4513,9559,28.990189,
333,5946000,4512,9559,28.990185,
334,5902500,4513,9559,28.990185,
335,6096400,4514,9559,28.990185,
336,5915300,4513,9559,28.990185,
337,5971900,4516,9559,28.990185,
338,6239400,4517,9559,28.990185,
339,6132800,4518,9559,28.990185,
340,5872400,4517,9559,28.990185,
341,6318300,4517,9559,28.990185,
342,6332300,4517,9559,28.990185,
343,6154500,4517,9559,28.990185,
344,5900100,4517,9559,28.990185,
345,5999100,4517,9559,28.990189,
346,5952800,4517,9559,28.990189,
347,6059400,4517,9559,28.990189,
348,6581700,4517,9559,28.990189,
349,6229100,4516,9559,28.990189,
350,5867800,4515,9559,28.990189,
351,5814900,4516,9559,28.990189,
352,5881000,4517,9559,28.990189,
353,6022100,4518,9559,28.990189,
354,6092200,4518,9559,28.990189,
355,6093800,4519,9559,28.990189,
356,6024100,4518,9559,28.990189,
357,5920700,4519,9559,28.990189,
358,6073700,4520,9559,28.990189,
359,6337900,4521,9559,28.990189,
360,5931300,4521,9559,28.990189,
361,5910900,4521,9559,28.990189,
362,5941400,4521,9559,28.990189,
363,5937000,4521,9559,28.990189,
364,6487200,4521,9559,28.990189,
365,6715200,4521,9559,28.990189,
366,6117000,4521,9559,28.990189,
367,5855900,4521,9559,28.990189,
368,5886100,4521,9559,28.990187,
369,5942900,4520,9559,28.990185,
370,6044600,4520,9559,28.990189,
371,5989300,4520,9559,28.990189,
372,5956000,4520,9559,28.990189,
373,5847900,4520,9559,28.990189,
374,5888700,4520,9559,28.990189,
375,5861700,4520,9559,28.990189,
376,5916700,4520,9559,28.990189,
377,5980700,4520,9559,28.990189,
378,6062500,4520,9559,28.990189,
379,5827700,4520,9559,28.990189,
380,5903900,4521,9559,28.990189,
381,5826500,4521,9559,28.990189,
382,5836300,4521,9559,28.990189,
383,5992900,4521,9559,28.990189,
384,6101000,4521,9559,28.990189,
385,5919200,4521,9559,28.990189,
386,5875900,4520,9559,28.990189,
387,5795500,4520,9559,28.990189,
388,5985200,4520,9559,28.990189,
389,5868400,4520,9559,28.990189,
390,6031000,4521,9559,28.990189,
391,6013400,4521,9559,28.990189,
392,5970200,4521,9559,28.990189,
393,5845200,4521,9559,28.990189,
394,5831200,4521,9559,28.990189,
395,6322800,4520,9559,28.990189,
396,6137700,4520,9559,28.990189,
397,6024100,4520,9559,28.990189,
398,5985300,4520,9559,28.990187,
399,6053700,4519,9559,28.990181,
400,6161800,4520,9559,28.990177,
401,6065200,4520,9559,28.990183,
402,6328800,4520,9559,28.990183,
403,6643400,4520,9559,28.990175,
404,6518000,4520,9559,28.990175,
405,5985200,4520,9559,28.990175,
406,6171100,4520,9559,28.99018,
407,6321000,4519,9559,28.99018,
408,6261000,4519,9559,28.99018,
409,6663800,4518,9559,28.99018,
410,6754800,4519,9559,28.99018,
411,6000100,4519,9559,28.99018,
412,6642900,4519,9559,28.99018,
413,6048300,4519,9559,28.99018,
414,6641400,4519,9559,28.99018,
415,6210200,4519,9559,28.99018,
416,6434300,4519,9559,28.99018,
417,6625200,4519,9559,28.990177,
418,6196400,4519,9559,28.990175,
