step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,13242200,8555,9570,28.99835,1240,0,16,16,192,96089,18185,10752,13146111,16,239,822,1,126486,1,371,1,2288457,1,3239539,1,261670,1,7214059,1,14709,1,1104781,1,10731,4,1038893,4,69215,4,1652859,4,3211895,8,4854002,192,0,0,6142,1,81689,1,2926,1,7925,1,2515,2,6302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,0,0,0,0,0,0
1,10039900,5761,9570,28.995926,1240,0,16,12,144,59143,1693,5601,9980757,16,239,341,1,44647,1,160,1,2181047,1,2955656,1,157106,1,4629916,1,11883,1,648884,1,8096,4,602443,4,65267,4,1086957,4,2157301,8,3141157,144,97500,48,3858,1,42302,1,2745,1,4058,1,1303,2,5010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1,0,0,0,0,0,0
2,11048700,6723,9570,28.994566,1240,0,16,14,168,53808,5190,5642,10994892,16,239,261,1,24919,1,130,1,1954025,1,3479296,1,183036,1,5341683,1,11542,1,682389,1,7845,4,723910,4,65437,4,1271927,4,2524556,8,3737207,168,53634,24,4429,1,42613,1,2725,1,4218,1,1343,2,5100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1,0,0,0,0,0,0
3,11190900,6695,9570,28.994541,1240,0,16,14,168,54773,1282,6793,11136127,16,239,301,1,25289,1,150,1,1958704,1,3594320,1,183277,1,5362363,1,11723,1,690364,1,8567,4,728719,4,65788,4,1281716,4,2518034,8,3756946,168,36010,24,4709,1,49607,1,2765,1,4198,1,1353,2,5260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1,0,0,0,0,0,0
4,11136100,6672,9570,28.994545,1240,0,16,14,168,58337,1283,4219,11077763,16,239,210,1,25189,1,40,1,1953765,1,3596504,1,184038,1,5305001,1,13015,1,649805,1,7715,4,714531,4,65457,4,1282668,4,2503205,8,3750313,168,31341,24,5030,1,60307,1,4298,1,3978,1,1343,2,5380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1,0,0,0,0,0,0
5,12170600,6758,9570,28.994184,1240,0,16,14,168,62661,2385,4589,12107939,16,239,281,1,26031,1,331,1,1962923,1,3740965,1,183437,1,6179504,1,14468,1,1141042,1,14027,4,749029,4,76810,4,1350921,4,2732862,8,4040789,168,38405,24,5250,1,65217,1,3136,1,4138,1,28956,2,5731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1,0,0,0,0,0,0
6,11812500,6793,9570,28.993921,1240,0,16,14,168,62588,1603,4178,11749912,16,239,261,1,25129,1,120,1,1958935,1,3830149,1,186533,1,5736381,1,12404,1,903710,1,9629,4,760601,4,68654,4,1297797,4,2605524,8,3858263,168,40880,24,5521,1,68844,1,3136,1,4389,1,1373,2,5601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1,0,0,0,0,0,0
7,11906500,6783,9570,28.993895,1240,0,16,14,168,65921,2284,5210,11840579,16,239,571,1,25850,1,130,1,1954296,1,3918170,1,186523,1,5741171,1,13867,1,906856,1,9178,4,743748,4,73673,4,1297417,4,2587589,8,3838836,168,40960,24,7525,1,93041,1,6533,1,4499,1,1353,2,7475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1,0,0,0,0,0,0
8,12156800,6772,9570,28.993822,1240,0,16,14,168,55864,2686,4119,12100936,16,239,381,1,26421,1,140,1,1999153,1,3928240,1,260187,1,5872977,1,13436,1,998965,1,9128,4,848733,4,66189,4,1287167,4,2557531,8,3799559,168,41020,24,4619,1,76579,1,7554,1,5771,1,2545,2,5511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1,0,0,0,0,0,0
9,11480200,6790,9570,28.993675,1240,0,16,14,168,44370,1483,4178,11435830,16,239,531,1,27854,1,90,1,1971449,1,3737268,1,183578,1,5503227,1,11833,1,779227,1,8026,4,740903,4,66239,4,1291966,4,2546158,8,3793167,168,40779,24,4719,1,51039,1,2845,1,3847,1,1343,2,5431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1,0,0,0,0,0,0
