step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,12480300,8555,9570,28.99835,1240,0,16,16,192,84259,18175,9499,12396041,16,239,1202,1,126765,1,351,1,2248817,1,3288056,1,266505,1,6452913,1,11432,1,1066351,1,9218,4,564361,4,69344,4,1586727,4,3052500,8,4629729,192,0,0,6723,1,59435,1,3397,1,7895,1,2585,2,6202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,0,0,0,0,0,0
1,9386500,5761,9570,28.995926,1240,0,16,12,144,67106,2284,13186,9319394,16,239,150,1,37112,1,150,1,1953536,1,2919243,1,157494,1,4240056,1,11653,1,570743,1,13636,4,379053,4,67500,4,1044759,4,2080632,8,3018314,144,93891,48,4819,1,63102,1,2866,1,3968,1,1383,2,5310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1,0,0,0,0,0,0
2,10982900,6723,9570,28.994566,1240,0,16,14,168,54065,7104,6433,10928835,16,239,371,1,26030,1,160,1,1964076,1,3718267,1,184106,1,5024482,1,11342,1,811058,1,7114,4,442205,4,65667,4,1224617,4,2397224,8,3562836,168,52572,24,5060,1,49526,1,2946,1,4809,1,1363,2,5791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1,0,0,0,0,0,0
3,10870900,6695,9570,28.994541,1240,0,16,14,168,63320,1463,6113,10807580,16,239,150,1,25449,1,160,1,2001569,1,3631279,1,182312,1,4955449,1,11212,1,766572,1,7855,4,443217,4,66358,4,1213826,4,2392665,8,3565421,168,34958,24,6352,1,43674,1,2715,1,3898,1,1373,2,5481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1,0,0,0,0,0,0
4,10739100,6672,9570,28.994545,1240,0,16,14,168,59307,1522,3788,10679793,16,239,281,1,24638,1,150,1,1954277,1,3670244,1,182673,1,4836108,1,11422,1,626832,1,7394,4,436714,4,65697,4,1216371,4,2413175,8,3595179,168,30579,24,5441,1,49556,1,2755,1,3918,1,1353,2,5380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1,0,0,0,0,0,0
5,10738300,6758,9570,28.994184,1240,0,16,14,168,40542,1914,4359,10697758,16,239,80,1,25499,1,261,1,1958395,1,3647400,1,183695,1,4870945,1,11482,1,635378,1,7274,4,443347,4,65677,4,1214127,4,2419156,8,3593786,168,35138,24,13636,1,56369,1,2795,1,4308,1,1413,2,5551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1,0,0,0,0,0,0
6,10742200,6793,9570,28.993921,1240,0,16,14,168,39502,1132,4138,10702698,16,239,0,1,25068,1,20,1,1961271,1,3646959,1,181621,1,4877097,1,10661,1,617904,1,7985,4,447265,4,66649,4,1232873,4,2435518,8,3625427,168,38825,24,5340,1,48153,1,2745,1,4499,1,1443,2,5591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1,0,0,0,0,0,0
7,10648100,6783,9570,28.993895,1240,0,16,14,168,39885,1072,4119,10608215,16,239,50,1,25119,1,40,1,1954458,1,3615869,1,183384,1,4818754,1,10540,1,601573,1,7274,4,445521,4,65747,4,1222172,4,2417563,8,3596592,168,39025,24,4799,1,38935,1,2685,1,3988,1,1924,2,5501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1,0,0,0,0,0,0
8,10733900,6772,9570,28.993822,1240,0,16,14,168,40861,1523,4238,10693039,16,239,30,1,24818,1,40,1,1962924,1,3608776,1,183264,1,4901564,1,11622,1,595902,1,19488,4,450811,4,67120,4,1244385,4,2433614,8,3634084,168,39677,24,5641,1,68603,1,2986,1,3908,1,1473,2,6112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1,0,0,0,0,0,0
9,11171000,6790,9570,28.993675,1240,0,16,14,168,45495,1242,4109,11125505,16,239,130,1,27002,1,271,1,1960309,1,3815205,1,186200,1,5122271,1,14117,1,813272,1,7545,4,452875,4,66198,4,1227162,4,2451258,8,3635016,168,39296,24,5180,1,81367,1,4909,1,3898,1,1523,2,5841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1,0,0,0,0,0,0
10,10959000,6786,9570,28.993578,1240,0,16,14,168,42870,1112,3959,10916130,16,239,110,1,26521,1,110,1,2113625,1,3595219,1,181631,1,4987901,1,11011,1,684283,1,8667,4,486070,4,72921,4,1227974,4,2432732,8,3613805,168,42943,24,5601,1,54275,1,3066,1,3817,1,1563,2,5821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,0,1,0,0,0,0,0,0
11,10741100,6806,9570,28.99352,1240,0,16,14,168,39815,1072,4059,10701285,16,239,200,1,25449,1,40,1,1964728,1,3618084,1,186420,1,4895433,1,10931,1,617704,1,10110,4,447936,4,65978,4,1226370,4,2457951,8,3637240,168,43023,24,4980,1,49005,1,2745,1,3918,1,1353,2,6312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,0,1,0,0,0,0,0,0
12,10770200,6806,9570,28.993486,1240,0,16,14,168,39568,1102,4118,10730632,16,239,40,1,25870,1,50,1,1963265,1,3628324,1,193534,1,4908698,1,10851,1,618626,1,8617,4,448497,4,66028,4,1238133,4,2461638,8,3651208,168,44446,24,4930,1,47251,1,2765,1,4188,1,1343,2,5581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,0,1,0,0,0,0,0,0
13,10772300,6780,9570,28.993422,1240,0,16,14,168,41718,1062,4098,10730582,16,239,371,1,25790,1,120,1,1963545,1,3631970,1,184426,1,4913528,1,10831,1,650698,1,8577,4,466081,4,65637,4,1223605,4,2430919,8,3607092,168,43334,24,4819,1,48243,1,2695,1,4188,1,1353,2,5651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,0,1,0,0,0,0,0,0
14,10896700,6784,9570,28.99337,1240,0,16,14,168,37911,2104,3799,10858789,16,239,40,1,25229,1,40,1,1964197,1,3671096,1,186961,1,5000095,1,11132,1,772684,1,7484,4,449098,4,65567,4,1225258,4,2417142,8,3594988,168,43614,24,5000,1,41681,1,2946,1,4108,1,1383,2,5641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22775,1,271,1,9570,1,6784,1,23046,1,9570,1,0,1,0,0,0,0,0,0
15,10713500,6765,9570,28.993326,1240,0,16,14,168,42604,1422,4038,10670896,16,239,10,1,26291,1,80,1,1920632,1,3611040,1,182873,1,4919108,1,10861,1,630188,1,13987,4,487452,4,66489,4,1233985,4,2417172,8,3606150,168,40969,24,4940,1,50357,1,2735,1,3867,1,1383,2,5130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22775,1,254,1,9570,1,6765,1,23029,1,9570,1,0,1,0,0,0,0,0,0
16,10684700,6760,9570,28.993288,1240,0,16,14,168,53831,1143,4168,10630869,16,239,240,1,25008,1,20,1,1923438,1,3606431,1,185018,1,4879201,1,11512,1,643504,1,7284,4,442385,4,65587,4,1220690,4,2412193,8,3589077,168,39637,24,9378,1,63132,1,3016,1,4008,1,1412,2,5471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22734,1,256,1,9570,1,6760,1,22990,1,9570,1,0,1,0,0,0,0,0,0
17,10565200,6761,9570,28.993235,1240,0,16,14,168,42260,1102,3969,10522940,16,239,291,1,33324,1,80,1,1917687,1,3568628,1,183254,1,4808545,1,11132,1,566465,1,7695,4,443046,4,66058,4,1223685,4,2436600,8,3616940,168,39376,24,5110,1,45077,1,2745,1,3958,1,1433,2,5571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22757,1,248,1,9570,1,6761,1,23005,1,9570,1,0,1,0,0,0,0,0,0
18,10637300,6734,9570,28.99321,1240,0,16,14,168,40858,1022,3948,10596442,16,239,80,1,25038,1,60,1,1926674,1,3583126,1,183505,1,4867228,1,10731,1,625018,1,7484,4,446303,4,65286,4,1217594,4,2430809,8,3604998,168,39456,24,5400,1,51720,1,4098,1,5260,1,1413,2,5821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22736,1,249,1,9570,1,6734,1,22985,1,9570,1,0,1,0,0,0,0,0,0
19,10601400,6754,9570,28.99318,1240,0,16,14,168,39464,1132,4280,10561936,16,239,140,1,25419,1,170,1,1927325,1,3590039,1,185338,1,4822692,1,10811,1,554983,1,7585,4,486981,4,66889,4,1221892,4,2415399,8,3593454,168,39556,24,5300,1,48273,1,2745,1,4038,1,1483,2,5992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22779,1,242,1,9570,1,6754,1,23021,1,9570,1,0,1,0,0,0,0,0,0
