step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,291200,16,31,30.998297,,0,2,0,0,60068,6483,2935,231132,16,67,812,1,31892,1,160,1,5912,1,32924,1,26452,1,130826,1,2154,1,50829,1,2956,4,4058,4,3577,4,22173,4,40088,8,0,0,59326,24,200,1,230,1,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
1,143200,16,31,30.993937,,0,2,0,0,38816,1012,601,104384,16,67,180,1,10010,1,140,1,972,1,18306,1,1673,1,72612,1,491,1,10050,1,321,4,2625,4,1423,4,19668,4,37183,8,0,0,56250,24,80,1,170,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
2,122600,16,31,30.987455,,0,2,0,0,30590,952,3958,92010,16,67,160,1,952,1,70,1,852,1,20600,1,1423,1,67412,1,541,1,2425,1,381,4,2565,4,1423,4,19398,4,39908,8,0,0,55348,24,110,1,170,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1,0,0,0,0,0,0
3,113300,16,31,30.97999,,0,2,0,0,28544,571,501,84756,16,67,50,1,852,1,40,1,761,1,18646,1,1002,1,63033,1,371,1,2114,1,291,4,2455,4,1262,4,19067,4,36922,8,0,0,55488,24,70,1,200,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
4,112500,16,31,30.972979,,0,2,0,0,27975,621,511,84525,16,67,40,1,942,1,40,1,721,1,18426,1,1002,1,62963,1,391,1,2144,1,271,4,2505,4,1232,4,19027,4,36832,8,0,0,55348,24,100,1,150,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
5,112000,16,31,30.966393,,0,2,0,0,27555,651,521,84445,16,67,60,1,772,1,50,1,581,1,19378,1,882,1,62362,1,361,1,2315,1,250,4,2475,4,1172,4,18847,4,36451,8,0,0,54777,24,50,1,90,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
6,108900,16,31,30.961182,,0,2,0,0,27371,581,451,81529,16,67,40,1,812,1,10,1,581,1,16342,1,982,1,62452,1,311,1,1944,1,311,4,2445,4,1162,4,18867,4,36872,8,0,0,55288,24,50,1,150,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
7,111800,16,31,30.955942,,0,2,0,0,27686,2094,491,84114,16,67,10,1,812,1,30,1,591,1,16142,1,772,1,65368,1,391,1,2004,1,321,4,2425,4,1222,4,19648,4,37413,8,0,0,56571,24,60,1,140,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
8,95100,16,31,30.950468,,0,2,0,0,25935,491,381,69165,16,67,20,1,761,1,30,1,551,1,16162,1,681,1,50669,1,291,1,1623,1,261,4,1994,4,972,4,15350,4,29788,8,0,0,44757,24,30,1,120,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
9,88200,16,31,30.945265,,0,2,0,0,24165,431,421,64035,16,67,60,1,651,1,20,1,471,1,11502,1,701,1,50358,1,271,1,1713,1,210,4,1964,4,982,4,15240,4,29628,8,0,0,44447,24,40,1,80,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
