step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9001000,4495,9570,35.998295,,0,9,9,108,94270,7004,3938,8906730,18,152,2034,1,134546,1,250,1,2169056,1,2577032,1,425030,1,144726,1,3440048,1,14008,1,577231,1,8797,4,290775,4,68545,4,828056,4,1632817,8,2456934,108,0,0,3687,1,20591,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,7962000,4196,9570,35.993866,,0,8,8,96,56749,1453,3698,7905251,18,140,140,1,35901,1,90,1,1954763,1,2384923,1,425060,1,89256,1,3001792,1,13326,1,360041,1,7385,4,269663,4,65650,4,761244,4,1512028,8,2269574,96,0,0,3096,1,18707,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7831400,4142,9570,35.986713,,0,8,8,96,56637,1353,6743,7774763,18,140,190,1,23967,1,90,1,1976355,1,2316467,1,425180,1,87914,1,2930972,1,13627,1,294111,1,7876,4,277919,4,65439,4,758529,4,1494383,8,2246169,96,0,0,3286,1,25540,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7815900,4111,9570,35.976837,,0,8,8,96,56868,2244,6063,7759032,18,140,150,1,24528,1,110,1,1960344,1,2329072,1,425220,1,87202,1,2919118,1,13286,1,278180,1,7846,4,265435,4,65550,4,756154,4,1493932,8,2244024,96,0,0,3156,1,26823,1,19799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7792200,4100,9570,35.964233,,0,8,8,96,52065,1513,5070,7740135,18,140,140,1,23627,1,100,1,1958019,1,2317960,1,425110,1,86561,1,2915351,1,13266,1,275585,1,7775,4,265535,4,65880,4,752908,4,1510385,8,2258222,96,0,0,3617,1,29308,1,2846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7829900,4087,9570,35.948902,,0,8,8,96,56018,1643,2114,7773882,18,140,200,1,24709,1,110,1,1959452,1,2330625,1,425120,1,108254,1,2911984,1,13427,1,320503,1,7395,4,263851,4,65690,4,746525,4,1481648,8,2226059,96,0,0,3056,1,19118,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7963400,4079,9570,35.93085,,0,8,8,96,88789,1603,2526,7874611,18,140,210,1,23547,1,391,1,1960214,1,2361747,1,425170,1,88014,1,3001010,1,14308,1,336174,1,8447,4,295975,4,66612,4,747748,4,1506367,8,2251589,96,0,0,3066,1,32324,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7910200,4073,9570,35.910072,,0,8,8,96,61610,1513,2135,7848590,18,140,521,1,25320,1,170,1,1960023,1,2417978,1,425220,1,91491,1,2914559,1,13306,1,323239,1,7244,4,263861,4,65710,4,745924,4,1482830,8,2226619,96,0,0,2976,1,18727,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7761300,4066,9570,35.88657,,0,8,8,96,41234,1002,1994,7720066,18,140,180,1,23837,1,100,1,1973710,1,2336578,1,424920,1,83285,1,2862837,1,14619,1,278861,1,7375,4,262519,4,65580,4,746144,4,1477249,8,2221399,96,0,0,2926,1,18707,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7734600,4061,9570,35.86034,,0,8,8,96,54053,992,2054,7680547,18,140,10,1,23937,1,140,1,1959552,1,2306518,1,425110,1,81952,1,2863098,1,20230,1,285604,1,7395,4,260715,4,65459,4,743359,4,1468041,8,2209346,96,0,0,2775,1,20851,1,7906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
10,8432400,4053,9570,35.831387,,0,8,8,96,42220,1433,3607,8390180,18,140,551,1,30610,1,190,1,2369362,1,2384121,1,425050,1,106751,1,3060017,1,13527,1,300574,1,20521,4,319010,4,65159,4,772947,4,1543580,8,2312920,96,0,0,3016,1,31202,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
