step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7935700,8555,9570,28.99835,,0,16,16,192,97147,8707,13536,7838553,16,233,771,1,125693,1,431,1,2051024,1,1402074,1,382088,1,3857685,1,18786,1,1111748,1,19137,4,1068395,4,93801,4,543340,4,943894,8,1473698,192,0,0,11121,1,54435,1,3106,1,0,0,0,0,0,0,826602,1,260924,1,127637,1,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1,0,0,0,0,0,0
1,6066100,5761,9570,28.995926,,0,16,12,144,39995,1994,6763,6026105,16,238,160,1,66338,1,511,1,2230490,1,705063,1,218622,1,2793017,1,11903,1,848249,1,14588,4,607464,4,80045,4,390334,4,805617,8,1069186,144,120002,48,3948,1,38114,1,2665,1,0,0,0,0,0,0,599158,1,69635,1,24758,1,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1,0,0,0,0,0,0
2,7101700,6723,9570,28.994566,,0,16,14,168,51205,5360,4960,7050495,16,233,140,1,35048,1,110,1,2250469,1,874119,1,522760,1,3353190,1,14658,1,1143309,1,16632,4,762994,4,81097,4,417677,4,863559,8,1203625,168,72650,24,4719,1,55177,1,2665,1,0,0,0,0,0,0,711705,1,89974,1,58233,1,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1,0,0,0,0,0,0
3,6642000,6695,9570,28.994541,,0,16,14,168,41253,2445,8166,6600747,16,238,160,1,25549,1,70,1,1990958,1,807953,1,359885,1,3404169,1,12003,1,1121387,1,19187,4,758356,4,82159,4,451282,4,857367,8,1250947,168,49536,24,9508,1,99703,1,2775,1,0,0,0,0,0,0,683121,1,81147,1,24678,1,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1,0,0,0,0,0,0
4,6877500,6672,9570,28.994545,,0,16,14,168,38484,4469,7374,6839016,16,238,240,1,41991,1,301,1,2380300,1,888547,1,202081,1,3314094,1,11462,1,952501,1,16151,4,759698,4,89583,4,455711,4,964374,8,1374626,168,38084,24,4659,1,64054,1,2896,1,0,0,0,0,0,0,802711,1,63352,1,13185,1,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1,0,0,0,0,0,0
5,6165200,6758,9570,28.994184,,0,16,14,168,36977,1262,4238,6128223,16,238,100,1,25970,1,611,1,2050152,1,857517,1,196279,1,2985640,1,11953,1,846065,1,15039,4,773555,4,85515,4,404391,4,778024,8,1125265,168,52912,24,8607,1,70336,1,2845,1,0,0,0,0,0,0,775819,1,60767,1,12053,1,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1,0,0,0,0,0,0
6,7230700,6793,9570,28.993921,,0,16,14,168,49140,2254,6533,7181560,16,238,130,1,25710,1,200,1,2061875,1,995204,1,338434,1,3743885,1,16121,1,989612,1,16903,4,1018719,4,103781,4,521899,4,936560,8,1390046,168,61880,24,8837,1,141834,1,3487,1,0,0,0,0,0,0,788214,1,185709,1,12214,1,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1,0,0,0,0,0,0
7,6921500,6783,9570,28.993895,,0,16,14,168,46755,1573,5752,6874745,16,238,140,1,37623,1,160,1,2288963,1,937221,1,254422,1,3344643,1,11572,1,1076931,1,14348,4,775218,4,79133,4,451182,4,864441,8,1260766,168,49105,24,8426,1,70416,1,2976,1,0,0,0,0,0,0,829984,1,86337,1,11252,1,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1,0,0,0,0,0,0
8,6357000,6772,9570,28.993822,,0,16,14,168,33911,2956,5741,6323089,16,238,441,1,25750,1,641,1,1996669,1,893537,1,251807,1,3142333,1,11913,1,904468,1,13797,4,798754,4,87990,4,430091,4,809915,8,1186092,168,48173,24,11152,1,80425,1,2785,1,0,0,0,0,0,0,780979,1,96116,1,9368,1,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1,0,0,0,0,0,0
9,6256600,6790,9570,28.993675,,0,16,14,168,37752,1453,5561,6218848,16,238,100,1,31401,1,130,1,1976770,1,753346,1,186571,1,3258467,1,12063,1,1022205,1,15199,4,813622,4,87399,4,414281,4,808963,8,1169199,168,48484,24,10470,1,82109,1,2765,1,0,0,0,0,0,0,701235,1,35970,1,8837,1,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1,0,0,0,0,0,0
