step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8016800,8555,9570,28.99835,1240,0,16,16,192,134562,27763,13967,7882238,16,234,551,1,133806,1,260,1,2141935,1,1408169,1,398834,1,3784544,1,14137,1,1175393,1,16111,4,1045855,4,85263,4,473477,4,881099,8,1340609,192,0,0,7194,1,48733,1,3517,1,11091,1,2876,2,6172,1,874717,1,241032,1,88540,1,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1,0,0,0,0,0,0
1,5530500,5761,9570,28.995926,1240,0,16,12,144,38193,1783,5771,5492307,16,242,321,1,51689,1,210,1,2290310,1,591404,1,156630,1,2390472,1,11272,1,666507,1,12183,4,600551,4,79232,4,335393,4,643984,8,867603,144,106003,48,4298,1,33113,1,2976,1,3978,1,1333,2,5140,1,516680,1,46158,1,19477,1,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1,0,0,0,0,0,0
2,5877200,6723,9570,28.994566,1240,0,16,14,168,39837,1543,11192,5837363,16,242,210,1,26932,1,240,1,1956320,1,727088,1,248226,1,2866945,1,11402,1,756881,1,13326,4,790625,4,79062,4,387302,4,751210,8,1063347,168,63973,24,4418,1,67670,1,3005,1,4739,1,2014,2,5150,1,646384,1,42081,1,31310,1,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1,0,0,0,0,0,0
3,6149600,6695,9570,28.994541,1240,0,16,14,168,36483,1473,7545,6113117,16,242,291,1,38935,1,501,1,2449014,1,655536,1,180416,1,2777163,1,11262,1,734157,1,13406,4,719178,4,78510,4,395418,4,769074,8,1115167,168,41780,24,4939,1,47671,1,3086,1,3747,1,1393,2,5110,1,606803,1,25850,1,15520,1,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1,0,0,0,0,0,0
4,5467600,6672,9570,28.994545,1240,0,16,14,168,36460,1193,4319,5431140,16,242,200,1,27793,1,160,1,1926863,1,641289,1,179544,1,2643978,1,11312,1,578058,1,12293,4,717275,4,81466,4,412841,4,751190,8,1122451,168,37261,24,6743,1,67840,1,3577,1,3887,1,1343,2,6272,1,596143,1,27773,1,12554,1,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1,0,0,0,0,0,0
5,5417100,6758,9570,28.994184,1240,0,16,14,168,36547,1403,4419,5380553,16,242,240,1,26952,1,190,1,1928937,1,663391,1,184083,1,2565417,1,11342,1,653803,1,12514,4,736351,4,79292,4,345713,4,673411,8,972212,168,42491,24,4939,1,43924,1,3066,1,3717,1,1673,2,5611,1,609278,1,36330,1,10821,1,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1,0,0,0,0,0,0
6,5537900,6793,9570,28.993921,1240,0,16,14,168,39511,1413,4609,5498389,16,242,200,1,25980,1,40,1,1948685,1,633574,1,186618,1,2691940,1,11352,1,691415,1,13085,4,746892,4,80023,4,371512,4,720631,8,1039632,168,47902,24,4719,1,48273,1,3066,1,3958,1,1453,2,5501,1,580012,1,38283,1,9749,1,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1,0,0,0,0,0,0
7,5486500,6783,9570,28.993895,1240,0,16,14,168,40251,1543,4759,5446249,16,242,120,1,26461,1,70,1,1938105,1,674994,1,184073,1,2611075,1,11352,1,682568,1,12875,4,742443,4,79803,4,351684,4,676957,8,976752,168,47130,24,4669,1,44565,1,3066,1,4158,1,1343,2,5400,1,619197,1,37923,1,9829,1,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1,0,0,0,0,0,0
8,5479300,6772,9570,28.993822,1240,0,16,14,168,38311,1964,4990,5440989,16,242,40,1,26561,1,100,1,1942373,1,613696,1,184554,1,2662082,1,11582,1,691475,1,13726,4,741591,4,79993,4,367474,4,692187,8,1007221,168,47451,24,5270,1,54224,1,3146,1,3667,1,1543,2,5821,1,574140,1,26110,1,8687,1,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1,0,0,0,0,0,0
9,5504300,6790,9570,28.993675,1240,0,16,14,168,38083,1273,5140,5466217,16,242,120,1,27833,1,120,1,1946861,1,654054,1,185686,1,2639659,1,11883,1,538743,1,12594,4,745589,4,81266,4,390789,4,798090,8,1136518,168,47221,24,5120,1,52340,1,3026,1,3857,1,1332,2,5641,1,608967,1,29376,1,8687,1,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1,0,0,0,0,0,0
