step,wall_ns,manifolds,pairs,top_y,awake
0,18842800,4495,9570,35.998295,
1,16703100,4196,9570,35.993866,
2,16463800,4142,9570,35.986713,
3,16486300,4111,9570,35.976837,
4,16385700,4100,9570,35.964233,
5,16267400,4087,9570,35.948902,
6,16293700,4079,9570,35.93085,
7,16329900,4073,9570,35.910072,
8,16222300,4066,9570,35.88657,
9,16225800,4061,9570,35.86034,
10,16285000,4053,9570,35.831387,
11,16329700,4054,9570,35.79971,
12,16334500,4056,9570,35.765305,
13,16393000,4055,9570,35.728176,
14,16498400,4060,9570,35.688324,
15,16546600,4057,9570,35.64575,
16,16824400,4055,9570,35.600445,
17,16406400,4051,9570,35.552414,
18,16721300,4049,9570,35.501663,
19,16386400,4050,9570,35.448185,
20,19572700,4829,9570,35.391983,
21,18508500,4715,9570,35.333054,
22,18467700,4565,9570,35.2714,
23,17802900,4496,9570,35.207024,
24,17679600,4419,9570,35.13992,
25,17608500,4390,9570,35.07009,
26,18383900,4353,9570,34.997536,
27,18079200,4336,9570,34.92226,
28,20416800,4982,9570,34.844257,
29,19073000,4783,9570,34.763527,
30,18563400,4670,9570,34.680073,
31,18398400,4639,9570,34.593895,
32,18750300,4573,9570,34.504993,
33,18232800,4491,9570,34.413364,
34,20282900,5031,9570,34.31901,
35,19443900,4806,9570,34.221935,
36,18257700,4646,9570,34.12213,
37,17781100,4535,9570,34.019604,
38,17651800,4502,9570,33.91435,
39,19518700,4984,9570,33.806374,
40,19630400,5009,9570,33.69567,
41,19045000,4852,9570,33.58224,
42,18363900,4753,9570,33.466087,
43,18773900,4728,9570,33.34721,
44,19314000,4996,9570,33.22561,
45,19878700,5112,9570,33.10128,
46,19401600,4923,9570,32.974224,
47,18380700,4760,9570,32.844448,
48,20104000,5001,9570,32.711945,
49,20189500,5139,9570,32.576717,
50,19317000,4996,9570,32.438763,
51,18930600,4871,9570,32.298084,
52,20762600,5093,9570,32.154682,
53,19657600,4972,9570,32.008553,
54,18910300,4792,9570,31.8597,
55,19624600,4796,9570,31.70812,
56,19669700,4911,9570,31.553818,
57,19436000,4780,9570,31.39679,
58,19748200,4734,9570,31.237036,
59,19772500,4748,9570,31.074558,
60,19032900,4704,9570,30.909355,
61,19018200,4678,9570,30.741426,
62,19102200,4666,9570,30.570772,
63,19323300,4609,9570,30.397394,
64,19108200,4623,9570,30.22129,
65,19101000,4625,9570,30.042463,
66,19273700,4579,9570,29.860909,
67,19330800,4610,9570,29.67663,
68,19235100,4550,9570,29.489626,
69,18972800,4524,9570,29.299898,
70,19049900,4535,9570,29.107445,
71,19141800,4528,9570,28.912266,
72,19162600,4533,9570,28.714361,
73,19259700,4529,9570,28.745474,
74,19295000,4530,9570,28.77165,
75,19350300,4529,9570,28.79591,
76,19288600,4524,9570,28.816788,
77,19111700,4517,9570,28.83433,
78,19124600,4520,9570,28.848581,
79,19305400,4514,9568,28.862343,
80,19552400,4519,9568,28.873486,
81,19124600,4518,9568,28.88324,
82,19199700,4518,9568,28.892859,
83,19265900,4516,9568,28.90075,
84,20790000,4517,9567,28.907646,
85,19592900,4508,9565,28.914537,
86,19143000,4519,9565,28.920815,
87,19237900,4516,9565,28.92588,
88,19767800,4518,9565,28.930962,
89,19422400,4519,9565,28.935617,
90,20111500,4514,9565,28.939785,
91,19980900,4516,9565,28.943506,
92,19239600,4512,9565,28.946703,
93,19318300,4508,9565,28.949604,
94,19310400,4522,9565,28.952375,
95,19912500,4519,9565,28.954878,
96,19950100,4521,9565,28.957104,
97,19363700,4517,9565,28.9592,
98,19777400,4515,9565,28.960983,
99,19619800,4520,9565,28.96278,
100,19543700,4521,9564,28.964386,
101,19629900,4521,9564,28.965906,
102,19675500,4521,9563,28.967402,
103,19641500,4520,9563,28.968788,
104,19475100,4522,9563,28.969984,
105,19398600,4518,9563,28.971111,
106,19568900,4521,9563,28.97221,
107,19933800,4523,9563,28.97325,
108,19369800,4515,9562,28.974203,
109,19986900,4517,9562,28.975157,
110,19482100,4516,9562,28.976004,
111,19366200,4515,9562,28.976778,
112,19255700,4519,9562,28.977486,
113,19204400,4520,9562,28.978231,
114,19213600,4520,9562,28.97893,
115,19332000,4519,9561,28.979557,
116,19296400,4526,9561,28.980162,
117,19423000,4519,9561,28.980728,
118,19745100,4521,9561,28.981266,
119,19477800,4517,9561,28.981787,
120,19487600,4523,9561,28.982262,
121,19482100,4523,9561,28.98269,
122,19309600,4521,9561,28.983118,
123,19354900,4522,9561,28.98351,
124,19970700,4518,9561,28.98387,
125,20201200,4521,9561,28.984217,
126,19717800,4521,9561,28.984558,
127,19562600,4517,9561,28.98485,
128,19379600,4522,9561,28.98514,
129,19317000,4521,9561,28.98541,
130,19719400,4519,9560,28.98568,
131,19561900,4526,9559,28.98593,
132,19411900,4524,9559,28.986149,
133,19388900,4516,9559,28.98636,
134,19255200,4520,9559,28.98657,
135,19429700,4522,9559,28.986776,
136,19439100,4519,9559,28.986969,
137,19333600,4521,9559,28.987137,
138,19381400,4521,9559,28.9873,
139,19260200,4521,9559,28.987465,
140,19553100,4518,9559,28.987623,
141,19914300,4523,9559,28.987766,
142,19219600,4524,9559,28.987892,
143,19358000,4523,9559,28.98802,
144,19366000,4520,9559,28.988153,
145,19333100,4519,9559,28.98826,
146,19562000,4520,9559,28.988363,
147,19485500,4522,9559,28.988459,
148,19308600,4517,9559,28.988543,
149,19805500,4519,9559,28.988642,
150,19575000,4522,9559,28.98874,
151,19405400,4520,9559,28.98882,
152,19467000,4523,9559,28.988888,
153,19303900,4523,9559,28.988964,
154,19272800,4524,9559,28.989048,
155,19370500,4521,9559,28.989117,
156,19404600,4520,9559,28.989172,
157,19818500,4519,9559,28.989218,
158,19458800,4519,9559,28.98927,
159,19381000,4518,9559,28.98933,
160,19245200,4519,9559,28.989386,
161,19169200,4521,9559,28.989433,
162,19322200,4518,9559,28.989477,
163,19255100,4520,9559,28.989515,
164,19042500,4520,9559,28.989552,
165,19495500,4519,9559,28.989582,
166,19138800,4516,9559,28.989613,
167,19139500,4518,9559,28.989645,
168,19025100,4518,9559,28.989676,
169,19480500,4514,9559,28.9897,
170,19228800,4515,9559,28.989725,
171,19232400,4512,9559,28.989754,
172,19371200,4513,9559,28.98977,
173,19569100,4515,9559,28.989801,
174,19599800,4515,9559,28.989834,
175,19217900,4515,9559,28.989851,
176,19074800,4514,9559,28.989864,
177,19024600,4516,9559,28.989883,
178,19064500,4515,9559,28.989906,
179,18980100,4515,9559,28.989923,
180,18929800,4515,9559,28.98993,
181,19768100,4517,9559,28.98993,
182,19097500,4517,9559,28.98994,
183,19196200,4516,9559,28.989958,
184,19078900,4516,9559,28.98997,
185,19208200,4514,9559,28.989977,
186,18985200,4515,9559,28.98999,
187,19098200,4516,9559,28.990005,
188,19013600,4519,9559,28.990013,
189,18894600,4519,9559,28.990015,
190,18854600,4519,9559,28.990025,
191,19002800,4520,9559,28.99004,
192,18996800,4522,9559,28.990047,
193,18986000,4521,9559,28.990053,
194,18907000,4522,9559,28.990055,
195,19230900,4521,9559,28.99006,
196,19021300,4522,9559,28.99006,
197,19343800,4523,9559,28.990076,
198,18953200,4523,9559,28.990084,
199,19055800,4524,9559,28.990086,
200,19832600,4522,9559,28.990088,
201,19609000,4522,9559,28.990097,
202,19149400,4521,9559,28.99011,
203,19007800,4525,9559,28.990112,
204,19444400,4526,9559,28.990108,
205,19192300,4524,9559,28.990114,
206,18977000,4523,9559,28.99012,
207,18845400,4523,9559,28.990118,
208,19156700,4523,9559,28.990112,
209,19478300,4522,9559,28.990116,
210,18877300,4522,9559,28.990122,
211,18984500,4523,9559,28.990128,
212,19483500,4523,9559,28.990124,
213,19442400,4523,9559,28.99013,
214,19524300,4524,9559,28.990137,
215,18963500,4524,9559,28.990137,
216,18835300,4526,9559,28.990137,
217,19168800,4524,9559,28.990143,
218,19602900,4525,9559,28.990149,
219,18957300,4524,9559,28.990149,
220,19334000,4523,9559,28.990152,
221,19232100,4522,9559,28.99016,
222,19799200,4522,9559,28.990164,
223,18883300,4520,9559,28.990162,
224,18926700,4521,9559,28.99016,
225,19068900,4522,9559,28.990166,
226,19258900,4521,9559,28.990166,
227,18914600,4522,9559,28.990166,
228,18859700,4521,9559,28.990168,
