step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,10145400,4495,9570,35.998295,,0,9,9,108,136563,16712,5551,10008837,18,152,782,1,132675,1,301,1,2175030,1,2505395,1,453341,1,197710,1,4529025,1,14578,1,916301,1,17914,4,686730,4,77218,4,917443,4,1841780,8,2753672,108,0,0,3146,1,47251,1,4529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8564400,4196,9570,35.993866,,0,8,8,96,60896,1272,3697,8503504,18,140,150,1,56479,1,60,1,2363062,1,2328025,1,453081,1,89181,1,3200592,1,12875,1,391092,1,7484,4,482588,4,65596,4,751565,4,1476638,8,2224505,96,0,0,2976,1,18776,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,8061500,4142,9570,35.986713,,0,8,8,96,58979,1242,5581,8002521,18,140,291,1,25589,1,70,1,1996457,1,2305882,1,453051,1,87288,1,3120067,1,13827,1,309515,1,8166,4,485784,4,65526,4,740814,4,1476558,8,2211791,96,0,0,2956,1,26511,1,2996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7982600,4111,9570,35.976837,,0,8,8,96,56536,1102,5631,7926064,18,140,130,1,25409,1,160,1,1953364,1,2315040,1,453091,1,88149,1,3077745,1,12975,1,281321,1,8156,4,480413,4,65376,4,741215,4,1471649,8,2207232,96,0,0,2956,1,22934,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,8014500,4100,9570,35.964233,,0,8,8,96,55152,1182,5321,7959348,18,140,531,1,26050,1,140,1,1958554,1,2313146,1,453061,1,86196,1,3108224,1,13446,1,281742,1,7384,4,476165,4,65887,4,750132,4,1491827,8,2236639,96,0,0,3387,1,27904,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7989400,4087,9570,35.948902,,0,8,8,96,57054,1333,2085,7932346,18,140,140,1,25739,1,190,1,1957993,1,2330369,1,453101,1,88069,1,3063779,1,12965,1,302812,1,7364,4,475754,4,65837,4,737698,4,1449045,8,2184658,96,0,0,2926,1,18405,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,8026700,4079,9570,35.93085,,0,8,8,96,79205,1292,2285,7947495,18,140,140,1,25679,1,140,1,1953565,1,2356219,1,453051,1,89913,1,3055533,1,13255,1,297392,1,7474,4,475895,4,65586,4,733710,4,1449536,8,2180961,96,0,0,2765,1,19317,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,8112900,4073,9570,35.910072,,0,8,8,96,69992,1152,2065,8042908,18,140,150,1,25810,1,70,1,1954076,1,2493703,1,452961,1,85274,1,3017840,1,13025,1,288845,1,7524,4,471626,4,64404,4,725835,4,1432333,8,2156103,96,0,0,2855,1,20379,1,2886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,8174800,4066,9570,35.88657,,0,8,8,96,62298,1262,2285,8112502,18,140,140,1,37242,1,90,1,2083434,1,2302636,1,453021,1,85464,1,3137009,1,13466,1,288705,1,7384,4,475304,4,65526,4,753779,4,1483561,8,2235055,96,0,0,2886,1,54515,1,4088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,8007400,4061,9570,35.86034,,0,8,8,96,42822,1423,1984,7964578,18,140,361,1,26240,1,140,1,1965518,1,2353614,1,452941,1,85053,1,3067636,1,13075,1,295819,1,7945,4,486225,4,65636,4,736886,4,1446580,8,2181483,96,0,0,3176,1,21391,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
