step,wall_ns,manifolds,pairs,top_y,awake
0,7833400,4495,9570,35.998295,
1,5960100,4196,9570,35.993866,
2,5754600,4142,9570,35.986713,
3,5944800,4111,9570,35.976837,
4,6269800,4100,9570,35.964233,
5,5925800,4087,9570,35.948902,
6,6033000,4079,9570,35.93085,
7,5754100,4073,9570,35.910072,
8,5864700,4066,9570,35.88657,
9,6598900,4061,9570,35.86034,
10,5825600,4053,9570,35.831387,
11,5833000,4054,9570,35.79971,
12,6198400,4056,9570,35.765305,
13,6185900,4055,9570,35.728176,
14,5886800,4060,9570,35.688324,
15,6105000,4057,9570,35.64575,
16,6365700,4055,9570,35.600445,
17,5845000,4051,9570,35.552414,
18,5941100,4049,9570,35.501663,
19,6309000,4050,9570,35.448185,
20,6559900,4829,9570,35.391983,
21,7182300,4715,9570,35.333054,
22,6383200,4565,9570,35.2714,
23,6358000,4496,9570,35.207024,
24,6254400,4419,9570,35.13992,
25,6216900,4390,9570,35.07009,
26,6276600,4353,9570,34.997536,
27,6088700,4336,9570,34.92226,
28,6664800,4982,9570,34.844257,
29,6753600,4783,9570,34.763527,
30,6896000,4670,9570,34.680073,
31,6407900,4639,9570,34.593895,
32,6209900,4573,9570,34.504993,
33,6148900,4491,9570,34.413364,
34,6473500,5031,9570,34.31901,
35,6498100,4806,9570,34.221935,
36,6903700,4646,9570,34.12213,
37,6710900,4535,9570,34.019604,
38,6800600,4502,9570,33.91435,
39,7285300,4984,9570,33.806374,
40,7281800,5009,9570,33.69567,
41,7006000,4852,9570,33.58224,
42,7313400,4753,9570,33.466087,
43,6539000,4728,9570,33.34721,
44,6908600,4996,9570,33.22561,
45,7175100,5112,9570,33.10128,
46,6906200,4923,9570,32.974224,
47,6747100,4760,9570,32.844448,
48,7005100,5001,9570,32.711945,
49,7645500,5139,9570,32.576717,
50,6848900,4996,9570,32.438763,
51,6733200,4871,9570,32.298084,
52,6967900,5093,9570,32.154682,
53,6773600,4972,9570,32.008553,
54,6576000,4792,9570,31.8597,
55,6706500,4796,9570,31.70812,
56,6896100,4911,9570,31.553818,
57,6917900,4780,9570,31.39679,
58,6792300,4734,9570,31.237036,
59,6793100,4748,9570,31.074558,
60,6733500,4704,9570,30.909355,
61,6573200,4678,9570,30.741426,
62,6755400,4666,9570,30.570772,
63,6640600,4609,9570,30.397394,
64,7038900,4623,9570,30.22129,
65,7339200,4625,9570,30.042463,
66,6590100,4579,9570,29.860909,
67,6569300,4610,9570,29.67663,
68,6510000,4550,9570,29.489626,
69,6414600,4524,9570,29.299898,
70,6472700,4535,9570,29.107445,
71,6452400,4528,9570,28.912266,
72,6415600,4533,9570,28.714361,
73,6462800,4529,9570,28.745474,
74,6459100,4530,9570,28.77165,
75,6533700,4529,9570,28.79591,
76,6458300,4524,9570,28.816788,
77,6632200,4517,9570,28.83433,
78,6535800,4520,9570,28.848581,
79,6498100,4514,9568,28.862343,
80,6349600,4519,9568,28.873486,
81,6431700,4518,9568,28.88324,
82,6733800,4518,9568,28.892859,
83,6637500,4516,9568,28.90075,
84,6625900,4517,9567,28.907646,
85,6453700,4508,9565,28.914537,
86,6399800,4519,9565,28.920815,
87,6512400,4516,9565,28.92588,
88,6410300,4518,9565,28.930962,
89,6411700,4519,9565,28.935617,
90,6545300,4514,9565,28.939785,
91,6536900,4516,9565,28.943506,
92,6384800,4512,9565,28.946703,
93,6383300,4508,9565,28.949604,
94,6518400,4522,9565,28.952375,
95,6529100,4519,9565,28.954878,
96,6413000,4521,9565,28.957104,
97,6428200,4517,9565,28.9592,
98,6485900,4515,9565,28.960983,
99,6442400,4520,9565,28.96278,
100,6411100,4521,9564,28.964386,
