step,wall_ns,manifolds,pairs,top_y,awake
0,7541800,4495,9570,35.998295,
1,5610300,4196,9570,35.993866,
2,5534500,4142,9570,35.986713,
3,5566600,4111,9570,35.976837,
4,5962100,4100,9570,35.964233,
5,6106900,4087,9570,35.948902,
6,5460600,4079,9570,35.93085,
7,5399200,4073,9570,35.910072,
8,5562300,4066,9570,35.88657,
9,5526500,4061,9570,35.86034,
10,5802100,4053,9570,35.831387,
11,5444800,4054,9570,35.79971,
12,5524100,4056,9570,35.765305,
13,5525800,4055,9570,35.728176,
14,5680900,4060,9570,35.688324,
15,5746400,4057,9570,35.64575,
16,5398100,4055,9570,35.600445,
17,5628700,4051,9570,35.552414,
18,5551500,4049,9570,35.501663,
19,5425500,4050,9570,35.448185,
20,6294500,4829,9570,35.391983,
21,6787400,4715,9570,35.333054,
22,5863200,4565,9570,35.2714,
23,5838100,4496,9570,35.207024,
24,5691300,4419,9570,35.13992,
25,6212800,4390,9570,35.07009,
26,5822000,4353,9570,34.997536,
27,5830600,4336,9570,34.92226,
28,6550900,4982,9570,34.844257,
29,6666800,4783,9570,34.763527,
30,6295000,4670,9570,34.680073,
31,6189300,4639,9570,34.593895,
32,6438700,4573,9570,34.504993,
33,6182000,4491,9570,34.413364,
34,6544700,5031,9570,34.31901,
35,7532300,4806,9570,34.221935,
36,6310700,4646,9570,34.12213,
37,6436100,4535,9570,34.019604,
38,6178000,4502,9570,33.91435,
39,6552100,4984,9570,33.806374,
40,6698900,5009,9570,33.69567,
41,6434500,4852,9570,33.58224,
42,6377500,4753,9570,33.466087,
43,6441100,4728,9570,33.34721,
44,6803700,4996,9570,33.22561,
45,6790500,5112,9570,33.10128,
46,7078000,4923,9570,32.974224,
47,6708600,4760,9570,32.844448,
48,6866100,5001,9570,32.711945,
49,7257900,5139,9570,32.576717,
50,7215800,4996,9570,32.438763,
51,7163900,4871,9570,32.298084,
52,6789200,5093,9570,32.154682,
53,6813400,4972,9570,32.008553,
54,7128200,4792,9570,31.8597,
55,7216300,4796,9570,31.70812,
56,6569000,4911,9570,31.553818,
57,6569100,4780,9570,31.39679,
58,6805000,4734,9570,31.237036,
59,6866500,4748,9570,31.074558,
60,6528100,4704,9570,30.909355,
61,7074700,4678,9570,30.741426,
62,6569600,4666,9570,30.570772,
63,6552900,4609,9570,30.397394,
64,6548300,4623,9570,30.22129,
65,6526000,4625,9570,30.042463,
66,6275900,4579,9570,29.860909,
67,6291300,4610,9570,29.67663,
68,6739500,4550,9570,29.489626,
69,6222600,4524,9570,29.299898,
70,6266500,4535,9570,29.107445,
71,6760500,4528,9570,28.912266,
72,6506400,4533,9570,28.714361,
73,6386200,4529,9570,28.745474,
74,6655200,4530,9570,28.77165,
75,6502900,4529,9570,28.79591,
76,6336700,4524,9570,28.816788,
77,6582800,4517,9570,28.83433,
78,6547200,4520,9570,28.848581,
79,6431900,4514,9568,28.862343,
80,6588400,4519,9568,28.873486,
81,6264400,4518,9568,28.88324,
82,6199600,4518,9568,28.892859,
83,6171800,4516,9568,28.90075,
84,6290400,4517,9567,28.907646,
85,6206200,4508,9565,28.914537,
86,6235600,4519,9565,28.920815,
87,6264800,4516,9565,28.92588,
88,6392000,4518,9565,28.930962,
89,6137000,4519,9565,28.935617,
90,6427800,4514,9565,28.939785,
91,6210800,4516,9565,28.943506,
92,6282400,4512,9565,28.946703,
93,6190700,4508,9565,28.949604,
94,6203600,4522,9565,28.952375,
95,6560600,4519,9565,28.954878,
96,6307100,4521,9565,28.957104,
97,6281300,4517,9565,28.9592,
98,6280100,4515,9565,28.960983,
99,6136300,4520,9565,28.96278,
100,6198700,4521,9564,28.964386,
101,6155000,4521,9564,28.965906,
102,6119200,4521,9563,28.967402,
103,6138300,4520,9563,28.968788,
104,6272500,4522,9563,28.969984,
105,6793300,4518,9563,28.971111,
106,6711400,4521,9563,28.97221,
107,7197800,4523,9563,28.97325,
108,6556500,4515,9562,28.974203,
109,6365600,4517,9562,28.975157,
110,6464400,4516,9562,28.976004,
111,6563400,4515,9562,28.976778,
112,6713400,4519,9562,28.977486,
113,6535600,4520,9562,28.978231,
114,6689800,4520,9562,28.97893,
115,6123700,4519,9561,28.979557,
116,6668300,4526,9561,28.980162,
117,7548400,4519,9561,28.980728,
118,6372600,4521,9561,28.981266,
119,6220400,4517,9561,28.981787,
120,6308900,4523,9561,28.982262,
121,6347500,4523,9561,28.98269,
122,6194500,4521,9561,28.983118,
123,6238700,4522,9561,28.98351,
124,6318900,4518,9561,28.98387,
125,6412700,4521,9561,28.984217,
126,6439600,4521,9561,28.984558,
127,6192200,4517,9561,28.98485,
128,6269200,4522,9561,28.98514,
129,6382200,4521,9561,28.98541,
130,6192700,4519,9560,28.98568,
131,6140400,4526,9559,28.98593,
132,6154900,4524,9559,28.986149,
133,6183700,4516,9559,28.98636,
134,6834000,4520,9559,28.98657,
