step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8811800,8555,9570,28.99835,1240,0,16,16,192,135269,17274,9539,8676531,16,240,1032,1,157123,1,1954,1,2431077,1,1321999,1,556483,1,4194751,1,12113,1,1574265,1,18656,4,754194,4,99522,4,484905,4,1097270,8,1572636,192,0,0,11813,1,113479,1,3807,1,9839,1,2946,2,6783,1,786025,1,257787,1,119140,1,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1,0,0,0,0,0,0
1,5736700,5761,9570,28.995926,1240,0,16,12,144,35389,1613,7174,5701311,16,242,240,1,43103,1,100,1,2549886,1,642919,1,159077,1,2293862,1,12123,1,584016,1,12153,4,374352,4,77640,4,363120,4,814851,8,1058811,144,111986,48,4779,1,48093,1,2875,1,4028,1,1333,2,5010,1,580920,1,36601,1,19097,1,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1,0,0,0,0,0,0
2,5203300,6723,9570,28.994566,1240,0,16,14,168,33834,1252,6623,5169466,16,242,210,1,26170,1,170,1,1912667,1,684439,1,182652,1,2352074,1,11081,1,654572,1,11673,4,439036,4,77970,4,365745,4,736550,8,1033512,168,62160,24,5861,1,46199,1,2825,1,3787,1,1393,2,5210,1,615617,1,36320,1,25189,1,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1,0,0,0,0,0,0
3,5538800,6695,9570,28.994541,1240,0,16,14,168,42665,1353,5251,5496135,16,237,20,1,26511,1,80,1,1924109,1,674260,1,298465,1,2561789,1,10901,1,788741,1,12364,4,448314,4,78391,4,381205,4,769313,8,1104759,168,40508,24,5921,1,61348,1,2896,1,5030,1,1433,2,5481,1,602391,1,37522,1,24407,1,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1,0,0,0,0,0,0
4,5613400,6672,9570,28.994545,1240,0,16,14,168,34856,1282,8927,5578544,16,242,90,1,31671,1,70,1,2133493,1,780495,1,183704,1,2437529,1,11492,1,676985,1,12013,4,441110,4,78822,4,401254,4,755196,8,1110922,168,36601,24,4919,1,51780,1,2986,1,4759,1,1313,2,5110,1,725038,1,36530,1,12564,1,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1,0,0,0,0,0,0
5,5104200,6758,9570,28.994184,1240,0,16,14,168,34326,1292,5461,5069874,16,242,150,1,25950,1,60,1,1924640,1,622049,1,181500,1,2304232,1,11292,1,546694,1,12735,4,447903,4,79824,4,374692,4,758302,8,1086333,168,41199,24,5130,1,62531,1,3637,1,3687,1,1373,2,6432,1,577163,1,27212,1,10691,1,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1,0,0,0,0,0,0
6,5191700,6793,9570,28.993921,1240,0,16,14,168,34558,1282,3077,5157142,16,242,20,1,26351,1,401,1,1978925,1,662136,1,183534,1,2294483,1,11292,1,603343,1,12053,4,449076,4,78902,4,374712,4,711662,8,1037088,168,46209,24,5300,1,44947,1,2835,1,3787,1,1333,2,5250,1,610467,1,35118,1,9138,1,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1,0,0,0,0,0,0
7,5309000,6783,9570,28.993895,1240,0,16,14,168,36686,1252,3477,5272314,16,242,10,1,25199,1,50,1,1961281,1,643110,1,231937,1,2398384,1,12344,1,736460,1,12173,4,453474,4,78872,4,348422,4,694870,8,993415,168,46399,24,5090,1,53613,1,2856,1,4198,1,1363,2,5741,1,579026,1,46159,1,10079,1,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1,0,0,0,0,0,0
8,5323700,6772,9570,28.993822,1240,0,16,14,168,37018,1213,3958,5286682,16,242,261,1,26281,1,50,1,1935672,1,796045,1,183694,1,2333208,1,11472,1,661084,1,12324,4,453234,4,79113,4,358391,4,697755,8,1005458,168,46730,24,5240,1,50938,1,2895,1,4088,1,1373,2,5561,1,744034,1,36691,1,8256,1,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1,0,0,0,0,0,0
9,5243500,6790,9570,28.993675,1240,0,16,14,168,35139,1242,3427,5208361,16,242,20,1,25800,1,90,1,1935391,1,631798,1,182873,1,2420366,1,12023,1,518139,1,12003,4,469605,4,79674,4,411874,4,830982,8,1193460,168,45969,24,7284,1,73141,1,3908,1,3727,1,1333,2,7454,1,591811,1,26541,1,8567,1,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1,0,0,0,0,0,0
