step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,354700,16,31,30.998297,,0,2,0,0,119078,6393,2675,235622,16,67,311,1,50807,1,431,1,9158,1,30629,1,25759,1,116734,1,1793,1,53282,1,2455,4,2124,4,2465,4,18205,4,31220,8,0,0,46750,24,130,1,240,1,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
1,163900,16,31,30.993937,,0,2,0,0,55532,932,681,108368,16,67,140,1,13195,1,70,1,982,1,17113,1,1493,1,74884,1,491,1,11662,1,311,4,2775,4,1403,4,19868,4,37592,8,0,0,56779,24,80,1,170,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
2,111400,16,31,30.987455,,0,2,0,0,37368,731,1564,74032,16,67,30,1,842,1,40,1,741,1,17383,1,1112,1,53493,1,391,1,2074,1,351,4,2555,4,1152,4,15670,4,30669,8,0,0,44775,24,70,1,150,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1,0,0,0,0,0,0
3,94200,16,31,30.97999,,0,2,0,0,25578,511,441,68622,16,67,70,1,781,1,80,1,671,1,14748,1,872,1,51108,1,291,1,1934,1,210,4,2375,4,1002,4,15329,4,29466,8,0,0,44355,24,60,1,160,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
4,92100,16,31,30.972979,,0,2,0,0,24270,531,400,67830,16,67,50,1,671,1,10,1,641,1,13907,1,852,1,51439,1,260,1,2014,1,250,4,2395,4,1002,4,15329,4,29657,8,0,0,44585,24,90,1,120,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
5,92500,16,31,30.966393,,0,2,0,0,24399,481,401,68101,16,67,60,1,671,1,40,1,561,1,14879,1,731,1,50868,1,291,1,1984,1,220,4,2355,4,1052,4,15189,4,29346,8,0,0,44134,24,50,1,120,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
6,93700,16,31,30.961182,,0,2,0,0,27934,421,361,65766,16,67,10,1,601,1,40,1,501,1,12354,1,711,1,51098,1,451,1,1783,1,230,4,2415,4,962,4,15219,4,29848,8,0,0,44706,24,30,1,130,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
7,93000,16,31,30.955942,,0,2,0,0,25771,1763,401,67229,16,67,30,1,601,1,30,1,441,1,11793,1,641,1,53432,1,260,1,1733,1,281,4,2334,4,1012,4,15830,4,30288,8,0,0,45718,24,40,1,120,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
8,113200,16,31,30.950468,,0,2,0,0,24901,832,641,88299,16,67,190,1,862,1,50,1,862,1,18696,1,1383,1,65846,1,411,1,2755,1,361,4,3226,4,1483,4,19517,4,37312,8,0,0,56188,24,80,1,190,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
9,104300,16,31,30.945265,,0,2,0,0,21972,491,551,82328,16,67,50,1,721,1,30,1,771,1,16191,1,962,1,63291,1,311,1,1974,1,250,4,2996,4,1242,4,19057,4,36991,8,0,0,55496,24,80,1,140,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
