step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,292200,16,31,30.998297,,0,2,0,0,63237,5090,1714,228963,16,67,1122,1,33074,1,110,1,6563,1,31892,1,27774,1,127607,1,822,1,50949,1,1553,4,5300,4,4228,4,22093,4,36701,8,0,0,57080,24,281,1,1282,1,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
1,141000,16,31,30.993937,,0,2,0,0,39734,882,651,101266,16,67,140,1,6883,1,60,1,1022,1,17804,1,1693,1,73322,1,341,1,9689,1,351,4,4128,4,1723,4,19418,4,36651,8,0,0,55417,24,100,1,291,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
2,114000,16,31,30.987455,,0,2,0,0,26050,571,2235,87950,16,67,60,1,1032,1,60,1,892,1,19307,1,1343,1,64966,1,291,1,3096,1,381,4,3627,4,1453,4,18486,4,36962,8,0,0,53213,24,90,1,220,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1,0,0,0,0,0,0
3,122600,16,31,30.97999,,0,2,0,0,25342,661,651,97258,16,67,50,1,902,1,30,1,862,1,19398,1,1212,1,74464,1,341,1,2765,1,371,4,4429,4,1723,4,21131,4,42943,8,0,0,63423,24,90,1,261,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
4,98400,16,31,30.972979,,0,2,0,0,25579,411,441,72821,16,67,40,1,802,1,40,1,771,1,18275,1,1172,1,51460,1,261,1,2525,1,271,4,1974,4,1032,4,15330,4,29657,8,0,0,44546,24,70,1,140,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
5,110400,16,31,30.966393,,0,2,0,0,25165,561,511,85235,16,67,10,1,761,1,40,1,631,1,20069,1,842,1,62571,1,311,1,2094,1,220,4,2535,4,1232,4,19007,4,36651,8,0,0,55147,24,40,1,170,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
6,90200,16,31,30.961182,,0,2,0,0,23832,481,391,66368,16,67,10,1,561,1,30,1,421,1,13717,1,751,1,50638,1,240,1,1683,1,250,4,1974,4,982,4,15250,4,29828,8,0,0,44686,24,30,1,130,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
7,107600,16,31,30.955942,,0,2,0,0,24659,1964,491,82941,16,67,10,1,711,1,30,1,581,1,15239,1,832,1,65236,1,301,1,1954,1,261,4,2435,4,1272,4,19658,4,37463,8,0,0,56630,24,40,1,150,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
8,90500,16,31,30.950468,,0,2,0,0,25915,451,402,64585,16,67,10,1,581,1,30,1,501,1,11793,1,711,1,50708,1,250,1,1643,1,261,4,1974,4,1052,4,15370,4,29748,8,0,0,44716,24,30,1,150,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
9,101800,16,31,30.945265,,0,2,0,0,22727,591,491,79073,16,67,50,1,741,1,30,1,531,1,14278,1,792,1,62351,1,301,1,1904,1,230,4,2435,4,1252,4,19007,4,36741,8,0,0,55257,24,50,1,100,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
