step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8527900,4495,9570,35.998295,,0,9,9,108,77189,6944,5030,8450711,16,151,842,1,110077,1,671,1,1966445,1,2524484,1,135788,1,3697085,1,15320,1,590073,1,11332,4,538451,4,67022,4,827941,4,1620433,8,2443344,108,0,0,3086,1,28115,1,3687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8169600,4196,9570,35.993866,,0,8,8,96,62866,1393,3758,8106734,16,139,751,1,49778,1,591,1,2448645,1,2337997,1,90859,1,3164636,1,13477,1,333477,1,7465,4,481138,4,65349,4,754126,4,1491850,8,2242218,96,0,0,2846,1,24308,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7607200,4142,9570,35.986713,,0,8,8,96,49658,1593,5902,7557542,16,139,321,1,23947,1,140,1,1949431,1,2318428,1,90108,1,3161750,1,13416,1,293328,1,8186,4,479545,4,66231,4,753575,4,1521107,8,2268780,96,0,0,3216,1,32394,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7621700,4111,9570,35.976837,,0,8,8,96,59119,1753,5221,7562581,16,139,240,1,24047,1,140,1,1955122,1,2329250,1,88013,1,3152512,1,13256,1,372404,1,7605,4,476339,4,65459,4,743976,4,1460157,8,2198912,96,0,0,2775,1,19478,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7609800,4100,9570,35.964233,,0,8,8,96,54052,5451,2355,7555748,16,139,130,1,23767,1,130,1,1954130,1,2382414,1,91260,1,3090379,1,13537,1,318307,1,7565,4,474866,4,65259,4,738816,4,1454466,8,2190927,96,0,0,2816,1,20250,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7535900,4087,9570,35.948902,,0,8,8,96,53857,1262,2194,7482043,16,139,130,1,24128,1,200,1,1954221,1,2338879,1,88905,1,3062114,1,13467,1,303167,1,7565,4,475126,4,67513,4,734237,4,1450378,8,2182420,96,0,0,2705,1,17605,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7522600,4079,9570,35.93085,,0,8,8,96,50958,1232,2336,7471642,16,139,130,1,24007,1,461,1,1954140,1,2321274,1,86951,1,3070841,1,13837,1,292436,1,7294,4,475447,4,65559,4,733756,4,1471349,8,2202769,96,0,0,2785,1,18366,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7475900,4073,9570,35.910072,,0,8,8,96,54927,1202,2345,7420973,16,139,130,1,23847,1,160,1,1953960,1,2295724,1,86310,1,3047785,1,13056,1,284791,1,7435,4,475557,4,65589,4,736481,4,1453734,8,2187870,96,0,0,2765,1,17685,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7481600,4066,9570,35.88657,,0,8,8,96,50227,1243,2244,7431373,16,139,140,1,23637,1,70,1,1959190,1,2298319,1,85869,1,3050912,1,13236,1,298749,1,7465,4,475026,4,65820,4,731111,4,1447281,8,2176148,96,0,0,2715,1,18907,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7435500,4061,9570,35.86034,,0,8,8,96,51530,1203,2285,7383970,16,139,130,1,23637,1,40,1,1930794,1,2293860,1,85519,1,3036543,1,13446,1,288378,1,7896,4,473293,4,64998,4,730670,4,1447231,8,2175617,96,0,0,2745,1,17595,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
