step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8269300,4495,9570,35.998295,,0,9,9,108,66488,6673,4088,8202812,16,151,1062,1,117367,1,271,1,1915639,1,2569315,1,169047,1,3418749,1,11362,1,613328,1,8737,4,297516,4,67992,4,810088,4,1586602,8,2392602,108,0,0,3747,1,20971,1,3096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,7768100,4196,9570,35.993866,,0,8,8,96,58473,1343,4519,7709627,16,139,240,1,48754,1,90,1,2247091,1,2354268,1,89042,1,2959330,1,10811,1,370307,1,7575,4,270654,4,65196,4,748930,4,1471138,8,2215549,96,0,0,3076,1,18586,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7578700,4142,9570,35.986713,,0,8,8,96,57398,1864,6253,7521302,16,139,381,1,24487,1,80,1,1998279,1,2385248,1,90305,1,3008896,1,13626,1,366680,1,7454,4,268871,4,65497,4,745523,4,1492600,8,2231871,96,0,0,3527,1,53975,1,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,8089500,4111,9570,35.976837,,0,8,8,96,76951,1523,14678,8012549,16,139,421,1,24527,1,261,1,2324551,1,2311415,1,88341,1,3252112,1,10921,1,302255,1,8236,4,299620,4,81638,4,870000,4,1647881,8,2503202,96,0,0,4839,1,32593,1,3527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7529600,4100,9570,35.964233,,0,8,8,96,47804,5851,2255,7481796,16,139,220,1,27834,1,80,1,2112771,1,2316465,1,86998,1,2926166,1,11262,1,292236,1,8016,4,273279,4,65537,4,747547,4,1498271,8,2243564,96,0,0,3106,1,29818,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7346800,4087,9570,35.948902,,0,8,8,96,49070,1293,2906,7297730,16,139,150,1,23956,1,80,1,1953953,1,2322487,1,87359,1,2898602,1,11142,1,295662,1,7625,4,281776,4,66338,4,742327,4,1473573,8,2212995,96,0,0,3126,1,24327,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7443400,4079,9570,35.93085,,0,8,8,96,92447,1423,2405,7350953,16,139,130,1,24427,1,80,1,1954204,1,2326094,1,140482,1,2894294,1,11242,1,316904,1,8005,4,281495,4,68042,4,741967,4,1451460,8,2191022,96,0,0,3086,1,19367,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7317200,4073,9570,35.910072,,0,8,8,96,52815,1303,2235,7264385,16,139,130,1,24267,1,80,1,1953873,1,2337095,1,86237,1,2850860,1,11843,1,288308,1,7314,4,265765,4,65737,4,737458,4,1460959,8,2196182,96,0,0,3056,1,18416,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7411800,4066,9570,35.88657,,0,8,8,96,56499,1874,2085,7355301,16,139,240,1,24788,1,80,1,1955476,1,2352184,1,88431,1,2922118,1,11983,1,345349,1,7745,4,269181,4,66559,4,734662,4,1451651,8,2184228,96,0,0,3256,1,39156,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7547200,4061,9570,35.86034,,0,8,8,96,51778,1533,2066,7495422,16,139,381,1,25089,1,160,1,1958342,1,2484100,1,87550,1,2928620,1,11182,1,358775,1,7444,4,264582,4,78412,4,739602,4,1453965,8,2191502,96,0,0,3056,1,18686,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
