step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8689200,4495,9570,35.998295,,0,9,9,108,90357,6142,3928,8598843,16,151,1072,1,164718,1,1493,1,2356444,1,2503458,1,141433,1,3418412,1,11813,1,574067,1,9578,4,292123,4,83601,4,816314,4,1608342,8,2420728,108,0,0,3938,1,21652,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8005300,4196,9570,35.993866,,0,8,8,96,76409,1343,3868,7928891,16,139,271,1,50738,1,190,1,2231143,1,2379779,1,134960,1,3120849,1,10961,1,466510,1,9037,4,307002,4,67671,4,751479,4,1482699,8,2230311,96,0,0,3467,1,28926,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7654000,4142,9570,35.986713,,0,8,8,96,53092,1323,5651,7600908,16,139,230,1,35729,1,100,1,2275608,1,2332588,1,87599,1,2858002,1,11051,1,297143,1,7595,4,270572,4,65416,4,736971,4,1454405,8,2185725,96,0,0,3356,1,18666,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7267600,4111,9570,35.976837,,0,8,8,96,50772,1222,5652,7216828,16,139,220,1,24026,1,70,1,1955601,1,2313522,1,87389,1,2825058,1,10941,1,272776,1,7124,4,266554,4,65296,4,740288,4,1447822,8,2182458,96,0,0,3336,1,18105,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7310900,4100,9570,35.964233,,0,8,8,96,49426,4439,2324,7261474,16,139,210,1,24297,1,80,1,1955191,1,2327388,1,92969,1,2850237,1,11101,1,287124,1,7795,4,272716,4,66037,4,733585,4,1454765,8,2186026,96,0,0,3096,1,18145,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7434800,4087,9570,35.948902,,0,8,8,96,56832,1242,2275,7377968,16,139,210,1,24096,1,80,1,1960801,1,2373688,1,113970,1,2893741,1,11382,1,360696,1,7675,4,265532,4,66128,4,728495,4,1439055,8,2165275,96,0,0,3016,1,19307,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7259400,4079,9570,35.93085,,0,8,8,96,51009,1323,2314,7208391,16,139,230,1,24417,1,80,1,1955651,1,2312620,1,87308,1,2817163,1,10921,1,274920,1,7204,4,263558,4,65476,4,736691,4,1444796,8,2179172,96,0,0,3066,1,17394,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7273900,4073,9570,35.910072,,0,8,8,96,54898,1292,2284,7219002,16,139,220,1,23706,1,80,1,1987142,1,2303011,1,86136,1,2807454,1,11252,1,278457,1,7364,4,265432,4,65206,4,728886,4,1437121,8,2163723,96,0,0,3356,1,17814,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7227600,4066,9570,35.88657,,0,8,8,96,50058,1252,2215,7177542,16,139,220,1,23876,1,70,1,1956613,1,2300527,1,85345,1,2800020,1,10871,1,269850,1,7264,4,265171,4,65887,4,728194,4,1439005,8,2164985,96,0,0,2976,1,17854,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7353100,4061,9570,35.86034,,0,8,8,96,68492,1533,2525,7284608,16,139,210,1,23956,1,70,1,2020176,1,2322319,1,86507,1,2816391,1,14979,1,291242,1,7595,4,263388,4,64925,4,721832,4,1439556,8,2158863,96,0,0,3106,1,20219,1,2996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
10,7223500,4053,9570,35.831387,,0,8,8,96,42622,1052,3788,7180878,16,139,200,1,30699,1,170,1,1922498,1,2312920,1,86777,1,2816652,1,10961,1,270101,1,7474,4,263929,4,66138,4,737893,4,1440989,8,2175094,96,0,0,3356,1,23024,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
11,7258800,4054,9570,35.79971,,0,8,8,96,37824,1072,2565,7220976,16,139,10,1,23976,1,60,1,1927126,1,2324814,1,86918,1,2847091,1,10981,1,259350,1,8066,4,284589,4,65336,4,737572,4,1464214,8,2199221,96,0,0,2876,1,21522,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0
12,7228000,4056,9570,35.765305,,0,8,8,96,37924,1012,2355,7190076,16,139,30,1,24437,1,70,1,1927307,1,2325715,1,86577,1,2815049,1,10891,1,260673,1,7354,4,271033,4,65346,4,736861,4,1446099,8,2180605,96,0,0,3126,1,21031,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0
13,7250200,4055,9570,35.728176,,0,8,8,96,37049,1072,2335,7213151,16,139,150,1,23896,1,50,1,1923670,1,2317830,1,86447,1,2850046,1,11061,1,272946,1,8486,4,278126,4,65376,4,728605,4,1469093,8,2195363,96,0,0,2825,1,20980,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0
14,7213700,4060,9570,35.688324,,0,8,8,96,35327,1042,2435,7178373,16,139,50,1,24467,1,50,1,1924111,1,2315495,1,86056,1,2817223,1,10921,1,261995,1,7545,4,264600,4,65396,4,738184,4,1450968,8,2186717,96,0,0,3036,1,21922,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0
15,7218400,4057,9570,35.64575,,0,8,8,96,38313,1002,3227,7180087,16,139,30,1,23906,1,60,1,1924632,1,2314363,1,85765,1,2819828,1,11502,1,258128,1,7785,4,271744,4,66168,4,733154,4,1456729,8,2186657,96,0,0,3096,1,19508,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0
16,7205200,4055,9570,35.600445,,0,8,8,96,36866,1042,3046,7168334,16,139,40,1,24036,1,130,1,1928549,1,2315936,1,85665,1,2803156,1,10821,1,256224,1,7765,4,262847,4,65807,4,736911,4,1444616,8,2178481,96,0,0,2876,1,22493,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0
17,7253700,4051,9570,35.552414,,0,8,8,96,38225,1353,2225,7215475,16,139,130,1,23976,1,60,1,1923379,1,2316989,1,86547,1,2853393,1,11001,1,310809,1,7625,4,271233,4,65927,4,735969,4,1436370,8,2170115,96,0,0,2835,1,18726,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0
18,7273900,4049,9570,35.501663,,0,8,8,96,56411,1072,2124,7217489,16,139,10,1,23996,1,50,1,1915875,1,2331216,1,102448,1,2832783,1,11111,1,305028,1,7394,4,263548,4,65446,4,730178,4,1436801,8,2164855,96,0,0,2876,1,17895,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0
19,7213800,4050,9570,35.448185,,0,8,8,96,35767,1012,2115,7178033,16,139,20,1,24106,1,30,1,1921125,1,2340494,1,86627,1,2794830,1,10801,1,268097,1,7354,4,264169,4,65276,4,726471,4,1439546,8,2163902,96,0,0,2876,1,17534,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0
20,7952900,4829,9570,35.391983,,0,14,12,144,35602,1182,3137,7917298,16,211,10,1,24417,1,40,1,1926004,1,2483139,1,119070,1,3353728,1,10891,1,343943,1,7655,4,314176,4,65216,4,869246,4,1724937,8,2565297,144,25750,24,3938,1,20890,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0
21,8084300,4715,9570,35.333054,,0,13,11,132,39826,1212,3106,8044474,16,199,40,1,23806,1,90,1,1920754,1,2711059,1,109852,1,3268052,1,10821,1,341549,1,7464,4,307102,4,65306,4,844869,4,1672145,8,2496354,132,17554,24,3296,1,22594,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0
22,7911400,4565,9570,35.2714,,0,13,10,120,37906,1062,3137,7873494,16,199,10,1,24066,1,40,1,1925042,1,2628168,1,105303,1,3180003,1,10861,1,331038,1,8035,4,301131,4,65506,4,820352,4,1624373,8,2404106,120,37482,36,3326,1,22604,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0
