step,wall_ns,manifolds,pairs,top_y,awake
0,6745800,4495,9570,35.998295,
1,5663000,4196,9570,35.993866,
2,5680100,4142,9570,35.986713,
3,5459300,4111,9570,35.976837,
4,5488300,4100,9570,35.964233,
5,5516000,4087,9570,35.948902,
6,5994100,4079,9570,35.93085,
7,6251900,4073,9570,35.910072,
8,5957000,4066,9570,35.88657,
9,6105800,4061,9570,35.86034,
10,5819600,4053,9570,35.831387,
11,6500100,4054,9570,35.79971,
12,6020600,4056,9570,35.765305,
13,5548500,4055,9570,35.728176,
14,5291200,4060,9570,35.688324,
15,5299400,4057,9570,35.64575,
16,5576800,4055,9570,35.600445,
17,5294200,4051,9570,35.552414,
18,5342500,4049,9570,35.501663,
19,5806100,4050,9570,35.448185,
20,7092700,4829,9570,35.391983,
21,6563000,4715,9570,35.333054,
22,6196500,4565,9570,35.2714,
23,6065500,4496,9570,35.207024,
24,6112000,4419,9570,35.13992,
25,6280700,4390,9570,35.07009,
26,5820000,4353,9570,34.997536,
27,6459100,4336,9570,34.92226,
28,6852800,4982,9570,34.844257,
29,6120000,4783,9570,34.763527,
30,6489900,4670,9570,34.680073,
31,6887900,4639,9570,34.593895,
32,6179800,4573,9570,34.504993,
33,6004600,4491,9570,34.413364,
34,6695600,5031,9570,34.31901,
35,6233800,4806,9570,34.221935,
36,6141700,4646,9570,34.12213,
37,6092700,4535,9570,34.019604,
38,6672700,4502,9570,33.91435,
39,6400400,4984,9570,33.806374,
40,6328500,5009,9570,33.69567,
41,6188000,4852,9570,33.58224,
42,6457300,4753,9570,33.466087,
43,6082500,4728,9570,33.34721,
44,6484700,4996,9570,33.22561,
45,6604400,5112,9570,33.10128,
46,6463600,4923,9570,32.974224,
47,6756700,4760,9570,32.844448,
48,6425700,5001,9570,32.711945,
49,6567000,5139,9570,32.576717,
50,6676200,4996,9570,32.438763,
51,6575100,4871,9570,32.298084,
52,6437300,5093,9570,32.154682,
53,6305200,4972,9570,32.008553,
54,6127800,4792,9570,31.8597,
55,6270100,4796,9570,31.70812,
56,6417700,4911,9570,31.553818,
57,6150200,4780,9570,31.39679,
58,6066700,4734,9570,31.237036,
59,6238800,4748,9570,31.074558,
60,6195900,4704,9570,30.909355,
61,6155000,4678,9570,30.741426,
62,6099800,4666,9570,30.570772,
63,6105700,4609,9570,30.397394,
64,6149200,4623,9570,30.22129,
65,6146600,4625,9570,30.042463,
66,5956800,4579,9570,29.860909,
67,6070700,4610,9570,29.67663,
68,6022400,4550,9570,29.489626,
69,6181800,4524,9570,29.299898,
70,6760100,4535,9570,29.107445,
71,5931600,4528,9570,28.912266,
72,5885000,4533,9570,28.714361,
73,6004700,4529,9570,28.745474,
74,5904500,4530,9570,28.77165,
75,6232100,4529,9570,28.79591,
76,6111300,4524,9570,28.816788,
77,6060500,4517,9570,28.83433,
78,5919000,4520,9570,28.848581,
79,6109000,4514,9568,28.862343,
80,7056100,4519,9568,28.873486,
81,6324300,4518,9568,28.88324,
82,6576400,4518,9568,28.892859,
83,6825200,4516,9568,28.90075,
84,7303900,4517,9567,28.907646,
85,7235400,4508,9565,28.914537,
86,6447500,4519,9565,28.920815,
87,6760800,4516,9565,28.92588,
88,6496500,4518,9565,28.930962,
89,6625500,4519,9565,28.935617,
90,6236800,4514,9565,28.939785,
91,6138100,4516,9565,28.943506,
92,5989100,4512,9565,28.946703,
93,6061400,4508,9565,28.949604,
94,5923500,4522,9565,28.952375,
95,5917500,4519,9565,28.954878,
96,5998800,4521,9565,28.957104,
97,6246300,4517,9565,28.9592,
98,6142800,4515,9565,28.960983,
99,6345600,4520,9565,28.96278,
100,5995900,4521,9564,28.964386,
101,6080500,4521,9564,28.965906,
102,5937600,4521,9563,28.967402,
103,6131400,4520,9563,28.968788,
104,6259900,4522,9563,28.969984,
105,6271000,4518,9563,28.971111,
106,5899400,4521,9563,28.97221,
107,6077100,4523,9563,28.97325,
108,6369500,4515,9562,28.974203,
109,6066100,4517,9562,28.975157,
110,6037400,4516,9562,28.976004,
111,6327800,4515,9562,28.976778,
112,5946900,4519,9562,28.977486,
113,6037000,4520,9562,28.978231,
114,6231400,4520,9562,28.97893,
115,6037400,4519,9561,28.979557,
116,6110400,4526,9561,28.980162,
117,6434800,4519,9561,28.980728,
118,6280400,4521,9561,28.981266,
119,6011900,4517,9561,28.981787,
120,6040900,4523,9561,28.982262,
121,6047500,4523,9561,28.98269,
122,6027900,4521,9561,28.983118,
123,6265400,4522,9561,28.98351,
124,6030300,4518,9561,28.98387,
125,6082700,4521,9561,28.984217,
126,5983200,4521,9561,28.984558,
127,5938800,4517,9561,28.98485,
128,5899600,4522,9561,28.98514,
129,5989400,4521,9561,28.98541,
130,6064200,4519,9560,28.98568,
131,5957500,4526,9559,28.98593,
132,6056800,4524,9559,28.986149,
133,6124700,4516,9559,28.98636,
134,6124400,4520,9559,28.98657,
135,5943000,4522,9559,28.986776,
136,5921400,4519,9559,28.986969,
137,5920000,4521,9559,28.987137,
138,5976300,4521,9559,28.9873,
139,5997700,4521,9559,28.987465,
140,6036300,4518,9559,28.987623,
141,6075200,4523,9559,28.987766,
142,6040000,4524,9559,28.987892,
143,5981200,4523,9559,28.98802,
144,5893300,4520,9559,28.988153,
145,5984600,4519,9559,28.98826,
146,6103300,4520,9559,28.988363,
147,6163400,4522,9559,28.988459,
148,6105800,4517,9559,28.988543,
149,6192100,4519,9559,28.988642,
150,5987300,4522,9559,28.98874,
151,5936400,4520,9559,28.98882,
152,5966400,4523,9559,28.988888,
153,5943700,4523,9559,28.988964,
154,6079900,4524,9559,28.989048,
155,6203800,4521,9559,28.989117,
156,6132100,4520,9559,28.989172,
157,6487700,4519,9559,28.989218,
158,6259800,4519,9559,28.98927,
159,6210200,4518,9559,28.98933,
160,6060700,4519,9559,28.989386,
161,6524100,4521,9559,28.989433,
162,6743000,4518,9559,28.989477,
163,6781000,4520,9559,28.989515,
164,6306100,4520,9559,28.989552,
165,6459600,4519,9559,28.989582,
166,6295400,4516,9559,28.989613,
167,6173100,4518,9559,28.989645,
168,6107500,4518,9559,28.989676,
169,6250500,4514,9559,28.9897,
170,5864800,4515,9559,28.989725,
171,6010400,4512,9559,28.989754,
172,5943100,4513,9559,28.98977,
173,6245100,4515,9559,28.989801,
174,6029700,4515,9559,28.989834,
175,6077100,4515,9559,28.989851,
176,5923700,4514,9559,28.989864,
177,5966200,4516,9559,28.989883,
178,5891100,4515,9559,28.989906,
179,5983900,4515,9559,28.989923,
180,6554500,4515,9559,28.98993,
181,6121900,4517,9559,28.98993,
182,6269100,4517,9559,28.98994,
183,6133900,4516,9559,28.989958,
184,6186300,4516,9559,28.98997,
185,6272600,4514,9559,28.989977,
186,5944200,4515,9559,28.98999,
187,6017800,4516,9559,28.990005,
188,5877200,4519,9559,28.990013,
189,6082800,4519,9559,28.990015,
190,6111300,4519,9559,28.990025,
191,6224000,4520,9559,28.99004,
192,6445200,4522,9559,28.990047,
