step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8402400,8555,9570,28.99835,,0,16,16,192,108193,7945,10110,8294207,16,233,511,1,126556,1,240,1,2256804,1,1674380,1,589728,1,3631941,1,14047,1,1120411,1,14498,4,1040385,4,81839,4,447832,4,858972,8,1296694,192,0,0,5701,1,51440,1,2916,1,0,0,0,0,0,0,1151301,1,242973,1,104804,1,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1,0,0,0,0,0,0
1,5701100,5761,9570,28.995926,,0,16,12,144,37314,1433,4790,5663786,16,238,230,1,48795,1,190,1,2238097,1,801260,1,160613,1,2401756,1,12845,1,699682,1,12524,4,595710,4,86689,4,325233,4,637461,8,856347,144,101557,48,4589,1,35720,1,2715,1,0,0,0,0,0,0,721935,1,51220,1,21251,1,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1,0,0,0,0,0,0
2,6201400,6723,9570,28.994566,,0,16,14,168,39183,1272,5942,6162217,16,238,140,1,26061,1,190,1,1915719,1,807011,1,215399,1,3185191,1,12504,1,861567,1,14949,4,934850,4,97129,4,415779,4,797032,8,1145700,168,61169,24,4409,1,55538,1,2665,1,0,0,0,0,0,0,698610,1,70688,1,25399,1,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1,0,0,0,0,0,0
3,5879200,6695,9570,28.994541,,0,16,14,168,37407,1653,6483,5841793,16,238,60,1,25971,1,150,1,1924336,1,672790,1,213566,1,2992516,1,12404,1,838302,1,13286,4,752735,4,87340,4,423705,4,810358,8,1186800,168,40779,24,4960,1,56841,1,3336,1,0,0,0,0,0,0,608745,1,41962,1,16933,1,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1,0,0,0,0,0,0
4,5502800,6672,9570,28.994545,,0,16,14,168,36338,1313,6023,5466462,16,238,250,1,26692,1,140,1,1921070,1,658402,1,181313,1,2664858,1,13737,1,593535,1,12564,4,727095,4,87811,4,448854,4,701546,8,1109028,168,35349,24,9278,1,78032,1,4829,1,0,0,0,0,0,0,608034,1,30399,1,13075,1,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1,0,0,0,0,0,0
5,5925700,6758,9570,28.994184,,0,16,14,168,36365,1122,3257,5889335,16,238,230,1,34447,1,110,1,2191787,1,674924,1,184459,1,2784952,1,18426,1,715152,1,12955,4,728057,4,89234,4,370912,4,726414,8,1051566,168,42503,24,5922,1,132177,1,3006,1,0,0,0,0,0,0,615107,1,43475,1,11272,1,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1,0,0,0,0,0,0
6,5772900,6793,9570,28.993921,,0,16,14,168,33677,1653,3157,5739223,16,238,792,1,27764,1,601,1,2154895,1,679803,1,184549,1,2676871,1,13947,1,699121,1,12765,4,734500,4,89284,4,362856,4,721685,8,1036167,168,45218,24,4409,1,47863,1,2735,1,0,0,0,0,0,0,620969,1,41441,1,9749,1,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1,0,0,0,0,0,0
7,5666800,6783,9570,28.993895,,0,16,14,168,37100,1222,3056,5629700,16,238,70,1,25920,1,10,1,1937562,1,768045,1,185341,1,2699555,1,13196,1,732296,1,12715,4,735271,4,88312,4,367846,4,703139,8,1022701,168,45228,24,4799,1,51230,1,2725,1,0,0,0,0,0,0,705123,1,45198,1,9328,1,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1,0,0,0,0,0,0
8,5935700,6772,9570,28.993822,,0,16,14,168,36455,1733,2997,5899245,16,238,521,1,25500,1,40,1,1977850,1,762454,1,192475,1,2927269,1,13136,1,806751,1,14047,4,828463,4,87721,4,384238,4,746503,8,1082596,168,45148,24,4529,1,50488,1,2795,1,0,0,0,0,0,0,690685,1,54226,1,9519,1,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1,0,0,0,0,0,0
9,5833300,6790,9570,28.993675,,0,16,14,168,37928,1583,3047,5795372,16,238,190,1,26331,1,110,1,1936861,1,732075,1,188397,1,2898773,1,12635,1,734851,1,12655,4,802272,4,87400,4,402083,4,793004,8,1146642,168,45398,24,4569,1,57422,1,2936,1,0,0,0,0,0,0,677138,1,39547,1,8146,1,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1,0,0,0,0,0,0
