step,wall_ns,manifolds,pairs,top_y,awake
0,7088300,4495,9570,35.998295,
1,5871400,4196,9570,35.993866,
2,5541400,4142,9570,35.986713,
3,5544800,4111,9570,35.976837,
4,5433800,4100,9570,35.964233,
5,5400200,4087,9570,35.948902,
6,6206000,4079,9570,35.93085,
7,6161900,4073,9570,35.910072,
8,6021800,4066,9570,35.88657,
9,5641800,4061,9570,35.86034,
10,5401500,4053,9570,35.831387,
11,5305600,4054,9570,35.79971,
12,5465600,4056,9570,35.765305,
13,5447500,4055,9570,35.728176,
14,5436400,4060,9570,35.688324,
15,5444000,4057,9570,35.64575,
16,5358800,4055,9570,35.600445,
17,5733000,4051,9570,35.552414,
18,5429500,4049,9570,35.501663,
19,5491800,4050,9570,35.448185,
20,6021000,4829,9570,35.391983,
21,5863100,4715,9570,35.333054,
22,5823200,4565,9570,35.2714,
23,5780700,4496,9570,35.207024,
24,5820000,4419,9570,35.13992,
25,5711200,4390,9570,35.07009,
26,5639700,4353,9570,34.997536,
27,5614400,4336,9570,34.92226,
28,6380700,4982,9570,34.844257,
29,6006500,4783,9570,34.763527,
30,6370800,4670,9570,34.680073,
31,6321200,4639,9570,34.593895,
32,5880300,4573,9570,34.504993,
33,5837000,4491,9570,34.413364,
34,6298200,5031,9570,34.31901,
35,6224200,4806,9570,34.221935,
36,6342600,4646,9570,34.12213,
37,6115300,4535,9570,34.019604,
38,5965200,4502,9570,33.91435,
39,6346400,4984,9570,33.806374,
40,6370900,5009,9570,33.69567,
41,6297900,4852,9570,33.58224,
42,6230100,4753,9570,33.466087,
43,6161200,4728,9570,33.34721,
44,6433800,4996,9570,33.22561,
45,6559400,5112,9570,33.10128,
46,6297800,4923,9570,32.974224,
47,6302400,4760,9570,32.844448,
48,6523000,5001,9570,32.711945,
49,6654100,5139,9570,32.576717,
50,6792600,4996,9570,32.438763,
51,6450200,4871,9570,32.298084,
52,6916200,5093,9570,32.154682,
53,6882200,4972,9570,32.008553,
54,6786400,4792,9570,31.8597,
55,6764600,4796,9570,31.70812,
56,6573000,4911,9570,31.553818,
57,6481200,4780,9570,31.39679,
58,6533100,4734,9570,31.237036,
59,6446700,4748,9570,31.074558,
60,6531600,4704,9570,30.909355,
61,6321900,4678,9570,30.741426,
62,6234700,4666,9570,30.570772,
63,6954900,4609,9570,30.397394,
64,6386200,4623,9570,30.22129,
65,6156500,4625,9570,30.042463,
66,6430400,4579,9570,29.860909,
67,6270100,4610,9570,29.67663,
68,6350900,4550,9570,29.489626,
69,6505200,4524,9570,29.299898,
70,6249300,4535,9570,29.107445,
71,6985300,4528,9570,28.912266,
72,6481300,4533,9570,28.714361,
73,6474100,4529,9570,28.745474,
74,6626400,4530,9570,28.77165,
75,6771100,4529,9570,28.79591,
76,6155600,4524,9570,28.816788,
77,6441600,4517,9570,28.83433,
78,6583700,4520,9570,28.848581,
79,6485800,4514,9568,28.862343,
80,6256300,4519,9568,28.873486,
81,6661200,4518,9568,28.88324,
82,6315200,4518,9568,28.892859,
83,6188000,4516,9568,28.90075,
84,6279400,4517,9567,28.907646,
85,6107800,4508,9565,28.914537,
86,6418100,4519,9565,28.920815,
87,6253700,4516,9565,28.92588,
88,6668100,4518,9565,28.930962,
89,7140700,4519,9565,28.935617,
90,7099600,4514,9565,28.939785,
91,6252200,4516,9565,28.943506,
92,6127000,4512,9565,28.946703,
93,5952800,4508,9565,28.949604,
94,6297600,4522,9565,28.952375,
95,6236700,4519,9565,28.954878,
96,6362100,4521,9565,28.957104,
97,6526100,4517,9565,28.9592,
98,6455800,4515,9565,28.960983,
99,6244500,4520,9565,28.96278,
100,6182500,4521,9564,28.964386,
101,6170400,4521,9564,28.965906,
102,6161100,4521,9563,28.967402,
103,5955200,4520,9563,28.968788,
104,6266600,4522,9563,28.969984,
105,6242300,4518,9563,28.971111,
106,6199900,4521,9563,28.97221,
107,6190400,4523,9563,28.97325,
108,6202200,4515,9562,28.974203,
109,6302800,4517,9562,28.975157,
110,6137900,4516,9562,28.976004,
111,6094700,4515,9562,28.976778,
112,5936500,4519,9562,28.977486,
113,6576500,4520,9562,28.978231,
114,6272800,4520,9562,28.97893,
115,6150800,4519,9561,28.979557,
116,6192300,4526,9561,28.980162,
117,6088900,4519,9561,28.980728,
118,6251000,4521,9561,28.981266,
119,6214800,4517,9561,28.981787,
120,6894500,4523,9561,28.982262,
121,7018400,4523,9561,28.98269,
122,6399300,4521,9561,28.983118,
123,5952100,4522,9561,28.98351,
124,5899400,4518,9561,28.98387,
125,6208000,4521,9561,28.984217,
126,6105500,4521,9561,28.984558,
127,6111800,4517,9561,28.98485,
128,6274300,4522,9561,28.98514,
129,6278100,4521,9561,28.98541,
130,6424100,4519,9560,28.98568,
131,6667900,4526,9559,28.98593,
132,7055600,4524,9559,28.986149,
133,6369000,4516,9559,28.98636,
134,5962600,4520,9559,28.98657,
135,6072400,4522,9559,28.986776,
136,6340900,4519,9559,28.986969,
137,6266800,4521,9559,28.987137,
138,6535800,4521,9559,28.9873,
139,6773000,4521,9559,28.987465,
140,6349200,4518,9559,28.987623,
141,6202200,4523,9559,28.987766,
142,6213300,4524,9559,28.987892,
143,6100700,4523,9559,28.98802,
144,6129100,4520,9559,28.988153,
145,5960100,4519,9559,28.98826,
146,6563500,4520,9559,28.988363,
147,6500700,4522,9559,28.988459,
148,6581700,4517,9559,28.988543,
149,6318400,4519,9559,28.988642,
150,6374800,4522,9559,28.98874,
151,6419400,4520,9559,28.98882,
152,6246500,4523,9559,28.988888,
153,6155000,4523,9559,28.988964,
154,6110700,4524,9559,28.989048,
155,6178300,4521,9559,28.989117,
156,6340300,4520,9559,28.989172,
157,6233900,4519,9559,28.989218,
158,6163800,4519,9559,28.98927,
159,6255800,4518,9559,28.98933,
160,6171800,4519,9559,28.989386,
161,6157400,4521,9559,28.989433,
162,6252000,4518,9559,28.989477,
163,6219100,4520,9559,28.989515,
164,6624800,4520,9559,28.989552,
165,6184300,4519,9559,28.989582,
166,6278700,4516,9559,28.989613,
167,6203500,4518,9559,28.989645,
168,6412100,4518,9559,28.989676,
169,6134300,4514,9559,28.9897,
170,6398700,4515,9559,28.989725,
171,6074000,4512,9559,28.989754,
172,6061800,4513,9559,28.98977,
173,6281500,4515,9559,28.989801,
174,6128400,4515,9559,28.989834,
175,6137500,4515,9559,28.989851,
176,6027200,4514,9559,28.989864,
177,6362000,4516,9559,28.989883,
178,6414700,4515,9559,28.989906,
179,6224400,4515,9559,28.989923,
180,6237100,4515,9559,28.98993,
181,6147400,4517,9559,28.98993,
182,6102300,4517,9559,28.98994,
183,6054200,4516,9559,28.989958,
184,5951500,4516,9559,28.98997,
185,6082800,4514,9559,28.989977,
186,6250200,4515,9559,28.98999,
187,6113600,4516,9559,28.990005,
188,6166900,4519,9559,28.990013,
189,6113900,4519,9559,28.990015,
190,6147400,4519,9559,28.990025,
191,6228200,4520,9559,28.99004,
192,6075100,4522,9559,28.990047,
193,5911600,4521,9559,28.990053,
194,6345500,4522,9559,28.990055,
195,6239900,4521,9559,28.99006,
196,6159200,4522,9559,28.99006,
197,6329300,4523,9559,28.990076,
198,6469100,4523,9559,28.990084,
199,6176100,4524,9559,28.990086,
200,6181700,4522,9559,28.990088,
201,6106600,4522,9559,28.990097,
202,5922200,4521,9559,28.99011,
203,6096300,4525,9559,28.990112,
204,6112600,4526,9559,28.990108,
205,6197300,4524,9559,28.990114,
206,6150000,4523,9559,28.99012,
207,6137300,4523,9559,28.990118,
208,6302900,4523,9559,28.990112,
209,6247500,4522,9559,28.990116,
210,6316800,4522,9559,28.990122,
211,6135300,4523,9559,28.990128,
212,5983500,4523,9559,28.990124,
213,6226300,4523,9559,28.99013,
214,6174100,4524,9559,28.990137,
215,6522300,4524,9559,28.990137,
216,6218200,4526,9559,28.990137,
217,6896000,4524,9559,28.990143,
218,6376000,4525,9559,28.990149,
219,6467200,4524,9559,28.990149,
220,6151500,4523,9559,28.990152,
221,6129500,4522,9559,28.99016,
222,6276500,4522,9559,28.990164,
223,6854100,4520,9559,28.990162,
224,6858200,4521,9559,28.99016,
225,6348900,4522,9559,28.990166,
226,6296000,4521,9559,28.990166,
227,6491600,4522,9559,28.990166,
228,6556300,4521,9559,28.990168,
229,6403500,4519,9559,28.990175,
230,6491600,4521,9559,28.990171,
231,6241800,4522,9559,28.990166,
232,6321800,4523,9559,28.990173,
233,6343500,4527,9559,28.990175,
234,6214300,4523,9559,28.990168,
235,6098100,4525,9559,28.99017,
236,6037200,4525,9559,28.990175,
237,6307400,4526,9559,28.990175,
238,6524600,4525,9559,28.990175,
239,6280600,4524,9559,28.990175,
240,6672900,4524,9559,28.990175,
241,6249500,4521,9559,28.990175,
242,6388100,4520,9559,28.990175,
243,6396000,4520,9559,28.990175,
244,6678000,4521,9559,28.990171,
245,6237900,4520,9559,28.990164,
246,6593500,4521,9559,28.990164,
247,6414400,4521,9559,28.990164,
248,6013600,4520,9559,28.990164,
249,6593600,4522,9559,28.990164,
250,6368700,4521,9559,28.990164,
251,6247000,4522,9559,28.990164,
252,6254100,4523,9559,28.990164,
253,6162700,4523,9559,28.99017,
254,6257700,4523,9559,28.99017,
255,6203500,4521,9559,28.99017,
256,6253200,4519,9559,28.99017,
257,6058400,4519,9559,28.990171,
258,5930000,4520,9559,28.990177,
259,6365000,4520,9559,28.990177,
260,6283100,4520,9559,28.990177,
261,6154900,4519,9559,28.99018,
262,6578100,4518,9559,28.990187,
263,6506100,4518,9559,28.990187,
264,6482800,4518,9559,28.990187,
265,6217000,4518,9559,28.990187,
266,6322400,4518,9559,28.990187,
267,6116300,4518,9559,28.990187,
268,6070200,4518,9559,28.990187,
269,5919900,4518,9559,28.990187,
270,6243600,4518,9559,28.990187,
271,6220300,4518,9559,28.990187,
272,6154900,4518,9559,28.990187,
273,6324500,4518,9559,28.990187,
274,6202600,4518,9559,28.990187,
275,6153300,4518,9559,28.990187,
276,6042600,4519,9559,28.990183,
277,5903600,4518,9559,28.990183,
278,6074400,4518,9559,28.990183,
279,6073000,4519,9559,28.990183,
280,6136200,4518,9559,28.990183,
281,6228800,4520,9559,28.990183,
282,6256400,4520,9559,28.990185,
283,6135200,4518,9559,28.990185,
284,6059400,4518,9559,28.990185,
285,6208600,4519,9559,28.990185,
286,5954900,4520,9559,28.990185,
287,6273300,4519,9559,28.990185,
288,6370300,4520,9559,28.990185,
289,6158900,4518,9559,28.990185,
290,6186900,4517,9559,28.99019,
291,6192900,4517,9559,28.99019,
292,6138300,4519,9559,28.99019,
293,6093100,4517,9559,28.990187,
294,6115300,4517,9559,28.990185,
295,5914500,4516,9559,28.990192,
296,6378800,4516,9559,28.990198,
297,6189800,4515,9559,28.990198,
298,6151500,4515,9559,28.990196,
299,6058500,4515,9559,28.990194,
300,6086200,4515,9559,28.990194,
301,6141900,4515,9559,28.990194,
302,6360900,4515,9559,28.990194,
303,6261700,4516,9559,28.990194,
304,6515400,4515,9559,28.990194,
305,6160900,4517,9559,28.990194,
306,6312100,4517,9559,28.990194,
307,6274500,4517,9559,28.990194,
308,6604400,4516,9559,28.990194,
309,6692000,4516,9559,28.990194,
310,7171100,4516,9559,28.990194,
311,6750700,4516,9559,28.990194,
312,6241700,4515,9559,28.990194,
313,6171200,4515,9559,28.990194,
314,6210200,4515,9559,28.990194,
315,6140700,4517,9559,28.990194,
316,6519700,4515,9559,28.990194,
317,6214300,4517,9559,28.990194,
318,6167200,4516,9559,28.990192,
319,6537500,4516,9559,28.99019,
320,6381600,4515,9559,28.990196,
321,6364500,4515,9559,28.990198,
322,6210300,4517,9559,28.990198,
323,6197100,4517,9559,28.990198,
324,6219500,4517,9559,28.990198,
325,6327300,4516,9559,28.990194,
326,6782500,4516,9559,28.990189,
327,6130100,4516,9559,28.990189,
328,5994800,4515,9559,28.990189,
329,6232000,4514,9559,28.990189,
330,6554800,4515,9559,28.990189,
331,6372000,4513,9559,28.990189,
332,6457100,4513,9559,28.990189,
333,6786500,4512,9559,28.990185,
334,6330200,4513,9559,28.990185,
335,6474400,4514,9559,28.990185,
336,6634200,4513,9559,28.990185,
337,6264500,4516,9559,28.990185,
338,6476000,4517,9559,28.990185,
339,6164000,4518,9559,28.990185,
340,6208700,4517,9559,28.990185,
341,6345400,4517,9559,28.990185,
342,6198400,4517,9559,28.990185,
343,6182500,4517,9559,28.990185,
344,6396800,4517,9559,28.990185,
345,6568400,4517,9559,28.990189,
346,6562200,4517,9559,28.990189,
347,6505400,4517,9559,28.990189,
348,6241300,4517,9559,28.990189,
349,6215300,4516,9559,28.990189,
350,6228400,4515,9559,28.990189,
351,6133600,4516,9559,28.990189,
352,6421500,4517,9559,28.990189,
353,6087900,4518,9559,28.990189,
354,6402900,4518,9559,28.990189,
