step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9295300,4495,9570,35.998295,,0,9,9,108,88460,8026,4079,9206840,18,152,2495,1,144128,1,210,1,2309383,1,2529853,1,427494,1,203136,1,3578488,1,11653,1,588165,1,10701,4,339688,4,75631,4,864978,4,1664495,8,2525394,108,0,0,3717,1,20521,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8076700,4196,9570,35.993866,,0,8,8,96,61982,1363,4058,8014718,18,140,150,1,36282,1,80,1,1948973,1,2527889,1,427083,1,94499,1,2968599,1,11162,1,367554,1,8026,4,271863,4,65110,4,750309,4,1479736,8,2225986,96,0,0,3387,1,18727,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7774500,4142,9570,35.986713,,0,8,8,96,56695,1353,6324,7717805,18,140,240,1,25301,1,100,1,1954484,1,2337649,1,427133,1,90200,1,2870544,1,12154,1,300460,1,7475,4,267685,4,65551,4,740790,4,1463423,8,2197889,96,0,0,3036,1,18236,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7758600,4111,9570,35.976837,,0,8,8,96,68149,1222,6273,7690451,18,140,220,1,30541,1,70,1,1962299,1,2306036,1,427243,1,87254,1,2865764,1,11022,1,289699,1,8156,4,265601,4,65320,4,740098,4,1464044,8,2197870,96,0,0,3457,1,25631,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7760500,4100,9570,35.964233,,0,8,8,96,56101,1613,8377,7704399,18,140,220,1,25240,1,110,1,1965155,1,2299864,1,427033,1,86072,1,2889732,1,10972,1,271142,1,9459,4,265911,4,65551,4,747663,4,1494726,8,2234012,96,0,0,3768,1,26493,1,3407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7747700,4087,9570,35.948902,,0,8,8,96,52880,1172,2485,7694820,18,140,230,1,25110,1,351,1,1963061,1,2332980,1,427143,1,88346,1,2846405,1,11192,1,280651,1,7465,4,265170,4,65461,4,735950,4,1456199,8,2189663,96,0,0,3968,1,27836,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7862200,4079,9570,35.93085,,0,8,8,96,72160,1403,2275,7790040,18,140,311,1,25110,1,80,1,1958622,1,2328671,1,427093,1,91703,1,2947397,1,11052,1,323366,1,8657,4,316182,4,69529,4,742182,4,1460708,8,2200615,96,0,0,3387,1,19459,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,8000000,4073,9570,35.910072,,0,8,8,96,53999,1353,2365,7946001,18,140,220,1,25050,1,70,1,1959845,1,2347920,1,427063,1,86643,1,3088088,1,11102,1,360941,1,9689,4,346472,4,69609,4,768244,4,1507511,8,2273390,96,0,0,3096,1,18667,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7709100,4066,9570,35.88657,,0,8,8,96,52166,1232,2266,7656934,18,140,150,1,25291,1,70,1,1955496,1,2323561,1,427103,1,87855,1,2826425,1,10982,1,290270,1,7375,4,263326,4,65581,4,731912,4,1443143,8,2172789,96,0,0,3096,1,17976,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7709500,4061,9570,35.86034,,0,8,8,96,55893,1212,2375,7653607,18,140,160,1,24910,1,70,1,1957360,1,2323992,1,427113,1,85190,1,2823620,1,11192,1,286162,1,7535,4,263106,4,65581,4,730710,4,1443994,8,2172329,96,0,0,3006,1,19790,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
