step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,272800,16,31,30.998297,,0,2,0,0,61088,4930,1994,211712,16,67,822,1,32804,1,341,1,5401,1,30429,1,26301,1,114393,1,1222,1,49777,1,1343,4,3447,4,4048,4,18737,4,30158,8,0,0,46901,24,321,1,1343,1,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
1,177300,16,31,30.993937,,0,2,0,0,69510,1082,882,107790,16,67,130,1,10190,1,120,1,942,1,20841,1,1613,1,73213,1,741,1,9709,1,321,4,2685,4,1433,4,20320,4,37333,8,0,0,56771,24,80,1,170,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
2,117900,16,31,30.987455,,0,2,0,0,27935,1002,4068,89965,16,67,80,1,982,1,80,1,872,1,18656,1,1403,1,67552,1,341,1,2395,1,331,4,2675,4,1383,4,19508,4,39898,8,0,0,55338,24,110,1,170,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1,0,0,0,0,0,0
3,107200,16,31,30.97999,,0,2,0,0,25711,601,531,81489,16,67,10,1,751,1,70,1,711,1,15771,1,1062,1,62732,1,381,1,1824,1,291,4,2455,4,1232,4,18997,4,36972,8,0,0,55438,24,140,1,160,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
4,100000,16,31,30.972979,,0,2,0,0,20154,571,501,79846,16,67,10,1,631,1,20,1,591,1,14989,1,812,1,62482,1,311,1,1824,1,291,4,2415,4,1232,4,18967,4,36902,8,0,0,55368,24,110,1,120,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
5,100400,16,31,30.966393,,0,2,0,0,19392,561,521,81008,16,67,30,1,681,1,10,1,531,1,17043,1,681,1,61700,1,331,1,1864,1,180,4,2495,4,1162,4,18827,4,36441,8,0,0,54747,24,50,1,90,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
6,98700,16,31,30.961182,,0,2,0,0,20347,611,431,78353,16,67,10,1,591,1,20,1,491,1,13977,1,681,1,62301,1,281,1,1623,1,281,4,2445,4,1152,4,18907,4,37062,8,0,0,55538,24,50,1,140,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
7,105000,16,31,30.955942,,0,2,0,0,23692,2515,491,81308,16,67,20,1,581,1,20,1,491,1,13697,1,701,1,65488,1,311,1,1563,1,371,4,2485,4,1212,4,19598,4,37563,8,0,0,56670,24,50,1,100,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
8,98200,16,31,30.950468,,0,2,0,0,19968,591,511,78232,16,67,30,1,661,1,40,1,531,1,13346,1,661,1,62682,1,281,1,1713,1,281,4,2455,4,1222,4,19107,4,37142,8,0,0,55739,24,50,1,90,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
9,79900,16,31,30.945265,,0,2,0,0,17148,441,372,62752,16,67,60,1,501,1,10,1,421,1,10961,1,591,1,49987,1,220,1,1303,1,200,4,2034,4,1041,4,15190,4,29648,8,0,0,44465,24,30,1,70,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1,0,0,0,0,0,0
