step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,12289900,8555,9570,28.99835,,0,16,16,192,76673,6202,9028,12213227,16,235,852,1,106863,1,170,1,1957392,1,3300012,1,259606,1,6573722,1,14609,1,1151861,1,10351,4,579893,4,68416,4,1549461,4,3074925,8,4615358,192,0,0,7144,1,121011,1,4459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,0,0,0,0,0,0
1,9830500,5761,9570,28.995926,,0,16,12,144,60411,1593,5150,9770089,16,235,832,1,62564,1,170,1,2210456,1,2972772,1,186020,1,4324319,1,12956,1,741495,1,9128,4,391589,4,65951,4,1032874,4,2042221,8,2981529,144,88416,48,4208,1,32705,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1,0,0,0,0,0,0
2,10646200,6723,9570,28.994566,,0,16,14,168,58586,4289,7846,10587614,16,235,150,1,23988,1,80,1,1956130,1,3476794,1,215188,1,4902499,1,12785,1,679652,1,8958,4,451638,4,66312,4,1212672,4,2421545,8,3575319,168,51052,24,4900,1,49969,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1,0,0,0,0,0,0
3,10708000,6695,9570,28.994541,,0,16,14,168,53042,1533,5802,10654958,16,235,150,1,23898,1,170,1,1954306,1,3606211,1,184657,1,4872750,1,12815,1,699020,1,8828,4,444754,4,65701,4,1201459,4,2399161,8,3560791,168,34028,24,4870,1,44869,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1,0,0,0,0,0,0
4,10722800,6672,9570,28.994545,,0,16,14,168,55788,1743,4058,10667012,16,235,150,1,23807,1,40,1,1961841,1,3616862,1,181942,1,4869483,1,12886,1,666175,1,8537,4,445436,4,66152,4,1226289,4,2391215,8,3583135,168,30310,24,4860,1,56542,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1,0,0,0,0,0,0
5,10889600,6758,9570,28.994184,,0,16,14,168,75665,1593,3928,10813935,16,235,250,1,24459,1,80,1,1953855,1,3683194,1,189417,1,4943180,1,19499,1,703188,1,8196,4,453382,4,65891,4,1217331,4,2402287,8,3581592,168,34098,24,5180,1,81702,1,4429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1,0,0,0,0,0,0
6,10805800,6793,9570,28.993921,,0,16,14,168,60893,1914,4469,10744907,16,235,271,1,25942,1,160,1,1965529,1,3652123,1,185298,1,4902239,1,13347,1,623340,1,7886,4,454424,4,67364,4,1238834,4,2437958,8,3633906,168,38416,24,5270,1,62685,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1,0,0,0,0,0,0
7,10922900,6783,9570,28.993895,,0,16,14,168,56421,1794,3879,10866479,16,235,190,1,23928,1,70,1,1954126,1,3694316,1,185349,1,4994913,1,13587,1,727477,1,8607,4,467059,4,65951,4,1226629,4,2435694,8,3620198,168,38246,24,5070,1,53797,1,2836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1,0,0,0,0,0,0
8,11121500,6772,9570,28.993822,,0,16,14,168,68039,1954,4059,11053461,16,235,150,1,23918,1,150,1,1961420,1,3656020,1,297381,1,5101044,1,13377,1,901823,1,9539,4,459684,4,65671,4,1215868,4,2396466,8,3570339,168,37935,24,4800,1,42725,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1,0,0,0,0,0,0
9,11109900,6790,9570,28.993675,,0,16,14,168,61259,1683,3819,11048641,16,235,521,1,30050,1,170,1,2209905,1,3646030,1,180960,1,4967619,1,13387,1,639041,1,12886,4,454714,4,67023,4,1222621,4,2490603,8,3670879,168,38527,24,5291,1,71151,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1,0,0,0,0,0,0
