step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,13605500,8555,9570,28.99835,,0,16,16,192,78909,7665,10621,13526591,16,235,962,1,138838,1,561,1,2041170,1,3691606,1,361548,1,7277538,1,14368,1,1469787,1,15209,4,612392,4,71017,4,1634265,4,3334898,8,4958542,192,0,0,8166,1,119801,1,4338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,0,0,0,0,0,0
1,10126000,5761,9570,28.995926,,0,16,12,144,61171,1432,5441,10064829,16,235,771,1,49506,1,160,1,2259001,1,3036502,1,175859,1,4529173,1,13857,1,806096,1,7494,4,375745,4,65567,4,1082971,4,2118910,8,3105124,144,91316,48,4659,1,62420,1,3877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1,0,0,0,0,0,0
2,11160000,6723,9570,28.994566,,0,16,14,168,57298,3096,8818,11102702,16,235,140,1,29357,1,291,1,1955304,1,3576714,1,216588,1,5311403,1,12905,1,977938,1,8957,4,470077,4,67360,4,1250674,4,2474998,8,3663802,168,53052,24,4779,1,50998,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1,0,0,0,0,0,0
3,11158600,6695,9570,28.994541,,0,16,14,168,58843,1703,6112,11099757,16,235,160,1,24597,1,80,1,1958250,1,3749328,1,185538,1,5167916,1,13887,1,851674,1,8797,4,452143,4,66368,4,1246065,4,2461952,8,3666237,168,35669,24,6773,1,69715,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1,0,0,0,0,0,0
4,11078900,6672,9570,28.994545,,0,16,14,168,54759,1333,3818,11024141,16,235,220,1,25650,1,60,1,1955805,1,3691947,1,184196,1,5153438,1,12825,1,885109,1,8126,4,465128,4,65717,4,1237148,4,2438227,8,3640207,168,31351,24,4789,1,45327,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1,0,0,0,0,0,0
5,11156200,6758,9570,28.994184,,0,16,14,168,56163,1423,4119,11100037,16,235,321,1,25329,1,90,1,1961466,1,3708198,1,183524,1,5207462,1,13646,1,815244,1,9679,4,461992,4,67110,4,1252408,4,2520776,8,3733887,168,35178,24,4919,1,71388,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1,0,0,0,0,0,0
6,11208800,6793,9570,28.993921,,0,16,14,168,53135,2435,4399,11155665,16,235,220,1,24658,1,70,1,1956677,1,3716945,1,202791,1,5241147,1,13155,1,850512,1,13296,4,483313,4,66839,4,1262818,4,2490407,8,3708598,168,40228,24,4919,1,63563,1,3046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1,0,0,0,0,0,0
7,11453900,6783,9570,28.993895,,0,16,14,168,55938,1553,3928,11397962,16,235,70,1,24337,1,170,1,1964993,1,3671487,1,252367,1,5469468,1,15069,1,1023235,1,8727,4,521306,4,70596,4,1294319,4,2464087,8,3715171,168,39306,24,4839,1,77730,1,3076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1,0,0,0,0,0,0
8,11183000,6772,9570,28.993822,,0,16,14,168,60099,1242,3928,11122901,16,235,90,1,25910,1,150,1,1924655,1,3743356,1,194455,1,5220748,1,13536,1,872675,1,9418,4,444167,4,75876,4,1258990,4,2479266,8,3695083,168,39246,24,4749,1,71839,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1,0,0,0,0,0,0
9,11301800,6790,9570,28.993675,,0,16,14,168,41944,1763,4309,11259856,16,235,170,1,47101,1,90,1,2145101,1,3644345,1,190037,1,5219465,1,13546,1,804854,1,7975,4,454477,4,65937,4,1262888,4,2494014,8,3712616,168,39977,24,15470,1,104261,1,7825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1,0,0,0,0,0,0
