step,wall_ns,manifolds,pairs,top_y,awake
0,20041000,4495,9570,35.998295,
1,17866600,4196,9570,35.993866,
2,16714800,4142,9570,35.986713,
3,16445500,4111,9570,35.976837,
4,16409600,4100,9570,35.964233,
5,16451500,4087,9570,35.948902,
6,16744600,4079,9570,35.93085,
7,17361200,4073,9570,35.910072,
8,16402100,4066,9570,35.88657,
9,16431100,4061,9570,35.86034,
10,16524800,4053,9570,35.831387,
11,16523300,4054,9570,35.79971,
12,17309500,4056,9570,35.765305,
13,16501900,4055,9570,35.728176,
14,16582200,4060,9570,35.688324,
15,16448700,4057,9570,35.64575,
16,16452300,4055,9570,35.600445,
17,16492100,4051,9570,35.552414,
18,16429300,4049,9570,35.501663,
19,16638800,4050,9570,35.448185,
20,19904300,4829,9570,35.391983,
21,18998000,4715,9570,35.333054,
22,18477300,4565,9570,35.2714,
23,18767900,4496,9570,35.207024,
24,18062400,4419,9570,35.13992,
25,17786200,4390,9570,35.07009,
26,17615100,4353,9570,34.997536,
27,17554900,4336,9570,34.92226,
28,20272700,4982,9570,34.844257,
29,19455900,4783,9570,34.763527,
30,19009700,4670,9570,34.680073,
31,18743000,4639,9570,34.593895,
32,18206200,4573,9570,34.504993,
33,18024000,4491,9570,34.413364,
34,21574700,5031,9570,34.31901,
35,19883000,4806,9570,34.221935,
36,19270400,4646,9570,34.12213,
37,18366300,4535,9570,34.019604,
38,18262500,4502,9570,33.91435,
39,20972400,4984,9570,33.806374,
40,20590700,5009,9570,33.69567,
41,19893100,4852,9570,33.58224,
42,18475900,4753,9570,33.466087,
43,18534900,4728,9570,33.34721,
44,19830500,4996,9570,33.22561,
45,20907900,5112,9570,33.10128,
46,19259700,4923,9570,32.974224,
47,18295900,4760,9570,32.844448,
48,19437500,5001,9570,32.711945,
49,20045800,5139,9570,32.576717,
50,19882000,4996,9570,32.438763,
51,19413300,4871,9570,32.298084,
52,19967800,5093,9570,32.154682,
53,19755100,4972,9570,32.008553,
54,19866700,4792,9570,31.8597,
55,19139800,4796,9570,31.70812,
56,20041600,4911,9570,31.553818,
57,19372800,4780,9570,31.39679,
58,18985000,4734,9570,31.237036,
59,19290300,4748,9570,31.074558,
60,19287100,4704,9570,30.909355,
