step,wall_ns,manifolds,pairs,top_y,awake
0,5314200,4495,9570,35.998295,
1,4316800,4196,9570,35.993866,
2,4466400,4142,9570,35.986713,
3,4277500,4111,9570,35.976837,
4,4198200,4100,9570,35.964233,
5,4178800,4087,9570,35.948902,
6,4465900,4079,9570,35.93085,
7,4739800,4073,9570,35.910072,
8,4522100,4066,9570,35.88657,
9,4523100,4061,9570,35.86034,
10,4486200,4053,9570,35.831387,
11,4409300,4054,9570,35.79971,
12,4173400,4056,9570,35.765305,
13,4384300,4055,9570,35.728176,
14,4538900,4060,9570,35.688324,
15,4435600,4057,9570,35.64575,
16,4939200,4055,9570,35.600445,
17,4437600,4051,9570,35.552414,
18,4365100,4049,9570,35.501663,
19,4172900,4050,9570,35.448185,
20,4842600,4829,9570,35.391983,
21,4604200,4715,9570,35.333054,
22,4548300,4565,9570,35.2714,
23,4481700,4496,9570,35.207024,
24,4438600,4419,9570,35.13992,
25,4510000,4390,9570,35.07009,
26,4685900,4353,9570,34.997536,
27,4671900,4336,9570,34.92226,
28,4828500,4982,9570,34.844257,
29,4977300,4783,9570,34.763527,
30,4701900,4670,9570,34.680073,
31,5128700,4639,9570,34.593895,
32,4652300,4573,9570,34.504993,
33,4542200,4491,9570,34.413364,
34,5208100,5031,9570,34.31901,
35,4782300,4806,9570,34.221935,
36,4828000,4646,9570,34.12213,
37,4861900,4535,9570,34.019604,
38,4667900,4502,9570,33.91435,
39,4908000,4984,9570,33.806374,
40,4843300,5009,9570,33.69567,
41,4842100,4852,9570,33.58224,
42,4944300,4753,9570,33.466087,
43,4935300,4728,9570,33.34721,
44,5182300,4996,9570,33.22561,
45,5304300,5112,9570,33.10128,
46,5159100,4923,9570,32.974224,
47,4991500,4760,9570,32.844448,
48,5221600,5001,9570,32.711945,
49,5287200,5139,9570,32.576717,
50,4752200,4996,9570,32.438763,
51,5048100,4871,9570,32.298084,
52,5008400,5093,9570,32.154682,
53,4886500,4972,9570,32.008553,
54,4836600,4792,9570,31.8597,
55,4834100,4796,9570,31.70812,
56,4843900,4911,9570,31.553818,
57,4808300,4780,9570,31.39679,
58,4802300,4734,9570,31.237036,
59,4844000,4748,9570,31.074558,
60,4897700,4704,9570,30.909355,
61,4677200,4678,9570,30.741426,
62,4680000,4666,9570,30.570772,
63,4667000,4609,9570,30.397394,
64,4670900,4623,9570,30.22129,
65,4672100,4625,9570,30.042463,
66,4667900,4579,9570,29.860909,
67,4646600,4610,9570,29.67663,
68,4606600,4550,9570,29.489626,
69,4963300,4524,9570,29.299898,
70,4726000,4535,9570,29.107445,
71,4560600,4528,9570,28.912266,
72,4697800,4533,9570,28.714361,
73,4650900,4529,9570,28.745474,
74,5212400,4530,9570,28.77165,
75,4577000,4529,9570,28.79591,
76,4706200,4524,9570,28.816788,
77,4597900,4517,9570,28.83433,
78,4660700,4520,9570,28.848581,
79,4828300,4514,9568,28.862343,
80,4901400,4519,9568,28.873486,
81,4565200,4518,9568,28.88324,
82,4769400,4518,9568,28.892859,
83,4629400,4516,9568,28.90075,
84,4613500,4517,9567,28.907646,
85,4849700,4508,9565,28.914537,
86,4627300,4519,9565,28.920815,
87,4674300,4516,9565,28.92588,
88,4852000,4518,9565,28.930962,
89,4793200,4519,9565,28.935617,
90,4654900,4514,9565,28.939785,
91,4644300,4516,9565,28.943506,
92,4637400,4512,9565,28.946703,
93,4643000,4508,9565,28.949604,
94,4684200,4522,9565,28.952375,
95,4689700,4519,9565,28.954878,
96,4754600,4521,9565,28.957104,
97,4756100,4517,9565,28.9592,
98,4761600,4515,9565,28.960983,
99,4876300,4520,9565,28.96278,
100,4731600,4521,9564,28.964386,
101,4783300,4521,9564,28.965906,
102,4873000,4521,9563,28.967402,
103,4705200,4520,9563,28.968788,
104,4868600,4522,9563,28.969984,
105,4705700,4518,9563,28.971111,
106,4656100,4521,9563,28.97221,
107,4857200,4523,9563,28.97325,
108,4824900,4515,9562,28.974203,
109,4682300,4517,9562,28.975157,
110,5241300,4516,9562,28.976004,
111,4743700,4515,9562,28.976778,
112,4871600,4519,9562,28.977486,
113,4921600,4520,9562,28.978231,
