step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,10129900,4495,9570,35.998295,,0,9,9,108,122945,8446,8327,10006955,18,152,621,1,156084,1,271,1,2382147,1,2582252,1,453704,1,161515,1,4253258,1,17103,1,734311,1,15140,4,552867,4,68554,4,954670,4,1876877,8,2823221,108,0,0,3477,1,35098,1,3817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8914200,4196,9570,35.993866,,0,8,8,96,104583,1603,4118,8809617,18,140,160,1,50068,1,170,1,2094281,1,2432560,1,453834,1,157477,1,3607750,1,13316,1,405430,1,8557,4,503040,4,67742,4,872500,4,1724230,8,2592612,96,0,0,2876,1,18997,1,2775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,8398200,4142,9570,35.986713,,0,8,8,96,56605,1653,6103,8341595,18,140,130,1,24588,1,210,1,1949349,1,2377934,1,453794,1,88492,1,3433921,1,13176,1,289705,1,7545,4,477360,4,65387,4,864905,4,1703640,8,2562442,96,0,0,2876,1,18145,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,8356600,4111,9570,35.976837,,0,8,8,96,60654,1703,5481,8295946,18,140,130,1,25099,1,90,1,1973436,1,2318468,1,453714,1,87060,1,3424784,1,13166,1,288713,1,7635,4,475446,4,65267,4,861078,4,1700564,8,2556160,96,0,0,2846,1,18696,1,2836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,9105900,4100,9570,35.964233,,0,8,8,96,94159,1793,6874,9011741,18,140,150,1,24428,1,220,1,2474312,1,2339799,1,453714,1,85717,1,3620255,1,13146,1,297550,1,29898,4,482180,4,66139,4,892018,4,1820938,8,2706083,96,0,0,2765,1,23345,1,3627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,8632400,4087,9570,35.948902,,0,8,8,96,62260,1693,2294,8570140,18,140,160,1,42773,1,70,1,2233462,1,2308478,1,453734,1,96678,1,3421818,1,12965,1,306157,1,9759,4,473543,4,65588,4,852581,4,1687709,8,2537996,96,0,0,2805,1,19197,1,2785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,8334100,4079,9570,35.93085,,0,8,8,96,56049,1232,2565,8278051,18,140,40,1,24708,1,70,1,1959438,1,2334229,1,453694,1,87260,1,3405586,1,13025,1,284044,1,7685,4,473593,4,65287,4,856669,4,1693821,8,2547925,96,0,0,2775,1,17795,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,8310300,4073,9570,35.910072,,0,8,8,96,44162,992,2415,8266138,18,140,170,1,24478,1,40,1,1954749,1,2322947,1,453694,1,84825,1,3412159,1,13075,1,292570,1,7445,4,474194,4,65438,4,855577,4,1691536,8,2544699,96,0,0,2755,1,19087,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,8307800,4066,9570,35.88657,,0,8,8,96,47203,992,2726,8260597,18,140,20,1,24418,1,80,1,1968486,1,2293229,1,453694,1,82501,1,3424914,1,13256,1,282190,1,7845,4,486839,4,67231,4,851640,4,1700313,8,2549227,96,0,0,2715,1,22464,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,8318800,4061,9570,35.86034,,0,8,8,96,43053,1012,2646,8275747,18,140,130,1,24698,1,60,1,1966993,1,2309210,1,453724,1,84435,1,3423411,1,13085,1,279525,1,8366,4,475186,4,67151,4,857411,4,1704522,8,2559286,96,0,0,2775,1,24798,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
