step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9114600,4495,9570,35.998295,,0,9,9,108,66559,7575,6122,9048041,16,151,1002,1,124985,1,361,1,1924387,1,2808838,1,206564,1,3966053,1,15851,1,695692,1,12024,4,568172,4,66440,4,869933,4,1708224,8,2572034,108,0,0,3747,1,31091,1,3156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8231700,4196,9570,35.993866,,0,8,8,96,67368,2074,5972,8164332,16,139,832,1,50609,1,240,1,2095322,1,2499032,1,88694,1,3415476,1,14128,1,373521,1,7595,4,485641,4,65719,4,807561,4,1624801,8,2426389,96,0,0,3978,1,34508,1,10080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7793900,4142,9570,35.986713,,0,8,8,96,56103,1794,8056,7737797,16,139,250,1,24708,1,240,1,1960969,1,2364529,1,90888,1,3283037,1,13176,1,310358,1,7304,4,477946,4,65608,4,807340,4,1577428,8,2376712,96,0,0,3296,1,29408,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7742200,4111,9570,35.976837,,0,8,8,96,50353,1313,7354,7691847,16,139,250,1,24237,1,150,1,1960738,1,2330752,1,87521,1,3274981,1,13216,1,289336,1,7284,4,485340,4,65508,4,807791,4,1584091,8,2384528,96,0,0,2996,1,28666,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7778000,4100,9570,35.964233,,0,8,8,96,52016,5761,3016,7725984,16,139,210,1,24047,1,140,1,1968133,1,2336504,1,86249,1,3295801,1,14899,1,330076,1,7605,4,476483,4,65949,4,805837,4,1570134,8,2372955,96,0,0,3487,1,27885,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7795900,4087,9570,35.948902,,0,8,8,96,53995,1253,3067,7741905,16,139,220,1,25209,1,150,1,1955217,1,2358497,1,89956,1,3299378,1,13276,1,353642,1,7955,4,480100,4,66450,4,796349,4,1564502,8,2357785,96,0,0,2866,1,23596,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7802200,4079,9570,35.93085,,0,8,8,96,50125,1513,2967,7752075,16,139,250,1,23757,1,150,1,1953835,1,2362234,1,102721,1,3295842,1,13286,1,344053,1,7815,4,487204,4,66370,4,793744,4,1565675,8,2356452,96,0,0,2816,1,24057,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7713900,4073,9570,35.910072,,0,8,8,96,40008,1082,2736,7673892,16,139,200,1,24067,1,210,1,1956510,1,2332466,1,105647,1,3241425,1,13366,1,310337,1,7625,4,478046,4,65659,4,794305,4,1561226,8,2352795,96,0,0,2765,1,17865,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7670100,4066,9570,35.88657,,0,8,8,96,39774,1764,2646,7630326,16,139,190,1,23757,1,180,1,1964305,1,2308739,1,82562,1,3237387,1,13206,1,305428,1,7554,4,477605,4,67642,4,787752,4,1563120,8,2348226,96,0,0,2655,1,21352,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7791600,4061,9570,35.86034,,0,8,8,96,57430,1273,3066,7734170,16,139,20,1,23897,1,120,1,1965037,1,2357845,1,86640,1,3279600,1,21011,1,350576,1,7885,4,476563,4,65378,4,784145,4,1560024,8,2341102,96,0,0,2846,1,28285,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
10,8740400,4053,9570,35.831387,,0,8,8,96,45330,2325,3807,8695070,16,139,401,1,31943,1,261,1,2593767,1,2487008,1,92711,1,3474531,1,14448,1,430633,1,9699,4,493045,4,70508,4,818572,4,1604691,8,2419456,96,0,0,3306,1,38956,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
