step,wall_ns,manifolds,pairs,top_y,awake
0,19330900,4495,9570,35.998295,
1,16684800,4196,9570,35.993866,
2,16557000,4142,9570,35.986713,
3,16428000,4111,9570,35.976837,
4,16322900,4100,9570,35.964233,
5,16290100,4087,9570,35.948902,
6,16256300,4079,9570,35.93085,
7,16404100,4073,9570,35.910072,
8,16790300,4066,9570,35.88657,
9,16609400,4061,9570,35.86034,
10,16422500,4053,9570,35.831387,
11,16484200,4054,9570,35.79971,
12,16340600,4056,9570,35.765305,
13,16349800,4055,9570,35.728176,
14,17643700,4060,9570,35.688324,
15,17484100,4057,9570,35.64575,
16,16759800,4055,9570,35.600445,
17,16387800,4051,9570,35.552414,
18,16318200,4049,9570,35.501663,
19,16363300,4050,9570,35.448185,
20,19736600,4829,9570,35.391983,
21,19224200,4715,9570,35.333054,
22,18097500,4565,9570,35.2714,
23,17854500,4496,9570,35.207024,
24,17732000,4419,9570,35.13992,
25,17945300,4390,9570,35.07009,
26,17753500,4353,9570,34.997536,
27,17637700,4336,9570,34.92226,
28,20122400,4982,9570,34.844257,
29,19137200,4783,9570,34.763527,
30,18795000,4670,9570,34.680073,
31,18618100,4639,9570,34.593895,
32,18270200,4573,9570,34.504993,
33,18048700,4491,9570,34.413364,
34,20697800,5031,9570,34.31901,
35,19829300,4806,9570,34.221935,
36,18500600,4646,9570,34.12213,
37,17993300,4535,9570,34.019604,
38,18189600,4502,9570,33.91435,
39,19674000,4984,9570,33.806374,
40,19655800,5009,9570,33.69567,
41,19097400,4852,9570,33.58224,
42,18561300,4753,9570,33.466087,
43,19058000,4728,9570,33.34721,
44,19418100,4996,9570,33.22561,
45,19898900,5112,9570,33.10128,
46,19051200,4923,9570,32.974224,
47,19027400,4760,9570,32.844448,
48,19478000,5001,9570,32.711945,
49,20176400,5139,9570,32.576717,
50,19859500,4996,9570,32.438763,
51,18859400,4871,9570,32.298084,
52,19900200,5093,9570,32.154682,
53,19951500,4972,9570,32.008553,
54,18985500,4792,9570,31.8597,
55,18932800,4796,9570,31.70812,
56,19432100,4911,9570,31.553818,
57,18881200,4780,9570,31.39679,
58,19100900,4734,9570,31.237036,
59,19742500,4748,9570,31.074558,
60,19605300,4704,9570,30.909355,
61,20150300,4678,9570,30.741426,
62,20048900,4666,9570,30.570772,
63,19601400,4609,9570,30.397394,
64,19113800,4623,9570,30.22129,
65,19049500,4625,9570,30.042463,
66,19103900,4579,9570,29.860909,
67,19610500,4610,9570,29.67663,
68,19257600,4550,9570,29.489626,
69,19128800,4524,9570,29.299898,
70,19044400,4535,9570,29.107445,
71,19031800,4528,9570,28.912266,
72,19070100,4533,9570,28.714361,
73,19588700,4529,9570,28.745474,
74,19127600,4530,9570,28.77165,
75,19065700,4529,9570,28.79591,
76,19042200,4524,9570,28.816788,
77,19018600,4517,9570,28.83433,
78,19082000,4520,9570,28.848581,
79,19073500,4514,9568,28.862343,
80,19713600,4519,9568,28.873486,
81,19534900,4518,9568,28.88324,
82,19607000,4518,9568,28.892859,
83,19704800,4516,9568,28.90075,
84,19125200,4517,9567,28.907646,
85,19170600,4508,9565,28.914537,
86,19559100,4519,9565,28.920815,
87,19438000,4516,9565,28.92588,
88,19330900,4518,9565,28.930962,
89,19067700,4519,9565,28.935617,
90,19139400,4514,9565,28.939785,
91,19121700,4516,9565,28.943506,
92,19086900,4512,9565,28.946703,
93,18996200,4508,9565,28.949604,
94,19246000,4522,9565,28.952375,
95,19171800,4519,9565,28.954878,
96,19129300,4521,9565,28.957104,
97,19091700,4517,9565,28.9592,
98,19134200,4515,9565,28.960983,
99,19219500,4520,9565,28.96278,
100,19266500,4521,9564,28.964386,
101,19173700,4521,9564,28.965906,
102,19262100,4521,9563,28.967402,
103,19196800,4520,9563,28.968788,
104,19743800,4522,9563,28.969984,
105,20488100,4518,9563,28.971111,
106,20137200,4521,9563,28.97221,
107,20259200,4523,9563,28.97325,
108,19428300,4515,9562,28.974203,
109,19413200,4517,9562,28.975157,
110,20457100,4516,9562,28.976004,
111,19772400,4515,9562,28.976778,
112,19470000,4519,9562,28.977486,
113,19457200,4520,9562,28.978231,
114,19467500,4520,9562,28.97893,
115,19430800,4519,9561,28.979557,
116,19402000,4526,9561,28.980162,
117,19222800,4519,9561,28.980728,
118,19679500,4521,9561,28.981266,
119,19395400,4517,9561,28.981787,
120,19589900,4523,9561,28.982262,
