step,wall_ns,manifolds,pairs,top_y,awake
0,5973500,4495,9570,35.998295,
1,4898600,4196,9570,35.993866,
2,4384400,4142,9570,35.986713,
3,3928000,4111,9570,35.976837,
4,3966500,4100,9570,35.964233,
5,3906100,4087,9570,35.948902,
6,3955600,4079,9570,35.93085,
7,4039200,4073,9570,35.910072,
8,3961600,4066,9570,35.88657,
9,4100700,4061,9570,35.86034,
10,3944400,4053,9570,35.831387,
11,3983200,4054,9570,35.79971,
12,3993100,4056,9570,35.765305,
13,4027500,4055,9570,35.728176,
14,4270600,4060,9570,35.688324,
15,4381400,4057,9570,35.64575,
16,4120300,4055,9570,35.600445,
17,3937800,4051,9570,35.552414,
18,3971400,4049,9570,35.501663,
19,4144200,4050,9570,35.448185,
20,4436200,4829,9570,35.391983,
21,4504300,4715,9570,35.333054,
22,4287500,4565,9570,35.2714,
23,4300400,4496,9570,35.207024,
24,4643300,4419,9570,35.13992,
25,4649600,4390,9570,35.07009,
26,4176000,4353,9570,34.997536,
27,4136400,4336,9570,34.92226,
28,4457600,4982,9570,34.844257,
29,4362800,4783,9570,34.763527,
30,4444200,4670,9570,34.680073,
31,4302800,4639,9570,34.593895,
32,4355300,4573,9570,34.504993,
33,4142600,4491,9570,34.413364,
34,4574600,5031,9570,34.31901,
35,4803300,4806,9570,34.221935,
36,4739900,4646,9570,34.12213,
37,4354100,4535,9570,34.019604,
38,4862300,4502,9570,33.91435,
39,4851600,4984,9570,33.806374,
40,4749700,5009,9570,33.69567,
41,5034800,4852,9570,33.58224,
42,4506200,4753,9570,33.466087,
43,4410000,4728,9570,33.34721,
44,4697200,4996,9570,33.22561,
45,4697100,5112,9570,33.10128,
46,4793400,4923,9570,32.974224,
47,4511500,4760,9570,32.844448,
48,4600200,5001,9570,32.711945,
49,4638200,5139,9570,32.576717,
50,4672700,4996,9570,32.438763,
51,4743300,4871,9570,32.298084,
52,5352900,5093,9570,32.154682,
53,4629500,4972,9570,32.008553,
54,4472400,4792,9570,31.8597,
55,4447900,4796,9570,31.70812,
56,4582300,4911,9570,31.553818,
57,4520400,4780,9570,31.39679,
58,4418100,4734,9570,31.237036,
59,4491000,4748,9570,31.074558,
60,4461700,4704,9570,30.909355,
61,4450100,4678,9570,30.741426,
62,4467200,4666,9570,30.570772,
63,4303800,4609,9570,30.397394,
64,4453100,4623,9570,30.22129,
65,4373700,4625,9570,30.042463,
66,4336700,4579,9570,29.860909,
67,4387900,4610,9570,29.67663,
68,4353500,4550,9570,29.489626,
69,4311500,4524,9570,29.299898,
70,4535000,4535,9570,29.107445,
71,4452600,4528,9570,28.912266,
72,4325200,4533,9570,28.714361,
73,4595700,4529,9570,28.745474,
74,4468900,4530,9570,28.77165,
75,4821100,4529,9570,28.79591,
76,5036900,4524,9570,28.816788,
77,4364300,4517,9570,28.83433,
78,5153400,4520,9570,28.848581,
79,5156000,4514,9568,28.862343,
80,4522900,4519,9568,28.873486,
81,4885600,4518,9568,28.88324,
82,5135200,4518,9568,28.892859,
83,4536200,4516,9568,28.90075,
84,4969500,4517,9567,28.907646,
85,5531500,4508,9565,28.914537,
86,5123000,4519,9565,28.920815,
87,4433600,4516,9565,28.92588,
88,4372100,4518,9565,28.930962,
89,4396400,4519,9565,28.935617,
90,4290900,4514,9565,28.939785,
91,4323500,4516,9565,28.943506,
92,4261700,4512,9565,28.946703,
93,4297700,4508,9565,28.949604,
94,4300300,4522,9565,28.952375,
95,4438700,4519,9565,28.954878,
96,4331600,4521,9565,28.957104,
97,4714400,4517,9565,28.9592,
98,4325000,4515,9565,28.960983,
99,4337800,4520,9565,28.96278,
100,4507600,4521,9564,28.964386,
101,4403800,4521,9564,28.965906,
102,4372000,4521,9563,28.967402,
103,4361000,4520,9563,28.968788,
104,4771700,4522,9563,28.969984,
105,4385900,4518,9563,28.971111,
106,4661700,4521,9563,28.97221,
107,4397100,4523,9563,28.97325,
108,4321200,4515,9562,28.974203,
109,4432400,4517,9562,28.975157,
110,4554500,4516,9562,28.976004,
111,4343000,4515,9562,28.976778,
112,4290900,4519,9562,28.977486,
113,4391700,4520,9562,28.978231,
114,4293500,4520,9562,28.97893,
115,4273700,4519,9561,28.979557,
116,4371300,4526,9561,28.980162,
117,4351200,4519,9561,28.980728,
118,4316300,4521,9561,28.981266,
119,4449100,4517,9561,28.981787,
120,4322900,4523,9561,28.982262,
121,4344100,4523,9561,28.98269,
122,4574000,4521,9561,28.983118,
123,4561800,4522,9561,28.98351,
124,4339800,4518,9561,28.98387,
125,4288800,4521,9561,28.984217,
126,4304100,4521,9561,28.984558,
127,4373000,4517,9561,28.98485,
128,4477400,4522,9561,28.98514,
129,4401000,4521,9561,28.98541,
130,4589600,4519,9560,28.98568,
131,4331200,4526,9559,28.98593,
132,4368800,4524,9559,28.986149,
133,4351000,4516,9559,28.98636,
134,4289900,4520,9559,28.98657,
135,4298600,4522,9559,28.986776,
136,4370400,4519,9559,28.986969,
137,4339800,4521,9559,28.987137,
138,4447900,4521,9559,28.9873,
139,4338900,4521,9559,28.987465,
140,4418800,4518,9559,28.987623,
141,4405100,4523,9559,28.987766,
142,4300300,4524,9559,28.987892,
143,4337700,4523,9559,28.98802,
144,4397700,4520,9559,28.988153,
145,4327100,4519,9559,28.98826,
146,4350300,4520,9559,28.988363,
147,4350000,4522,9559,28.988459,
148,4326300,4517,9559,28.988543,
149,4825300,4519,9559,28.988642,
150,4869500,4522,9559,28.98874,
151,5261500,4520,9559,28.98882,
152,4521400,4523,9559,28.988888,
