step,wall_ns,manifolds,pairs,top_y,awake
0,5371200,4495,9570,35.998295,
1,4094500,4196,9570,35.993866,
2,4056000,4142,9570,35.986713,
3,4202900,4111,9570,35.976837,
4,4252900,4100,9570,35.964233,
5,4225900,4087,9570,35.948902,
6,3996700,4079,9570,35.93085,
7,4083000,4073,9570,35.910072,
8,4072800,4066,9570,35.88657,
9,4242600,4061,9570,35.86034,
10,4269500,4053,9570,35.831387,
11,3970000,4054,9570,35.79971,
12,3963200,4056,9570,35.765305,
13,4085900,4055,9570,35.728176,
14,3981700,4060,9570,35.688324,
15,4342400,4057,9570,35.64575,
16,3969600,4055,9570,35.600445,
17,4586400,4051,9570,35.552414,
18,4066100,4049,9570,35.501663,
19,4294700,4050,9570,35.448185,
20,4717500,4829,9570,35.391983,
21,4435700,4715,9570,35.333054,
22,5254000,4565,9570,35.2714,
23,4514600,4496,9570,35.207024,
24,4261200,4419,9570,35.13992,
25,4541700,4390,9570,35.07009,
26,4830300,4353,9570,34.997536,
27,4241200,4336,9570,34.92226,
28,4696300,4982,9570,34.844257,
29,4791900,4783,9570,34.763527,
30,4421500,4670,9570,34.680073,
31,4878400,4639,9570,34.593895,
32,4820600,4573,9570,34.504993,
33,4398100,4491,9570,34.413364,
34,4845600,5031,9570,34.31901,
35,5018300,4806,9570,34.221935,
36,4563900,4646,9570,34.12213,
37,4365700,4535,9570,34.019604,
38,4525300,4502,9570,33.91435,
39,4966400,4984,9570,33.806374,
40,4619700,5009,9570,33.69567,
41,4527800,4852,9570,33.58224,
42,4477300,4753,9570,33.466087,
43,4414000,4728,9570,33.34721,
44,4622800,4996,9570,33.22561,
45,4641300,5112,9570,33.10128,
46,4511600,4923,9570,32.974224,
47,4505100,4760,9570,32.844448,
48,4478500,5001,9570,32.711945,
49,4719100,5139,9570,32.576717,
50,5176500,4996,9570,32.438763,
51,4777800,4871,9570,32.298084,
52,4569600,5093,9570,32.154682,
53,4583300,4972,9570,32.008553,
54,4469200,4792,9570,31.8597,
55,4472100,4796,9570,31.70812,
56,4700900,4911,9570,31.553818,
57,4487100,4780,9570,31.39679,
58,4458100,4734,9570,31.237036,
59,4516700,4748,9570,31.074558,
60,4351400,4704,9570,30.909355,
61,4390200,4678,9570,30.741426,
62,4383400,4666,9570,30.570772,
63,4396800,4609,9570,30.397394,
64,4417600,4623,9570,30.22129,
65,4426700,4625,9570,30.042463,
66,4358900,4579,9570,29.860909,
67,4449600,4610,9570,29.67663,
68,4328100,4550,9570,29.489626,
69,4366800,4524,9570,29.299898,
70,4534600,4535,9570,29.107445,
71,4688800,4528,9570,28.912266,
72,4342000,4533,9570,28.714361,
73,4315600,4529,9570,28.745474,
74,4312600,4530,9570,28.77165,
75,4258200,4529,9570,28.79591,
76,4323500,4524,9570,28.816788,
77,4294100,4517,9570,28.83433,
78,4402900,4520,9570,28.848581,
79,4262400,4514,9568,28.862343,
80,4272500,4519,9568,28.873486,
81,4347900,4518,9568,28.88324,
82,4306200,4518,9568,28.892859,
83,4315400,4516,9568,28.90075,
84,4316400,4517,9567,28.907646,
85,4279900,4508,9565,28.914537,
86,4381200,4519,9565,28.920815,
87,4295500,4516,9565,28.92588,
88,4319800,4518,9565,28.930962,
89,4413000,4519,9565,28.935617,
90,4307400,4514,9565,28.939785,
91,4488600,4516,9565,28.943506,
92,4503800,4512,9565,28.946703,
93,4317900,4508,9565,28.949604,
94,4651400,4522,9565,28.952375,
95,4318900,4519,9565,28.954878,
96,4500100,4521,9565,28.957104,
97,4431700,4517,9565,28.9592,
98,4574000,4515,9565,28.960983,
99,4322900,4520,9565,28.96278,
100,4393600,4521,9564,28.964386,
101,4314900,4521,9564,28.965906,
102,4290300,4521,9563,28.967402,
103,4321000,4520,9563,28.968788,
104,4281800,4522,9563,28.969984,
105,4378700,4518,9563,28.971111,
106,4251400,4521,9563,28.97221,
107,4280000,4523,9563,28.97325,
108,4383700,4515,9562,28.974203,
109,4725000,4517,9562,28.975157,
110,4637000,4516,9562,28.976004,
111,4492400,4515,9562,28.976778,
112,4342700,4519,9562,28.977486,
113,4980700,4520,9562,28.978231,
114,4661500,4520,9562,28.97893,
115,4745900,4519,9561,28.979557,
116,4635800,4526,9561,28.980162,
117,4385100,4519,9561,28.980728,
118,4309700,4521,9561,28.981266,
119,4316400,4517,9561,28.981787,
120,4431000,4523,9561,28.982262,
121,4310100,4523,9561,28.98269,
122,4671800,4521,9561,28.983118,
123,4524900,4522,9561,28.98351,
124,4349800,4518,9561,28.98387,
125,4293400,4521,9561,28.984217,
126,4305400,4521,9561,28.984558,
127,4279600,4517,9561,28.98485,
128,4406500,4522,9561,28.98514,
129,4349800,4521,9561,28.98541,
130,4522300,4519,9560,28.98568,
131,4290300,4526,9559,28.98593,
132,4458600,4524,9559,28.986149,
133,4440400,4516,9559,28.98636,
134,4364200,4520,9559,28.98657,
135,4348700,4522,9559,28.986776,
136,4366100,4519,9559,28.986969,
137,4328800,4521,9559,28.987137,
138,4285000,4521,9559,28.9873,
139,4362900,4521,9559,28.987465,
140,4548100,4518,9559,28.987623,
141,4817000,4523,9559,28.987766,
142,4330100,4524,9559,28.987892,
143,4327000,4523,9559,28.98802,
144,4455000,4520,9559,28.988153,
145,4358600,4519,9559,28.98826,
146,4295800,4520,9559,28.988363,
147,4457000,4522,9559,28.988459,
148,4344200,4517,9559,28.988543,
149,4351300,4519,9559,28.988642,
150,4471300,4522,9559,28.98874,
151,4301000,4520,9559,28.98882,
152,4569900,4523,9559,28.988888,
153,4655000,4523,9559,28.988964,
154,4423100,4524,9559,28.989048,
155,4317500,4521,9559,28.989117,
156,4282900,4520,9559,28.989172,
157,4347000,4519,9559,28.989218,
158,4430900,4519,9559,28.98927,
159,4342300,4518,9559,28.98933,
160,4273600,4519,9559,28.989386,
161,4282700,4521,9559,28.989433,
162,4315500,4518,9559,28.989477,
163,4430800,4520,9559,28.989515,
164,4356000,4520,9559,28.989552,
165,4292300,4519,9559,28.989582,
166,4374200,4516,9559,28.989613,
167,4314400,4518,9559,28.989645,
168,4423600,4518,9559,28.989676,
169,4333000,4514,9559,28.9897,
170,4365500,4515,9559,28.989725,
171,4380400,4512,9559,28.989754,
172,4247900,4513,9559,28.98977,
173,4230800,4515,9559,28.989801,
174,4397400,4515,9559,28.989834,
175,4313000,4515,9559,28.989851,
176,4827100,4514,9559,28.989864,
177,4612500,4516,9559,28.989883,
178,4628400,4515,9559,28.989906,
179,4347400,4515,9559,28.989923,
180,4327600,4515,9559,28.98993,
181,4304000,4517,9559,28.98993,
182,4792900,4517,9559,28.98994,
183,4668500,4516,9559,28.989958,
184,4325200,4516,9559,28.98997,
185,4304600,4514,9559,28.989977,
186,4302600,4515,9559,28.98999,
187,4267000,4516,9559,28.990005,
188,4397300,4519,9559,28.990013,
189,4282700,4519,9559,28.990015,
190,4374700,4519,9559,28.990025,
191,4297200,4520,9559,28.99004,
192,4379800,4522,9559,28.990047,
193,4319500,4521,9559,28.990053,
194,4306400,4522,9559,28.990055,
195,4272000,4521,9559,28.99006,
196,4438900,4522,9559,28.99006,
197,4353100,4523,9559,28.990076,
198,4655000,4523,9559,28.990084,
199,4413000,4524,9559,28.990086,
200,4367200,4522,9559,28.990088,
201,4738900,4522,9559,28.990097,
202,4346400,4521,9559,28.99011,
203,4635000,4525,9559,28.990112,
204,5023300,4526,9559,28.990108,
205,4313700,4524,9559,28.990114,
206,4679500,4523,9559,28.99012,
207,4624400,4523,9559,28.990118,
208,4377000,4523,9559,28.990112,
209,4524200,4522,9559,28.990116,
210,4526300,4522,9559,28.990122,
211,4805500,4523,9559,28.990128,
212,4545800,4523,9559,28.990124,
213,4308100,4523,9559,28.99013,
214,4752600,4524,9559,28.990137,
215,4929800,4524,9559,28.990137,
216,4804700,4526,9559,28.990137,
217,4541000,4524,9559,28.990143,
218,5320300,4525,9559,28.990149,
219,5072300,4524,9559,28.990149,
220,4672900,4523,9559,28.990152,
221,5001500,4522,9559,28.99016,
222,5248700,4522,9559,28.990164,
223,5078600,4520,9559,28.990162,
224,4334300,4521,9559,28.99016,
225,4445900,4522,9559,28.990166,
226,4420000,4521,9559,28.990166,
227,4633800,4522,9559,28.990166,
228,4365200,4521,9559,28.990168,
