step,wall_ns,manifolds,pairs,top_y,awake
0,8906600,4495,9570,35.998295,
1,8131100,4196,9570,35.993866,
2,8459000,4142,9570,35.986713,
3,7945300,4111,9570,35.976837,
4,7540900,4100,9570,35.964233,
5,7502000,4087,9570,35.948902,
6,8209900,4079,9570,35.93085,
7,8378600,4073,9570,35.910072,
8,7713000,4066,9570,35.88657,
9,7512000,4061,9570,35.86034,
10,7548300,4053,9570,35.831387,
11,7518500,4054,9570,35.79971,
12,7428800,4056,9570,35.765305,
13,7444700,4055,9570,35.728176,
14,7498400,4060,9570,35.688324,
15,7819500,4057,9570,35.64575,
16,7542900,4055,9570,35.600445,
17,7473100,4051,9570,35.552414,
18,7437600,4049,9570,35.501663,
19,8048000,4050,9570,35.448185,
20,8297800,4829,9570,35.391983,
21,8720600,4715,9570,35.333054,
22,8259600,4565,9570,35.2714,
23,8179200,4496,9570,35.207024,
24,8125900,4419,9570,35.13992,
25,8013400,4390,9570,35.07009,
26,7973300,4353,9570,34.997536,
27,8418600,4336,9570,34.92226,
28,8925700,4982,9570,34.844257,
29,9223000,4783,9570,34.763527,
30,9659600,4670,9570,34.680073,
31,9014300,4639,9570,34.593895,
32,8630400,4573,9570,34.504993,
33,8623600,4491,9570,34.413364,
34,8760200,5031,9570,34.31901,
35,8690800,4806,9570,34.221935,
36,8586900,4646,9570,34.12213,
37,8376600,4535,9570,34.019604,
38,8907000,4502,9570,33.91435,
39,8802200,4984,9570,33.806374,
40,9041700,5009,9570,33.69567,
41,9550400,4852,9570,33.58224,
42,9407600,4753,9570,33.466087,
43,9043300,4728,9570,33.34721,
44,9290200,4996,9570,33.22561,
45,9760200,5112,9570,33.10128,
46,9141300,4923,9570,32.974224,
47,9025400,4760,9570,32.844448,
48,9391800,5001,9570,32.711945,
49,9568900,5139,9570,32.576717,
50,9036500,4996,9570,32.438763,
51,8941300,4871,9570,32.298084,
52,9199900,5093,9570,32.154682,
53,9950800,4972,9570,32.008553,
54,8838500,4792,9570,31.8597,
55,9616900,4796,9570,31.70812,
56,9280300,4911,9570,31.553818,
57,8825600,4780,9570,31.39679,
58,9003400,4734,9570,31.237036,
59,8879800,4748,9570,31.074558,
60,8794000,4704,9570,30.909355,
61,8763300,4678,9570,30.741426,
62,9227200,4666,9570,30.570772,
63,9664800,4609,9570,30.397394,
64,10357600,4623,9570,30.22129,
65,9356600,4625,9570,30.042463,
66,9156200,4579,9570,29.860909,
67,8885500,4610,9570,29.67663,
68,8612900,4550,9570,29.489626,
69,8989800,4524,9570,29.299898,
70,8594400,4535,9570,29.107445,
71,8617400,4528,9570,28.912266,
72,8554400,4533,9570,28.714361,
73,8547600,4529,9570,28.745474,
74,8654200,4530,9570,28.77165,
75,9012200,4529,9570,28.79591,
76,9422700,4524,9570,28.816788,
77,8630300,4517,9570,28.83433,
78,8716700,4520,9570,28.848581,
79,8883500,4514,9568,28.862343,
80,8607300,4519,9568,28.873486,
81,8560400,4518,9568,28.88324,
82,8605100,4518,9568,28.892859,
83,8542300,4516,9568,28.90075,
84,8551900,4517,9567,28.907646,
85,8746100,4508,9565,28.914537,
86,8757400,4519,9565,28.920815,
87,8617000,4516,9565,28.92588,
88,8538700,4518,9565,28.930962,
89,8529800,4519,9565,28.935617,
90,8515000,4514,9565,28.939785,
91,8558200,4516,9565,28.943506,
92,8568600,4512,9565,28.946703,
93,8565400,4508,9565,28.949604,
94,8567000,4522,9565,28.952375,
95,9395500,4519,9565,28.954878,
96,8519800,4521,9565,28.957104,
97,8561400,4517,9565,28.9592,
98,8568900,4515,9565,28.960983,
99,8608900,4520,9565,28.96278,
100,8861300,4521,9564,28.964386,
101,8664400,4521,9564,28.965906,
102,8807500,4521,9563,28.967402,
103,8610700,4520,9563,28.968788,
104,8561400,4522,9563,28.969984,
105,8832200,4518,9563,28.971111,
106,8535800,4521,9563,28.97221,
107,8685800,4523,9563,28.97325,
108,9133500,4515,9562,28.974203,
109,8503100,4517,9562,28.975157,
110,8559500,4516,9562,28.976004,
111,8625000,4515,9562,28.976778,
112,8524200,4519,9562,28.977486,
113,8586300,4520,9562,28.978231,
114,9210000,4520,9562,28.97893,
115,8649400,4519,9561,28.979557,
116,8556300,4526,9561,28.980162,
117,8731500,4519,9561,28.980728,
118,9340000,4521,9561,28.981266,
119,8668600,4517,9561,28.981787,
120,8561800,4523,9561,28.982262,
121,9762600,4523,9561,28.98269,
122,9456900,4521,9561,28.983118,
123,8602700,4522,9561,28.98351,
124,8820300,4518,9561,28.98387,
125,8659300,4521,9561,28.984217,
126,8926000,4521,9561,28.984558,
127,9038700,4517,9561,28.98485,
128,8891400,4522,9561,28.98514,
129,8604100,4521,9561,28.98541,
130,8547400,4519,9560,28.98568,
131,8582800,4526,9559,28.98593,
132,8640500,4524,9559,28.986149,
133,8635800,4516,9559,28.98636,
134,8596900,4520,9559,28.98657,
135,9397100,4522,9559,28.986776,
136,8729300,4519,9559,28.986969,
137,8660500,4521,9559,28.987137,
138,9501000,4521,9559,28.9873,
139,9432300,4521,9559,28.987465,
140,9125700,4518,9559,28.987623,
141,9017900,4523,9559,28.987766,
142,8659100,4524,9559,28.987892,
143,9209700,4523,9559,28.98802,
144,8684100,4520,9559,28.988153,
145,8595900,4519,9559,28.98826,
146,8667700,4520,9559,28.988363,
147,8577900,4522,9559,28.988459,
148,8557800,4517,9559,28.988543,
149,8566100,4519,9559,28.988642,
150,8571200,4522,9559,28.98874,
151,8970400,4520,9559,28.98882,
152,8871600,4523,9559,28.988888,
153,8873700,4523,9559,28.988964,
154,9940800,4524,9559,28.989048,
155,8635100,4521,9559,28.989117,
156,8584400,4520,9559,28.989172,
157,9217300,4519,9559,28.989218,
158,8827200,4519,9559,28.98927,
159,8614300,4518,9559,28.98933,
160,8617600,4519,9559,28.989386,
161,8630400,4521,9559,28.989433,
162,8645500,4518,9559,28.989477,
163,8555300,4520,9559,28.989515,
164,8761100,4520,9559,28.989552,
165,8603600,4519,9559,28.989582,
166,9090900,4516,9559,28.989613,
167,9969900,4518,9559,28.989645,
168,9512800,4518,9559,28.989676,
169,9125600,4514,9559,28.9897,
170,8915500,4515,9559,28.989725,
171,8774900,4512,9559,28.989754,
172,9374800,4513,9559,28.98977,
173,8820400,4515,9559,28.989801,
174,8644900,4515,9559,28.989834,
175,9365300,4515,9559,28.989851,
176,8593100,4514,9559,28.989864,
177,8550900,4516,9559,28.989883,
178,8569500,4515,9559,28.989906,
179,8632500,4515,9559,28.989923,
180,8752700,4515,9559,28.98993,
181,9190000,4517,9559,28.98993,
182,8715800,4517,9559,28.98994,
183,9062400,4516,9559,28.989958,
184,8610400,4516,9559,28.98997,
185,9072100,4514,9559,28.989977,
186,8814200,4515,9559,28.98999,
187,8607200,4516,9559,28.990005,
188,8511700,4519,9559,28.990013,
189,8558100,4519,9559,28.990015,
190,8545100,4519,9559,28.990025,
191,8819400,4520,9559,28.99004,
192,8855800,4522,9559,28.990047,
193,8580300,4521,9559,28.990053,
194,8548900,4522,9559,28.990055,
195,8876300,4521,9559,28.99006,
196,8760500,4522,9559,28.99006,
197,8602900,4523,9559,28.990076,
198,8546200,4523,9559,28.990084,
199,8987700,4524,9559,28.990086,
200,8793800,4522,9559,28.990088,
201,8668300,4522,9559,28.990097,
202,8617600,4521,9559,28.99011,
203,8646500,4525,9559,28.990112,
204,8604500,4526,9559,28.990108,
205,8558500,4524,9559,28.990114,
206,8561900,4523,9559,28.99012,
207,8725200,4523,9559,28.990118,
208,8575400,4523,9559,28.990112,
209,8611000,4522,9559,28.990116,
210,8588500,4522,9559,28.990122,
211,8574600,4523,9559,28.990128,
212,9089200,4523,9559,28.990124,
213,8600700,4523,9559,28.99013,
214,8599100,4524,9559,28.990137,
215,8592900,4524,9559,28.990137,
216,8557300,4526,9559,28.990137,
217,8626900,4524,9559,28.990143,
218,8608800,4525,9559,28.990149,
219,8924800,4524,9559,28.990149,
220,9102300,4523,9559,28.990152,
221,8695700,4522,9559,28.99016,
222,8870300,4522,9559,28.990164,
223,8801400,4520,9559,28.990162,
224,9022700,4521,9559,28.99016,
225,10174400,4522,9559,28.990166,
226,9304300,4521,9559,28.990166,
227,8637400,4522,9559,28.990166,
228,8705000,4521,9559,28.990168,
229,8858800,4519,9559,28.990175,
230,8881800,4521,9559,28.990171,
231,9268600,4522,9559,28.990166,
232,8981400,4523,9559,28.990173,
233,8792000,4527,9559,28.990175,
234,8656600,4523,9559,28.990168,
235,8899700,4525,9559,28.99017,
236,9145100,4525,9559,28.990175,
237,8608100,4526,9559,28.990175,
238,8613600,4525,9559,28.990175,
239,8978400,4524,9559,28.990175,
240,8787500,4524,9559,28.990175,
241,8636700,4521,9559,28.990175,
242,8688800,4520,9559,28.990175,
243,8611700,4520,9559,28.990175,
244,8674400,4521,9559,28.990171,
245,8744200,4520,9559,28.990164,
246,8632000,4521,9559,28.990164,
247,8598700,4521,9559,28.990164,
248,8611500,4520,9559,28.990164,
249,8793700,4522,9559,28.990164,
250,8731900,4521,9559,28.990164,
251,8613300,4522,9559,28.990164,
252,8718400,4523,9559,28.990164,
253,8567400,4523,9559,28.99017,
254,8777500,4523,9559,28.99017,
255,8667200,4521,9559,28.99017,
256,9198600,4519,9559,28.99017,
257,8764000,4519,9559,28.990171,
258,9022600,4520,9559,28.990177,
259,9266100,4520,9559,28.990177,
260,8595900,4520,9559,28.990177,
261,8640100,4519,9559,28.99018,
262,8572300,4518,9559,28.990187,
263,8577000,4518,9559,28.990187,
264,8645400,4518,9559,28.990187,
265,8607300,4518,9559,28.990187,
266,9499700,4518,9559,28.990187,
267,8702000,4518,9559,28.990187,
268,8613900,4518,9559,28.990187,
269,8729000,4518,9559,28.990187,
270,8604300,4518,9559,28.990187,
271,8754300,4518,9559,28.990187,
272,8583000,4518,9559,28.990187,
273,8559700,4518,9559,28.990187,
274,8653100,4518,9559,28.990187,
275,9176000,4518,9559,28.990187,
276,9129400,4519,9559,28.990183,
277,9552000,4518,9559,28.990183,
278,9148400,4518,9559,28.990183,
279,8886000,4519,9559,28.990183,
280,8972600,4518,9559,28.990183,
281,9231100,4520,9559,28.990183,
282,8611500,4520,9559,28.990185,
283,8585100,4518,9559,28.990185,
284,8572400,4518,9559,28.990185,
285,8583500,4519,9559,28.990185,
286,9330100,4520,9559,28.990185,
287,8733900,4519,9559,28.990185,
288,8675300,4520,9559,28.990185,
289,8793000,4518,9559,28.990185,
290,8739500,4517,9559,28.99019,
291,8604400,4517,9559,28.99019,
292,8605800,4519,9559,28.99019,
293,8762600,4517,9559,28.990187,
294,9344900,4517,9559,28.990185,
295,8529300,4516,9559,28.990192,
296,9253100,4516,9559,28.990198,
297,8592200,4515,9559,28.990198,
298,8548300,4515,9559,28.990196,
299,8555200,4515,9559,28.990194,
300,9188400,4515,9559,28.990194,
301,8963300,4515,9559,28.990194,
302,8636000,4515,9559,28.990194,
303,8653500,4516,9559,28.990194,
304,8744300,4515,9559,28.990194,
305,8532900,4517,9559,28.990194,
306,8711000,4517,9559,28.990194,
