step,wall_ns,manifolds,pairs,top_y,awake
0,5388500,4495,9570,35.998295,
1,4092700,4196,9570,35.993866,
2,4184300,4142,9570,35.986713,
3,4127300,4111,9570,35.976837,
4,4436800,4100,9570,35.964233,
5,4537600,4087,9570,35.948902,
6,4014200,4079,9570,35.93085,
7,4082200,4073,9570,35.910072,
8,4032400,4066,9570,35.88657,
9,3999700,4061,9570,35.86034,
10,4878700,4053,9570,35.831387,
11,4099600,4054,9570,35.79971,
12,4548300,4056,9570,35.765305,
13,4405400,4055,9570,35.728176,
14,3963100,4060,9570,35.688324,
15,4320700,4057,9570,35.64575,
16,4127200,4055,9570,35.600445,
17,4749000,4051,9570,35.552414,
18,4285800,4049,9570,35.501663,
19,4077200,4050,9570,35.448185,
20,4519400,4829,9570,35.391983,
21,4466200,4715,9570,35.333054,
22,4315900,4565,9570,35.2714,
23,4346500,4496,9570,35.207024,
24,4358600,4419,9570,35.13992,
25,4305700,4390,9570,35.07009,
26,4142800,4353,9570,34.997536,
27,4188000,4336,9570,34.92226,
28,4714000,4982,9570,34.844257,
29,4724500,4783,9570,34.763527,
30,4453700,4670,9570,34.680073,
31,4801200,4639,9570,34.593895,
32,5175600,4573,9570,34.504993,
33,4749700,4491,9570,34.413364,
34,4876200,5031,9570,34.31901,
35,4532200,4806,9570,34.221935,
36,4496600,4646,9570,34.12213,
37,4402800,4535,9570,34.019604,
38,4323700,4502,9570,33.91435,
39,4819000,4984,9570,33.806374,
40,4593100,5009,9570,33.69567,
41,4648400,4852,9570,33.58224,
42,4477700,4753,9570,33.466087,
43,4817100,4728,9570,33.34721,
44,4796000,4996,9570,33.22561,
45,4847200,5112,9570,33.10128,
46,5406900,4923,9570,32.974224,
47,4637500,4760,9570,32.844448,
48,4633700,5001,9570,32.711945,
49,4579500,5139,9570,32.576717,
50,4636400,4996,9570,32.438763,
51,4566300,4871,9570,32.298084,
52,4654000,5093,9570,32.154682,
53,4667600,4972,9570,32.008553,
54,4494500,4792,9570,31.8597,
55,4485700,4796,9570,31.70812,
56,4539600,4911,9570,31.553818,
57,4518400,4780,9570,31.39679,
58,4436500,4734,9570,31.237036,
59,4470400,4748,9570,31.074558,
60,4724500,4704,9570,30.909355,
61,4957300,4678,9570,30.741426,
62,4463200,4666,9570,30.570772,
63,4428900,4609,9570,30.397394,
64,4454200,4623,9570,30.22129,
65,4429200,4625,9570,30.042463,
66,4485000,4579,9570,29.860909,
67,4425000,4610,9570,29.67663,
68,4557700,4550,9570,29.489626,
69,4888200,4524,9570,29.299898,
70,4454000,4535,9570,29.107445,
71,4453900,4528,9570,28.912266,
72,4285900,4533,9570,28.714361,
73,5401400,4529,9570,28.745474,
74,4451600,4530,9570,28.77165,
75,4457100,4529,9570,28.79591,
76,4410800,4524,9570,28.816788,
77,4433700,4517,9570,28.83433,
78,4255700,4520,9570,28.848581,
79,4357000,4514,9568,28.862343,
80,4390500,4519,9568,28.873486,
81,4303400,4518,9568,28.88324,
82,4313900,4518,9568,28.892859,
83,4429900,4516,9568,28.90075,
84,4346300,4517,9567,28.907646,
85,4455800,4508,9565,28.914537,
86,4527300,4519,9565,28.920815,
87,4427800,4516,9565,28.92588,
88,4415100,4518,9565,28.930962,
89,4307700,4519,9565,28.935617,
90,4436300,4514,9565,28.939785,
91,4469300,4516,9565,28.943506,
92,4627800,4512,9565,28.946703,
93,4343100,4508,9565,28.949604,
94,4343700,4522,9565,28.952375,
95,4364600,4519,9565,28.954878,
96,4706700,4521,9565,28.957104,
97,4502700,4517,9565,28.9592,
98,4363000,4515,9565,28.960983,
99,4465100,4520,9565,28.96278,
100,4269000,4521,9564,28.964386,
101,4371600,4521,9564,28.965906,
102,4352500,4521,9563,28.967402,
103,4366600,4520,9563,28.968788,
104,4359800,4522,9563,28.969984,
105,4536100,4518,9563,28.971111,
106,4444100,4521,9563,28.97221,
107,4602600,4523,9563,28.97325,
108,4370600,4515,9562,28.974203,
109,4361700,4517,9562,28.975157,
110,4427700,4516,9562,28.976004,
111,4306700,4515,9562,28.976778,
112,4441000,4519,9562,28.977486,
113,4338800,4520,9562,28.978231,
114,4342900,4520,9562,28.97893,
115,4508800,4519,9561,28.979557,
116,4389200,4526,9561,28.980162,
117,4412600,4519,9561,28.980728,
118,4643300,4521,9561,28.981266,
119,4397600,4517,9561,28.981787,
120,4676100,4523,9561,28.982262,
121,4808800,4523,9561,28.98269,
122,4379900,4521,9561,28.983118,
123,4875700,4522,9561,28.98351,
124,5196100,4518,9561,28.98387,
125,4646100,4521,9561,28.984217,
126,4863300,4521,9561,28.984558,
127,4641400,4517,9561,28.98485,
128,4357300,4522,9561,28.98514,
129,4942200,4521,9561,28.98541,
130,4643800,4519,9560,28.98568,
131,4434100,4526,9559,28.98593,
132,4499100,4524,9559,28.986149,
133,5006800,4516,9559,28.98636,
134,4489900,4520,9559,28.98657,
135,4744300,4522,9559,28.986776,
136,4426800,4519,9559,28.986969,
137,4431200,4521,9559,28.987137,
138,4548600,4521,9559,28.9873,
139,4568800,4521,9559,28.987465,
140,4399500,4518,9559,28.987623,
141,4592900,4523,9559,28.987766,
142,4907100,4524,9559,28.987892,
143,4487000,4523,9559,28.98802,
144,4729200,4520,9559,28.988153,
145,4749100,4519,9559,28.98826,
146,4432200,4520,9559,28.988363,
147,4738700,4522,9559,28.988459,
148,4656400,4517,9559,28.988543,
149,4454000,4519,9559,28.988642,
150,4625700,4522,9559,28.98874,
151,5240000,4520,9559,28.98882,
152,4450200,4523,9559,28.988888,
153,4423900,4523,9559,28.988964,
154,4597400,4524,9559,28.989048,
155,4381900,4521,9559,28.989117,
156,4466600,4520,9559,28.989172,
157,5144400,4519,9559,28.989218,
158,4511100,4519,9559,28.98927,
159,4516200,4518,9559,28.98933,
160,5072400,4519,9559,28.989386,
161,4487600,4521,9559,28.989433,
162,4429800,4518,9559,28.989477,
163,4706900,4520,9559,28.989515,
164,4432800,4520,9559,28.989552,
165,4699600,4519,9559,28.989582,
166,5207900,4516,9559,28.989613,
167,4481500,4518,9559,28.989645,
168,4425600,4518,9559,28.989676,
169,5281100,4514,9559,28.9897,
170,4898600,4515,9559,28.989725,
171,4455800,4512,9559,28.989754,
172,4487600,4513,9559,28.98977,
173,4404400,4515,9559,28.989801,
174,4480300,4515,9559,28.989834,
175,4564900,4515,9559,28.989851,
176,4477800,4514,9559,28.989864,
177,4423800,4516,9559,28.989883,
178,4618200,4515,9559,28.989906,
179,4471300,4515,9559,28.989923,
180,4503000,4515,9559,28.98993,
181,4599400,4517,9559,28.98993,
182,4542200,4517,9559,28.98994,
183,4584000,4516,9559,28.989958,
184,4580000,4516,9559,28.98997,
185,4470800,4514,9559,28.989977,
186,4583200,4515,9559,28.98999,
187,4847600,4516,9559,28.990005,
188,4432100,4519,9559,28.990013,
189,4499000,4519,9559,28.990015,
190,4753500,4519,9559,28.990025,
191,4415500,4520,9559,28.99004,
192,4598700,4522,9559,28.990047,
193,4737800,4521,9559,28.990053,
194,4465000,4522,9559,28.990055,
195,4520800,4521,9559,28.99006,
196,4631100,4522,9559,28.99006,
197,4496100,4523,9559,28.990076,
198,4469700,4523,9559,28.990084,
199,4474400,4524,9559,28.990086,
200,4474800,4522,9559,28.990088,
201,4636700,4522,9559,28.990097,
202,4492400,4521,9559,28.99011,
203,4462300,4525,9559,28.990112,
204,4531800,4526,9559,28.990108,
205,4569600,4524,9559,28.990114,
206,4523500,4523,9559,28.99012,
207,4671800,4523,9559,28.990118,
208,4500400,4523,9559,28.990112,
209,4504000,4522,9559,28.990116,
210,4749000,4522,9559,28.990122,
211,4507400,4523,9559,28.990128,
212,4553000,4523,9559,28.990124,
213,5107900,4523,9559,28.99013,
214,4667200,4524,9559,28.990137,
215,4592700,4524,9559,28.990137,
216,5319800,4526,9559,28.990137,
217,5460000,4524,9559,28.990143,
218,4872600,4525,9559,28.990149,
219,4567300,4524,9559,28.990149,
220,4954000,4523,9559,28.990152,
221,4499300,4522,9559,28.99016,
222,4498100,4522,9559,28.990164,
223,4763400,4520,9559,28.990162,
224,4512100,4521,9559,28.99016,
225,4463400,4522,9559,28.990166,
226,4592900,4521,9559,28.990166,
227,4504300,4522,9559,28.990166,
228,4632100,4521,9559,28.990168,
229,4965800,4519,9559,28.990175,
230,4548400,4521,9559,28.990171,
231,4779200,4522,9559,28.990166,
232,4838700,4523,9559,28.990173,
233,4609100,4527,9559,28.990175,
234,4882000,4523,9559,28.990168,
235,5221800,4525,9559,28.99017,
236,4481400,4525,9559,28.990175,
237,5137200,4526,9559,28.990175,
238,4957000,4525,9559,28.990175,
239,4719900,4524,9559,28.990175,
240,4482500,4524,9559,28.990175,
241,4492100,4521,9559,28.990175,
242,4916100,4520,9559,28.990175,
243,4634800,4520,9559,28.990175,
244,4540200,4521,9559,28.990171,
245,4960500,4520,9559,28.990164,
246,4648600,4521,9559,28.990164,
247,4812600,4521,9559,28.990164,
248,5397000,4520,9559,28.990164,
249,4911900,4522,9559,28.990164,
250,5042200,4521,9559,28.990164,
251,4725100,4522,9559,28.990164,
252,4850000,4523,9559,28.990164,
253,4441000,4523,9559,28.99017,
254,5034000,4523,9559,28.99017,
255,5132000,4521,9559,28.99017,
256,4544500,4519,9559,28.99017,
257,4538800,4519,9559,28.990171,
258,4843800,4520,9559,28.990177,
259,4467600,4520,9559,28.990177,
260,4613800,4520,9559,28.990177,
261,4749600,4519,9559,28.99018,
262,4500600,4518,9559,28.990187,
263,4666400,4518,9559,28.990187,
264,4994200,4518,9559,28.990187,
265,4615200,4518,9559,28.990187,
266,4528900,4518,9559,28.990187,
267,4916600,4518,9559,28.990187,
268,4754400,4518,9559,28.990187,
269,4493200,4518,9559,28.990187,
270,4546100,4518,9559,28.990187,
271,4716300,4518,9559,28.990187,
272,4658600,4518,9559,28.990187,
273,4915200,4518,9559,28.990187,
274,4528000,4518,9559,28.990187,
275,4638900,4518,9559,28.990187,
276,4551200,4519,9559,28.990183,
277,4579600,4518,9559,28.990183,
278,4506400,4518,9559,28.990183,
279,4612000,4519,9559,28.990183,
280,4495200,4518,9559,28.990183,
281,4496400,4520,9559,28.990183,
282,4648900,4520,9559,28.990185,
283,4493000,4518,9559,28.990185,
284,4605500,4518,9559,28.990185,
285,4610300,4519,9559,28.990185,
286,4679000,4520,9559,28.990185,
287,4817100,4519,9559,28.990185,
288,4653500,4520,9559,28.990185,
289,4554200,4518,9559,28.990185,
290,4461000,4517,9559,28.99019,
291,4542000,4517,9559,28.99019,
292,4530900,4519,9559,28.99019,
293,4683500,4517,9559,28.990187,
294,4808000,4517,9559,28.990185,
295,4550400,4516,9559,28.990192,
296,4624600,4516,9559,28.990198,
297,4651800,4515,9559,28.990198,
298,4515600,4515,9559,28.990196,
299,4457500,4515,9559,28.990194,
300,5009500,4515,9559,28.990194,
301,4524200,4515,9559,28.990194,
302,4460800,4515,9559,28.990194,
303,4726500,4516,9559,28.990194,
304,4469700,4515,9559,28.990194,
305,4582500,4517,9559,28.990194,
306,4832700,4517,9559,28.990194,
307,4420100,4517,9559,28.990194,
308,4432300,4516,9559,28.990194,
309,4545100,4516,9559,28.990194,
310,4356800,4516,9559,28.990194,
311,4457300,4516,9559,28.990194,
312,4460100,4515,9559,28.990194,
313,4408900,4515,9559,28.990194,
314,4839100,4515,9559,28.990194,
315,4639200,4517,9559,28.990194,
316,4619800,4515,9559,28.990194,
317,4681800,4517,9559,28.990194,
318,4614700,4516,9559,28.990192,
319,4571500,4516,9559,28.99019,
320,4533000,4515,9559,28.990196,
321,4483300,4515,9559,28.990198,
322,4711100,4517,9559,28.990198,
323,4509400,4517,9559,28.990198,
324,4465900,4517,9559,28.990198,
325,4447500,4516,9559,28.990194,
326,4668500,4516,9559,28.990189,
327,4471100,4516,9559,28.990189,
328,4434000,4515,9559,28.990189,
329,4578100,4514,9559,28.990189,
