step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,7055000,4495,9570,35.998295,1240,0,9,9,108,52225,16583,4248,7002775,16,161,361,1,111535,1,60,1,1994977,1,989438,1,182101,1,3711598,1,12705,1,773832,1,16051,4,550582,4,87278,4,734787,4,1459034,8,2189573,108,0,0,5380,1,50137,1,3116,1,7865,1,1393,2,5561,1,652969,1,133107,1,81968,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,5385700,4196,9570,35.993866,1240,0,8,8,96,33859,1293,2245,5351841,16,149,180,1,57621,1,50,1,1986982,1,398188,1,89142,1,2808586,1,11091,1,373059,1,11452,4,488402,4,78511,4,623693,4,1192961,8,1814409,96,0,0,3076,1,22113,1,2935,1,3847,1,1303,2,5941,1,366397,1,17985,1,4579,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,5183200,4142,9570,35.986713,1240,0,8,8,96,33228,1172,3577,5149972,16,149,90,1,40739,1,130,1,1956754,1,346338,1,85665,1,2709365,1,10891,1,285370,1,11602,4,480206,4,79093,4,621489,4,1191879,8,1809790,96,0,0,2825,1,22303,1,2886,1,3877,1,1363,2,5300,1,316661,1,16362,1,4038,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,5236900,4111,9570,35.976837,1240,0,8,8,96,34066,2625,2205,5202834,16,149,70,1,41480,1,50,1,1954058,1,339134,1,84242,1,2772938,1,10861,1,276744,1,11562,4,480787,4,79624,4,645325,4,1238128,8,1881247,96,0,0,2856,1,21962,1,2896,1,3787,1,1383,2,5260,1,308114,1,16372,1,5050,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,5172300,4100,9570,35.964233,1240,0,8,8,96,32498,1152,3758,5139802,16,149,160,1,40939,1,10,1,1957345,1,303776,1,82118,1,2744573,1,10881,1,277906,1,11572,4,479274,4,79103,4,645635,4,1212989,8,1854867,96,0,0,2605,1,21401,1,2835,1,3607,1,1383,2,5110,1,275221,1,15821,1,3777,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,5165100,4087,9570,35.948902,1240,0,8,8,96,31049,1193,3738,5134051,16,149,70,1,41430,1,30,1,1956153,1,328313,1,82419,1,2714786,1,10851,1,276082,1,11542,4,478603,4,79012,4,635165,4,1195095,8,1826522,96,0,0,2976,1,21922,1,2906,1,3627,1,1382,2,5280,1,299878,1,16993,1,3827,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,5177100,4079,9570,35.93085,1240,0,8,8,96,35284,1213,2375,5141816,16,149,60,1,41310,1,60,1,1964489,1,339635,1,82319,1,2702782,1,11162,1,272115,1,11602,4,478633,4,78742,4,623012,4,1199443,8,1820080,96,0,0,2625,1,22323,1,2915,1,3657,1,1343,2,5160,1,311561,1,15189,1,3827,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,5278900,4073,9570,35.910072,1240,0,8,8,96,34766,1092,1984,5244134,16,149,10,1,37923,1,20,1,1951844,1,352059,1,84132,1,2807224,1,10921,1,279569,1,11803,4,481699,4,79062,4,655063,4,1261182,8,1914261,96,0,0,2595,1,22032,1,2896,1,3787,1,1333,2,5110,1,323324,1,16652,1,3787,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,5202400,4066,9570,35.88657,1240,0,8,8,96,32409,1263,1944,5169991,16,149,10,1,38224,1,50,1,1938168,1,323955,1,82259,1,2776334,1,10991,1,275742,1,11552,4,480777,4,78742,4,652558,4,1237797,8,1888411,96,0,0,2705,1,22133,1,2895,1,3637,1,1262,2,5270,1,294177,1,17093,1,3948,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,5198400,4061,9570,35.86034,1240,0,8,8,96,33760,1172,1974,5164640,16,149,70,1,38334,1,40,1,1958337,1,334305,1,81728,1,2740796,1,11031,1,274790,1,11743,4,480066,4,79002,4,653470,4,1202619,8,1854115,96,0,0,2815,1,21912,1,2845,1,3717,1,1303,2,5340,1,306241,1,15239,1,3567,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0,0,1,5502,1,4068,1
