step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,8786200,8555,9570,28.99835,1240,0,16,16,192,101859,40799,8316,8684341,16,229,1082,1,131185,1,381,1,2311442,1,1213258,1,331003,1,4682224,1,13767,1,2176860,1,18556,4,774926,4,91538,4,483049,4,931435,8,1406167,192,0,0,15861,1,114212,1,5040,1,17955,1,2024,2,9969,1,847427,1,202634,1,46871,1,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,5818500,5761,9570,28.995926,1240,0,16,12,144,39931,3767,3287,5778569,16,245,160,1,46500,1,180,1,2131352,1,853579,1,198245,1,2536870,1,11683,1,766800,1,13817,4,498288,4,80807,4,385930,4,733686,8,1013289,144,103040,48,3777,1,34557,1,2996,1,5060,1,1914,2,5471,1,749226,1,72751,1,21271,1,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1,0,0,0,0,0,0,0,1,1015,1,8555,1
2,5574700,6723,9570,28.994566,1240,0,16,14,168,34764,1213,7144,5539936,16,245,100,1,26451,1,281,1,1926754,1,697335,1,179298,1,2698043,1,11673,1,678719,1,12023,4,479943,4,78653,4,441077,4,911922,8,1286419,168,59435,24,7805,1,70257,1,3908,1,3817,1,1713,2,6994,1,630866,1,26772,1,25199,1,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1,0,0,0,0,0,0,0,1,1581,1,7989,1
3,5418200,6695,9570,28.994541,1240,0,16,14,168,36682,1303,4800,5381518,16,245,240,1,28075,1,291,1,1955400,1,700601,1,176924,1,2508465,1,11522,1,623902,1,12645,4,454193,4,78843,4,482638,4,724298,8,1162629,168,39507,24,8326,1,107890,1,3116,1,3737,1,1453,2,6122,1,637759,1,32142,1,16091,1,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1,0,0,0,0,0,0,0,1,1903,1,7667,1
4,5685700,6672,9570,28.994545,1240,0,16,14,168,32805,1303,3066,5652895,16,245,50,1,25940,1,120,1,2391127,1,689841,1,176804,1,2357992,1,11021,1,645665,1,12324,4,439755,4,78603,4,378265,4,738285,8,1078686,168,34798,24,4218,1,46290,1,2866,1,3868,1,1403,2,5150,1,624584,1,34497,1,12554,1,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1,0,0,0,0,0,0,0,1,2208,1,7362,1
5,5463200,6758,9570,28.994184,1240,0,16,14,168,34551,1252,3277,5428649,16,245,50,1,26351,1,110,1,1938657,1,960206,1,181362,1,2310791,1,11122,1,690943,1,12955,4,455405,4,79484,4,346584,4,653740,8,956999,168,40048,24,5621,1,49667,1,3016,1,4178,1,1523,2,6422,1,894649,1,37924,1,10651,1,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1,0,0,0,0,0,0,0,1,2410,1,7160,1
6,5896000,6793,9570,28.993921,1240,0,16,14,168,35842,1333,3527,5860158,16,245,70,1,26011,1,40,1,1953426,1,831716,1,206902,1,2830390,1,11603,1,890581,1,15610,4,597351,4,90065,4,415027,4,745128,8,1109075,168,47552,24,4379,1,54125,1,2866,1,5561,1,2725,2,5641,1,764285,1,40439,1,10520,1,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1,0,0,0,0,0,0,0,1,2503,1,7067,1
7,5944100,6783,9570,28.993895,1240,0,16,14,168,45046,14408,6654,5899054,16,228,60,1,26381,1,150,1,1944719,1,670232,1,181813,1,3064195,1,11502,1,916070,1,14969,4,692576,4,84484,4,441909,4,811107,8,1198829,168,47532,24,5421,1,66078,1,3286,1,5881,1,1964,2,6042,1,612941,1,30038,1,10220,1,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1,0,0,0,0,0,0,0,1,2542,1,7028,1
8,5742900,6772,9570,28.993822,1240,0,16,14,168,35960,1593,4379,5706940,16,245,150,1,31251,1,130,1,2183303,1,673298,1,177645,1,2629059,1,12104,1,717274,1,14468,4,452900,4,84715,4,429104,4,822258,8,1196014,168,50969,24,8777,1,81538,1,3847,1,4058,1,1453,2,7074,1,611739,1,35068,1,8837,1,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1,0,0,0,0,0,0,0,1,2595,1,6975,1
9,5367900,6790,9570,28.993675,1240,0,16,14,168,34776,1163,3898,5333124,16,245,331,1,26842,1,271,1,1962003,1,676455,1,179379,1,2475461,1,12384,1,700141,1,13636,4,452089,4,80536,4,361583,4,746611,8,1054289,168,50007,24,7585,1,96297,1,3657,1,4178,1,1362,2,6623,1,605968,1,44496,1,8677,1,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1,0,0,0,0,0,0,0,1,2608,1,6962,1
