step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,11953000,8555,9570,28.99835,1240,0,16,16,192,79797,18075,7695,11873203,16,249,812,1,122486,1,150,1,495596,1,4520029,1,250343,1,6472105,1,11683,1,1028684,1,9959,4,557806,4,67210,4,1588685,4,3138204,8,4719193,192,0,0,7344,1,37703,1,2966,1,7725,1,1423,2,6322,1,0,0,0,0,0,0,35689,1,71708,1,336299,1,49646,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,7559400,5881,9570,28.995977,1240,0,16,13,156,187870,1753,6173,7371530,16,249,321,1,47702,1,240,1,398930,1,2431110,1,194295,1,4285416,1,13516,1,556283,1,6973,4,380103,4,64755,4,1086947,4,2130009,8,3162590,156,48193,36,3837,1,41931,1,2735,1,3837,1,1343,2,4909,1,0,0,0,0,0,0,6763,1,31320,1,305940,1,54405,1,18320,1,220,1,9570,1,5881,1,18540,1,9570,1,0,1,1241,1,0,1,0,1,3584,1,1015,1,4971,1
2,8686200,6836,9570,28.994898,1240,0,16,14,168,56684,1493,5772,8629516,16,249,150,1,31731,1,190,1,369182,1,3168492,1,180338,1,4866067,1,13366,1,524752,1,7374,4,444788,4,65316,4,1270761,4,2496666,8,3696028,168,65627,24,4338,1,37392,1,2795,1,3847,1,1333,2,5210,1,0,0,0,0,0,0,25018,1,29777,1,280922,1,32984,1,22023,1,361,1,9570,1,6836,1,22384,1,9570,1,0,1,1240,1,1,1,1,1,1991,1,1364,1,6215,1
3,8679700,6824,9570,28.994986,1240,0,16,14,168,167390,1523,5921,8512310,16,249,190,1,36460,1,70,1,349995,1,3049392,1,228501,1,4834255,1,13446,1,524191,1,6853,4,443546,4,64735,4,1261543,4,2473211,8,3681461,168,47371,24,4338,1,41680,1,2735,1,3697,1,1363,2,4839,1,0,0,0,0,0,0,9458,1,29968,1,277776,1,32523,1,21641,1,278,1,9570,1,6824,1,21919,1,9570,1,0,1,1240,1,1,1,0,1,2987,1,1643,1,4940,1
4,6645600,6785,9570,28.995104,1240,0,16,14,168,53414,1373,4509,6592186,16,249,50,1,32092,1,140,1,345286,1,1295018,1,179296,1,4729463,1,10841,1,456060,1,7024,4,440900,4,65035,4,1247667,4,2455436,8,3664077,168,34517,24,4328,1,38795,1,2795,1,3667,1,1373,2,5010,1,0,0,0,0,0,0,6082,1,29477,1,276844,1,32463,1,20995,1,186,1,9570,1,6785,1,21181,1,9570,1,0,1,1240,1,1,1,0,1,6965,1,1922,1,683,1
5,6878300,6898,9570,28.994875,1240,0,16,14,168,107379,1703,5571,6770921,16,249,190,1,37112,1,150,1,348432,1,1217078,1,232639,1,4924369,1,10951,1,552145,1,7464,4,457022,4,65045,4,1264740,4,2517697,8,3737549,168,39316,24,4378,1,39667,1,2765,1,4639,1,1653,2,5451,1,0,0,0,0,0,0,9899,1,29206,1,276052,1,32944,1,21146,1,246,1,9570,1,6898,1,21392,1,9570,1,0,1,1240,1,1,1,0,1,7282,1,1916,1,372,1
6,6660200,6945,9570,28.994629,1240,0,16,14,168,105186,1743,4780,6555014,16,249,190,1,36801,1,200,1,338413,1,955092,1,188293,1,5025274,1,10751,1,537016,1,7514,4,479144,4,65466,4,1339544,4,2536944,8,3827653,168,44055,24,4409,1,39476,1,2775,1,3787,1,1814,2,5641,1,0,0,0,0,0,0,9448,1,28224,1,267546,1,32913,1,21376,1,293,1,9570,1,6945,1,21669,1,9570,1,0,1,1240,1,1,1,0,1,7417,1,1913,1,240,1
7,6707200,6928,9570,28.99459,1240,0,16,14,168,120194,1533,4650,6587006,16,249,190,1,36320,1,130,1,346188,1,1008606,1,190357,1,4994524,1,10691,1,493823,1,7595,4,477170,4,69123,4,1348792,4,2538547,8,3830288,168,52401,24,4358,1,39586,1,2775,1,3817,1,1664,2,5741,1,0,0,0,0,0,0,14698,1,31501,1,266334,1,32934,1,21387,1,296,1,9570,1,6928,1,21683,1,9570,1,0,1,1240,1,1,1,0,1,7472,1,1891,1,207,1
8,6437500,6912,9570,28.994543,1240,0,16,14,168,92541,1473,5341,6344959,16,249,190,1,35178,1,190,1,334135,1,903423,1,181690,1,4879282,1,10871,1,439738,1,7164,4,453324,4,65556,4,1287033,4,2565749,8,3795020,168,52421,24,4429,1,40769,1,3096,1,3797,1,1373,2,5781,1,0,0,0,0,0,0,9839,1,29597,1,260503,1,33945,1,21357,1,304,1,9570,1,6912,1,21661,1,9570,1,0,1,1240,1,1,1,0,1,7530,1,1870,1,170,1
9,6414200,6950,9570,28.99441,1240,0,16,15,180,48651,1422,4629,6365549,16,249,190,1,35438,1,80,1,344414,1,938921,1,186069,1,4849765,1,10671,1,456190,1,7194,4,451070,4,65256,4,1278486,4,2532926,8,3789480,180,17303,12,4429,1,39166,1,2725,1,3887,1,1383,2,5631,1,0,0,0,0,0,0,6082,1,28184,1,277565,1,32162,1,21690,1,87,1,9570,1,6950,1,21777,1,9570,1,0,1,1240,1,1,1,0,1,7573,1,1854,1,143,1
