step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,6709100,4495,9570,35.998295,1240,0,9,9,108,102391,14127,4689,6606709,16,156,761,1,162069,1,291,1,1947958,1,930756,1,140839,1,3407533,1,16501,1,557764,1,13746,4,543457,4,92166,4,735013,4,1402687,8,2133010,108,0,0,4809,1,25769,1,3056,1,8166,1,1343,2,5430,1,650221,1,120801,1,30779,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,5553600,4196,9570,35.993866,1240,0,8,8,96,83471,1583,2024,5470129,16,149,190,1,38183,1,180,1,1992342,1,399102,1,92937,1,2936785,1,10410,1,413459,1,12123,4,569006,4,78951,4,630303,4,1191454,8,1819733,96,0,0,2805,1,22493,1,2865,1,4809,1,1593,2,5340,1,364596,1,19848,1,5470,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,5402500,4142,9570,35.986713,1240,0,8,8,96,56658,3988,2185,5345842,16,149,50,1,27362,1,220,1,1939662,1,361790,1,105131,1,2901127,1,10500,1,343726,1,13816,4,520644,4,83950,4,645963,4,1248683,8,1892461,96,0,0,3206,1,22363,1,2906,1,4719,1,1633,2,5531,1,319520,1,26641,1,5290,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,5151000,4111,9570,35.976837,1240,0,8,8,96,31840,2395,2084,5119160,16,149,30,1,26611,1,80,1,1945022,1,311955,1,83449,1,2741602,1,10410,1,278922,1,11793,4,479776,4,79902,4,644129,4,1205871,8,1847917,96,0,0,2735,1,22954,1,2875,1,3617,1,1343,2,5290,1,281357,1,16952,1,4859,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,5160800,4100,9570,35.964233,1240,0,8,8,96,32002,1062,3236,5128798,16,149,60,1,27152,1,60,1,1954660,1,346241,1,83529,1,2706656,1,10440,1,278912,1,12003,4,480507,4,79131,4,627447,4,1189019,8,1813230,96,0,0,3106,1,21972,1,2896,1,3757,1,1413,2,5430,1,316264,1,17223,1,3887,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,5277100,4087,9570,35.948902,1240,0,8,8,96,34835,1172,3908,5242265,16,149,50,1,27092,1,60,1,1963828,1,340620,1,82437,1,2817667,1,10510,1,276387,1,11823,4,490296,4,82017,4,678725,4,1238514,8,1913331,96,0,0,2625,1,22894,1,2855,1,3787,1,1313,2,5260,1,310633,1,17273,1,3767,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,5244900,4079,9570,35.93085,1240,0,8,8,96,35759,1082,3938,5209141,16,149,130,1,25980,1,30,1,1945773,1,346672,1,83229,1,2796848,1,10480,1,278822,1,11702,4,482481,4,79862,4,647786,4,1256839,8,1900686,96,0,0,2695,1,22252,1,2886,1,3737,1,1422,2,5280,1,315993,1,17664,1,3927,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,5184100,4073,9570,35.910072,1240,0,8,8,96,34763,1132,2045,5149337,16,149,180,1,27102,1,40,1,1947216,1,311444,1,82377,1,2770427,1,10550,1,277229,1,11672,4,482160,4,79612,4,650682,4,1230238,8,1878875,96,0,0,2605,1,21922,1,2916,1,3797,1,1363,2,5100,1,282870,1,16471,1,3757,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,5317700,4066,9570,35.88657,1240,0,8,8,96,34036,1302,2365,5283664,16,149,20,1,27172,1,50,1,1947487,1,346471,1,81986,1,2869907,1,10570,1,275716,1,11752,4,528388,4,79221,4,695903,4,1235643,8,1929181,96,0,0,3787,1,23795,1,3386,1,3717,1,1353,2,5941,1,317215,1,17233,1,3867,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,5224200,4061,9570,35.86034,1240,0,8,8,96,42301,1333,2124,5181899,16,149,180,1,30989,1,50,1,1948238,1,353224,1,86645,1,2751651,1,10921,1,278782,1,11973,4,483813,4,79371,4,640062,4,1218285,8,1856223,96,0,0,2685,1,22082,1,2886,1,3837,1,1302,2,5240,1,322055,1,18175,1,3807,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0,0,1,5502,1,4068,1
