step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,7091300,4495,9570,35.998295,1240,0,9,9,108,60164,17515,4509,7031136,16,161,551,1,129976,1,291,1,2158817,1,1024711,1,164645,1,3536805,1,15340,1,591156,1,15511,4,552089,4,88124,4,758466,4,1466482,8,2220439,108,0,0,4699,1,25260,1,3186,1,7755,1,1323,2,5240,1,671945,1,163162,1,65199,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,5861900,4196,9570,35.993866,1240,0,8,8,96,44452,1513,2255,5817448,16,144,70,1,36101,1,90,1,1956579,1,535506,1,119195,1,3158774,1,11132,1,467983,1,12815,4,575976,4,81020,4,659951,4,1299728,8,1957425,96,0,0,6092,1,37374,1,3307,1,5701,1,1623,2,5691,1,497942,1,20591,1,5310,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,5548500,4142,9570,35.986713,1240,0,8,8,96,39315,1503,2445,5509185,16,149,150,1,31893,1,110,1,1959304,1,371763,1,108845,1,3023743,1,13376,1,376743,1,13657,4,546257,4,84747,4,690953,4,1268652,8,1957159,96,0,0,2685,1,23677,1,3046,1,5040,1,1623,2,5160,1,328828,1,27374,1,5060,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,5363400,4111,9570,35.976837,1240,0,8,8,96,40643,1593,2455,5322757,16,149,160,1,31482,1,30,1,1936629,1,330792,1,86270,1,2924237,1,13156,1,290082,1,12755,4,484225,4,89817,4,692896,4,1308891,8,1999333,96,0,0,5551,1,25200,1,2936,1,3848,1,1373,2,5070,1,298899,1,17715,1,4068,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,5215800,4100,9570,35.964233,1240,0,8,8,96,33630,1483,4740,5182170,16,149,190,1,30881,1,80,1,1973292,1,344099,1,85168,1,2735234,1,13226,1,290783,1,11863,4,478484,4,78795,4,641004,4,1194075,8,1830339,96,0,0,2765,1,22424,1,2926,1,3938,1,1413,2,5280,1,305372,1,24288,1,3888,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,5152900,4087,9570,35.948902,1240,0,8,8,96,32362,1213,3558,5120538,16,149,30,1,26893,1,60,1,1922081,1,356273,1,83765,1,2718551,1,12885,1,274972,1,11984,4,477221,4,78715,4,641655,4,1193063,8,1831161,96,0,0,3176,1,22995,1,2986,1,3637,1,1362,2,5571,1,325953,1,17124,1,3868,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,5150600,4079,9570,35.93085,1240,0,8,8,96,30673,1202,3378,5119927,16,149,70,1,27144,1,50,1,1937651,1,357265,1,83394,1,2701337,1,13016,1,275353,1,11813,4,477331,4,78936,4,622458,4,1196409,8,1815489,96,0,0,2575,1,22003,1,2956,1,3667,1,1453,2,5180,1,326704,1,16923,1,4809,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,5226200,4073,9570,35.910072,1240,0,8,8,96,32998,1193,3457,5193202,16,149,130,1,27103,1,50,1,1955587,1,350171,1,82453,1,2764752,1,12956,1,271796,1,11903,4,478033,4,78956,4,648719,4,1236338,8,1881600,96,0,0,2625,1,22043,1,2956,1,3697,1,1343,2,5150,1,321213,1,15941,1,3697,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,5211300,4066,9570,35.88657,1240,0,8,8,96,32186,1162,1904,5179114,16,149,110,1,27264,1,50,1,1934355,1,349349,1,82763,1,2772287,1,12936,1,274441,1,11883,4,479626,4,79076,4,647046,4,1241368,8,1886510,96,0,0,2775,1,21703,1,2896,1,3587,1,1383,2,5341,1,319951,1,16793,1,3948,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,5153700,4061,9570,35.86034,1240,0,8,8,96,31158,1193,2034,5122542,16,149,90,1,27144,1,50,1,1938072,1,326945,1,82873,1,2734453,1,12915,1,275594,1,11633,4,479255,4,79356,4,646735,4,1202872,8,1847574,96,0,0,2665,1,21803,1,2926,1,3617,1,1412,2,5391,1,297096,1,17134,1,3787,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0,0,1,5502,1,4068,1
10,5138800,4053,9570,35.831387,1240,0,8,8,96,32329,1253,1994,5106471,16,149,60,1,27134,1,20,1,1937160,1,338257,1,81531,1,2709333,1,12976,1,271355,1,11593,4,477792,4,78785,4,635433,4,1194636,8,1828075,96,0,0,3106,1,21843,1,2966,1,3657,1,1393,2,5521,1,309350,1,15741,1,4649,1,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,0,0,0,0,0,0,0,1,5506,1,4064,1
11,5132400,4054,9570,35.79971,1240,0,8,8,96,32452,1143,1954,5099948,16,149,140,1,27144,1,80,1,1936729,1,339680,1,81641,1,2701538,1,12996,1,274481,1,11793,4,478604,4,78645,4,622508,4,1196860,8,1817414,96,0,0,2595,1,21833,1,2956,1,3647,1,1383,2,5090,1,311995,1,16282,1,3677,1,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,0,0,0,0,0,0,0,1,5510,1,4060,1
12,5217600,4056,9570,35.765305,1240,0,8,8,96,32324,1243,2145,5185276,16,149,70,1,27134,1,50,1,1934996,1,346313,1,82152,1,2781596,1,12966,1,273469,1,11693,4,481279,4,79356,4,655403,4,1241829,8,1895087,96,0,0,2575,1,21743,1,2905,1,3637,1,1433,2,5030,1,317256,1,17264,1,3637,1,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,0,0,0,0,0,0,0,1,5509,1,4061,1
13,5198900,4055,9570,35.728176,1240,0,8,8,96,33283,1232,2095,5165617,16,149,70,1,26983,1,50,1,1936519,1,339289,1,81851,1,2767909,1,12946,1,278068,1,11503,4,480297,4,78555,4,644301,4,1236048,8,1878254,96,0,0,2796,1,21943,1,2926,1,3647,1,1363,2,5230,1,312677,1,15310,1,3617,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,0,0,0,0,0,0,0,1,5510,1,4060,1
14,5162000,4060,9570,35.688324,1240,0,8,8,96,32334,1273,1984,5129666,16,149,70,1,27144,1,80,1,1936980,1,323268,1,82022,1,2747148,1,12956,1,274481,1,11603,4,481490,4,78815,4,653218,4,1208684,8,1859918,96,0,0,2675,1,21883,1,2886,1,3637,1,1363,2,5140,1,295032,1,16733,1,3928,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,0,0,0,0,0,0,0,1,5509,1,4061,1
15,5158700,4057,9570,35.64575,1240,0,8,8,96,32440,1182,2104,5126260,16,149,50,1,27043,1,40,1,1935908,1,337967,1,81912,1,2730375,1,12966,1,274301,1,11643,4,482512,4,79487,4,646485,4,1196259,8,1840640,96,0,0,3096,1,22013,1,2956,1,3707,1,1383,2,5351,1,309581,1,17054,1,3677,1,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,0,0,0,0,0,0,0,1,5508,1,4062,1
16,5172100,4055,9570,35.600445,1240,0,8,8,96,40891,1363,1824,5131209,16,149,180,1,31021,1,30,1,1959625,1,338508,1,83936,1,2707119,1,10791,1,271746,1,11523,4,480187,4,79106,4,626826,4,1198524,8,1823526,96,0,0,2705,1,21823,1,2925,1,3687,1,1443,2,5260,1,310061,1,15541,1,3657,1,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,0,0,0,0,0,0,0,1,5511,1,4059,1
17,5216100,4051,9570,35.552414,1240,0,8,8,96,31796,1292,2105,5184304,16,149,30,1,31111,1,60,1,1935186,1,328478,1,82102,1,2794351,1,12986,1,273840,1,11773,4,480227,4,78825,4,656966,4,1254033,8,1908894,96,0,0,2565,1,21733,1,2916,1,3657,1,1393,2,5130,1,300713,1,15360,1,3657,1,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,0,0,0,0,0,0,0,1,5511,1,4059,1
18,5206900,4049,9570,35.501663,1240,0,8,8,96,31744,1152,2075,5175156,16,149,70,1,27073,1,90,1,1937501,1,340121,1,82152,1,2775143,1,13006,1,274311,1,11913,4,480397,4,79176,4,652807,4,1237871,8,1888604,96,0,0,2785,1,21452,1,2916,1,3777,1,1303,2,5280,1,310943,1,16643,1,3737,1,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1,0,0,0,0,0,0,0,1,5517,1,4053,1
19,5189700,4050,9570,35.448185,1240,0,8,8,96,33091,1232,2084,5156609,16,149,50,1,27194,1,30,1,1941439,1,343608,1,81431,1,2749863,1,12996,1,272447,1,11713,4,482632,4,79326,4,653358,4,1211249,8,1862523,96,0,0,2796,1,21863,1,2906,1,3607,1,1293,2,5441,1,315462,1,15481,1,3617,1,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1,0,0,0,0,0,0,0,1,5519,1,4051,1
