step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,5721300,4495,9570,35.998295,1240,0,9,9,108,158549,28215,4079,5562751,16,146,581,1,135303,1,321,1,525321,1,1219606,1,153468,1,3515977,1,12174,1,625606,1,13637,4,583945,4,98481,4,731823,4,1383751,8,2111494,108,0,0,4739,1,24808,1,3086,1,10721,1,1473,2,5691,1,891088,1,158228,1,19227,1,51600,1,74575,1,333519,1,60257,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,3844500,4300,9570,35.993866,1240,0,9,8,96,35729,4148,1914,3808771,16,168,180,1,37884,1,50,1,327597,1,413359,1,98692,1,2920198,1,10811,1,387694,1,11392,4,518488,4,77721,4,648761,4,1233188,8,1856760,96,23275,12,2785,1,22794,1,2815,1,3878,1,1483,2,5050,1,379022,1,22444,1,3216,1,8396,1,26612,1,245327,1,46841,1,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,48,1,1241,1,0,1,0,1,4495,1,5075,1,0,1
2,3501500,4339,9570,35.986713,1240,0,9,8,96,31493,3907,1854,3470007,16,168,90,1,28135,1,50,1,293080,1,134451,1,110044,1,2893426,1,10731,1,354119,1,12104,4,513318,4,78282,4,647479,4,1244570,8,1859676,96,30519,12,2775,1,23285,1,2836,1,4068,1,1473,2,5210,1,102409,1,19257,1,3557,1,13186,1,24578,1,223374,1,31732,1,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,48,1,1240,1,1,1,1,1,4495,1,5075,1,0,1
3,3461900,4335,9570,35.976837,1240,0,9,8,96,31490,2775,1864,3430410,16,168,20,1,26461,1,40,1,269965,1,124562,1,95606,1,2903035,1,10721,1,293200,1,11512,4,499892,4,78513,4,679391,4,1297172,8,1949300,96,25399,12,2886,1,24277,1,2856,1,3847,1,1363,2,5350,1,96077,1,16522,1,3226,1,5000,1,21241,1,215750,1,27744,1,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
4,3457700,4329,9570,35.964233,1240,0,9,8,96,38973,1283,2044,3418727,16,168,170,1,30219,1,80,1,289072,1,125634,1,112739,1,2848068,1,12745,1,325693,1,12294,4,504271,4,78262,4,647729,4,1238608,8,1858303,96,25991,12,2926,1,23205,1,2875,1,4068,1,1473,2,5380,1,96157,1,17203,1,3276,1,11382,1,23426,1,224156,1,29808,1,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
5,3609200,4324,9570,35.948902,1240,0,9,8,96,32716,1323,4319,3576484,16,168,30,1,30429,1,90,1,267971,1,133805,1,99724,1,3033794,1,10641,1,310223,1,12995,4,522686,4,83001,4,678359,4,1385519,8,2035032,96,24528,12,2846,1,23065,1,2805,1,4118,1,1423,2,5431,1,104498,1,17234,1,3256,1,5030,1,22905,1,210078,1,29798,1,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
6,3363200,4326,9570,35.93085,1240,0,9,8,96,31612,1042,3668,3331588,16,168,160,1,26782,1,30,1,258122,1,134952,1,90075,1,2810645,1,10821,1,287309,1,11773,4,498810,4,78022,4,646106,4,1248127,8,1864194,96,26371,12,2775,1,23516,1,2886,1,3687,1,1423,2,5170,1,105004,1,17123,1,4288,1,4819,1,21532,1,204999,1,26592,1,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
7,3449500,4319,9570,35.910072,1240,0,9,8,96,31464,1112,1864,3418036,16,168,140,1,26632,1,30,1,260046,1,132478,1,90907,1,2896893,1,10911,1,289563,1,13406,4,501074,4,78322,4,677968,4,1296010,8,1948839,96,23275,12,2765,1,23315,1,2805,1,3797,1,1413,2,5340,1,103431,1,16502,1,3256,1,4799,1,21211,1,205490,1,28405,1,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
8,3369800,4316,9570,35.88657,1240,0,9,8,96,30617,1222,1764,3339183,16,168,30,1,26522,1,50,1,263933,1,125314,1,89534,1,2823099,1,10701,1,289824,1,11953,4,498830,4,80076,4,653831,4,1248117,8,1877070,96,23115,12,2866,1,23085,1,2795,1,3707,1,1363,2,5431,1,97570,1,15931,1,3256,1,4769,1,21472,1,210780,1,26732,1,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
9,3395800,4312,9570,35.86034,1240,0,9,8,96,31138,1082,1804,3364662,16,168,50,1,26562,1,30,1,260987,1,132949,1,91378,1,2841655,1,11051,1,288210,1,11803,4,501866,4,78523,4,652669,4,1267705,8,1902910,96,15660,12,3106,1,23195,1,2875,1,3667,1,1333,2,5621,1,104854,1,16322,1,3256,1,4829,1,21842,1,207313,1,26842,1,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
10,3462600,4307,9570,35.831387,1240,0,9,8,96,32125,1513,2245,3430475,16,168,90,1,26542,1,90,1,256839,1,129166,1,96959,1,2909978,1,10811,1,322908,1,12344,4,519600,4,81649,4,659633,4,1270981,8,1915864,96,12504,12,3216,1,24287,1,3006,1,3908,1,1413,2,5521,1,101312,1,16161,1,3246,1,4759,1,21392,1,203596,1,26902,1,16300,1,14,1,9570,1,4307,1,16314,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
11,3376600,4307,9570,35.79971,1240,0,9,8,96,31035,1102,1844,3345565,16,168,70,1,30279,1,40,1,253814,1,129722,1,97840,1,2822959,1,10841,1,299663,1,12294,4,501585,4,78753,4,645325,4,1244800,8,1879124,96,9158,12,2966,1,23205,1,2825,1,3737,1,1353,2,5350,1,101227,1,16191,1,3236,1,5080,1,22474,1,197033,1,29046,1,16310,1,10,1,9570,1,4307,1,16320,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
12,3476100,4306,9570,35.765305,1240,0,9,8,96,33055,1423,2075,3443045,16,168,170,1,30329,1,50,1,288311,1,134552,1,98692,1,2880331,1,10611,1,305073,1,13105,4,518158,4,80026,4,651787,4,1270861,8,1907268,96,13306,12,3256,1,22975,1,2836,1,3837,1,1453,2,5541,1,105736,1,16733,1,3296,1,10019,1,22023,1,226831,1,28966,1,16316,1,14,1,9570,1,4306,1,16330,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
13,3470500,4306,9570,35.728176,1240,0,9,8,96,33121,1323,1965,3437379,16,168,180,1,30509,1,40,1,279954,1,132257,1,101698,1,2881628,1,11112,1,296146,1,12043,4,524670,4,78392,4,672042,4,1250421,8,1909427,96,11072,12,4258,1,26832,1,3527,1,3888,1,1303,2,6783,1,103541,1,16592,1,3266,1,4829,1,21752,1,223905,1,29127,1,16323,1,12,1,9570,1,4306,1,16335,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
14,3478000,4307,9570,35.688324,1240,0,9,8,96,31138,1213,2035,3446862,16,168,20,1,26542,1,80,1,258593,1,133359,1,89815,1,2927592,1,10861,1,298009,1,12234,4,502287,4,78402,4,645305,4,1350235,8,1979358,96,14148,12,3196,1,23355,1,2845,1,3717,1,1322,2,5471,1,104473,1,16061,1,4298,1,4869,1,21953,1,204758,1,26852,1,16324,1,16,1,9570,1,4307,1,16340,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
15,3390300,4306,9570,35.64575,1240,0,9,8,96,31078,1152,1964,3359222,16,168,50,1,26421,1,150,1,266809,1,134341,1,90225,1,2830434,1,10791,1,304622,1,11683,4,500563,4,78673,4,650164,4,1243999,8,1876418,96,15781,12,2966,1,23205,1,2856,1,3868,1,1383,2,5300,1,106176,1,16402,1,3246,1,4709,1,21983,1,213124,1,26762,1,16319,1,18,1,9570,1,4306,1,16337,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
16,3391100,4303,9570,35.600445,1240,0,9,8,96,30365,1163,2064,3360735,16,168,160,1,26892,1,30,1,271628,1,127778,1,90626,1,2832758,1,10861,1,290174,1,11773,4,504962,4,79524,4,651938,4,1254048,8,1887830,96,16091,12,2996,1,22644,1,2855,1,3878,1,1363,2,5441,1,99644,1,16302,1,3266,1,4649,1,21161,1,216190,1,29467,1,16322,1,18,1,9570,1,4303,1,16340,1,9570,1,48,1,1240,1,1,1,0,1,4495,1,5075,1,0,1
