step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,12104200,8555,9570,28.99835,1240,0,16,16,192,175444,25441,7075,11928756,16,249,581,1,129100,1,862,1,504595,1,4508399,1,320585,1,6442299,1,22335,1,1039832,1,9078,4,552341,4,66764,4,1575860,4,3107802,8,4676587,192,0,0,7385,1,37956,1,2846,1,9609,1,1353,2,6032,1,0,0,0,0,0,0,40912,1,71654,1,339683,1,49910,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,7220200,5881,9570,28.995977,1240,0,16,13,156,82352,1313,5081,7137848,16,249,150,1,50181,1,150,1,396878,1,2327823,1,155553,1,4192854,1,14259,1,489374,1,7124,4,379814,4,65011,4,1075503,4,2125536,8,3148312,156,47646,36,3798,1,32505,1,2835,1,3697,1,1343,2,5000,1,0,0,0,0,0,0,6834,1,30111,1,304062,1,55351,1,18320,1,220,1,9570,1,5881,1,18540,1,9570,1,0,1,1241,1,0,1,0,1,3584,1,1015,1,4971,1
2,8793500,6836,9570,28.994898,1240,0,16,14,168,170494,1623,5742,8623006,16,249,190,1,35712,1,120,1,369684,1,3151690,1,225133,1,4824465,1,16012,1,512641,1,7064,4,460687,4,64750,4,1246728,4,2475600,8,3655814,168,60772,24,4379,1,37776,1,2756,1,3748,1,1323,2,5391,1,0,0,0,0,0,0,27325,1,28207,1,280715,1,32936,1,22023,1,361,1,9570,1,6836,1,22384,1,9570,1,0,1,1240,1,1,1,1,1,1991,1,1364,1,6215,1
3,8792000,6824,9570,28.994986,1240,0,16,14,168,117030,1583,5381,8674970,16,249,110,1,32145,1,140,1,346146,1,3006568,1,225754,1,5042273,1,21834,1,624476,1,7265,4,478583,4,68919,4,1322931,4,2482514,8,3755484,168,44580,24,4309,1,37556,1,2736,1,4719,1,1754,2,4930,1,0,0,0,0,0,0,6042,1,29359,1,277919,1,32425,1,21641,1,278,1,9570,1,6824,1,21919,1,9570,1,0,1,1240,1,1,1,0,1,2987,1,1643,1,4940,1
4,6616000,6785,9570,28.995104,1240,0,16,14,168,77858,1353,3838,6538142,16,249,150,1,38227,1,150,1,348992,1,1252349,1,180974,1,4702820,1,14479,1,452781,1,6984,4,438091,4,66654,4,1238141,4,2443445,8,3646946,168,30802,24,4289,1,38357,1,2745,1,3687,1,1463,2,4830,1,0,0,0,0,0,0,6092,1,31123,1,278791,1,32485,1,20995,1,186,1,9570,1,6785,1,21181,1,9570,1,0,1,1240,1,1,1,0,1,6965,1,1922,1,683,1
5,6794800,6898,9570,28.994875,1240,0,16,14,168,108590,1493,3868,6686210,16,249,170,1,35311,1,100,1,345766,1,1189884,1,228850,1,4873333,1,12796,1,555918,1,7194,4,445296,4,65081,4,1255235,4,2485029,8,3697297,168,39099,24,4379,1,39369,1,2786,1,4619,1,1393,2,5541,1,0,0,0,0,0,0,9168,1,28748,1,274783,1,32355,1,21146,1,246,1,9570,1,6898,1,21392,1,9570,1,0,1,1240,1,1,1,0,1,7282,1,1916,1,372,1
6,6812700,6945,9570,28.994629,1240,0,16,14,168,108324,1543,3898,6704376,16,249,190,1,34750,1,150,1,338691,1,1156727,1,230393,1,4930709,1,12766,1,535948,1,7285,4,475657,4,65311,4,1276087,4,2510129,8,3738500,168,43818,24,4409,1,39499,1,2736,1,4679,1,1634,2,5792,1,0,0,0,0,0,0,9730,1,29038,1,265163,1,34289,1,21376,1,293,1,9570,1,6945,1,21669,1,9570,1,0,1,1240,1,1,1,0,1,7417,1,1913,1,240,1
7,6750000,6928,9570,28.99459,1240,0,16,14,168,108400,1463,4038,6641600,16,249,180,1,35101,1,40,1,331557,1,975502,1,188279,1,5098015,1,12926,1,526499,1,7545,4,486479,4,66223,4,1337631,4,2601904,8,3883452,168,52045,24,5441,1,49900,1,3457,1,3778,1,1633,2,6062,1,0,0,0,0,0,0,9870,1,28908,1,258119,1,34359,1,21387,1,296,1,9570,1,6928,1,21683,1,9570,1,0,1,1240,1,1,1,0,1,7472,1,1891,1,207,1
8,6556300,6912,9570,28.994543,1240,0,16,14,168,122588,1353,3858,6433712,16,249,190,1,33247,1,190,1,331527,1,985883,1,220634,1,4846068,1,15972,1,474494,1,7786,4,469785,4,64390,4,1259033,4,2502835,8,3706235,168,51774,24,4439,1,47816,1,2766,1,4108,1,1393,2,5872,1,0,0,0,0,0,0,8567,1,30772,1,258089,1,33768,1,21357,1,304,1,9570,1,6912,1,21661,1,9570,1,0,1,1240,1,1,1,0,1,7530,1,1870,1,170,1
9,6322700,6950,9570,28.99441,1240,0,16,15,180,62176,1202,3888,6260524,16,249,150,1,32485,1,60,1,267298,1,896343,1,216025,1,4832190,1,15972,1,456358,1,6884,4,450827,4,66804,4,1270426,4,2520200,8,3768410,180,18327,12,4429,1,40782,1,2705,1,4449,1,1443,2,5681,1,0,0,0,0,0,0,4850,1,21724,1,214191,1,26363,1,21690,1,87,1,9570,1,6950,1,21777,1,9570,1,0,1,1240,1,1,1,0,1,7573,1,1854,1,143,1
