step,wall_ns,manifolds,pairs,top_y,awake
0,5288300,4495,9570,35.998295,
1,3812300,4196,9570,35.993866,
2,3813700,4142,9570,35.986713,
3,3631300,4111,9570,35.976837,
4,3676700,4100,9570,35.964233,
5,3616100,4087,9570,35.948902,
6,3633600,4079,9570,35.93085,
7,3682700,4073,9570,35.910072,
8,3623800,4066,9570,35.88657,
9,3633800,4061,9570,35.86034,
10,3730200,4053,9570,35.831387,
11,3872700,4054,9570,35.79971,
12,3638300,4056,9570,35.765305,
13,3779700,4055,9570,35.728176,
14,3825300,4060,9570,35.688324,
15,3619800,4057,9570,35.64575,
16,3664400,4055,9570,35.600445,
17,3720500,4051,9570,35.552414,
18,3673800,4049,9570,35.501663,
19,3727500,4050,9570,35.448185,
20,4036900,4829,9570,35.391983,
21,3929200,4715,9570,35.333054,
22,4010900,4565,9570,35.2714,
23,4011900,4496,9570,35.207024,
24,4188500,4419,9570,35.13992,
25,3858700,4390,9570,35.07009,
26,3774200,4353,9570,34.997536,
27,3823200,4336,9570,34.92226,
28,4221400,4982,9570,34.844257,
29,4057300,4783,9570,34.763527,
30,4046800,4670,9570,34.680073,
31,3997800,4639,9570,34.593895,
32,3920400,4573,9570,34.504993,
33,3896200,4491,9570,34.413364,
34,4150800,5031,9570,34.31901,
35,4050500,4806,9570,34.221935,
36,3956600,4646,9570,34.12213,
37,4086900,4535,9570,34.019604,
38,4025200,4502,9570,33.91435,
39,4090100,4984,9570,33.806374,
40,4147400,5009,9570,33.69567,
41,4061800,4852,9570,33.58224,
42,4040700,4753,9570,33.466087,
43,4009800,4728,9570,33.34721,
44,4127300,4996,9570,33.22561,
45,4186800,5112,9570,33.10128,
46,4200000,4923,9570,32.974224,
47,4124700,4760,9570,32.844448,
48,4192800,5001,9570,32.711945,
49,4299300,5139,9570,32.576717,
50,4207700,4996,9570,32.438763,
51,4112900,4871,9570,32.298084,
52,4367900,5093,9570,32.154682,
53,4173600,4972,9570,32.008553,
54,4060300,4792,9570,31.8597,
55,4091400,4796,9570,31.70812,
56,4190800,4911,9570,31.553818,
57,4080700,4780,9570,31.39679,
58,4022900,4734,9570,31.237036,
59,4013600,4748,9570,31.074558,
60,3982800,4704,9570,30.909355,
61,3974300,4678,9570,30.741426,
62,4011000,4666,9570,30.570772,
63,3955200,4609,9570,30.397394,
64,3987900,4623,9570,30.22129,
65,4211400,4625,9570,30.042463,
66,3973000,4579,9570,29.860909,
67,3935500,4610,9570,29.67663,
68,3903100,4550,9570,29.489626,
69,4053800,4524,9570,29.299898,
70,4006200,4535,9570,29.107445,
71,3906300,4528,9570,28.912266,
72,3884100,4533,9570,28.714361,
73,3925100,4529,9570,28.745474,
74,3925300,4530,9570,28.77165,
75,3944500,4529,9570,28.79591,
76,4105200,4524,9570,28.816788,
77,3974600,4517,9570,28.83433,
78,3919600,4520,9570,28.848581,
79,3912200,4514,9568,28.862343,
80,3871700,4519,9568,28.873486,
81,3912000,4518,9568,28.88324,
82,3883700,4518,9568,28.892859,
83,3996300,4516,9568,28.90075,
84,3965900,4517,9567,28.907646,
85,3896100,4508,9565,28.914537,
86,3897500,4519,9565,28.920815,
87,3893300,4516,9565,28.92588,
88,3907300,4518,9565,28.930962,
89,3914700,4519,9565,28.935617,
90,3923100,4514,9565,28.939785,
91,3965700,4516,9565,28.943506,
92,3934100,4512,9565,28.946703,
93,3872200,4508,9565,28.949604,
94,3882100,4522,9565,28.952375,
95,3860000,4519,9565,28.954878,
96,3888000,4521,9565,28.957104,
97,3925000,4517,9565,28.9592,
98,3954900,4515,9565,28.960983,
99,3908900,4520,9565,28.96278,
100,3932700,4521,9564,28.964386,
101,3910700,4521,9564,28.965906,
102,3924300,4521,9563,28.967402,
103,3853000,4520,9563,28.968788,
104,3885300,4522,9563,28.969984,
105,4108800,4518,9563,28.971111,
106,3866000,4521,9563,28.97221,
107,3873900,4523,9563,28.97325,
108,3884000,4515,9562,28.974203,
109,3873000,4517,9562,28.975157,
110,3893600,4516,9562,28.976004,
111,3889200,4515,9562,28.976778,
112,3914400,4519,9562,28.977486,
113,3907300,4520,9562,28.978231,
