step,wall_ns,manifolds,pairs,top_y,awake
0,5115200,4495,9570,35.998295,
1,3845900,4300,9570,35.993866,
2,3642300,4339,9570,35.986713,
3,3654400,4335,9570,35.976837,
4,3588400,4329,9570,35.964233,
5,3570500,4324,9570,35.948902,
6,3569600,4326,9570,35.93085,
7,3597900,4319,9570,35.910072,
8,3543300,4316,9570,35.88657,
9,3664400,4312,9570,35.86034,
10,3803400,4307,9570,35.831387,
11,3519700,4307,9570,35.79971,
12,3547200,4306,9570,35.765305,
13,3511000,4306,9570,35.728176,
14,3576000,4307,9570,35.688324,
15,3576000,4306,9570,35.64575,
16,3583900,4303,9570,35.600445,
17,3582400,4298,9570,35.552414,
18,3722400,4298,9570,35.501663,
19,3712300,4297,9570,35.448185,
20,4002200,5077,9570,35.391983,
21,3916300,4687,9570,35.333054,
22,3825500,4536,9570,35.2714,
23,3744600,4464,9570,35.207024,
24,3784800,4397,9570,35.13992,
25,3675200,4359,9570,35.07009,
26,3692600,4312,9570,34.997536,
27,3683900,4295,9570,34.92226,
28,4052600,4934,9570,34.844257,
29,4050400,4786,9570,34.763527,
30,4030600,4665,9570,34.680073,
31,3929700,4617,9570,34.593895,
32,4080700,4578,9570,34.504993,
33,3976600,4536,9570,34.413364,
34,4141900,5039,9570,34.31901,
35,4044000,4827,9570,34.221935,
36,3971200,4630,9570,34.12213,
37,3913300,4510,9570,34.019604,
38,3884300,4408,9570,33.91435,
39,4084200,4880,9570,33.806374,
40,4135800,4979,9570,33.69567,
41,4121600,4855,9570,33.58224,
42,4037400,4689,9570,33.466087,
43,4038400,4655,9570,33.34721,
44,4165700,5072,9570,33.22561,
45,4217700,5053,9570,33.10128,
46,4113800,4767,9570,32.974224,
47,4015600,4624,9570,32.844448,
48,4144400,4898,9570,32.711945,
49,4218700,5015,9570,32.576717,
50,4088600,4836,9570,32.438763,
51,4101600,4704,9570,32.298084,
52,4201000,4886,9570,32.154682,
53,4271100,4850,9570,32.008553,
54,4149900,4701,9570,31.8597,
55,4005800,4656,9570,31.70812,
56,4111800,4755,9570,31.553818,
57,4076600,4733,9570,31.39679,
58,3997800,4658,9570,31.237036,
59,4060900,4682,9570,31.074558,
60,4178700,4642,9570,30.909355,
61,3958000,4557,9570,30.741426,
62,3961100,4591,9570,30.570772,
63,3918000,4578,9570,30.397394,
64,3940600,4530,9570,30.22129,
65,3920600,4530,9570,30.042463,
66,3906900,4531,9570,29.860909,
67,3919300,4532,9570,29.67663,
68,3948700,4513,9570,29.489626,
69,3839000,4475,9570,29.299898,
70,3886500,4477,9570,29.107445,
71,3897900,4474,9569,28.912266,
72,3907000,4455,9569,28.714361,
73,3801100,4472,9569,28.745037,
74,3808400,4465,9569,28.771923,
75,3803800,4458,9569,28.794498,
76,3848200,4464,9569,28.81284,
77,3852600,4463,9569,28.827902,
78,4008400,4462,9568,28.840885,
79,3843100,4456,9567,28.852116,
80,3797800,4458,9567,28.861916,
81,3798100,4462,9566,28.87016,
82,3793600,4462,9566,28.877672,
83,3796800,4464,9566,28.884876,
84,3813800,4460,9566,28.891674,
85,3823500,4454,9564,28.89812,
86,3807800,4452,9563,28.90361,
87,3755500,4461,9563,28.9092,
88,3806900,4461,9561,28.91393,
89,3791800,4461,9561,28.918192,
90,3739700,4460,9560,28.922281,
91,3757700,4461,9557,28.926441,
92,3743800,4462,9557,28.930197,
93,3794400,4459,9555,28.933605,
94,3786400,4455,9554,28.936785,
95,3710600,4464,9554,28.939753,
96,3832500,4454,9554,28.942532,
97,3784800,4453,9554,28.9452,
98,3834400,4449,9553,28.947609,
99,3838200,4452,9552,28.949892,
100,3701000,4462,9549,28.952118,
101,3756500,4454,9548,28.954184,
102,3737200,4455,9548,28.956179,
103,3736600,4460,9548,28.957949,
104,3695100,4463,9546,28.959707,
105,3721100,4462,9546,28.9613,
106,3749300,4463,9546,28.962826,
107,3761000,4465,9546,28.964285,
108,3769100,4465,9546,28.965742,
109,3804400,4465,9546,28.967031,
110,3847000,4466,9546,28.968155,
111,3821500,4468,9546,28.969242,
112,3741400,4464,9546,28.970312,
113,3799700,4466,9546,28.971327,
114,3770500,4467,9546,28.972305,
115,3752500,4467,9546,28.97322,
116,3718500,4465,9546,28.974094,
117,3808700,4465,9546,28.974928,
118,3775800,4466,9546,28.975708,
119,3701700,4467,9546,28.97645,
120,3722900,4463,9546,28.977146,
