step,wall_ns,manifolds,pairs,top_y,awake
0,5007500,4495,9570,35.998295,
1,4148000,4196,9570,35.993866,
2,3656300,4142,9570,35.986713,
3,3616400,4111,9570,35.976837,
4,3663200,4100,9570,35.964233,
5,3650800,4087,9570,35.948902,
6,3602300,4079,9570,35.93085,
7,3642800,4073,9570,35.910072,
8,3771500,4066,9570,35.88657,
9,3795700,4061,9570,35.86034,
10,3613000,4053,9570,35.831387,
11,3641500,4054,9570,35.79971,
12,3602500,4056,9570,35.765305,
13,3682600,4055,9570,35.728176,
14,3673900,4060,9570,35.688324,
15,3607300,4057,9570,35.64575,
16,3642300,4055,9570,35.600445,
17,3691900,4051,9570,35.552414,
18,3870000,4049,9570,35.501663,
19,3624000,4050,9570,35.448185,
20,4022500,4829,9570,35.391983,
21,3923800,4715,9570,35.333054,
22,3964800,4565,9570,35.2714,
23,3917400,4496,9570,35.207024,
24,3881200,4419,9570,35.13992,
25,3864300,4390,9570,35.07009,
26,3784100,4353,9570,34.997536,
27,3814600,4336,9570,34.92226,
28,4109700,4982,9570,34.844257,
29,3999400,4783,9570,34.763527,
30,3940300,4670,9570,34.680073,
31,3943000,4639,9570,34.593895,
32,3922200,4573,9570,34.504993,
33,3893400,4491,9570,34.413364,
34,4240800,5031,9570,34.31901,
35,4199900,4806,9570,34.221935,
36,4131500,4646,9570,34.12213,
37,4069100,4535,9570,34.019604,
38,4002400,4502,9570,33.91435,
39,4169800,4984,9570,33.806374,
40,4195900,5009,9570,33.69567,
41,4126700,4852,9570,33.58224,
42,4038100,4753,9570,33.466087,
43,4059100,4728,9570,33.34721,
44,4139000,4996,9570,33.22561,
45,4225700,5112,9570,33.10128,
46,4223500,4923,9570,32.974224,
47,4135800,4760,9570,32.844448,
48,4423600,5001,9570,32.711945,
49,4285900,5139,9570,32.576717,
50,4201600,4996,9570,32.438763,
51,4097000,4871,9570,32.298084,
52,4202500,5093,9570,32.154682,
53,4170700,4972,9570,32.008553,
54,4081800,4792,9570,31.8597,
55,4075700,4796,9570,31.70812,
56,4184700,4911,9570,31.553818,
57,4231700,4780,9570,31.39679,
58,4178200,4734,9570,31.237036,
59,4022700,4748,9570,31.074558,
60,4013800,4704,9570,30.909355,
61,3991200,4678,9570,30.741426,
62,3998000,4666,9570,30.570772,
63,4019000,4609,9570,30.397394,
64,4077600,4623,9570,30.22129,
65,3982600,4625,9570,30.042463,
66,3950600,4579,9570,29.860909,
67,3944600,4610,9570,29.67663,
68,3906600,4550,9570,29.489626,
69,3929900,4524,9570,29.299898,
70,3904400,4535,9570,29.107445,
71,3899700,4528,9570,28.912266,
72,3949500,4533,9570,28.714361,
73,3969500,4529,9570,28.745474,
74,3985200,4530,9570,28.77165,
75,3917500,4529,9570,28.79591,
76,3914400,4524,9570,28.816788,
77,3942200,4517,9570,28.83433,
