step,wall_ns,manifolds,pairs,top_y,awake
0,6824900,8555,9570,28.99835,
1,4742900,5881,9570,28.995977,
2,4901300,6836,9570,28.994898,
3,4814400,6824,9570,28.994986,
4,4588100,6785,9570,28.995104,
5,4482000,6898,9570,28.994875,
6,4523700,6945,9570,28.994629,
7,4486300,6928,9570,28.99459,
8,4648200,6912,9570,28.994543,
9,4449400,6950,9570,28.99441,
10,4513900,6945,9570,28.9943,
11,4491000,6939,9570,28.994253,
12,4603100,6958,9570,28.99419,
13,4467100,6960,9570,28.994114,
14,4508600,6969,9570,28.994057,
15,4435400,6964,9570,28.993994,
16,4497100,6972,9570,28.993938,
17,4476800,6963,9570,28.993896,
18,4516600,6974,9570,28.993855,
19,4502200,6978,9570,28.993809,
20,4535000,6970,9570,28.993767,
21,4439700,6976,9570,28.993729,
22,4774900,6978,9570,28.99369,
23,4791200,6982,9570,28.993656,
24,4509800,6964,9570,28.993626,
25,4535800,6960,9570,28.993595,
26,4445100,6961,9570,28.993565,
27,4489900,6959,9570,28.993538,
28,4453500,6963,9570,28.993515,
29,4458500,6965,9570,28.993492,
30,4468300,6962,9570,28.99347,
31,4494100,6956,9570,28.993446,
32,4652200,6963,9570,28.993423,
33,4521000,6964,9570,28.993406,
34,4451400,6965,9570,28.993391,
35,4461800,6970,9570,28.993376,
36,4607600,6963,9570,28.99336,
37,4481100,6968,9570,28.993345,
38,4437900,6961,9570,28.99333,
39,4513600,6967,9570,28.993315,
40,4460600,6969,9570,28.9933,
41,4491000,6968,9570,28.993292,
42,4446900,6964,9570,28.993282,
43,4506900,6969,9570,28.993275,
44,4464500,6969,9570,28.993267,
45,4491400,6970,9570,28.99326,
46,4549800,6974,9570,28.993252,
47,4547100,6976,9570,28.993244,
48,4478500,6980,9570,28.993237,
49,4491100,6978,9570,28.993229,
50,4627200,6975,9570,28.993221,
51,4513900,6976,9570,28.993214,
52,4455100,6976,9570,28.993206,
53,4602300,6979,9570,28.993198,
54,4470700,6974,9570,28.99319,
55,4558000,6975,9570,28.993183,
56,4476300,6973,9570,28.993176,
57,4465600,6973,9570,28.993168,
58,4448700,6970,9570,28.993168,
59,4473000,6974,9570,28.993168,
60,4513400,6974,9570,28.993168,
61,4496300,6973,9570,28.993168,
62,4446100,6973,9570,28.993168,
63,4493700,6972,9570,28.993168,
64,4442000,6975,9570,28.993168,
65,4661200,6974,9570,28.993168,
66,4464400,6976,9570,28.993168,
67,4644900,6973,9570,28.993164,
68,4573900,6973,9570,28.993164,
69,4464400,6971,9570,28.993164,
70,4463800,6971,9570,28.993164,
71,4504800,6971,9570,28.993164,
72,4475800,6971,9570,28.993164,
73,4474400,6970,9570,28.993164,
74,4518700,6972,9570,28.993164,
75,4493800,6971,9570,28.993164,
76,4457500,6975,9570,28.993164,
77,4514500,6972,9570,28.993164,
78,4570900,6971,9570,28.993164,
79,4561700,6972,9570,28.993164,
80,4591600,6971,9570,28.993164,
81,4574900,6973,9570,28.993164,
82,4586900,6976,9570,28.993164,
83,4557500,6974,9570,28.993164,
84,4642400,6976,9570,28.993164,
85,4566900,6977,9570,28.993164,
86,4638100,6973,9570,28.993164,
87,4514400,6974,9570,28.993164,
88,4484500,6978,9570,28.993164,
89,4471300,6974,9570,28.993164,
90,4464100,6977,9570,28.993164,
91,4495800,6979,9570,28.993164,
92,4476700,6978,9570,28.993164,
93,4523300,6977,9570,28.993164,
94,4504300,6977,9570,28.993164,
95,4564300,6978,9570,28.993164,
96,4480700,6978,9570,28.993164,
97,4517300,6978,9570,28.993164,
98,4455100,6978,9570,28.993164,
99,4524000,6976,9570,28.993164,
100,4451900,6978,9570,28.993164,
101,4501900,6983,9570,28.993164,
102,4633500,6978,9570,28.993164,
103,4505200,6978,9570,28.993164,
104,4462800,6978,9570,28.993164,
105,4476200,6982,9570,28.993164,
106,4523600,6977,9570,28.993164,
107,4523200,6981,9570,28.993164,
108,4429000,6978,9570,28.993164,
109,4578700,6980,9570,28.993164,
110,4461800,6980,9570,28.993164,
111,4509800,6980,9570,28.993164,
112,4457800,6979,9570,28.993164,
113,4524700,6979,9570,28.993164,
114,4486200,6979,9570,28.993164,
115,4488600,6978,9570,28.993164,
116,4523400,6980,9570,28.993164,
117,4497500,6981,9570,28.993164,
118,4437700,6979,9570,28.993164,
119,4536100,6980,9570,28.993164,
120,4653000,6983,9570,28.993164,
121,4523900,6980,9570,28.993164,
122,4526200,6981,9570,28.993164,
123,4481700,6979,9570,28.993164,
124,4472900,6978,9570,28.993164,
125,4475100,6977,9570,28.993164,
126,4464900,6981,9570,28.993164,
127,4497800,6978,9570,28.993164,
128,4485100,6974,9570,28.993164,
129,4499400,6978,9570,28.993164,
130,4528700,6977,9570,28.993164,
131,4497600,6976,9570,28.993164,
132,4468200,6979,9570,28.993164,
133,4527600,6978,9570,28.993164,
134,4478300,6971,9570,28.993164,
135,4500700,6976,9570,28.993164,
136,4514900,6976,9570,28.993164,
137,4430000,6972,9570,28.993164,
138,4449700,6975,9570,28.993164,
139,4479200,6976,9570,28.993164,
140,4438300,6973,9570,28.993164,
141,4531200,6975,9570,28.993164,
142,4490200,6973,9570,28.993164,
143,4500400,6974,9570,28.993164,
144,4612000,6973,9570,28.993164,
145,4568400,6969,9570,28.993164,
146,4500900,6972,9570,28.993164,
147,4516000,6969,9570,28.993164,
148,4478400,6974,9570,28.993164,
149,4533500,6973,9570,28.993164,
150,4524600,6971,9570,28.993164,
151,4448200,6974,9570,28.993164,
152,4504300,6972,9570,28.993164,
153,4482100,6970,9570,28.993164,
154,4505800,6975,9570,28.993164,
155,4502600,6974,9570,28.993164,
156,4477900,6975,9570,28.993164,
157,4448700,6977,9570,28.993164,
158,4464700,6974,9570,28.993164,
159,4495600,6978,9570,28.993164,
160,4791900,6976,9570,28.993164,
161,4551500,6976,9570,28.993164,
162,4487100,6975,9570,28.993164,
163,4456600,6975,9570,28.993164,
164,4471700,6977,9570,28.993164,
165,4414900,6977,9570,28.993164,
166,4447500,6973,9570,28.993164,
167,4453000,6976,9570,28.993164,
168,4783800,6980,9570,28.993164,
169,4666500,6977,9570,28.993164,
170,4585700,6980,9570,28.993164,
171,4523300,6978,9570,28.993164,
172,4507600,6978,9570,28.993164,
173,4520600,6976,9570,28.993164,
174,4484000,6979,9570,28.993164,
175,4543200,6977,9570,28.993164,
176,4554500,6976,9570,28.993164,
177,4529800,6973,9570,28.993164,
178,4465900,6976,9570,28.993164,
179,4480500,6974,9570,28.993164,
180,4483900,6975,9570,28.993164,
181,4517700,6974,9570,28.993164,
182,4548000,6978,9570,28.993164,
183,4506200,6976,9570,28.993164,
184,4472600,6976,9570,28.993164,
185,4503500,6979,9570,28.993164,
186,4448400,6978,9570,28.993164,
187,4496700,6973,9570,28.993164,
188,4466100,6980,9570,28.993162,
189,4480500,6976,9570,28.993158,
190,4451700,6973,9570,28.993158,
191,4466500,6974,9570,28.993158,
192,4474600,6977,9570,28.993158,
193,4658000,6978,9570,28.993158,
194,4490000,6975,9570,28.993158,
195,4574000,6975,9570,28.993156,
196,4466000,6977,9570,28.993155,
197,4516300,6978,9570,28.993155,
198,4680000,6979,9570,28.993155,
199,4677500,6979,9570,28.99315,
200,4482100,6974,9570,28.993149,
201,4468300,6971,9570,28.993149,
202,4473100,6970,9570,28.993149,
203,4493900,6970,9570,28.993149,
204,4473800,6969,9570,28.993149,
205,4479900,6974,9570,28.993149,
206,4489300,6973,9570,28.993149,
207,4553600,6968,9570,28.993149,
208,4520800,6967,9570,28.993149,
209,4450900,6968,9570,28.993149,
210,4570700,6967,9570,28.993149,
211,4478000,6964,9570,28.993149,
212,4469900,6967,9570,28.993149,
213,4459900,6969,9570,28.993149,
214,4591600,6970,9570,28.993149,
215,4469200,6970,9570,28.993149,
216,4465500,6972,9570,28.993149,
217,4617000,6971,9570,28.993149,
218,4585900,6972,9570,28.993149,
219,4483100,6975,9570,28.993149,
220,4488200,6975,9570,28.993149,
221,4494300,6973,9570,28.993149,
222,4700600,6969,9570,28.993149,
223,4432400,6971,9570,28.993149,
224,4504200,6973,9570,28.993149,
225,4461900,6975,9570,28.993149,
226,4508400,6971,9570,28.993149,
227,4441600,6972,9570,28.993149,
228,4501900,6970,9570,28.993149,
229,4450400,6973,9570,28.993149,
230,4503100,6971,9570,28.993149,
231,4547900,6970,9570,28.993149,
232,4554600,6971,9570,28.993149,
233,4448900,6972,9570,28.993149,
234,4499300,6973,9570,28.993149,
235,4453500,6971,9570,28.993149,
236,4493300,6972,9570,28.993149,
237,4469800,6970,9570,28.993149,
238,4505900,6973,9570,28.993149,
239,4473200,6972,9570,28.993149,
240,4529700,6970,9570,28.993149,
241,4465300,6971,9570,28.993149,
242,4531900,6971,9570,28.993149,
243,4464800,6973,9570,28.993149,
244,4503200,6973,9570,28.993149,
245,4531200,6972,9570,28.993149,
246,4547700,6971,9570,28.993147,
247,4490200,6971,9570,28.993147,
248,4763100,6970,9570,28.993147,
249,4532200,6970,9570,28.993147,
250,4485000,6970,9570,28.993147,
251,4470200,6971,9570,28.993147,
252,4515600,6971,9570,28.993147,
253,4486600,6972,9570,28.993147,
254,4489900,6973,9570,28.993147,
255,4476000,6967,9570,28.993147,
256,4503700,6969,9570,28.993147,
257,4479500,6970,9570,28.993147,
258,4484600,6969,9570,28.993147,
259,4496200,6970,9570,28.993147,
260,4509700,6969,9570,28.993147,
261,4773700,6968,9570,28.993147,
262,4464800,6968,9570,28.993147,
263,4564100,6970,9570,28.993147,
264,4487400,6971,9570,28.993147,
265,4483000,6972,9570,28.993147,
266,4784100,6969,9570,28.993147,
267,4557800,6971,9570,28.993147,
268,4491600,6970,9570,28.993147,
269,4439200,6970,9570,28.993147,
270,4488600,6970,9570,28.993147,
271,4512700,6968,9570,28.993147,
272,4724300,6969,9570,28.993147,
273,4439500,6969,9570,28.993147,
274,4523500,6966,9570,28.993147,
275,4454600,6965,9570,28.993147,
276,4487800,6967,9570,28.993147,
277,4468900,6965,9570,28.993147,
278,4501200,6963,9570,28.993147,
279,4475000,6962,9570,28.993147,
280,4458800,6962,9570,28.993147,
281,4470300,6964,9570,28.993147,
282,4459000,6963,9570,28.993147,
283,4467200,6965,9570,28.993147,
284,4479000,6963,9570,28.993147,
285,4485100,6963,9570,28.993147,
286,4480500,6960,9570,28.993147,
287,4557400,6961,9570,28.993147,
288,4549300,6959,9570,28.993147,
289,4463100,6960,9570,28.993147,
290,4485600,6964,9570,28.993147,
291,4497400,6961,9570,28.993147,
292,4502600,6963,9570,28.993147,
293,4476400,6963,9570,28.993147,
294,4621300,6964,9570,28.993147,
295,4485800,6963,9570,28.993147,
296,4454900,6964,9570,28.993147,
297,4476000,6963,9570,28.993147,
298,4459700,6961,9570,28.993147,
299,4482200,6959,9570,28.993147,
300,4468000,6960,9570,28.993147,
301,4516400,6959,9570,28.993147,
302,4491300,6961,9570,28.993147,
303,4706600,6957,9570,28.993147,
304,4501200,6961,9570,28.993147,
305,4496500,6958,9570,28.993147,
306,4500200,6960,9570,28.993147,
307,4485600,6959,9570,28.993147,
308,4545600,6959,9570,28.993147,
309,4501400,6957,9570,28.993147,
310,4537900,6957,9570,28.993147,
311,4475800,6957,9570,28.993147,
312,4484000,6957,9570,28.993147,
313,4486400,6956,9570,28.993147,
314,4539700,6956,9570,28.993147,
315,4468000,6952,9570,28.993147,
316,4559000,6954,9570,28.993147,
317,4485800,6956,9570,28.993147,
318,4520800,6955,9570,28.993147,
319,4436300,6956,9570,28.993147,
320,4541600,6959,9570,28.993147,
321,4450500,6957,9570,28.993147,
322,4513000,6958,9570,28.993147,
323,4462600,6954,9570,28.993147,
324,4538500,6954,9570,28.993147,
325,4454400,6957,9570,28.993147,
326,4550600,6956,9570,28.993147,
327,4485200,6955,9570,28.993147,
328,4514500,6955,9570,28.993147,
329,4590200,6954,9570,28.993147,
330,4636600,6953,9570,28.993147,
331,4498900,6954,9570,28.993147,
332,4537200,6954,9570,28.993147,
333,4517600,6953,9570,28.993147,
334,4513000,6954,9570,28.993147,
335,4496100,6954,9570,28.993147,
336,4470400,6954,9570,28.993147,
337,4532600,6953,9570,28.993147,
338,4491800,6957,9570,28.993147,
339,4480000,6956,9570,28.993147,
340,4542200,6954,9570,28.993147,
341,4467200,6956,9570,28.993147,
342,4524600,6954,9570,28.993145,
343,4513800,6954,9570,28.993145,
344,4520600,6953,9570,28.993145,
345,4487000,6956,9570,28.993145,
346,4489600,6955,9570,28.993145,
347,4495500,6954,9570,28.993145,
348,4493200,6955,9570,28.993145,
349,4500100,6953,9570,28.993145,
350,4483100,6957,9570,28.993145,
351,4467200,6957,9570,28.993145,
352,4524600,6957,9570,28.993145,
353,4446400,6957,9570,28.993145,
354,4572400,6957,9570,28.993145,
355,4534500,6956,9570,28.993145,
356,4510300,6957,9570,28.993145,
357,4541300,6958,9570,28.993145,
358,4469100,6957,9570,28.993145,
359,4535400,6955,9570,28.993145,
360,4456200,6958,9570,28.993145,
361,4531900,6956,9570,28.993145,
362,4460000,6956,9570,28.993145,
363,4472200,6954,9570,28.993145,
364,4584600,6954,9570,28.993145,
365,4537800,6950,9570,28.993145,
366,4460400,6953,9570,28.993145,
