step,wall_ns,manifolds,pairs,top_y,awake
0,6545800,8555,9570,28.99835,
1,4632300,5761,9570,28.995926,
2,4972400,6723,9570,28.994566,
3,5041600,6695,9570,28.994541,
4,4853800,6672,9570,28.994545,
5,4856900,6758,9570,28.994184,
6,4855300,6793,9570,28.993921,
7,4874000,6783,9570,28.993895,
8,4907500,6772,9570,28.993822,
9,4887900,6790,9570,28.993675,
10,4815200,6786,9570,28.993578,
11,4884300,6806,9570,28.99352,
12,4920000,6806,9570,28.993486,
13,5049300,6780,9570,28.993422,
14,4818900,6784,9570,28.99337,
15,4840300,6765,9570,28.993326,
16,4784400,6760,9570,28.993288,
17,4832500,6761,9570,28.993235,
18,4748200,6734,9570,28.99321,
19,4773200,6754,9570,28.99318,
20,4770100,6753,9570,28.99314,
21,4830700,6741,9570,28.993107,
22,4806700,6739,9570,28.993093,
23,4732700,6730,9570,28.993065,
24,4759400,6730,9570,28.993042,
25,4766500,6722,9570,28.99303,
26,4892200,6733,9570,28.993017,
27,4794000,6733,9570,28.992998,
28,4738200,6715,9570,28.992983,
29,4817100,6720,9570,28.992973,
30,4864600,6719,9570,28.99296,
31,4809900,6717,9570,28.992933,
32,4858200,6716,9570,28.992924,
33,4784000,6704,9570,28.992918,
34,4777400,6697,9570,28.992907,
35,4787100,6701,9570,28.992893,
36,4792700,6705,9570,28.992886,
37,4865700,6721,9570,28.992884,
38,4770500,6725,9570,28.99288,
39,4787700,6710,9570,28.992878,
40,4789100,6708,9570,28.992876,
41,4790400,6708,9570,28.992876,
42,4840500,6700,9570,28.99287,
43,4754100,6693,9570,28.99286,
44,4745100,6701,9570,28.992851,
45,4793700,6708,9570,28.99285,
46,4774200,6706,9570,28.992847,
47,4755900,6703,9570,28.99284,
48,4741800,6704,9570,28.99284,
49,4810400,6704,9570,28.992838,
50,4790500,6707,9570,28.99283,
51,4884200,6705,9570,28.992828,
52,4805600,6714,9570,28.992826,
53,4728200,6704,9570,28.992823,
54,4803300,6700,9570,28.992823,
55,4749300,6707,9570,28.992817,
56,4825500,6699,9570,28.992815,
57,4747700,6699,9570,28.99282,
58,4784800,6707,9570,28.99282,
59,4797100,6702,9570,28.992815,
60,4797800,6706,9570,28.99281,
61,4811200,6701,9570,28.992811,
62,4790700,6695,9570,28.992815,
63,4766800,6694,9570,28.992807,
64,4946800,6691,9570,28.992807,
65,4796400,6698,9570,28.992807,
66,4755600,6700,9570,28.992807,
67,4783900,6693,9570,28.992805,
68,4763700,6701,9570,28.992804,
69,4854000,6699,9570,28.992804,
70,4907200,6702,9570,28.992807,
71,4906800,6703,9570,28.992807,
72,4782600,6700,9570,28.992807,
73,4743200,6694,9570,28.992807,
74,4755600,6690,9570,28.992807,
75,4868300,6685,9570,28.992804,
76,4794700,6687,9570,28.992804,
77,4786200,6684,9570,28.99281,
78,4765800,6684,9570,28.99281,
79,4768200,6685,9570,28.99281,
80,4799600,6680,9570,28.99281,
81,4790400,6679,9570,28.99281,
82,4823000,6674,9570,28.99281,
83,4759000,6676,9570,28.992811,
84,4744800,6676,9570,28.992811,
85,4792700,6667,9570,28.992811,
86,4769700,6676,9570,28.992817,
87,4754200,6672,9570,28.992817,
88,4790300,6678,9570,28.992817,
89,4770600,6678,9570,28.992817,
90,4755400,6680,9570,28.992817,
91,4807800,6683,9570,28.992815,
92,4758300,6678,9570,28.992807,
93,4764800,6674,9570,28.992805,
94,4765900,6680,9570,28.9928,
95,4769000,6674,9570,28.992796,
96,4772700,6668,9570,28.992794,
97,4783100,6672,9570,28.992796,
98,4977200,6675,9570,28.992798,
99,4896900,6676,9570,28.992798,
100,4779700,6677,9570,28.992798,
101,4753000,6675,9570,28.992796,
102,4757400,6673,9570,28.992798,
103,4785000,6669,9570,28.992802,
104,4807100,6665,9570,28.992802,
105,4778000,6665,9570,28.992802,
106,4759400,6661,9570,28.992785,
107,4753000,6657,9570,28.992767,
108,4854600,6664,9570,28.992775,
109,4748400,6665,9570,28.992783,
110,4803000,6667,9570,28.992783,
111,4765400,6669,9570,28.992788,
112,4876600,6665,9570,28.992788,
113,4834900,6672,9570,28.992786,
114,4811600,6676,9570,28.992786,
115,4766400,6674,9570,28.99279,
116,4776900,6671,9570,28.99279,
117,4983600,6675,9570,28.992794,
118,4923300,6671,9570,28.992794,
119,4741100,6674,9570,28.992794,
120,4800100,6674,9570,28.992794,
121,4782300,6677,9570,28.992794,
