step,wall_ns,manifolds,pairs,top_y,awake
0,12724400,8555,9570,28.99835,
1,9708800,5761,9570,28.995926,
2,11103200,6723,9570,28.994566,
3,11055400,6695,9570,28.994541,
4,10973000,6672,9570,28.994545,
5,10749100,6758,9570,28.994184,
6,10877500,6793,9570,28.993921,
7,10435200,6783,9570,28.993895,
8,10372000,6772,9570,28.993822,
9,10367700,6790,9570,28.993675,
10,10687900,6786,9570,28.993578,
11,10675800,6806,9570,28.99352,
12,10971100,6806,9570,28.993486,
13,10876900,6780,9570,28.993422,
14,10917300,6784,9570,28.99337,
15,11024600,6765,9570,28.993326,
16,10276800,6760,9570,28.993288,
17,10718000,6761,9570,28.993235,
18,10688000,6734,9570,28.99321,
19,10870200,6754,9570,28.99318,
20,10907800,6753,9570,28.99314,
21,10946000,6741,9570,28.993107,
22,10986200,6739,9570,28.993093,
23,10959900,6730,9570,28.993065,
24,10958100,6730,9570,28.993042,
25,11000400,6722,9570,28.99303,
26,11008400,6733,9570,28.993017,
27,10993000,6733,9570,28.992998,
28,10872500,6715,9570,28.992983,
29,11050500,6720,9570,28.992973,
30,10911300,6719,9570,28.99296,
31,10493900,6717,9570,28.992933,
32,10714200,6716,9570,28.992924,
33,10939300,6704,9570,28.992918,
34,10974800,6697,9570,28.992907,
35,11015900,6701,9570,28.992893,
36,11011800,6705,9570,28.992886,
37,11008400,6721,9570,28.992884,
38,11053100,6725,9570,28.99288,
39,11021500,6710,9570,28.992878,
40,11002000,6708,9570,28.992876,
41,11023800,6708,9570,28.992876,
42,10775700,6700,9570,28.99287,
43,10425300,6693,9570,28.99286,
44,10754400,6701,9570,28.992851,
45,10989700,6708,9570,28.99285,
46,11109100,6706,9570,28.992847,
47,10966100,6703,9570,28.99284,
48,11012400,6704,9570,28.99284,
49,10840000,6704,9570,28.992838,
50,11056900,6707,9570,28.99283,
51,11055100,6705,9570,28.992828,
52,10817600,6714,9570,28.992826,
53,10437600,6704,9570,28.992823,
54,10702300,6700,9570,28.992823,
55,10435000,6707,9570,28.992817,
56,10651000,6699,9570,28.992815,
57,10982400,6699,9570,28.99282,
58,10755700,6707,9570,28.99282,
59,10429800,6702,9570,28.992815,
60,10788900,6706,9570,28.99281,
61,10984000,6701,9570,28.992811,
62,11006300,6695,9570,28.992815,
63,11012200,6694,9570,28.992807,
64,11009300,6691,9570,28.992807,
65,10986500,6698,9570,28.992807,
66,11030200,6700,9570,28.992807,
67,11022000,6693,9570,28.992805,
68,10963300,6701,9570,28.992804,
69,10880500,6699,9570,28.992804,
70,10489100,6702,9570,28.992807,
71,10723900,6703,9570,28.992807,
72,10394500,6700,9570,28.992807,
73,10634100,6694,9570,28.992807,
74,10396000,6690,9570,28.992807,
75,10612500,6685,9570,28.992804,
76,11022100,6687,9570,28.992804,
77,10761900,6684,9570,28.99281,
78,10412200,6684,9570,28.99281,
79,10710600,6685,9570,28.99281,
80,11000300,6680,9570,28.99281,
81,11020500,6679,9570,28.99281,
82,10993900,6674,9570,28.99281,
83,10994300,6676,9570,28.992811,
84,11008800,6676,9570,28.992811,
85,11113200,6667,9570,28.992811,
86,10360800,6676,9570,28.992817,
87,10151300,6672,9570,28.992817,
88,10500800,6678,9570,28.992817,
89,10601200,6678,9570,28.992817,
90,10251400,6680,9570,28.992817,
91,10840900,6683,9570,28.992815,
92,10490200,6678,9570,28.992807,
93,10734100,6674,9570,28.992805,
94,11010700,6680,9570,28.9928,
95,10964800,6674,9570,28.992796,
96,10163900,6668,9570,28.992794,
97,10751400,6672,9570,28.992796,
98,10502400,6675,9570,28.992798,
99,10341500,6676,9570,28.992798,
100,10148700,6677,9570,28.992798,
101,10125500,6675,9570,28.992796,
102,10110300,6673,9570,28.992798,
103,10099700,6669,9570,28.992802,
104,10654200,6665,9570,28.992802,
105,10641700,6665,9570,28.992802,
106,10541400,6661,9570,28.992785,
107,10695300,6657,9570,28.992767,
108,10440100,6664,9570,28.992775,
109,10681300,6665,9570,28.992783,
110,10592700,6667,9570,28.992783,
111,10553600,6669,9570,28.992788,
112,10567900,6665,9570,28.992788,
113,10528100,6672,9570,28.992786,
114,10696100,6676,9570,28.992786,
115,10472800,6674,9570,28.99279,
116,10648500,6671,9570,28.99279,
117,10422900,6675,9570,28.992794,
118,10673900,6671,9570,28.992794,
119,10575000,6674,9570,28.992794,
120,10549100,6674,9570,28.992794,
121,10712400,6677,9570,28.992794,
122,10474300,6679,9570,28.992794,
123,10745800,6679,9570,28.992794,
124,10136700,6685,9570,28.992796,
125,10078800,6684,9570,28.992796,
126,10134000,6676,9570,28.992796,
127,10639800,6678,9570,28.992796,
128,10428700,6675,9570,28.992798,
129,10342900,6679,9570,28.992798,
130,10126600,6676,9570,28.992798,
131,10207500,6680,9570,28.992798,
132,10425900,6677,9570,28.992796,
133,10110200,6674,9570,28.992796,
134,10684700,6675,9570,28.992796,
135,10964700,6676,9570,28.992796,
136,10966800,6676,9570,28.992796,
137,10935100,6673,9570,28.992796,
138,10989800,6675,9570,28.992796,
139,11138600,6677,9570,28.992796,
140,10992700,6677,9570,28.992796,
141,10990700,6679,9570,28.992796,
