step,wall_ns,manifolds,pairs,top_y,awake
0,6547600,4495,9570,35.998295,
1,5223600,4196,9570,35.993866,
2,5117800,4142,9570,35.986713,
3,5093600,4111,9570,35.976837,
4,5063100,4100,9570,35.964233,
5,5082500,4087,9570,35.948902,
6,5088800,4079,9570,35.93085,
7,5123000,4073,9570,35.910072,
8,5196000,4066,9570,35.88657,
9,5313400,4061,9570,35.86034,
10,5137500,4053,9570,35.831387,
11,5100800,4054,9570,35.79971,
12,5092200,4056,9570,35.765305,
13,5294400,4055,9570,35.728176,
14,5188100,4060,9570,35.688324,
15,5116800,4057,9570,35.64575,
16,5123400,4055,9570,35.600445,
17,5206600,4051,9570,35.552414,
18,5135000,4049,9570,35.501663,
19,5368800,4050,9570,35.448185,
20,6115400,4829,9570,35.391983,
21,5814600,4715,9570,35.333054,
22,5743000,4565,9570,35.2714,
23,5732200,4496,9570,35.207024,
24,5576800,4419,9570,35.13992,
25,5650000,4390,9570,35.07009,
26,5598200,4353,9570,34.997536,
27,5572400,4336,9570,34.92226,
28,6289700,4982,9570,34.844257,
29,5856500,4783,9570,34.763527,
30,5776900,4670,9570,34.680073,
31,5773700,4639,9570,34.593895,
32,5674600,4573,9570,34.504993,
33,5568300,4491,9570,34.413364,
34,6322000,5031,9570,34.31901,
35,5871500,4806,9570,34.221935,
36,5958100,4646,9570,34.12213,
37,5782300,4535,9570,34.019604,
38,5729300,4502,9570,33.91435,
39,6046900,4984,9570,33.806374,
40,6164700,5009,9570,33.69567,
41,5954800,4852,9570,33.58224,
42,5804400,4753,9570,33.466087,
43,5831900,4728,9570,33.34721,
44,6092500,4996,9570,33.22561,
45,6154900,5112,9570,33.10128,
46,6064100,4923,9570,32.974224,
47,5850200,4760,9570,32.844448,
48,6067100,5001,9570,32.711945,
49,6156600,5139,9570,32.576717,
50,5963500,4996,9570,32.438763,
51,5977600,4871,9570,32.298084,
52,6139200,5093,9570,32.154682,
53,6100500,4972,9570,32.008553,
54,5892600,4792,9570,31.8597,
55,6004900,4796,9570,31.70812,
56,6180400,4911,9570,31.553818,
57,5943400,4780,9570,31.39679,
58,5888400,4734,9570,31.237036,
59,5942800,4748,9570,31.074558,
60,5878700,4704,9570,30.909355,
61,5797200,4678,9570,30.741426,
62,5800400,4666,9570,30.570772,
63,5836400,4609,9570,30.397394,
64,5856800,4623,9570,30.22129,
65,5879400,4625,9570,30.042463,
66,5820500,4579,9570,29.860909,
67,5739000,4610,9570,29.67663,
68,5674700,4550,9570,29.489626,
69,5653500,4524,9570,29.299898,
70,5654000,4535,9570,29.107445,
71,5645500,4528,9570,28.912266,
72,5721900,4533,9570,28.714361,
73,5716800,4529,9570,28.745474,
74,5628500,4530,9570,28.77165,
75,5688400,4529,9570,28.79591,
76,5734200,4524,9570,28.816788,
77,5658300,4517,9570,28.83433,
78,5695400,4520,9570,28.848581,
79,5780000,4514,9568,28.862343,
80,5753900,4519,9568,28.873486,
81,5717500,4518,9568,28.88324,
82,5670100,4518,9568,28.892859,
83,5727600,4516,9568,28.90075,
84,5647000,4517,9567,28.907646,
85,5634900,4508,9565,28.914537,
86,6021900,4519,9565,28.920815,
87,5748400,4516,9565,28.92588,
88,5765100,4518,9565,28.930962,
89,5638400,4519,9565,28.935617,
90,5709000,4514,9565,28.939785,
91,5663600,4516,9565,28.943506,
92,5669000,4512,9565,28.946703,
93,5722600,4508,9565,28.949604,
94,5728700,4522,9565,28.952375,
95,5859500,4519,9565,28.954878,
96,5688900,4521,9565,28.957104,
97,5947400,4517,9565,28.9592,
98,5902800,4515,9565,28.960983,
99,5794600,4520,9565,28.96278,
100,5669600,4521,9564,28.964386,
101,5683200,4521,9564,28.965906,
102,5788000,4521,9563,28.967402,
103,5716900,4520,9563,28.968788,
104,5672100,4522,9563,28.969984,
105,5805300,4518,9563,28.971111,
106,5862100,4521,9563,28.97221,
107,5779900,4523,9563,28.97325,
108,5705900,4515,9562,28.974203,
109,5711400,4517,9562,28.975157,
110,5750700,4516,9562,28.976004,
111,5814600,4515,9562,28.976778,
112,5718700,4519,9562,28.977486,
113,5903600,4520,9562,28.978231,
114,5938500,4520,9562,28.97893,
115,6006200,4519,9561,28.979557,
116,6136800,4526,9561,28.980162,
