step,wall_ns,manifolds,pairs,top_y,awake
0,12310700,4495,9570,35.998295,
1,9995900,4196,9570,35.993866,
2,9812300,4142,9570,35.986713,
3,9984700,4111,9570,35.976837,
4,9763200,4100,9570,35.964233,
5,9779500,4087,9570,35.948902,
6,10057300,4079,9570,35.93085,
7,9887100,4073,9570,35.910072,
8,9907700,4066,9570,35.88657,
9,9908900,4061,9570,35.86034,
10,9791000,4053,9570,35.831387,
11,9810300,4054,9570,35.79971,
12,9867600,4056,9570,35.765305,
13,9883500,4055,9570,35.728176,
14,9924400,4060,9570,35.688324,
15,9837400,4057,9570,35.64575,
16,9824500,4055,9570,35.600445,
17,9885900,4051,9570,35.552414,
18,9850000,4049,9570,35.501663,
19,9847600,4050,9570,35.448185,
20,12278500,4829,9570,35.391983,
21,11304600,4715,9570,35.333054,
22,10952200,4565,9570,35.2714,
23,10853000,4496,9570,35.207024,
24,10815700,4419,9570,35.13992,
25,10831500,4390,9570,35.07009,
26,10970500,4353,9570,34.997536,
27,10778300,4336,9570,34.92226,
28,12757200,4982,9570,34.844257,
29,11493700,4783,9570,34.763527,
30,11649200,4670,9570,34.680073,
31,11613800,4639,9570,34.593895,
32,11144600,4573,9570,34.504993,
33,10968000,4491,9570,34.413364,
34,12944100,5031,9570,34.31901,
35,11685300,4806,9570,34.221935,
36,11496300,4646,9570,34.12213,
37,11138900,4535,9570,34.019604,
38,10995100,4502,9570,33.91435,
39,12342300,4984,9570,33.806374,
40,12148300,5009,9570,33.69567,
41,11642500,4852,9570,33.58224,
42,11247700,4753,9570,33.466087,
43,11159500,4728,9570,33.34721,
44,11790300,4996,9570,33.22561,
45,12027500,5112,9570,33.10128,
46,11478500,4923,9570,32.974224,
47,11075400,4760,9570,32.844448,
48,11639700,5001,9570,32.711945,
49,12058600,5139,9570,32.576717,
50,11677700,4996,9570,32.438763,
51,11312200,4871,9570,32.298084,
52,11963800,5093,9570,32.154682,
53,12179000,4972,9570,32.008553,
54,11337000,4792,9570,31.8597,
55,11258500,4796,9570,31.70812,
56,11547100,4911,9570,31.553818,
57,11321400,4780,9570,31.39679,
58,11159200,4734,9570,31.237036,
59,11261800,4748,9570,31.074558,
60,11636400,4704,9570,30.909355,
61,11217700,4678,9570,30.741426,
62,11185800,4666,9570,30.570772,
63,11539200,4609,9570,30.397394,
64,11660800,4623,9570,30.22129,
65,11462500,4625,9570,30.042463,
66,11423200,4579,9570,29.860909,
67,11543100,4610,9570,29.67663,
68,11218500,4550,9570,29.489626,
69,11331200,4524,9570,29.299898,
70,11234700,4535,9570,29.107445,
71,11261000,4528,9570,28.912266,
72,11256300,4533,9570,28.714361,
73,11272500,4529,9570,28.745474,
74,11395100,4530,9570,28.77165,
75,11315400,4529,9570,28.79591,
76,11224000,4524,9570,28.816788,
77,11524900,4517,9570,28.83433,
78,11197400,4520,9570,28.848581,
79,11506500,4514,9568,28.862343,
80,11326800,4519,9568,28.873486,
81,11208300,4518,9568,28.88324,
82,11221800,4518,9568,28.892859,
83,11352700,4516,9568,28.90075,
84,11261700,4517,9567,28.907646,
85,11211500,4508,9565,28.914537,
86,11177800,4519,9565,28.920815,
87,11121900,4516,9565,28.92588,
88,11371000,4518,9565,28.930962,
89,11250700,4519,9565,28.935617,
90,11187000,4514,9565,28.939785,
91,11114600,4516,9565,28.943506,
92,11140000,4512,9565,28.946703,
93,11365200,4508,9565,28.949604,
94,11206500,4522,9565,28.952375,
95,11196700,4519,9565,28.954878,
96,11193000,4521,9565,28.957104,
97,11115800,4517,9565,28.9592,
98,11370400,4515,9565,28.960983,
99,11222100,4520,9565,28.96278,
100,11249900,4521,9564,28.964386,
101,11187500,4521,9564,28.965906,
102,11418300,4521,9563,28.967402,
103,11301200,4520,9563,28.968788,
104,11243900,4522,9563,28.969984,
105,11482100,4518,9563,28.971111,
106,11343300,4521,9563,28.97221,
107,11220700,4523,9563,28.97325,
108,11458200,4515,9562,28.974203,
109,11338300,4517,9562,28.975157,
110,11301000,4516,9562,28.976004,
111,11439200,4515,9562,28.976778,
112,11306700,4519,9562,28.977486,
113,11290300,4520,9562,28.978231,
114,11453400,4520,9562,28.97893,
115,11305400,4519,9561,28.979557,
116,11252100,4526,9561,28.980162,
117,11461100,4519,9561,28.980728,
118,11272200,4521,9561,28.981266,
119,11516700,4517,9561,28.981787,
120,11403200,4523,9561,28.982262,
121,11267600,4523,9561,28.98269,
122,11232900,4521,9561,28.983118,
123,11380400,4522,9561,28.98351,
124,11331500,4518,9561,28.98387,
125,11278800,4521,9561,28.984217,
126,11459100,4521,9561,28.984558,
127,11342800,4517,9561,28.98485,
128,11296800,4522,9561,28.98514,
129,11444300,4521,9561,28.98541,
130,11280600,4519,9560,28.98568,
131,11301300,4526,9559,28.98593,
132,11444200,4524,9559,28.986149,
133,11291100,4516,9559,28.98636,
134,11280300,4520,9559,28.98657,
135,11509100,4522,9559,28.986776,
136,11318700,4519,9559,28.986969,
137,11212300,4521,9559,28.987137,
138,11431000,4521,9559,28.9873,
139,11400800,4521,9559,28.987465,
140,11252600,4518,9559,28.987623,
141,11467400,4523,9559,28.987766,
142,11292900,4524,9559,28.987892,
143,11231100,4523,9559,28.98802,
144,11474800,4520,9559,28.988153,
145,11370900,4519,9559,28.98826,
146,11314000,4520,9559,28.988363,
147,11390600,4522,9559,28.988459,
148,11272800,4517,9559,28.988543,
149,11267100,4519,9559,28.988642,
150,11462100,4522,9559,28.98874,
151,11246300,4520,9559,28.98882,
152,11250900,4523,9559,28.988888,
153,11170000,4523,9559,28.988964,
154,11421700,4524,9559,28.989048,
155,11275500,4521,9559,28.989117,
156,11206800,4520,9559,28.989172,
157,11438200,4519,9559,28.989218,
158,11393900,4519,9559,28.98927,
159,11260300,4518,9559,28.98933,
160,11402300,4519,9559,28.989386,
161,11229100,4521,9559,28.989433,
162,11679300,4518,9559,28.989477,
163,11797800,4520,9559,28.989515,
164,11403800,4520,9559,28.989552,
165,11195300,4519,9559,28.989582,
166,11165400,4516,9559,28.989613,
167,11147000,4518,9559,28.989645,
168,11101400,4518,9559,28.989676,
169,11291800,4514,9559,28.9897,
170,11200200,4515,9559,28.989725,
171,11437100,4512,9559,28.989754,
172,11253700,4513,9559,28.98977,
173,11354900,4515,9559,28.989801,
174,11273500,4515,9559,28.989834,
175,11139900,4515,9559,28.989851,
176,11133400,4514,9559,28.989864,
177,11416600,4516,9559,28.989883,
178,11259300,4515,9559,28.989906,
179,11407800,4515,9559,28.989923,
180,11284500,4515,9559,28.98993,
181,11320500,4517,9559,28.98993,
182,11139300,4517,9559,28.98994,
183,11159500,4516,9559,28.989958,
184,11117500,4516,9559,28.98997,
185,11326500,4514,9559,28.989977,
186,11139200,4515,9559,28.98999,
187,11178200,4516,9559,28.990005,
188,11172400,4519,9559,28.990013,
189,11123100,4519,9559,28.990015,
190,11120300,4519,9559,28.990025,
191,11738000,4520,9559,28.99004,
192,11152700,4522,9559,28.990047,
193,11077200,4521,9559,28.990053,
194,11061300,4522,9559,28.990055,
195,11060700,4521,9559,28.99006,
196,11472800,4522,9559,28.99006,
197,11500500,4523,9559,28.990076,
198,11183900,4523,9559,28.990084,
199,11364400,4524,9559,28.990086,
200,11105300,4522,9559,28.990088,
201,11168400,4522,9559,28.990097,
202,11135600,4521,9559,28.99011,
203,11017200,4525,9559,28.990112,
204,10993500,4526,9559,28.990108,
205,11017100,4524,9559,28.990114,
206,11084100,4523,9559,28.99012,
207,11147800,4523,9559,28.990118,
208,11431100,4523,9559,28.990112,
209,11432400,4522,9559,28.990116,
210,11297800,4522,9559,28.990122,
211,11226200,4523,9559,28.990128,
212,11202900,4523,9559,28.990124,
213,11465600,4523,9559,28.99013,
214,11780200,4524,9559,28.990137,
215,11025700,4524,9559,28.990137,
216,11214800,4526,9559,28.990137,
217,11370700,4524,9559,28.990143,
218,11562200,4525,9559,28.990149,
219,11059200,4524,9559,28.990149,
220,10973400,4523,9559,28.990152,
221,11035900,4522,9559,28.99016,
222,11061600,4522,9559,28.990164,
223,11193200,4520,9559,28.990162,
224,11185800,4521,9559,28.99016,
225,11244300,4522,9559,28.990166,
226,11081500,4521,9559,28.990166,
227,11064600,4522,9559,28.990166,
228,11067100,4521,9559,28.990168,
229,11109000,4519,9559,28.990175,
230,10999200,4521,9559,28.990171,
231,10992800,4522,9559,28.990166,
232,11165000,4523,9559,28.990173,
233,11003200,4527,9559,28.990175,
234,10960500,4523,9559,28.990168,
235,11013300,4525,9559,28.99017,
236,11233200,4525,9559,28.990175,
237,11211500,4526,9559,28.990175,
238,11092500,4525,9559,28.990175,
239,11321400,4524,9559,28.990175,
240,11107400,4524,9559,28.990175,
241,11002900,4521,9559,28.990175,
242,11050500,4520,9559,28.990175,
243,11055000,4520,9559,28.990175,
244,11035300,4521,9559,28.990171,
245,11102700,4520,9559,28.990164,
246,11302200,4521,9559,28.990164,
247,11185900,4521,9559,28.990164,
248,11148300,4520,9559,28.990164,
249,11108400,4522,9559,28.990164,
250,11258700,4521,9559,28.990164,
251,11320500,4522,9559,28.990164,
252,11295800,4523,9559,28.990164,
253,11190900,4523,9559,28.99017,
254,11082600,4523,9559,28.99017,
255,11028000,4521,9559,28.99017,
256,11033800,4519,9559,28.99017,
257,10996900,4519,9559,28.990171,
258,11105800,4520,9559,28.990177,
259,11023800,4520,9559,28.990177,
260,10980600,4520,9559,28.990177,
261,10985400,4519,9559,28.99018,
262,11071200,4518,9559,28.990187,
263,11042900,4518,9559,28.990187,
264,10923100,4518,9559,28.990187,
265,10981700,4518,9559,28.990187,
266,11147900,4518,9559,28.990187,
267,11001600,4518,9559,28.990187,
268,10986300,4518,9559,28.990187,
269,11579100,4518,9559,28.990187,
270,11224000,4518,9559,28.990187,
271,11058000,4518,9559,28.990187,
272,11331000,4518,9559,28.990187,
273,11466100,4518,9559,28.990187,
274,11005000,4518,9559,28.990187,
275,11043400,4518,9559,28.990187,
276,11046400,4519,9559,28.990183,
277,11059400,4518,9559,28.990183,
278,10990400,4518,9559,28.990183,
279,11012700,4519,9559,28.990183,
280,11003900,4518,9559,28.990183,
281,11013500,4520,9559,28.990183,
282,10990000,4520,9559,28.990185,
283,11444200,4518,9559,28.990185,
284,10942300,4518,9559,28.990185,
285,10975500,4519,9559,28.990185,
286,11012700,4520,9559,28.990185,
287,11024200,4519,9559,28.990185,
288,10973600,4520,9559,28.990185,
289,10943600,4518,9559,28.990185,
290,11036400,4517,9559,28.99019,
291,10995500,4517,9559,28.99019,
292,10961800,4519,9559,28.99019,
293,11027300,4517,9559,28.990187,
294,10946300,4517,9559,28.990185,
295,11516300,4516,9559,28.990192,
296,11224500,4516,9559,28.990198,
297,11058000,4515,9559,28.990198,
298,11139800,4515,9559,28.990196,
299,11043500,4515,9559,28.990194,
300,11245100,4515,9559,28.990194,
301,11129300,4515,9559,28.990194,
302,11009000,4515,9559,28.990194,
303,11050500,4516,9559,28.990194,
304,11133100,4515,9559,28.990194,
305,11107200,4517,9559,28.990194,
306,11302000,4517,9559,28.990194,
307,11422500,4517,9559,28.990194,
308,11351300,4516,9559,28.990194,
309,11073300,4516,9559,28.990194,
310,11091600,4516,9559,28.990194,
311,11064900,4516,9559,28.990194,
312,11035200,4515,9559,28.990194,
313,11058700,4515,9559,28.990194,
314,11042700,4515,9559,28.990194,
315,10966200,4517,9559,28.990194,
316,11015200,4515,9559,28.990194,
317,11010400,4517,9559,28.990194,
318,10968300,4516,9559,28.990192,
319,10913200,4516,9559,28.99019,
320,10981300,4515,9559,28.990196,
321,11106400,4515,9559,28.990198,
322,11034500,4517,9559,28.990198,
323,10970600,4517,9559,28.990198,
324,11025100,4517,9559,28.990198,
325,11160900,4516,9559,28.990194,
326,11024700,4516,9559,28.990189,
327,11012300,4516,9559,28.990189,
328,11049800,4515,9559,28.990189,
329,11021300,4514,9559,28.990189,
330,11376600,4515,9559,28.990189,
331,10901600,4513,9559,28.990189,
332,10899600,4513,9559,28.990189,
333,10942700,4512,9559,28.990185,
334,10937000,4513,9559,28.990185,
335,10904600,4514,9559,28.990185,
336,10962300,4513,9559,28.990185,
337,10997700,4516,9559,28.990185,
338,10975700,4517,9559,28.990185,
339,10958800,4518,9559,28.990185,
340,11302500,4517,9559,28.990185,
341,11392900,4517,9559,28.990185,
342,10835500,4517,9559,28.990185,
343,10928900,4517,9559,28.990185,
344,10907600,4517,9559,28.990185,
345,10953300,4517,9559,28.990189,
346,10965400,4517,9559,28.990189,
347,11121500,4517,9559,28.990189,
348,10817800,4517,9559,28.990189,
349,10828200,4516,9559,28.990189,
350,10800600,4515,9559,28.990189,
351,10750900,4516,9559,28.990189,
352,10998200,4517,9559,28.990189,
353,10812600,4518,9559,28.990189,
354,10825300,4518,9559,28.990189,
355,10939500,4519,9559,28.990189,
356,10847400,4518,9559,28.990189,
357,11277200,4519,9559,28.990189,
358,11220400,4520,9559,28.990189,
359,10947500,4521,9559,28.990189,
360,10934800,4521,9559,28.990189,
361,10876500,4521,9559,28.990189,
362,10903200,4521,9559,28.990189,
363,11112300,4521,9559,28.990189,
364,10910200,4521,9559,28.990189,
365,11107700,4521,9559,28.990189,
366,11076300,4521,9559,28.990189,
367,10920700,4521,9559,28.990189,
368,10959000,4521,9559,28.990187,
369,11076700,4520,9559,28.990185,
370,11022400,4520,9559,28.990189,
371,10964000,4520,9559,28.990189,
372,10976100,4520,9559,28.990189,
373,11311100,4520,9559,28.990189,
374,11375200,4520,9559,28.990189,
375,11106400,4520,9559,28.990189,
376,10858700,4520,9559,28.990189,
377,10865800,4520,9559,28.990189,
378,10890000,4520,9559,28.990189,
379,10888700,4520,9559,28.990189,
380,11009700,4521,9559,28.990189,
381,10913900,4521,9559,28.990189,
382,10946500,4521,9559,28.990189,
383,11095500,4521,9559,28.990189,
384,10893600,4521,9559,28.990189,
385,11080400,4521,9559,28.990189,
386,11021900,4520,9559,28.990189,
387,10920300,4520,9559,28.990189,
388,11192600,4520,9559,28.990189,
389,11143400,4520,9559,28.990189,
390,11044400,4521,9559,28.990189,
391,10831300,4521,9559,28.990189,
392,10861800,4521,9559,28.990189,
393,11277700,4521,9559,28.990189,
394,10847500,4521,9559,28.990189,
395,10967500,4520,9559,28.990189,
396,11317300,4520,9559,28.990189,
397,11339700,4520,9559,28.990189,
398,10871100,4520,9559,28.990187,
399,10877800,4519,9559,28.990181,
400,10890900,4520,9559,28.990177,
401,10910100,4520,9559,28.990183,
402,10916000,4520,9559,28.990183,
403,10923500,4520,9559,28.990175,
404,11174800,4520,9559,28.990175,
405,11446600,4520,9559,28.990175,
406,11005500,4520,9559,28.99018,
407,10912000,4519,9559,28.99018,
408,10855800,4519,9559,28.99018,
409,10915600,4518,9559,28.99018,
410,10931400,4519,9559,28.99018,
411,10868100,4519,9559,28.99018,
412,10999500,4519,9559,28.99018,
413,11129300,4519,9559,28.99018,
414,11038900,4519,9559,28.99018,
415,10974800,4519,9559,28.99018,
416,11004200,4519,9559,28.99018,
417,11376600,4519,9559,28.990177,
418,11118600,4519,9559,28.990175,
419,10900500,4519,9559,28.990168,
420,10943500,4519,9559,28.990166,
421,10896700,4520,9559,28.990166,
422,10900400,4519,9559,28.990166,
423,10890200,4519,9559,28.990166,
424,11194200,4519,9559,28.990166,
425,11073000,4518,9559,28.990166,
426,10832700,4520,9559,28.990166,
427,10853500,4519,9559,28.990158,
428,10933200,4519,9559,28.990158,
429,11383900,4519,9559,28.990156,
430,11322800,4518,9559,28.990152,
431,11101600,4518,9559,28.990156,
432,10882600,4518,9559,28.990158,
433,10818800,4518,9559,28.990156,
434,10856500,4518,9559,28.990156,
435,11137600,4519,9559,28.990156,
436,11361800,4519,9559,28.990156,
437,10855900,4519,9559,28.990156,
438,11312700,4519,9559,28.990156,
439,11184400,4520,9559,28.990156,
440,11350500,4521,9559,28.990154,
441,10914900,4521,9559,28.990154,
442,11005000,4522,9559,28.990156,
443,10949000,4523,9559,28.990156,
444,10962100,4524,9559,28.990156,
445,11071900,4523,9559,28.990156,
446,10952800,4522,9559,28.990156,
447,11098700,4523,9559,28.990156,
448,10951500,4523,9559,28.990156,
449,11011700,4522,9559,28.990156,
450,10973800,4522,9559,28.990156,
451,11073700,4523,9559,28.990152,
452,11007400,4523,9559,28.99015,
453,11015800,4522,9559,28.990156,
454,10981200,4522,9559,28.990156,
455,10949300,4521,9559,28.990156,
456,11234700,4522,9559,28.990152,
457,10909600,4522,9559,28.990152,
458,10992200,4521,9559,28.990152,
459,11051500,4523,9559,28.990152,
460,10940300,4522,9559,28.990152,
461,11034800,4521,9559,28.990152,
462,11078700,4522,9559,28.990152,
463,10987200,4522,9559,28.990152,
464,11053200,4521,9559,28.990152,
465,11108700,4523,9559,28.990152,
466,11273500,4523,9559,28.990147,
467,10935200,4523,9559,28.990145,
468,11243500,4523,9559,28.990145,
469,10965600,4523,9559,28.990139,
470,10892500,4522,9559,28.990139,
471,10981700,4521,9559,28.990147,
472,11003000,4521,9559,28.990149,
473,10973700,4520,9559,28.990149,
474,10900900,4520,9559,28.990149,
475,10975900,4519,9559,28.990149,
476,10980700,4519,9559,28.990149,
477,10942600,4519,9559,28.990149,
478,10917700,4519,9559,28.990145,
479,11027000,4518,9559,28.99014,
480,10996300,4517,9559,28.99014,
481,10937100,4516,9559,28.99014,
482,11105300,4516,9559,28.99014,
483,11202000,4516,9559,28.99014,
484,10927400,4515,9559,28.99014,
485,10922600,4516,9559,28.99014,
486,11039700,4514,9559,28.99014,
487,10989300,4514,9559,28.990133,
488,11068100,4514,9559,28.990128,
489,10922600,4513,9559,28.990131,
490,10940500,4513,9559,28.990131,
491,11147100,4514,9559,28.990131,
492,10967700,4514,9559,28.990131,
493,11329700,4514,9559,28.990131,
494,11155900,4513,9559,28.99013,
495,11126200,4514,9559,28.990126,
496,11262700,4514,9559,28.990126,
497,11342000,4515,9559,28.990126,
498,10897400,4514,9559,28.990126,
499,11110200,4515,9559,28.990126,
